Policy log std Std,Z variance train,AverageReturn_all_train_tasks,Log Pis Min,Policy log std Max,QF2 Loss,Q2 Predictions Std,Q2 Predictions Min,Total Train Time (s),Policy mu Std,Log Pis Mean,Policy Loss,Policy mu Min,Alpha Loss,Epoch,Q2 Predictions Mean,Q1 Predictions Min,Policy mu Max,Policy mu Mean,Z mean eval,Policy log std Min,Policy log std Mean,Sample Time (s),Z variance eval,AverageTrainReturn_all_train_tasks,QF1 Loss,Q1 Predictions Std,Number of env steps total,Log Pis Max,Q1 Predictions Mean,KL Divergence,Q1 Predictions Max,Q2 Predictions Max,Number of rollouts total,Number of train steps total,KL Loss,AverageReturn_all_test_tasks,(Previous) Eval Time (s),Train Time (s),Alpha,Z mean train,Log Pis Std,Epoch Time (s)
0.7433039,0.002704646,50.65126571876291,-8.994338,2.0,41.24901,0.42371264,-1.9974537,181.25382486823946,0.59765655,-0.10118487,-0.26264095,-3.2887697,0.0,0,0.27791,-0.26620954,2.8065162,0.12989111,0.018528078,-3.4200797,-0.047656417,16.575582086108625,0.28554374,25.82598198983164,49.403297,0.6050978,9858,28.987469,1.0870972,49.155663,3.5442028,2.0110385,0,4000,4.9155664,52.157712894772054,0,141.65228779474273,0.99970007,0.0035828825,5.721022,158.22786988085136
0.30822882,0.62187666,-37.21339663601367,-7.0695996,-0.2985707,78.473404,24.243185,-78.93763,363.3077851058915,0.66796935,1.2832482,-40.032684,-2.5363746,-7.300078,1,34.76542,-78.71145,2.3998108,-0.014683148,0.011876298,-2.0561585,-1.1156414,8.612874838057905,0.38854232,-7.567473762654865,66.01113,25.230146,15047,8.127331,33.95543,0.92923796,138.33151,146.60986,0,8000,0.0929238,-33.242331790192765,23.028498973231763,150.35134617472067,0.33719718,0.017396037,2.3762968,181.99271998601034
0.30855635,1.1909263,11.147909558451353,-8.287577,0.017197326,158.41681,28.206257,-78.56307,547.8408295568079,1.0682281,7.2023587,-84.95392,-5.647229,-1.5360429,2,80.25404,-97.66244,4.510311,-0.06157399,0.008975016,-2.4323845,-1.4647715,9.517456731759012,0.3366813,25.65121937063421,172.13066,29.057013,20887,24.84166,80.71647,0.10324283,210.5404,226.70706,0,12000,0.0103242835,20.601231643895026,23.090457843616605,149.56693203374743,0.14575401,0.012474085,3.805725,182.17484660912305
0.34684384,0.85072565,44.43826403913201,-1.9136248,-0.32265532,137.16864,34.786648,-56.969723,737.489278706722,0.8463915,8.41982,-112.063774,-3.517862,0.9666085,3,105.934235,-71.91956,5.257997,0.07958506,0.0040556462,-3.0300446,-1.8976915,9.848787383176386,0.46781152,44.943857575414405,109.07697,34.509468,26129,21.27414,108.42491,0.13443953,198.3323,192.30531,0,16000,0.013443953,30.07712689895886,25.449028831440955,154.95677373511717,0.10002573,0.008667164,2.9954221,190.2545899497345
0.32426542,1.0464242,50.390935411628824,-2.8839622,-0.24132091,147.05453,33.841736,-29.3073,923.1486757635139,0.79309684,7.7386127,-137.47415,-3.7009902,-0.5786808,4,136.29172,-31.841797,4.207549,0.011496094,0.0075263777,-2.8661292,-1.8826897,9.139254182577133,0.33841974,28.200838690339342,119.157074,35.063316,31397,23.50888,131.36325,0.051928006,252.78227,244.8994,0,20000,0.005192801,57.91396521183275,24.842819139827043,152.75099060311913,0.109296545,0.00395441,3.1396909,186.7330639255233
0.30357864,0.98681307,111.83967164183012,-2.6783514,0.0872913,98.41003,33.118286,-23.117401,1114.5892014862038,0.7752494,8.083488,-148.75949,-4.795799,0.18712822,5,145.5936,-16.265224,5.159638,0.01871112,0.0044772876,-2.9055402,-1.9624732,8.713598704431206,0.35795346,116.06224962981463,101.6678,33.126907,36819,31.733856,144.85046,0.0036865291,267.57104,261.67773,0,24000,0.00036865292,80.03029820927475,23.769309112336487,158.33067003125325,0.10633801,0.007496845,3.2984605,190.81357784802094
0.30349973,1.0073652,86.37784363393894,-1.8386655,-0.37884623,95.6772,36.134563,-24.160944,1312.875849810429,0.6850082,8.094363,-145.11153,-3.890799,0.22167838,6,140.23953,-8.396781,3.7443762,-0.022293277,0.0031470717,-3.0540824,-2.049352,9.453206248115748,0.40133625,53.775736186374324,72.897354,35.624054,42052,22.956528,146.42291,0.0012987563,309.44617,301.95953,0,28000,0.00012987564,106.61523388539737,24.39639870589599,163.6479746447876,0.09545461,0.004675054,3.1113486,197.49757959879935
0.28631473,0.9927789,134.90055403259163,-5.212323,-0.39245552,95.04196,37.631813,-2.419781,1501.668545561377,0.6605766,7.9037037,-154.94434,-3.5028782,-0.22011264,7,155.31497,-25.891356,3.9633455,0.000873334,0.0016439355,-2.9177678,-2.0514226,9.800478894263506,0.41140074,101.96786176132811,83.74393,38.08659,47710,22.889336,151.60959,0.00026051555,302.43518,299.1397,0,32000,2.6051555e-05,110.90758757734173,25.185485772788525,155.73318370897323,0.1017095,0.0030757796,3.0282347,190.71914837602526
0.30013007,0.9927982,117.95252705775997,-3.8140988,-0.41510415,84.49537,43.371662,-34.148373,1697.2419643560424,0.6292023,7.818653,-162.80249,-3.144963,-0.42292747,8,159.80215,-22.267626,4.044386,0.0073121283,0.004262351,-3.2030344,-2.0666044,9.411592636723071,0.42846155,96.23710320350784,68.174835,44.001514,52710,30.91817,160.35501,0.00023267523,290.9686,279.30484,0,36000,2.3267523e-05,142.98644216024684,23.260306728072464,162.53659672895446,0.09706836,0.0016295271,2.8769257,195.20849609375
0.29052165,1.0026248,108.57799247625096,-1.5173244,0.041058242,111.98751,50.131233,-26.018343,1884.2683137217537,0.6280374,8.082077,-170.90564,-4.6415677,0.18728304,9,167.10748,-15.381347,4.0093846,0.01802386,0.0046002655,-2.9081986,-2.0947275,9.025034897960722,0.347471,76.38502092253916,66.42288,50.230045,58105,19.786793,171.5412,0.00032012825,285.1776,289.66766,0,40000,3.2012827e-05,97.07667030947609,23.624098452739418,154.00402900530025,0.10210358,0.0042518554,2.686596,186.6531623560004
