Log Pis Min,Total Train Time (s),Q2 Predictions Min,Log Pis Std,Q2 Loss,Number of train steps total,Policy Loss,Q2 Predictions Max,Policy mu Min,Policy mu Max,KL Divergence,Log Pis Mean,Epoch,Sample Time (s),Z mean train,Q1 Predictions Std,Alpha,KL Loss,Log Pis Max,Z variance train,Policy mu Std,AverageReturn_all_test_tasks,AverageTrainReturn_all_train_tasks,Policy log std Min,Policy mu Mean,Q1 Predictions Mean,Q2 Predictions Std,Number of env steps total,Policy log std Std,AverageReturn_all_train_tasks,(Previous) Eval Time (s),Q1 Predictions Max,Number of rollouts total,Q1 Loss,Epoch Time (s),Z variance eval,Policy log std Mean,Q2 Predictions Mean,Alpha Loss,Q1 Predictions Min,Policy log std Max,Z mean eval,Train Time (s)
-10.152861,1905.7614165386185,-2.3649611,4.895443,511.02374,4000,0.34968334,1.4139347,-2.3800457,4.4557486,122.85744,-0.17771597,0,1365.8952637081966,0.0017405411,0.503711,0.99970007,122.85744,21.524242,0.0027079047,0.6921161,-566.8251092793556,-515.4419160790904,-2.8219705,0.35243326,-0.17520197,0.46468198,605000,0.5771204,-522.0862402866363,0,1.8630276,0,508.5634,1766.6414253963158,0.23133703,0.0842811,-0.11990639,0.0,-2.076049,2.0,1.301189,400.7461616881192
-11.008788,2462.6676777862012,-857.6262,1.8224728,95.95432,8000,313.52878,-91.80661,-1.0413582,1.3616205,61.272858,-3.0392492,1,10.754015961661935,0.23868771,136.24316,0.31013963,61.272858,2.7646446,0.2213815,0.27955815,-600.381008792038,-602.8628957057208,-1.5754938,0.053796686,-316.80426,135.5395,610000,0.25441995,-634.0487329104733,139.1236992198974,-94.24222,0,88.4034,550.7092620246112,0.09323752,-0.7550086,-314.3778,-12.92085,-858.4689,-0.016328469,0.89224386,400.8315468430519
-9.185433,3022.0125054204836,-2464.2332,2.9641716,471.0113,12000,648.9277,-103.57495,-3.1775286,3.0536273,106.773926,1.2520125,2,13.189483616501093,1.4010633,317.0599,0.10571746,106.773926,14.92564,0.17025277,0.7015277,-623.68185726668,-502.66268627027955,-2.1161773,0.121296324,-651.39307,317.18713,615000,0.35356462,-499.7806658084736,145.32108438387513,-112.397316,0,458.76822,556.1045846277848,0.11794059,-1.0532926,-651.234,-15.160921,-2458.1494,0.13395727,1.3667147,397.59401662740856
-6.254138,3585.2811217829585,-2985.6326,4.5537567,1029.9513,16000,781.1091,-117.05052,-6.6634116,6.119818,118.13893,7.084614,3,12.71265473216772,1.3594145,431.04968,0.053749513,118.13893,32.51774,0.08818747,1.1741208,-628.8548527060835,-600.4567684886083,-2.6628475,0.25708854,-787.6432,430.42798,620000,0.45487908,-631.2019342720085,148.5600948370993,-127.69681,0,970.1836,564.2506604194641,0.087390006,-1.3067153,-784.7886,-2.6760185,-2979.8538,0.617719,1.6447458,402.9779108501971
-7.940518,4146.0641280934215,-2946.8645,5.067858,1532.441,20000,868.929,-130.16454,-5.652754,5.907466,125.68048,8.039747,4,11.553777270019054,1.7467711,490.6714,0.09312029,125.68048,30.04905,0.08003245,1.3798269,-579.6815679702567,-566.5781988593545,-2.2953749,0.15860116,-875.49054,491.9444,625000,0.38399458,-591.82651834701,147.5780357848853,-127.980255,0,1398.775,562.8642384959385,0.027316015,-1.1472162,-879.8589,0.094356626,-2949.3533,0.58988595,0.8914458,403.73242544103414
-5.0794554,4699.216526613571,-4200.2915,4.8109426,2127.0007,24000,934.6846,-92.38026,-4.6774864,5.8006134,139.79663,7.969664,5,11.407983432523906,1.6483533,621.36536,0.13697566,139.79663,33.659584,0.045529895,1.37577,-603.5677550026286,-538.3164880031665,-2.177423,0.3592715,-949.26465,618.82697,630000,0.35043862,-559.3578446634679,145.49662022478878,-91.95862,0,1848.8851,559.8925108388066,0.044113893,-1.0713524,-938.85046,-0.060311593,-4218.501,0.536114,1.3379571,402.98790718149394
-5.28686,5247.190456609242,-4831.839,5.131951,2523.832,28000,1019.9614,-77.92899,-6.1024837,5.531192,139.50235,7.7009964,6,12.343128001317382,1.2738888,663.3413,0.14408502,139.50235,34.535404,0.060192168,1.3811082,-562.4265010364325,-452.1642803840731,-2.2317576,0.22889516,-1022.7083,665.5866,635000,0.32590008,-565.0975543474888,138.75633492134511,-81.30268,0,2174.31,543.9536468507722,0.019473461,-1.082298,-1033.824,-0.57919925,-4804.029,0.3890313,1.3400531,392.8541839281097
-7.4589562,5791.527718170546,-5694.3555,4.7762675,2735.5286,32000,1039.041,-60.251995,-6.335144,5.674153,147.52135,8.33526,7,10.311859440989792,1.4135445,755.75543,0.13897645,147.52135,33.20553,0.042706583,1.3513533,-555.2742941169241,-458.4970728827992,-2.2719088,0.34765166,-1045.1426,755.05884,640000,0.33443812,-512.1839415817001,142.77797820419073,-21.148264,0,2535.5632,545.329129374586,0.0209564,-1.169707,-1050.5192,0.6616306,-5696.7026,0.496812,1.6285194,392.2392917294055
-7.139607,6336.146860767156,-4334.82,4.705208,3795.9656,36000,1251.1713,-60.923046,-5.1822686,6.7638493,158.54663,7.5027328,8,12.635766068473458,1.1944095,770.19257,0.14465551,158.54663,29.7332,0.038353708,1.361198,-500.41274785174016,-445.4067983130921,-2.0970478,0.35435885,-1261.4554,770.00476,645000,0.33508515,-568.5406845008376,141.78504949156195,-36.679092,0,3634.9954,542.5446250215173,0.025826406,-1.0424644,-1258.7305,-0.9614235,-4343.1045,0.9803117,1.0216999,388.12380946148187
-7.7074857,6877.0079339323565,-6418.0195,4.443245,3583.7732,40000,1305.3643,-145.8106,-5.285859,7.020565,146.75104,7.6626196,9,11.25410174112767,1.4007294,745.5822,0.14854626,146.75104,29.266289,0.035936944,1.3460268,-536.5362535462076,-445.90302015059024,-2.1772785,0.18525307,-1318.0414,743.5265,650000,0.3254601,-623.6891237770332,143.85917287040502,-148.02672,0,3355.2578,544.7930946284905,0.023642477,-1.1205223,-1310.4867,-0.64327496,-6437.855,0.93024933,1.4092019,389.6798200169578
