AverageReturn_all_test_tasks,Q2 Predictions Max,Policy log std Max,Z variance eval,Q2 Predictions Mean,Sample Time (s),Q1 Predictions Mean,Alpha Loss,Q2 Predictions Min,AverageTrainReturn_all_train_tasks,Policy log std Min,Z mean eval,Epoch Time (s),AverageReturn_all_train_tasks,Train Time (s),Policy mu Max,Q1 Loss,Policy mu Std,Log Pis Max,Q1 Predictions Std,Z variance train,Log Pis Min,Number of rollouts total,Policy Loss,Policy log std Std,Policy mu Mean,Policy log std Mean,(Previous) Eval Time (s),Z mean train,KL Loss,Total Train Time (s),Number of train steps total,KL Divergence,Policy mu Min,Q2 Loss,Q1 Predictions Max,Q1 Predictions Min,Log Pis Std,Number of env steps total,Epoch,Log Pis Mean,Q2 Predictions Std,Alpha
-9.646648366,0.842341,2,0.25103268,-0.5853132,21.79075588,-0.51709783,0,-2.4446464,-12.53174078,-3.8339932,0.111291245,131.6242394,-37.16346884,109.8334836,3.0679667,15.664312,0.82673484,26.844551,0.6025445,0.002709109,-8.968491,0,0.87137663,0.9131398,-0.007440189,0.006117942,0,0.005811769,4.913897,152.5696956,2000,49.13897,-3.452468,15.098299,1.1507897,-2.6545956,5.7432017,14000,0,2.151414,0.5556791,0.99970007
-17.31226623,26.503372,0.12123239,0.057858728,14.377764,15.2409323,13.530216,-5.9309225,2.5492587,-36.0299708,-0.44962516,0.53455126,149.1256746,-25.63665887,112.9346227,0.97459984,13.693287,0.25398967,-0.6948761,2.9222507,0.49117708,-7.405464,0,-15.647726,0.063452,0.020515716,-0.13189404,20.95011959,0.15371038,0.19043441,301.2213844,4000,1.9043441,-0.90152615,14.855059,24.611761,-1.0067071,0.7964913,24000,1,-3.8319192,2.8227525,0.54687834
-3.90138414,52.455048,0.16826457,0.034525752,27.251015,15.90822322,27.619165,-9.512157,-16.414637,-1.2063259,-0.8349716,0.6725663,145.9184772,-10.47751302,109.5342229,2.1274467,18.481236,0.67511547,3.8608387,10.603013,0.24156275,-9.521189,0,-29.030415,0.11825487,-0.0701255,-0.28117412,20.47603109,0.79023755,1.8630482,447.756206,6000,18.630482,-1.856871,18.222286,54.23663,-17.66834,1.9121783,34000,2,-2.2134671,10.238846,0.31399333
97.76035273,94.10251,0.06605213,0.026192615,39.49106,15.62564046,38.570156,-8.6177225,-32.80039,127.8632171,-1.3925098,1.0429627,148.8066946,62.71694345,112.0875283,4.382766,50.987,0.9806806,14.037752,17.909649,0.08256608,-9.439475,0,-41.72689,0.18657577,0.21226768,-0.5850857,21.09352587,0.42581195,3.0443704,596.6882437,8000,30.443703,-4.0722995,51.285866,96.10351,-33.54338,3.4073474,44000,3,0.7149122,17.668291,0.1957756
226.5163853,149.08963,-0.11962424,0.03360311,70.28862,16.64678859,66.909805,-3.4697886,-11.069401,172.684613,-1.5908971,1.8013391,152.5634667,139.0097377,114.6979095,3.9611344,35.772034,1.3824955,20.64473,26.883804,0.080687314,-6.9794726,0,-71.424225,0.2136041,-0.08797776,-0.7345926,21.21876861,0.66188717,3.179192,749.7980087,10000,31.79192,-3.9043403,40.464912,146.31622,-17.24952,4.3164387,54000,4,4.305064,27.090431,0.12908003
230.867407,179.70006,0.25674987,0.05041231,99.51145,16.2883548,103.25421,0.24975464,-16.716991,253.493009,-2.141705,0.3299229,154.8125893,130.734908,116.7584361,4.7261753,39.200546,1.5335082,23.675215,36.393852,0.1532064,-3.709138,0,-104.94649,0.25512016,-0.026032975,-0.8085577,21.76579844,0.7914104,3.2745526,904.8543257,12000,32.745525,-4.946465,48.090816,184.19244,-15.985629,4.424964,64000,5,6.106186,36.16028,0.095164865
353.2946725,216.50844,0.41344094,0.030628374,96.37732,16.99216719,96.63886,4.316621,-49.848583,254.9967066,-2.3549464,0.8351261,155.1625511,84.55243929,116.1603601,5.5059743,44.01207,1.7126367,28.873337,45.0313,0.0467805,-6.589584,0,-99.3255,0.39035007,0.09381497,-0.84099454,22.01002373,1.2476848,5.211822,1060.002259,14000,52.118217,-5.56713,41.876617,220.24242,-49.641323,5.5078993,74000,6,7.8573694,45.06933,0.09787979
342.6543988,336.52283,-0.029345661,0.04863311,160.95029,16.37823657,162.94914,0.60415936,-42.328476,528.6021836,-2.1736245,0.8103927,149.5305557,569.5945877,111.1560861,4.4032416,35.798233,1.5485575,21.573015,75.5486,0.06796871,-7.8297462,0,-166.23207,0.2741663,-0.021394482,-0.8256237,21.99623303,0.9679104,4.319159,1209.840834,16000,43.19159,-5.2889657,39.23124,338.80798,-27.671114,4.37171,84000,7,6.2768354,75.4208,0.11278378
435.1894839,481.87683,-0.053817242,0.026473561,309.13718,16.81551228,306.3747,4.56319,27.47978,574.4260136,-1.7365267,0.97745764,154.2224207,673.3065285,115.1037724,4.422692,55.965317,1.7433811,23.849426,82.11247,0.1726945,-5.8052897,0,-312.22293,0.23609383,-0.1006859,-0.8294909,22.30313601,1.6682141,6.711002,1363.323667,18000,67.110016,-4.9115076,74.7244,480.0352,12.769768,4.5653143,94000,8,8.313689,82.428566,0.13917507
358.1955871,521.73004,-0.095259756,0.025340978,251.18976,16.71995496,249.30739,-2.262416,-63.895992,623.765108,-1.7990832,1.7436781,153.9905885,515.4185462,115.7052488,3.6904783,55.605705,1.3889227,20.19253,109.93487,0.079669036,-9.479231,0,-255.13239,0.225975,-0.06912915,-0.7780673,21.56538474,0.83430654,4.5462775,1518.718709,20000,45.462772,-3.5424857,66.94955,512.6042,-64.48001,4.0190387,104000,9,4.700088,111.6234,0.17542052
