Policy mu Max,Policy mu Std,AverageReturn_all_test_tasks,Epoch Time (s),Number of train steps total,Alpha Loss,Z variance eval,Epoch,Z variance train,Number of env steps total,Sample Time (s),KL Divergence,Q2 Predictions Mean,Log Pis Mean,Number of rollouts total,Q2 Predictions Std,Q2 Predictions Min,Policy log std Max,AverageReturn_all_train_tasks,Policy mu Min,Q2 Predictions Max,Total Train Time (s),Log Pis Max,KL Loss,Q1 Loss,Q2 Loss,Policy log std Mean,Policy Loss,Q1 Predictions Mean,Log Pis Std,Q1 Predictions Max,(Previous) Eval Time (s),Train Time (s),Policy mu Mean,Q1 Predictions Std,AverageTrainReturn_all_train_tasks,Z mean train,Log Pis Min,Policy log std Std,Z mean eval,Policy log std Min,Q1 Predictions Min
6.21878,1.05039,-303.642763883,489.35859954496846,2000,0.0,0.0423615,0,0.00693795,205000,248.7197212772444,159.1078338623047,-0.678706,3.50487,0,0.665762,-3.34534,2.0,-317.587747996,-3.66136,1.41961,564.2499543516897,34.3371,15.910783767700195,65.1588,69.7666,-0.189186,1.14827,-0.973359,6.00656,0.969188,0,240.63887826772407,0.294483,0.60609,-314.029518766,0.00452483,-9.16666,0.996038,0.163148,-5.71565,-3.46811
3.66977,0.904738,-275.068018502,278.19382613152266,4000,-8.24764,0.0412971,1,0.258131,210000,5.940509351436049,77.1990966796875,-61.1791,1.34126,0,40.8344,-175.653,0.0401656,-293.817427229,-3.35022,-7.92972,850.9281556690112,15.1163,7.71990966796875,12.3873,26.844,-0.75749,59.3529,-63.3711,2.98658,-9.66642,74.89441719185561,197.358899588231,0.414394,41.2384,-292.35585775,0.124113,-11.1069,0.26165,0.116728,-1.98783,-181.738
5.98841,1.15926,-272.000798605,271.5667094490491,6000,-3.08022,0.0307477,2,0.31864,215000,6.404922602232546,90.18669128417969,-109.371,4.87577,0,77.1315,-327.458,0.67281,-235.252088256,-5.26136,-19.8522,1123.3413621429354,31.5574,9.018669128417969,19.8584,26.1129,-1.26282,103.821,-109.763,4.15115,-20.5418,83.37841747095808,181.78336937585846,0.219485,77.034,-239.545216296,0.233376,-8.45008,0.418903,0.0805002,-2.97434,-325.646
7.87317,1.27279,-167.910039769,329.7156629236415,8000,1.43006,0.049868,3,0.308793,220000,6.6116577023640275,107.56902313232422,-168.212,6.48966,0,110.133,-471.105,0.770155,-148.937947101,-7.13622,-34.3857,1459.7555622742511,34.1959,10.756902694702148,22.0615,48.1476,-1.4409,161.098,-165.634,4.5072,-34.0032,84.22477682400495,238.87922839727253,0.107943,108.608,-138.945785623,0.176198,-6.26239,0.486512,0.168214,-3.29048,-465.82
8.75928,1.22016,-153.570277518,338.57419487973675,10000,0.954445,0.0853593,4,0.328069,225000,6.350823279935867,105.2349853515625,-218.008,6.33367,0,130.958,-492.473,0.683183,-144.789154367,-6.09876,-42.1131,1797.1339664133266,43.7775,10.52349853515625,24.0168,54.6572,-1.48023,210.053,-214.284,4.61944,-45.3255,90.92602478573099,241.2973468140699,0.119304,129.263,-141.378254397,0.252346,-6.1921,0.481017,0.650364,-3.47927,-478.902
5.6309,1.29723,-144.392134475,333.9627701458521,12000,1.51451,0.0804529,5,0.521585,230000,6.858904406893998,133.03810119628906,-275.485,6.55863,0,157.838,-595.968,0.577155,-166.634933124,-7.14322,-53.9579,2129.132220946718,38.4292,13.303810119628906,32.4566,47.6484,-1.41184,268.471,-277.816,4.79523,-51.4838,89.72812392795458,237.37574181100354,0.083041,159.324,-115.068724856,0.72526,-5.38495,0.503804,0.305224,-3.33613,-595.584
7.38794,1.25658,-121.402617466,340.57618533913046,14000,1.31855,0.0783647,6,0.296253,235000,6.967555613256991,144.27798461914062,-318.265,6.49324,0,183.44,-709.627,0.881341,-114.447731912,-7.57819,-53.9682,2465.642365482636,30.3242,14.4277982711792,33.4053,53.5315,-1.44681,311.537,-320.922,4.229,-56.4944,87.7649433389306,245.84368638694286,0.149001,185.011,-106.648943911,0.107946,-5.13904,0.518119,0.308955,-3.34436,-724.04
5.99085,1.09951,-117.20034252,333.7583206682466,16000,-1.22036,0.0789313,7,0.332318,240000,6.559727719519287,71.88091278076172,-233.276,5.54474,0,134.383,-600.052,0.613832,-116.549272179,-6.70702,-63.4155,2805.774297340773,26.4344,7.188091278076172,25.0924,58.0109,-1.47062,227.688,-234.282,3.81092,-65.3355,83.69723067106679,243.50136227766052,0.184925,134.609,-116.494250117,0.314381,-5.92093,0.473512,0.281573,-3.32728,-579.559
7.14848,1.15768,-119.136823922,326.49733108701184,18000,0.28983,0.0806135,8,0.468798,245000,6.89122357731685,77.25358581542969,-272.508,6.10788,0,137.434,-650.168,1.10608,-106.049647052,-7.37083,-71.3075,3127.2146356394514,26.135,7.725358486175537,27.1146,45.0528,-1.49182,263.685,-268.674,3.88061,-68.1409,90.0726478039287,229.5334597057663,0.176193,135.965,-113.474505909,0.70472,-5.12606,0.481584,0.27511,-3.51429,-647.15
6.24524,1.21468,-105.186240508,322.0496370620094,20000,0.336101,0.0879269,9,0.325989,250000,6.498168640770018,107.09394836425781,-382.152,6.12606,0,174.08,-922.692,1.10676,-124.345716245,-7.98218,-77.2933,3442.522182934452,36.3295,10.709395408630371,27.3514,114.733,-1.42364,372.44,-375.12,4.40513,-74.7493,85.01419695885852,230.5372714623809,0.171513,171.244,-116.075160316,0.44354,-7.41612,0.520719,0.271742,-3.51983,-905.74
6.37281,1.20384,-95.3940470337,308.2609198819846,22000,0.994948,0.0637891,10,0.470672,255000,6.1514596729539335,99.35284423828125,-355.525,6.37687,0,185.016,-964.434,0.84207,-114.502010959,-8.39103,-85.0835,3755.204610758461,30.2119,9.935284614562988,28.3589,34.3956,-1.50178,346.956,-355.195,4.01945,-85.5916,78.27229815302417,223.8371620560065,0.0768814,184.677,-104.481261168,0.746875,-11.29,0.521487,0.214924,-3.7335,-959.036
7.26916,1.29348,-81.4889204567,314.00770634273067,24000,1.74807,0.0643361,11,0.305344,260000,6.221331959590316,141.55543518066406,-448.41,6.65964,0,219.973,-1034.16,0.828235,-87.1104893745,-6.54407,-100.573,4071.8725434732623,25.9386,14.155543327331543,32.1988,49.0613,-1.43239,440.059,-444.382,4.24851,-99.1742,82.69383381819353,225.09254056494683,0.0638716,218.157,-87.054670738,0.245694,-5.39899,0.55852,0.234295,-3.77941,-1027.91
5.6921,1.17043,-95.9980564442,332.3782398542389,26000,-1.26346,0.104521,12,0.471725,265000,6.593007376883179,125.9378662109375,-395.684,5.52633,0,248.398,-1025.86,1.08635,-91.692701881,-5.78998,-97.2531,4398.455552306492,26.1095,12.59378719329834,27.2031,56.9608,-1.39283,391.52,-399.632,4.28614,-98.9096,85.35420583514497,240.43102664221078,0.106218,250.673,-86.7246088016,0.724816,-7.05319,0.505851,0.451693,-3.90366,-1040.1
6.55244,1.1131,-104.891259952,271.8929237863049,28000,-0.695785,0.106305,13,0.381173,270000,6.990370938554406,71.88081359863281,-308.62,5.73834,0,159.699,-870.505,0.884379,-89.5069023233,-6.06571,-101.91,4681.004341022577,27.6593,7.18808126449585,26.3739,41.0116,-1.49223,302.343,-310.148,3.69504,-101.576,79.56052535586059,185.3420274918899,0.0786077,160.887,-91.3300969439,0.550732,-5.6801,0.521838,0.413734,-3.70027,-880.32
6.2422,1.27175,-84.3472636515,329.83323240093887,30000,1.99371,0.120041,14,0.375135,275000,7.205191306769848,125.37957763671875,-502.011,6.76555,0,225.005,-1086.48,0.609303,-91.2040209126,-6.50824,-128.963,5009.394322753884,31.5044,12.537958145141602,34.7057,51.0039,-1.46288,493.431,-502.307,4.21868,-129.861,90.21587172104046,232.41216937312856,0.0166707,225.474,-83.8519198687,0.0780678,-6.44928,0.570394,0.415307,-3.77331,-1078.7
7.82788,1.24323,-87.2673513951,340.2714705374092,32000,1.89874,0.103966,15,0.800662,280000,7.010526451282203,103.65486907958984,-466.211,6.7172,0,186.92,-1105.8,1.11374,-94.8586009393,-6.18352,-119.641,5346.031099719927,26.7447,10.365487098693848,32.2872,63.1438,-1.49446,460.788,-470.478,3.97716,-122.591,88.77278624894097,244.488157837186,0.0177361,188.274,-83.4351800456,1.17485,-6.23122,0.566815,0.390342,-3.82128,-1116.56
7.35601,1.12772,-98.2762899933,334.7970808572136,34000,-0.775769,0.110259,16,0.678893,285000,6.769834449049085,118.40998840332031,-418.133,5.70443,0,280.072,-1172.54,0.998696,-91.6436257392,-5.75671,-113.701,5688.181608043611,29.7556,11.840998649597168,28.8809,77.7679,-1.48199,415.337,-423.98,3.93092,-116.27,85.1373914279975,242.889854980167,0.0588576,282.861,-84.6231805673,1.20448,-6.73795,0.520536,0.322557,-3.66666,-1189.33
6.29121,1.25799,-83.7853847685,335.207448257599,36000,1.6497,0.105226,17,0.369034,290000,6.758038859814405,141.26898193359375,-561.904,6.62869,0,254.188,-1200.74,0.76064,-95.6444093485,-5.95307,-121.003,6014.707873119507,34.1801,14.126898765563965,36.2259,86.1281,-1.46445,552.04,-555.988,4.41413,-121.204,92.49102977896109,235.95837961882353,0.0228806,253.944,-73.7548015003,0.420925,-6.82104,0.584541,0.431342,-3.84977,-1195.99
8.48695,1.192,-83.5892155191,320.7542237746529,38000,1.20118,0.113885,18,0.371617,295000,6.283924804069102,86.61921691894531,-438.196,6.46206,0,180.293,-1029.69,1.09926,-82.108365349,-5.94493,-147.219,6342.517040217761,28.3139,8.661921501159668,30.8776,38.3625,-1.51573,430.52,-439.395,3.93623,-143.638,83.81010646885261,230.66019250173122,-0.00896058,180.851,-76.1988219401,0.333174,-4.57642,0.544736,0.418254,-3.80389,-1023.37
8.00472,1.22285,-86.6822602867,337.27297575445846,40000,1.55459,0.105232,19,0.657198,300000,6.609128531534225,100.86698913574219,-479.866,6.59631,0,223.395,-1213.07,0.797474,-87.8264503113,-6.50258,-129.575,6667.889042412862,26.2661,10.086699485778809,27.689,47.6885,-1.51109,471.96,-481.595,4.34391,-126.918,90.86566096823663,239.7981862546876,0.0933223,224.187,-77.5696876262,0.997118,-9.44121,0.582518,0.587915,-4.0224,-1217.92
8.64637,1.07404,-75.5228331209,331.626182959415,42000,-0.697693,0.098635,20,0.546038,305000,6.153228375129402,99.3597640991211,-397.417,5.72763,0,260.068,-1244.22,0.656839,-81.8494625127,-5.9816,-124.285,7013.977465513162,34.2138,9.9359769821167,28.9456,31.1215,-1.55488,392.016,-399.487,3.77595,-130.033,78.96409784024581,246.5088567440398,0.0247264,260.081,-75.1350273416,0.412302,-5.16757,0.521827,0.509599,-3.94251,-1254.8
10.1768,1.03716,-71.9427313455,342.32556567760184,44000,-2.5177,0.118656,21,0.759512,310000,6.8696376155130565,87.91033935546875,-370.752,5.01268,0,266.07,-1238.1,1.39365,-74.0295332638,-5.90708,-127.092,7357.256671616342,26.633,8.791033744812012,26.4483,37.4492,-1.48906,365.452,-371.766,3.84007,-128.474,93.42809943016618,242.0278286319226,0.0627533,266.755,-73.3036117741,0.44598,-5.20018,0.514961,0.369188,-3.74452,-1238.92
8.8859,1.16918,-74.2197518185,336.145872625988,46000,0.406806,0.134288,22,0.47538,315000,6.627427106723189,80.4504165649414,-437.891,6.16054,0,187.098,-1262.17,1.13726,-77.6507811776,-5.09002,-144.335,7687.556397260632,27.9591,8.045042037963867,28.965,48.2225,-1.50587,432.099,-441.099,4.10486,-145.539,94.3806336610578,235.137811858207,0.0708117,188.853,-76.6220541048,0.0349464,-6.96383,0.560051,0.4395,-3.8869,-1272.54
8.66148,1.16609,-71.2140232912,324.54210519138724,48000,0.653232,0.126022,23,0.62569,320000,6.324466014280915,100.17277526855469,-488.837,6.26167,0,228.198,-1162.66,1.1412,-73.1112532507,-6.44359,-151.87,8008.628491486423,28.9126,10.017277717590332,40.7914,49.9638,-1.51944,478.214,-484.005,4.0712,-151.73,88.53456048807129,229.68307868903503,0.126201,225.134,-71.9690095909,0.530432,-6.68414,0.575872,0.450343,-3.90136,-1149.35
8.00148,1.16948,-69.0727916984,330.34624712821096,50000,0.465435,0.117989,24,0.542597,325000,6.573786316439509,87.5727310180664,-477.488,6.18723,0,205.682,-1223.13,1.12063,-66.7191937764,-6.7356,-147.453,8332.853834270034,30.9092,8.75727367401123,36.0818,69.8507,-1.49993,470.67,-480.759,4.01821,-149.457,85.06490908376873,238.70755172800273,0.0568079,207.19,-67.64092827,0.127519,-6.23346,0.56329,0.449372,-3.98439,-1228.67
8.38331,1.20983,-69.7257422523,261.3092762567103,52000,1.21419,0.112969,25,0.583348,330000,6.463315767236054,115.34861755371094,-554.658,6.49046,0,243.608,-1312.82,0.944879,-69.614149873,-7.15638,-149.456,8603.653486863244,36.316,11.53486156463623,38.1545,80.8067,-1.51466,547.659,-557.801,4.20915,-151.413,78.94443765282631,175.90152283664793,0.076067,244.981,-62.9941412128,0.957402,-5.69447,0.580259,0.402217,-4.06678,-1319.25
10.6196,1.15312,-64.2616745693,332.5407274402678,54000,0.377343,0.139054,26,0.660506,335000,6.907886723987758,110.83348846435547,-484.944,6.15547,0,245.322,-1370.45,1.27403,-69.1065848438,-6.48865,-158.885,8933.075842740946,36.169,11.083349227905273,30.8778,40.5992,-1.52296,478.136,-484.926,4.18663,-159.356,88.43540921807289,237.19743149820715,0.0340501,245.637,-66.522023756,1.10266,-8.42594,0.581901,0.442722,-3.85376,-1365.27
7.61365,1.23436,-65.723442879,333.79575730254874,56000,1.73801,0.109652,27,0.47504,340000,7.368104464840144,94.34007263183594,-518.048,6.71142,0,209.436,-1377.22,0.697756,-72.1121824225,-8.22804,-246.989,9277.035617621616,35.2342,9.43400764465332,34.9874,42.3819,-1.52914,508.272,-517.661,4.26045,-247.762,85.3181945537217,241.1094582839869,0.0516297,209.391,-70.8501661981,0.388761,-5.56558,0.579548,0.298873,-3.94417,-1379.87
8.72572,1.11557,-61.2376714557,347.1228358056396,58000,-0.657913,0.10305,28,0.423788,345000,7.435494216624647,71.71746826171875,-376.272,5.73226,0,196.24,-1290.3,1.02353,-66.6102690389,-7.17088,-159.721,9618.385417693295,33.1436,7.171746730804443,29.5753,114.797,-1.50433,373.94,-382.504,4.0888,-160.744,95.48089586384594,244.20644572516903,0.0508361,200.035,-67.1719814575,0.0505983,-9.04283,0.54985,0.287745,-3.92886,-1306.14
10.2257,1.13874,-61.5391917071,345.19065165147185,60000,0.00607083,0.129473,29,0.462631,350000,7.205354910343885,78.02821350097656,-433.936,6.00247,0,195.024,-1159.17,1.14039,-63.4211597364,-6.51327,-164.477,9957.667188408319,34.7,7.802821636199951,30.7461,41.7296,-1.52837,424.352,-431.231,4.33164,-162.783,89.70776386000216,248.2775328811258,0.0564278,194.268,-66.4825707183,0.234536,-4.8254,0.557947,0.248352,-3.95664,-1162.89
8.83027,1.12206,-59.6463580436,328.87295802216977,62000,-0.392389,0.13584,30,0.483917,355000,6.041701623238623,78.07073974609375,-421.444,5.83795,0,227.78,-1377.85,1.18758,-65.8347601781,-7.86754,-166.173,10299.701475326438,32.6679,7.807074069976807,26.6576,52.041,-1.51197,415.65,-424.533,4.13818,-164.722,83.79928554501384,239.0319708539173,0.0552064,229.862,-62.0616989084,0.21941,-6.4642,0.557725,0.292727,-3.83679,-1380.02
10.0542,1.05213,-60.869903136,327.1999952653423,64000,-1.61729,0.138171,31,0.767056,360000,6.565534139983356,85.34899139404297,-373.11,5.33918,0,220.528,-1270.54,1.19489,-60.2251372312,-7.11907,-163.122,10611.951186142396,39.7024,8.534899711608887,31.2046,52.3722,-1.51769,368.01,-375.094,4.10198,-163.69,96.96331990323961,223.67114122211933,0.0641297,220.871,-59.9349992249,0.438823,-7.57424,0.533266,0.376521,-3.71186,-1261.15
9.55924,1.2008,-58.0616484307,318.8788514020853,66000,0.644441,0.109845,32,0.432064,365000,6.5691274320706725,109.65180969238281,-516.6,6.26708,0,253.548,-1312.36,1.21671,-61.3056076384,-6.73574,-170.353,10937.664342103526,39.0738,10.965181350708008,33.4569,34.5105,-1.50024,508.885,-517.157,4.53674,-170.32,82.01139736874029,230.2983266012743,0.0532656,253.867,-61.9521958376,0.348779,-5.52573,0.596904,0.290324,-3.86345,-1314.05
9.03113,1.21734,-66.2896197013,335.1197910006158,68000,0.963497,0.109038,33,0.614201,370000,6.882445672526956,89.28347778320312,-488.465,6.40199,0,228.695,-1389.47,1.1688,-66.9741497135,-7.18625,-171.301,11274.412546086125,36.6679,8.92834758758545,30.8651,108.049,-1.49221,477.955,-480.738,4.62886,-171.496,88.84582857228816,239.3915167558007,0.0189975,225.001,-62.3273319189,0.196571,-6.34089,0.564527,0.263895,-3.87449,-1378.85
8.96739,1.15712,-58.3736365886,311.09105857415125,70000,-0.361614,0.125258,34,0.579695,375000,7.041182340122759,80.91060638427734,-448.503,5.84841,0,233.205,-1391.41,0.95431,-59.7297147586,-9.81723,-164.865,11580.609053799417,35.8694,8.091060638427734,28.382,122.606,-1.49438,446.841,-455.208,4.56542,-168.432,90.4746725470759,213.5752036869526,0.00588329,235.453,-61.4633543439,0.0951799,-12.6436,0.566334,0.217709,-3.86307,-1396.85
7.36016,1.18974,-64.625391915,329.8360543423332,72000,1.15475,0.150538,35,0.558277,380000,6.587297917343676,84.64940643310547,-479.46,6.48341,0,215.384,-1327.69,0.686399,-70.7977412339,-7.38057,-196.157,11903.980337154586,39.8157,8.464941024780273,29.2768,43.4581,-1.54135,472.643,-480.447,4.44074,-201.369,85.58078842703253,237.66796799795702,-0.0164688,215.825,-73.6402775585,0.554268,-6.33195,0.580554,0.378488,-3.99916,-1326.54
9.81013,1.0617,-65.3498582819,320.46296469075605,74000,-2.08098,0.12165,36,0.531207,385000,6.1888907118700445,80.49988555908203,-375.666,5.12634,0,180.277,-1053.32,0.997749,-71.9001301895,-7.9678,-172.578,12235.761794049758,39.8921,8.049988746643066,24.5296,33.9179,-1.48584,370.572,-377.777,4.19336,-173.146,79.11605011578649,235.15802386309952,0.00771831,181.689,-71.4873372551,0.309202,-6.66914,0.553574,0.323898,-4.07585,-1055.83
8.02993,1.10355,-61.4173080476,332.65401606308296,76000,-1.18526,0.136072,37,0.583459,390000,6.338503768201917,97.01457214355469,-405.932,5.50224,0,228.728,-1358.48,0.732729,-56.8134439068,-6.63736,-168.486,12567.492421418428,32.6294,9.701457023620605,25.4231,80.2335,-1.49504,404.888,-412.819,4.45746,-170.14,90.43471494782716,235.88079734705389,0.0822338,231.607,-57.4008642616,0.137792,-9.00281,0.573751,0.258943,-3.82132,-1374.87
8.01019,1.19807,-61.0597924341,335.9939704956487,78000,0.298519,0.120765,38,0.765171,395000,6.960225650575012,86.16797637939453,-476.76,6.12702,0,252.451,-1406.87,1.20254,-63.1760002364,-6.31231,-174.502,12895.184755664784,40.3608,8.61679744720459,29.9086,43.0112,-1.48184,468.324,-474.893,4.4585,-172.816,89.51189008215442,239.52185476291925,0.0542512,253.5,-62.0237497583,0.14337,-6.86999,0.574595,0.429752,-3.76027,-1399.04
9.42937,1.15886,-66.2435541644,316.01630790159106,80000,-0.442355,0.123813,39,0.535352,400000,6.024764584843069,97.95630645751953,-480.917,5.81172,0,258.438,-1427.87,1.12988,-68.7303019265,-7.99493,-173.297,13220.03576792404,47.107,9.79563045501709,30.2235,59.9346,-1.48663,473.165,-477.59,4.48138,-172.697,81.21047919476405,228.78106412198395,0.00879884,257.684,-68.3043793922,0.324712,-6.65339,0.59944,0.355449,-3.92039,-1426.2
8.11819,1.13714,-57.0305058532,333.24362649722025,82000,-0.435823,0.138223,40,0.573482,405000,6.900054824072868,102.16065216064453,-454.612,5.81298,0,273.773,-1523.06,0.876099,-58.9056533447,-6.73147,-170.154,13545.831927719992,40.1341,10.216065406799316,24.9641,30.4234,-1.50714,447.723,-453.827,4.54292,-168.861,90.04521696595475,236.29835470719263,0.0402209,272.885,-57.9910349064,0.342789,-7.88038,0.567235,0.237781,-3.9042,-1515.54
