Q1 Loss,AverageTrainReturn_all_train_tasks,Log Pis Max,Number of rollouts total,Z variance train,Policy mu Max,Policy log std Min,Z mean eval,Policy mu Min,(Previous) Eval Time (s),Q2 Loss,Number of env steps total,Q2 Predictions Max,Q1 Predictions Std,AverageReturn_all_test_tasks,Epoch,Epoch Time (s),Number of train steps total,Q2 Predictions Std,Q2 Predictions Min,AverageReturn_all_train_tasks,KL Loss,Q1 Predictions Max,Z mean train,Policy mu Std,Policy log std Max,Policy Loss,Policy log std Std,KL Divergence,Z variance eval,Policy mu Mean,Q2 Predictions Mean,Sample Time (s),Alpha Loss,Q1 Predictions Mean,Policy log std Mean,Log Pis Std,Log Pis Min,Total Train Time (s),Log Pis Mean,Q1 Predictions Min,Train Time (s)
928.6733,206.69654103698335,386.17505,0,0.002687886,388.29004,-20.0,0.044968463,-238.3042,0,790.1181,206967,173.34213,21.128494,212.3031115838733,0,955.1369416592643,4000,12.522128,-62.50403,207.88177700464544,19.694456,12.779732,0.0410154,24.476377,2.0,27.148167,8.05662,196.94455,0.36400142,3.6490984,1.3735436,416.30681574717164,0.0,-25.945353,-4.429976,66.76704,-7.017791,1069.9831080231816,227.72427,-221.81793,538.8301259120926
112.26027,264.01823375467427,39.009933,0,0.993975,3.3565466,-1.5364552,0.015477149,-3.1430733,114.84894737415016,175.25938,212195,367.89536,87.56492,263.16609657028994,1,647.6889476468787,8000,86.187645,-24.014114,265.08699898154254,0.012838823,366.03088,0.05230072,1.4417927,0.44300717,-280.10596,0.16862044,0.12838823,0.26244575,0.63029754,276.12433,12.94779444579035,-3.1920109,280.8071,-0.48563817,6.4456725,-6.922275,1717.0867416239344,15.666739,-45.970055,519.8922058269382
306.81677,363.19508179569976,43.51732,0,0.8636093,4.9579673,-3.2097402,0.22675641,-5.0936766,114.2631120798178,406.1421,217495,666.5262,169.94725,366.45175399156,2,624.8940106807277,12000,164.8324,4.5315394,372.172555364589,0.052689303,662.273,0.020267475,1.6016073,0.9808384,-500.8866,0.14536688,0.526893,0.3184196,0.36552024,495.95862,12.944800581783056,0.5179212,489.44495,-0.5094289,7.2648454,-8.517088,2337.0188667522743,17.25662,-53.408993,497.6860980191268
312.35648,325.05320277530666,44.879547,0,0.8561443,5.263793,-1.5133026,0.021358432,-6.272081,109.30109767336398,476.7191,222848,837.3495,236.09935,323.82198513513106,3,638.1310275350697,16000,239.85655,-62.616787,327.52846393533815,0.16571644,823.30804,0.024151765,1.6050882,0.80070984,-598.6334,0.16550869,1.6571643,0.3443825,0.34021673,590.8647,12.100027121603489,-0.14646448,585.80786,-0.49001098,8.563068,-8.907044,2986.473818385508,16.92492,-83.78549,516.7299027401023
313.13477,222.68569739408701,54.396225,0,0.9029706,5.2141423,-1.2227927,0.09156103,-6.289538,120.62498649815097,777.1597,228135,945.3598,261.1553,226.07075483881607,4,637.8795725312084,20000,257.4523,-26.538185,223.77490256246327,0.13060687,931.8213,0.02210579,1.5722743,0.48556036,-649.22705,0.14514013,1.3060688,0.33813778,0.41306895,647.40314,12.604388825129718,-0.17918059,631.32666,-0.52414614,8.482932,-9.846172,3606.072442548815,16.907043,-119.43552,504.6501972079277
381.26697,291.5815417867439,45.71624,0,0.87605846,6.2028074,-1.6506884,1.0026367,-8.143434,102.34395698690787,753.8671,233295,1033.5831,287.1556,306.83212014491545,5,619.7235676995479,24000,281.91028,-3.5738337,292.9983988469613,0.6443831,1026.1849,0.115970016,1.5454334,0.6873107,-639.22986,0.14924952,6.4438305,0.3122552,0.5218571,630.063,12.6748360786587,0.021721363,618.33215,-0.53236604,7.638361,-8.395912,4227.417557360604,17.011795,-40.472942,504.7047746339813
367.5324,411.14022253880216,46.683437,0,0.71306884,5.781974,-1.8116503,0.6682795,-7.2011614,103.9656651429832,921.1674,238594,1115.074,315.22336,466.42570663096933,6,627.5195722766221,28000,312.41565,-89.26023,466.72774038942185,0.60499805,1125.1449,0.087672524,1.5605544,0.60269636,-608.2545,0.15050451,6.04998,0.23387608,0.5374865,587.0091,11.883917380589992,0.38689822,612.24414,-0.52366865,7.672711,-7.949803,4867.373847150244,17.214375,-52.76413,511.66998975304887
299.0158,192.90385376376395,59.545105,0,0.6524824,5.3690434,-1.9312648,0.545118,-4.8943243,116.40242923982441,533.82544,244111,1021.8294,279.86386,205.21909507429928,7,642.405904575251,32000,282.44278,-2.4301264,200.5870281571828,3.756173,1013.15173,0.2942984,1.5346575,0.5366752,-600.69653,0.16583857,37.56173,0.17579862,0.5444639,590.89166,11.925648061092943,0.14551125,583.7805,-0.5376196,7.617196,-8.917049,5497.180113276932,17.07697,6.78578,514.0778272743337
425.45312,218.41096588006306,57.96239,0,0.46858138,7.3576574,-2.0051277,0.6129648,-6.717861,103.80263523198664,630.4237,249319,1001.1786,274.2951,222.72446274873465,8,614.7981006009504,36000,270.2261,-30.27485,221.55978610196942,12.092783,995.82025,2.4160542,1.5590323,0.53326035,-576.94147,0.14881878,120.927826,0.13866419,0.50802493,564.45654,10.902755121234804,0.684185,576.7707,-0.52783847,7.6768003,-7.532302,6105.467905900907,17.368399,-118.41338,500.092710247729
217.50247,354.95645708215267,55.970013,0,0.41293225,6.221965,-1.3941911,1.0972316,-5.7189007,97.2924629310146,562.83246,254619,1012.2701,269.6696,375.8005392121555,9,625.1233772616833,40000,267.5428,-21.563725,363.9308610939772,6.3610134,1005.6333,1.9481385,1.5178612,0.22793016,-588.40686,0.13531367,63.610134,0.26226324,0.5775785,584.3882,10.312863417901099,-0.29813465,570.78735,-0.52299607,7.3256607,-12.412935,6750.807048565708,16.837204,-7.5735497,517.5180509127676
