Q1 Predictions Min,Z variance train,Q2 Predictions Std,Policy log std Std,Q1 Loss,Policy mu Std,Number of rollouts total,Epoch Time (s),Sample Time (s),Policy log std Min,Q2 Predictions Min,Q2 Loss,Z mean train,Q1 Predictions Max,Train Time (s),Q2 Predictions Mean,Z variance eval,Alpha,Policy Loss,Epoch,Log Pis Min,Q2 Predictions Max,Policy log std Max,Q1 Predictions Mean,Number of env steps total,Policy mu Max,AverageReturn_all_train_tasks,Alpha Loss,Z mean eval,AverageTrainReturn_all_train_tasks,Policy mu Min,(Previous) Eval Time (s),Q1 Predictions Std,Number of train steps total,AverageReturn_all_test_tasks,Log Pis Mean,Total Train Time (s),Log Pis Std,KL Loss,Policy log std Mean,Policy mu Mean,Log Pis Max,KL Divergence
-0.8507329,0.0069460734,0.3825889,1.4848995,22.948807,1.0695176,0,514.5365212489851,149.3196500702761,-4.8972416,-1.1942023,19.613274,0.0014220423,2.1063998,365.21687117870897,-0.18787543,0.0032301582,0.99970007,1.1457865,0,-6.3521156,1.040488,2.0,0.34926385,85102,3.3082373,-6.597262652591239,0.0,1.3922098,-6.34243443249512,-2.504547,0,0.46355146,4000,-7.400577302259064,5.828982,568.3260292396881,8.207454,9.941583,-0.16426757,0.33081654,35.74953,99.415825
-36.92779,0.25314322,117.83245,0.21976678,305.60123,1.2124573,0,427.1347940918058,8.565369768533856,-1.0777061,-43.837196,527.9281,1.3046608,440.84692,364.77751535829157,148.73203,0.0044466886,0.7665232,-216.56209,1,-8.441447,419.74997,0.47193748,160.56781,90263,3.470825,71.6233231249822,0.3798756,1.7144175,8.850594690398848,-3.6746006,53.791908964980394,119.83893,8000,24.16463222931528,7.427799,996.3880359958857,4.1763005,15.479538,-0.4585991,1.1664052,16.640818,154.79538
-26.767029,0.042078577,211.09636,0.3298292,798.3925,1.2855116,0,430.7932246993296,8.995191638357937,-2.185302,-18.132252,832.6886,2.430824,674.3436,367.0785453161225,289.76147,0.004831453,0.88023084,-385.76874,2,-8.121447,675.80414,0.4713322,288.18433,95780,3.8138294,8.776977289636315,-0.032771003,3.9977794,1.0296672108857854,-3.1140237,54.719487744849175,211.79683,12000,28.113889655054084,5.7433996,1424.2057600640692,4.3276844,29.91334,-0.49941215,0.90638816,20.139843,299.1334
-29.495697,0.018252686,310.96878,0.4041817,1384.2067,1.4658105,0,437.2563985651359,8.17348539782688,-2.534725,-65.87008,1522.8412,4.7270055,928.8453,377.3388970182277,449.72003,0.0021640733,0.8989514,-578.56635,3,-6.259293,931.72614,1.2978711,437.01978,100887,4.398369,82.16298056889042,0.0039622164,2.5750394,34.02058323342554,-8.248524,51.74401614908129,310.47253,16000,95.66656871995129,6.0371466,1867.1380108674057,4.2712245,47.577587,-0.5808312,0.61780536,20.014938,475.77585
-31.304518,0.0074716597,295.13947,0.45814276,1400.858,1.5172526,0,436.8268642150797,9.169228798244148,-2.6651807,-75.6192,1564.0664,3.112152,832.462,370.237675616052,420.94855,0.00079086784,0.851528,-542.65155,4,-12.287124,847.70154,1.5287918,409.89908,106531,3.8658268,155.05350102771965,0.021864,2.4445229,29.985698113153006,-11.184433,57.419959800783545,293.40753,20000,105.4824482275978,6.136017,2304.5396851105615,4.168079,38.106354,-0.60513985,0.69276756,20.860344,381.06354
-74.981705,0.0018440222,303.42722,0.46835238,1304.232,1.339363,0,437.01466896757483,8.71649993956089,-2.6498203,-93.13889,1328.3044,2.5056016,908.4424,370.30284900497645,429.53662,0.00051579846,0.95210385,-545.0234,5,-6.9230103,933.44775,1.0689163,433.42035,111864,3.587219,135.19471800544235,-0.013908048,2.7165377,96.32201108908698,-9.728354,57.99532002303749,305.05197,24000,81.93727058257704,5.7178473,2743.8719311687164,4.207812,43.795254,-0.66725653,0.7718804,18.47567,437.9525
-42.384758,0.0009671024,388.94626,0.4395515,2323.444,1.3953203,0,439.3888311213814,8.940624369308352,-2.7299285,-32.697914,2372.7563,2.6743531,1289.2917,370.1352642830461,479.73315,0.0005472848,0.8741847,-608.0402,6,-7.5178413,1296.0504,0.6832286,485.72437,117435,4.1857014,157.49696274091266,0.034326773,2.053663,69.98623502259247,-5.99007,60.31294246902689,390.13428,28000,137.78034181193166,6.255255,3178.745178518817,4.5146866,52.943798,-0.666341,0.7766134,24.171318,529.438
-107.824326,0.0005019795,304.67438,0.47179687,1519.6804,1.2679768,0,435.648199998308,9.174365123733878,-2.9191163,-157.96951,1760.4501,2.0708911,1106.1681,370.6760001461953,389.09137,0.00050539285,0.778715,-489.6617,7,-7.4642754,1095.1539,0.9090687,400.75714,123213,4.127011,183.15124460680528,-0.16435914,3.5771108,76.97997037930251,-8.637856,55.7978347283788,308.0354,32000,160.4119381347394,5.342849,3619.436682702508,4.464827,43.085217,-0.6913624,0.7787693,21.464193,430.85217
-137.21443,0.0337816,420.653,0.48261234,1124.0172,1.2753704,0,440.7613831618801,9.291966943070292,-3.0066743,-118.74829,1229.0038,4.4651704,1594.2001,370.6280711479485,430.49277,0.0016235231,0.70092666,-538.37225,8,-7.9778337,1614.3376,0.47016233,419.35748,128824,4.845596,120.63157617009347,-0.061687876,3.4368415,102.50798876950958,-7.0915775,60.84134507086128,415.4062,36000,127.8350492851933,5.8264136,4058.392838492524,4.9767876,47.540607,-0.74692464,0.8486758,23.937414,475.40607
-170.05264,0.00020980099,237.98616,0.47615254,780.6201,1.2498248,0,439.0696515594609,8.796806874219328,-3.0366116,-127.01142,876.8095,2.108696,905.4853,371.23619991121814,279.91467,0.00025628437,0.6348993,-342.74973,9,-11.631727,891.2638,0.7588924,286.42822,134215,4.476934,138.25403029889944,-0.44582015,2.74206,103.05435023263506,-14.747381,59.03664477402344,240.53146,40000,183.71993390688667,5.0184693,4497.449360103812,4.6041036,49.617947,-0.72869647,0.71817464,25.8553,496.17944
