Number of train steps total,Number of env steps total,Train Time (s),Q1 Predictions Std,Total Train Time (s),Log Pis Mean,AverageTrainReturn_all_train_tasks,Q2 Predictions Mean,Z variance eval,Policy mu Std,Policy mu Mean,KL Loss,Q1 Predictions Min,Policy mu Min,Q2 Loss,Z mean eval,Policy log std Max,Policy log std Mean,Q1 Predictions Mean,Number of rollouts total,Policy mu Max,Q1 Loss,Q1 Predictions Max,AverageReturn_all_train_tasks,Epoch Time (s),Q2 Predictions Max,Epoch,Q2 Predictions Min,Log Pis Max,Policy log std Std,AverageReturn_all_test_tasks,Sample Time (s),Z mean train,(Previous) Eval Time (s),Log Pis Std,Policy log std Min,Z variance train,Q2 Predictions Std,Log Pis Min,Policy Loss,KL Divergence
4000,305000,273.25582742132246,0.7916282,823.3478262126446,2.2201247,-622.2428611620247,0.64875585,0.10472186,0.9177795,-0.2388427,122.88298,-2.938253,-5.3878317,420.5997,1.3738451,2.0,0.17414272,-0.13952753,0,4.4178944,391.0349,2.6734252,-598.4563497507799,733.6271302672103,5.2628474,0,-1.2891483,50.858727,0.71836245,-553.410986421541,460.37130284588784,0.00553109,0,7.0270586,-2.9903245,0.0027050937,0.8241908,-11.149742,0.7154659,122.88298
8000,310000,257.56138079147786,94.02165,1179.096828199923,-1.903051,-565.02684656145,-305.11215,0.06219665,0.49507365,-0.0010422692,79.27519,-692.519,-1.8513844,74.60459,1.0362656,-0.024277896,-0.7861639,-305.0786,0,1.8880767,70.43827,-90.38504,-592.6900946805233,354.91334055922925,-86.60689,1,-691.21436,4.1243973,0.22370334,-546.5026553540396,7.628509105183184,1.0721729,89.72345066256821,1.9362376,-1.5419426,0.09384846,94.14071,-11.121715,303.37698,79.27519
12000,315000,289.80870963446796,242.7554,1566.4793082624674,-0.7671879,-642.194297980023,-476.13965,0.056874156,0.726227,-0.048937403,118.77843,-1657.1388,-3.7589552,319.9997,0.85721445,0.001387924,-0.7011475,-476.3524,0,3.1577575,326.14377,-85.05824,-631.2616141550152,387.9921962786466,-86.900055,2,-1662.4869,16.84567,0.22331403,-562.5060713139744,7.624966198578477,0.6429144,90.55852044560015,2.7056293,-1.4679315,0.009714617,242.34381,-10.841246,474.65964,118.77843
16000,320000,286.00461371801794,369.4815,1952.1474757259712,0.44353786,-610.1104299365422,-770.42474,0.049203385,0.8931034,-0.12044933,120.993805,-2284.1018,-3.5965705,858.43115,1.280021,0.0023968518,-0.6770336,-767.4889,0,3.684042,812.7011,-127.685936,-612.6317547550328,383.61046533472836,-138.38304,3,-2279.5566,21.076466,0.19559479,-639.3103373810555,7.656717744655907,0.86844635,89.94913387205452,3.2401764,-1.4689049,0.020592595,368.31378,-11.233158,766.60706,120.993805
20000,325000,262.3607858316973,574.15076,2313.5782312285155,1.7696459,-594.6427534273932,-1043.623,0.047032062,1.0130469,0.012980802,171.35387,-3163.7,-4.3170013,1457.245,0.87134707,0.152901,-0.7310174,-1041.7065,0,3.6193404,1405.638,-150.40161,-567.2899774454511,362.16743108909577,-153.15974,4,-3166.1108,26.932457,0.26601106,-611.6485947091809,7.799824604764581,0.92189676,92.0068206526339,3.754596,-1.7939055,0.011242227,574.86163,-10.303198,1039.8002,171.35387
24000,330000,270.5555723523721,564.6051,2682.6831736732274,2.538862,-564.2500307059331,-1118.575,0.031773336,1.047068,-0.07368449,155.7541,-3247.0137,-3.9624763,2028.4039,0.9092611,0.14891219,-0.80757505,-1113.0504,0,3.8578079,1962.5889,-180.98206,-568.420274096516,369.6794475922361,-177.24081,5,-3272.9077,18.48833,0.26622164,-591.1782906546067,7.853683131746948,1.8821647,91.27019210811704,3.6539192,-1.9156384,0.019890882,564.7212,-13.709101,1111.4475,155.7541
28000,335000,300.352343948558,566.5908,3083.3863190198317,4.3434615,-653.2354037166663,-966.57263,0.023917858,1.1432397,-0.044882677,168.2179,-4262.3945,-5.4809804,2331.1548,0.662141,-0.027593672,-0.934481,-970.72217,0,4.2505865,2237.3396,-48.887478,-651.6720847141802,399.18531503900886,-36.103416,6,-4300.4126,27.741972,0.28974718,-583.0989613996333,8.137018268927932,1.225404,90.69595282152295,4.193118,-2.1376119,0.027485514,566.6708,-7.702634,961.66034,168.2179
32000,340000,263.45529177971184,685.33875,3445.4044099925086,5.032708,-621.0376611318557,-1202.4414,0.02535687,1.2625293,0.07802959,142.49075,-3579.0122,-4.9378514,2630.5215,0.9470026,-0.06870675,-0.87516415,-1200.8477,0,5.0601835,2591.489,-163.19196,-642.7292732189345,363.5455996077508,-187.61137,7,-3578.554,28.737516,0.26537108,-621.3662837795002,7.8765946896746755,0.996342,92.21371313836426,4.59219,-1.9385982,0.019922433,685.0005,-8.000379,1194.3969,142.49075
36000,345000,237.58735898137093,788.76685,3783.2344614807516,5.424642,-558.3403510367109,-1267.4861,0.019286275,1.2757809,-0.10024232,157.2483,-4696.182,-4.956717,3488.2488,1.1702039,0.15011978,-0.8801796,-1270.1597,0,4.9482665,3270.7542,-161.01797,-597.1244737987273,336.11733304616064,-163.34798,8,-4705.8877,24.912483,0.2791179,-562.7397736012437,7.843444482423365,1.4631784,90.68652958236635,4.7980146,-1.8561614,0.045479707,788.58575,-9.510609,1261.9928,157.2483
40000,350000,296.9817637177184,780.40845,4180.71559341345,5.555322,-621.0058846874775,-1481.937,0.018225417,1.3078858,0.15707043,165.75264,-4888.4077,-4.906199,4299.8203,1.108423,-0.027707338,-0.86955917,-1485.2155,0,5.0342784,4023.619,-196.17897,-611.5058045210125,397.19349827896804,-203.5628,9,-4888.14,34.117516,0.27052715,-611.2557028412781,7.813208945095539,1.502521,92.39852561615407,4.795412,-1.954658,0.0470576,779.6166,-8.853527,1476.6191,165.75264
