Q Predictions Max,Log Pis Min,AverageReturn_all_train_tasks,Policy log std Max,Policy log std Std,Policy mu Std,Z mean train,Policy mu Max,Number of train steps total,Z variance eval,VF Loss,QF Loss,KL Divergence,Train Time (s),V Predictions Max,Log Pis Max,(Previous) Eval Time (s),Policy mu Mean,Q Predictions Mean,Z variance train,Number of env steps total,Policy mu Min,V Predictions Min,AverageTrainReturn_all_train_tasks,Policy log std Mean,Log Pis Std,KL Loss,Z mean eval,V Predictions Std,V Predictions Mean,Total Train Time (s),Policy log std Min,Epoch Time (s),Number of rollouts total,Policy Loss,Log Pis Mean,Sample Time (s),Q Predictions Std,Q Predictions Min,AverageReturn_all_test_tasks,Epoch
0.000531636,-7.62354,139.878371859,0.00694821,0.00237159,0.0012633,0.00245246,0.00436454,4000,0.0517284,29.2249,54.8213,49.144256591796875,64.59567048912868,0.00322079,-3.55842,0,-0.000346544,-0.0039307,0.00270759,9744,-0.0044705,-0.00899417,128.118425864,0.000198911,0.602363,4.914425849914551,0.021693,0.00197957,-0.00257225,82.82068380527198,-0.00459065,73.76116222562268,0,-5.36977,-5.39424,9.165491736494005,0.00172955,-0.0111083,132.765843959,0
103.684,-8.63907,101.47143941,-0.160138,0.138657,0.368996,0.0318108,1.33696,8000,0.0700973,19.5495,41.6861,9.451248168945312,65.24505129922181,100.377,3.5245,9.06780463596806,-0.0583579,66.2506,0.175355,15173,-1.58453,22.1083,104.930563876,-0.713007,1.67868,0.9451248049736023,0.446099,7.83994,72.9079,160.8721747030504,-1.12496,78.30875687720254,0,-70.8558,-2.9228,3.9959009420126677,12.0184,-16.8934,126.157593133,1
138.411,-12.1604,153.330660114,-0.194024,0.156535,0.431861,0.238104,2.01455,12000,0.0379889,21.9527,45.6746,10.139179229736328,63.984281073790044,139.364,7.00047,8.805096261203289,-0.00949399,115.603,0.193971,21170,-1.84147,-4.94377,161.771602127,-0.678494,1.8515,1.0139179229736328,0.401228,8.63332,119.519,238.114200246986,-1.52877,77.32923576189205,0,-117.839,-2.87972,4.539858426898718,12.1085,-7.2853,159.038707516,2
176.173,-10.0785,160.525214777,-0.12289,0.172377,0.430572,0.130565,2.03972,16000,0.0147018,33.9419,151.535,13.414576530456543,62.92794373910874,169.701,8.11929,8.717972225975245,0.00361668,143.084,0.108914,26659,-1.86526,20.3254,169.432691946,-0.735599,2.05888,1.341457724571228,0.0865858,9.64602,144.847,313.42455465579405,-1.8819,75.6012403704226,0,-144.983,-2.60939,3.955324405338615,15.9341,-20.5237,142.328455574,3
219.59,-11.6911,152.29978425,-0.225843,0.169712,0.444802,0.347577,2.17844,20000,0.0178768,43.6554,94.478,19.017658233642578,63.01815776806325,213.364,11.2604,8.427620125003159,-0.023009,162.902,0.0882228,32390,-2.27646,32.5494,160.681575765,-0.766143,2.12375,1.9017658233642578,0.493307,13.6155,166.058,388.84811030793935,-1.66006,75.5228377059102,0,-167.012,-2.28211,4.0770598128438,19.5696,-16.3135,149.195745026,4
234.654,-9.93708,149.560882215,-0.243432,0.180196,0.45087,0.301272,2.24072,24000,0.0254342,39.7021,205.806,19.601232528686523,62.632897740695626,232.497,12.1746,8.328492258675396,0.00738129,187.896,0.0961142,38112,-1.89573,21.7001,145.013505066,-0.827252,2.18589,1.9601233005523682,0.393061,14.9966,189.522,463.8392390711233,-2.1655,74.98086507152766,0,-187.742,-1.98684,4.019475072156638,19.8061,-18.048,146.964487829,5
286.67,-11.2642,154.105420746,-0.293413,0.161111,0.463831,0.606827,2.80795,28000,0.0270843,48.0112,130.146,22.867904663085938,62.61588582023978,282.884,11.4989,8.338901028968394,-0.0371995,199.971,0.0844606,43982,-1.86107,56.9795,137.819997563,-0.83424,2.10688,2.286790609359741,0.355666,18.8087,208.792,538.9433902837336,-1.97646,75.06428552931175,0,-205.607,-1.83997,4.10949868010357,26.6042,-34.9166,155.323002317,6
283.245,-9.19864,153.175143462,-0.312089,0.165211,0.454214,0.339821,2.43722,32000,0.0209406,35.761,111.578,20.990280151367188,63.3672959911637,279.701,12.3914,8.379125311039388,-0.0194993,213.925,0.0817887,49406,-2.0884,-2.90969,120.8768588,-0.836557,2.24957,2.0990281105041504,0.267817,16.0027,217.873,614.8454967588186,-2.03335,75.59370702784508,0,-217.481,-1.93039,3.8472857256419957,21.5573,-23.8621,158.892312214,7
322.857,-8.72652,149.846641623,-0.271322,0.155664,0.484134,0.752518,2.11604,36000,0.0239,87.2225,362.88,27.217697143554688,63.36106363218278,307.573,12.8519,8.687641576398164,-0.0514007,238.38,0.0921083,55230,-2.31165,130.099,153.605237789,-0.856455,2.20996,2.7217698097229004,0.260716,21.3281,241.958,690.828634231817,-1.709,76.2302670031786,0,-239.429,-1.56306,4.1815617945976555,25.8803,-23.0099,148.949829905,8
307.533,-9.88238,168.268466208,-0.292475,0.157032,0.422668,0.326244,2.05522,40000,0.0213503,42.8299,130.291,21.18944549560547,63.21463318960741,286.882,9.34489,8.44077084818855,-0.00395256,232.228,0.086084,60833,-1.89258,117.936,153.085976112,-0.869059,2.0951,2.1189446449279785,0.0955378,15.9159,233.863,766.430133332964,-1.91486,75.68440520111471,0,-234.893,-1.86576,4.029001163318753,20.045,24.8749,172.532449747,9
