Sample Time (s),V Predictions Min,Policy Loss,Epoch Time (s),Policy mu Min,AverageReturn_all_test_tasks,Number of env steps total,Log Pis Min,(Previous) Eval Time (s),Log Pis Std,AverageTrainReturn_all_train_tasks,Z mean eval,Z variance eval,Train Time (s),Policy mu Std,KL Loss,Policy mu Mean,V Predictions Std,VF Loss,KL Divergence,Q Predictions Max,QF Loss,Z variance train,Q Predictions Std,Number of train steps total,Policy log std Std,Policy log std Mean,V Predictions Mean,Log Pis Max,Policy log std Max,Epoch,Total Train Time (s),Number of rollouts total,Log Pis Mean,Policy log std Min,V Predictions Max,AverageReturn_all_train_tasks,Q Predictions Mean,Policy mu Max,Q Predictions Min,Z mean train
6.803160116542131,-0.00877063,-3.99411,38.444889354519546,-0.00410886,-2.816654409,14000,-6.04638,0,0.534809,-3.31860700097,0.237712,0.111584,31.641729237977415,0.00118284,4.9122233390808105,-0.000298434,0.00247522,16.2662,49.122230529785156,0.00956736,24.4375,0.00271363,0.00279844,2000,0.00235157,-0.00014916,-0.00341014,-2.44292,0.00539385,0,44.07328251795843,0,-4.01492,-0.00553356,0.00660047,-2.81773206908,0.00105783,0.00390163,-0.00748323,0.00532324
5.791597052011639,22.422,-29.0278,49.709875259548426,-1.02307,-8.34556235744,24000,-7.54729,5.630113987252116,0.823389,-14.2419474722,1.06148,0.0818834,38.28816422028467,0.267577,0.33831968903541565,0.0246895,2.08842,3.20834,3.3831968307495117,37.6589,22.7659,0.521069,2.73139,4000,0.0343288,-0.131123,28.9609,-0.539268,-0.0586245,1,96.85889548016712,0,-3.84773,-0.433729,37.6985,-16.882659983,24.981,1.35557,13.4036,0.0505447
5.679209138266742,25.3678,-56.8201,52.48750248318538,-1.08771,17.1120695874,34000,-9.7765,8.705912986770272,1.02966,96.5464350297,0.631457,0.0404911,38.102380358148366,0.3219,1.233586311340332,0.0563611,8.14896,7.00632,12.33586311340332,81.9076,47.6249,0.187946,8.56267,6000,0.0572407,-0.173719,57.4918,0.329346,-0.0119239,2,149.64159318618476,0,-3.68126,-0.449844,88.7375,45.6771082153,52.2511,1.21871,18.9423,0.214387
5.845904643181711,18.4489,-96.3856,53.58779071876779,-1.78842,13.9845225176,44000,-7.29971,9.001270207576454,1.72282,220.060989211,0.752016,0.0243449,38.74061586800963,0.589554,2.165844678878784,-0.0028013,21.421,9.01498,21.658445358276367,150.2,45.1524,0.0963909,21.8149,8000,0.102868,-0.243003,96.6971,3.94282,0.0477186,3,203.67282446241006,0,-2.60759,-0.678523,156.351,50.1004953594,92.4006,1.77312,9.44969,1.09227
5.7473970777355134,42.9982,-124.081,55.6727704256773,-2.16476,158.993433774,54000,-7.52601,9.445066567976028,2.00505,329.86978452,0.36727,0.0485539,40.48030677996576,0.635985,3.107050657272339,-0.0159894,24.2762,16.7141,31.070507049560547,193.025,62.7278,0.131168,24.5674,10000,0.126014,-0.263991,124.802,6.48483,0.0717201,4,259.81134485499933,0,-2.34381,-0.780583,204.036,336.230120554,119.901,1.99535,30.2352,0.522405
7.165135431103408,22.5134,-154.828,67.2917173714377,-2.0809,231.124097357,64000,-8.73627,9.911031637340784,2.33134,289.103049812,1.73198,0.0308068,50.215550302993506,0.71381,3.0014233589172363,0.0238235,47.9393,19.8461,30.014232635498047,324.222,57.0876,0.0903472,48.1352,12000,0.14581,-0.288294,153.665,6.97239,0.108831,5,328.62727364804596,0,-1.92341,-0.790536,303.813,229.377588251,149.079,2.25355,-3.48222,0.854411
7.523345552384853,45.7568,-215.933,68.96067061228678,-2.20231,275.731115126,74000,-8.97601,11.435529440175742,2.45874,322.14094724,0.660912,0.0278102,50.00179561972618,0.827537,4.063119411468506,0.0673572,56.1832,19.9908,40.631195068359375,360.816,83.1457,0.060768,56.1049,14000,0.15539,-0.334161,216.042,7.61476,0.0807096,6,397.6806467999704,0,-1.09639,-0.924247,361.327,313.681914172,209.116,2.18895,39.2549,1.67553
7.683249827940017,-1.11589,-220.061,69.27069331845269,-1.98037,153.770933585,84000,-9.27772,11.52885212842375,2.39544,270.163258726,1.8739,0.0379821,50.05859136208892,0.751942,3.711402654647827,0.0200282,66.6802,17.8878,37.1140251159668,410.966,62.211,0.144631,66.4099,16000,0.178514,-0.335802,219.455,6.79518,0.0413768,7,467.0277710109949,0,-1.56437,-1.10443,409.612,328.158727074,214.784,2.27361,-3.61101,1.05859
7.342260584700853,-2.97619,-304.889,68.46206120308489,-2.61276,338.607244257,94000,-8.28967,11.605376242194325,2.55638,279.961261683,1.29932,0.0388092,49.51442437618971,0.854522,4.794320583343506,-0.0465934,94.661,38.1387,47.943206787109375,502.457,116.044,0.0826868,95.8125,18000,0.183266,-0.377453,303.928,7.04979,0.00945091,8,534.902538147755,0,-0.877066,-1.31611,503.978,271.617505411,298.533,2.07133,-30.6016,1.70918
7.26244403142482,26.6491,-273.366,60.410928087774664,-2.18748,247.584548594,104000,-8.59859,11.018623832147568,2.38883,540.213612682,2.42994,0.0437794,42.129860224202275,0.722591,3.1436023712158203,0.0608728,118.87,60.3869,31.436023712158203,598.857,124.009,0.0739899,116.636,20000,0.159862,-0.346995,276.436,7.45452,0.0093751,9,593.1036673747003,0,-1.69276,-1.02245,598.049,518.538522481,269.812,2.25103,33.6126,0.590028
