Policy mu Std,Q1 Loss,Train Time (s),Epoch Time (s),Epoch,Z mean eval,AverageReturn_all_test_tasks,Log Pis Min,Z variance eval,Q2 Predictions Std,Policy log std Std,Z mean train,Q1 Predictions Mean,Q1 Predictions Min,Log Pis Std,Policy mu Mean,Number of env steps total,Q2 Predictions Mean,Log Pis Mean,Q1 Predictions Max,Alpha Loss,Log Pis Max,Number of rollouts total,Sample Time (s),Policy mu Max,Policy log std Mean,Policy log std Max,AverageTrainReturn_all_train_tasks,Alpha,Q2 Loss,Policy log std Min,AverageReturn_all_train_tasks,Total Train Time (s),(Previous) Eval Time (s),Z variance train,KL Divergence,Q2 Predictions Min,Policy Loss,Q1 Predictions Std,Policy mu Min,Number of train steps total,Q2 Predictions Max,KL Loss
0.9469506,16.13784,81.4928168039769,99.15406911447644,0,0.72731984,-27.582126346177265,-10.791288,0.066257,1.1729497,0.8604995,0.004811357,0.1748516,-2.233946,5.4695597,0.17167123,14000,1.1091008,2.0454247,2.4546182,0.0,24.079565,0,17.66125231049955,4.469418,0.018475035,2.0,1.9780893143111222,0.99970007,20.49826,-3.5160525,-3.468284198402947,116.47365739941597,0,0.0027071824,49.14584,-0.94888735,0.2588163,0.6831918,-2.9501765,2000,4.862123,4.914584
0.5201546,12.032074,80.5223643919453,110.7151394682005,1,0.5647978,-33.20108371498224,-8.168099,0.07059874,3.5726595,0.13252859,0.89071053,17.75718,5.985967,1.6478096,0.31596282,24000,19.086613,-2.5530481,29.145596,-5.0186744,1.9158692,0,12.870614430401474,1.4601158,-0.1741988,0.19049866,-6.008963525343011,0.55597734,13.104994,-0.7279521,-17.1763197277752,227.14012483600527,17.322160645853728,0.14848259,22.310232,9.069257,-22.162453,3.8817828,-1.071487,4000,29.448212,2.2310233
0.76348186,33.808643,75.93424124410376,105.34945802204311,2,0.22710666,9.843430636800491,-8.007753,0.061772525,11.155577,0.1257814,0.5270977,27.54692,-13.457619,2.252003,0.19178335,34000,28.574902,-1.4842148,59.181522,-8.501709,8.742006,0,12.141762651968747,2.1750379,-0.3321418,0.25895026,210.37764341202458,0.3210364,33.830723,-0.8045156,167.75828827921384,331.00054427282885,17.273454125970602,0.17743959,20.623491,-12.017542,-30.441189,11.3270235,-2.749731,6000,57.403748,2.062349
0.97146285,34.613705,77.65603735670447,105.36792002758011,3,0.2034214,170.91277043670328,-8.68301,0.079840764,18.725212,0.1764307,0.4503553,55.81318,10.022846,2.7910068,-0.19501714,44000,55.05139,0.3214975,116.97968,-9.002052,12.790684,0,11.927099846769124,2.9204755,-0.54735583,0.09811871,-13.154859472998233,0.204847,34.25918,-1.3188022,-46.49753224219031,437.6628497405909,15.784782824106514,0.21598525,15.587493,1.8086143,-57.979256,19.096827,-3.038231,8000,113.434044,1.5587493
1.4566355,42.301758,79.74773409729823,109.34227821789682,4,1.4405296,119.23455788819875,-7.1663275,0.06185901,40.97662,0.19394565,0.8020651,98.39113,-41.914097,4.119715,0.09034493,54000,97.93146,4.6497345,247.44969,-2.6135058,49.642426,0,12.515029601287097,11.028261,-0.667216,0.65828204,-2.3907863554663797,0.14432316,38.024982,-2.2149968,-48.791894876595016,547.0916163437068,17.079514519311488,0.08991123,32.771217,-108.70421,-102.76648,41.203194,-8.189197,10000,239.27826,3.2771218
1.6100277,39.744186,80.57404935499653,110.26362606324255,5,0.987759,266.61896092618076,-4.6762023,0.03255839,77.30093,0.26402548,1.1088254,134.6805,-170.34435,4.962008,-0.10011276,64000,136.27867,6.7949376,381.1992,1.6922312,34.978035,0,12.523419759236276,10.733385,-0.8216966,1.3946992,216.44591189840105,0.11899622,47.934864,-2.0398252,170.10715246982232,657.5632145721465,17.166156949009746,0.13819478,39.58024,-181.06012,-140.25021,77.4684,-6.096571,12000,381.08795,3.9580238
1.4658294,55.783485,81.05019636591896,111.14932602178305,6,0.601184,157.1814346943464,-7.110289,0.054543328,112.25612,0.2775588,0.83101463,180.74292,-150.8405,5.2231374,-0.015718816,74000,185.08481,5.592957,498.7886,-0.7985215,23.741236,0,12.724438344594091,4.2872295,-0.79743546,0.19947138,238.9390948390484,0.14062746,80.224556,-1.8795948,-27.003085241729224,768.6942083621398,17.37469131127,0.080703,47.059464,-149.94029,-187.5792,112.5324,-4.182675,14000,503.90353,4.7059464
1.638112,71.20686,77.12915047397837,106.94826993253082,7,1.4381173,225.86111399099468,-9.8737335,0.040486436,147.51624,0.28709,1.6382654,255.84308,-201.03654,4.580568,-0.11555705,84000,256.04532,7.3503685,625.9997,2.4632843,26.389996,0,12.462803252507001,5.038687,-0.8288026,0.013339698,624.584790019856,0.16136543,80.87727,-2.3800576,480.7196557766918,874.2471621739678,17.35631620604545,0.08421023,73.73607,-183.8715,-262.55585,148.35318,-5.392346,16000,620.95074,7.373607
1.1919668,188.51732,78.10640759579837,106.18062398210168,8,1.562612,265.35316395140956,-5.798024,0.058605265,155.89815,0.25021693,0.3914357,249.31778,-47.42488,4.617976,0.025703207,94000,253.69826,2.9387877,770.68286,-5.214964,23.715559,0,12.112889578565955,4.6906633,-0.79798746,-0.031782,322.0341048689232,0.1820402,282.2904,-1.8449868,145.0051402755792,981.3178259232081,15.96132680773735,0.13677624,42.95308,-54.622185,-252.30481,159.17316,-3.5530956,18000,758.2343,4.295308
1.540552,80.84082,79.4629260613583,108.445057538338,9,1.1193717,184.5219283212941,-7.24051,0.0467593,134.3419,0.29368982,1.9026268,260.98196,-131.48065,4.21591,-0.22368915,104000,258.70715,6.3784113,692.62634,0.6165279,22.111595,0,12.130300547927618,4.0352783,-0.82561445,-0.053352892,519.3745524341086,0.19608319,69.14009,-2.3577898,245.96543182618723,1090.3394918288104,16.851830929052085,0.080221035,88.47127,-122.82406,-265.56583,134.9327,-4.2717447,20000,686.7061,8.847127
