Log Pis Max,Epoch Time (s),(Previous) Eval Time (s),Policy mu Std,Total Train Time (s),Epoch,Q Predictions Std,Log Pis Min,Number of rollouts total,Z mean train,KL Divergence,Policy Loss,AverageReturn_all_train_tasks,Q Predictions Min,Policy log std Std,Train Time (s),KL Loss,Q Predictions Mean,Log Pis Std,Q Predictions Max,V Predictions Std,AverageReturn_all_test_tasks,Policy log std Mean,VF Loss,Z variance train,Sample Time (s),QF Loss,Policy log std Max,Number of env steps total,V Predictions Min,Policy mu Max,Policy mu Min,Policy log std Min,V Predictions Mean,Policy mu Mean,Z mean eval,Log Pis Mean,V Predictions Max,Z variance eval,Number of train steps total,AverageTrainReturn_all_train_tasks
-1.90669,165.7218919377774,0,0.00125993,191.82721387967467,0,0.00259545,-6.48579,0,0.00577831,159.26516723632812,-4.00432,-294.948204081,-0.00864443,0.00126947,68.40725423814729,15.92651653289795,0.00193317,0.527814,0.0104282,0.00178178,-279.986347848,-0.000162604,16.3541,0.00691106,97.31463769963011,136.336,0.00356521,205000,-0.0114059,0.00291441,-0.00691906,-0.00426952,-0.00512361,-0.00113765,0.155305,-4.02499,0.000186088,0.0419489,2000,-295.311717133
2.43831,97.80203057313338,26.108666733372957,0.397929,289.8086766432971,1,25.2072,-10.1647,0,0.412,58.04450225830078,32.1127,-210.163838649,-108.447,0.102894,69.3991460762918,5.804450511932373,-37.0509,1.34791,-0.70364,24.9103,-205.360155673,-0.278888,2.26318,0.371642,2.294217763468623,22.6375,-0.105741,210000,-104.492,1.69383,-1.81988,-0.745652,-31.8999,0.18166,0.218367,-3.17906,0.653265,0.088899,4000,-204.122456086
6.62584,98.33069337531924,26.286813572980464,0.615237,387.8222958142869,2,61.222,-8.19387,0,0.125857,63.34256362915039,66.074,-217.292022105,-247.648,0.146671,69.7040478978306,6.334256649017334,-73.0516,2.03163,2.26086,60.1938,-248.719844594,-0.302421,6.22193,0.470236,2.3398319045081735,42.5883,0.157878,215000,-243.311,2.11354,-1.84486,-0.848221,-66.7908,0.093773,0.175819,-2.37276,7.30316,0.0900924,6000,-221.311281594
8.28823,97.63606938580051,25.969762740191072,0.635349,487.675074712839,3,75.6358,-8.92805,0,0.333083,56.91522979736328,77.951,-212.579296894,-305.522,0.178565,69.30867600999773,5.69152307510376,-85.8832,2.07124,7.21088,74.3889,-199.036180464,-0.359808,7.16609,0.530237,2.357630635611713,51.4589,0.344635,220000,-295.42,2.31712,-2.14389,-1.1336,-77.7814,0.0820126,0.117011,-2.11174,11.1685,0.0790243,8000,-239.960708976
9.65945,102.08573912642896,28.18669201619923,0.657713,589.741978386417,4,95.0057,-10.286,0,0.0613643,61.37668991088867,91.2674,-128.54039219,-338.829,0.218405,71.40485399821773,6.137669086456299,-97.8143,2.24789,15.4956,93.2,-125.404785745,-0.368159,9.68329,0.539459,2.494193112011999,52.7072,0.400676,225000,-335.18,2.59161,-2.32718,-1.54428,-90.4124,0.0644835,0.195887,-1.98391,18.4679,0.106179,10000,-129.491517873
8.5829,102.91607916168869,28.167989228852093,0.689704,692.5043670721352,5,118.666,-11.2418,0,0.418324,65.39422607421875,123.28,-149.447029431,-457.54,0.228457,72.22126698074862,6.539422512054443,-129.476,2.36849,19.3122,118.177,-139.823285371,-0.390924,9.87683,0.663001,2.5268229520879686,57.3183,0.371269,230000,-457.084,2.4357,-2.45809,-1.72162,-123.736,-0.00696441,0.179059,-1.74413,23.8635,0.0794016,12000,-106.229421797
10.0435,103.82969908276573,28.014543935190886,0.697788,796.9353224746883,6,137.958,-8.32526,0,0.172429,71.26954650878906,143.623,-128.759754537,-546.373,0.24142,73.28162366803735,7.126954555511475,-151.02,2.41793,24.3569,136.556,-132.092204564,-0.396829,9.23628,0.609496,2.533531479537487,52.5275,0.28037,235000,-545.422,2.4343,-2.37995,-1.86263,-143.247,-0.00918954,0.220424,-1.69242,28.0302,0.0972912,14000,-84.3422042882
9.32181,104.70143400970846,28.615963618271053,0.56262,901.264193019364,7,91.3457,-9.46495,0,0.0947692,50.80888366699219,65.5976,-147.179518932,-448.572,0.215112,73.54603677568957,5.080888271331787,-72.1617,1.93003,29.2585,90.5012,-205.771718128,-0.397988,9.08773,0.535875,2.539433615747839,34.8592,0.102272,240000,-445.88,2.13277,-2.64418,-1.8975,-65.997,0.0215576,0.595802,-2.36871,31.7651,0.17821,16000,-100.593587139
8.18715,102.63605264015496,28.243550064973533,0.60288,1004.1792471185327,8,86.5729,-9.42082,0,0.257506,51.534549713134766,66.3974,-119.653035485,-429.574,0.224391,71.90101795410737,5.1534552574157715,-73.5704,2.06259,40.9486,84.9718,-156.962227826,-0.383575,10.2844,0.518654,2.4914846210740507,43.5905,0.153473,245000,-425.185,2.46438,-2.50097,-1.85156,-67.1191,0.000980146,0.327496,-2.23856,41.6199,0.0932168,18000,-100.203370228
7.92278,103.01404167152941,28.52288454864174,0.661979,1106.7452332498506,9,121.838,-11.4153,0,0.0845159,57.97832107543945,120.964,-88.4313395344,-676.408,0.228997,72.04258569702506,5.797832012176514,-128.805,2.20094,46.734,121.01,-96.1109372033,-0.402896,10.3198,0.492025,2.4485714258626103,50.1237,0.116113,250000,-672.423,2.35414,-2.24525,-1.90812,-121.457,-0.00649018,0.177623,-1.8798,51.5035,0.104763,20000,-90.021223713
7.8904,102.86381432646886,28.07498934492469,0.646322,1210.054956679698,10,122.058,-10.7341,0,0.285624,56.85908508300781,96.6271,-87.4325317459,-761.357,0.243025,72.30442131310701,5.685908794403076,-103.215,2.24347,40.2592,121.138,-127.348432186,-0.416767,8.83066,0.560051,2.484403668437153,45.5538,0.129469,255000,-760.964,2.28286,-2.77672,-1.99149,-97.1426,0.00407663,0.0626941,-1.87874,43.8456,0.102645,22000,-81.0663042175
8.14381,138.82228716788813,28.52099030185491,0.649891,1384.356801314745,11,154.209,-8.92101,0,0.0754277,63.167850494384766,143.189,-89.6776635379,-774.05,0.233826,107.80928439181298,6.3167853355407715,-150.542,2.24299,51.4379,152.766,-93.6658438424,-0.410692,9.40639,0.61904,2.492012474220246,41.9003,0.123109,260000,-764.809,2.45546,-2.26893,-1.85538,-143.043,-0.0211282,0.328887,-1.88348,54.9426,0.10327,24000,-80.1165288138
8.43061,209.9811062514782,64.00082843005657,0.636656,1572.2808092623018,12,172.711,-10.5445,0,0.280511,72.39094543457031,131.68,-77.5296177958,-844.215,0.231104,141.6879386701621,7.2390947341918945,-139.076,2.28774,54.4277,170.644,-70.4005055514,-0.395315,10.5174,0.56809,4.292339151259512,39.9422,0.0813697,265000,-840.232,2.36539,-2.35648,-1.90745,-131.229,0.0180507,0.353567,-2.00963,58.0491,0.0984769,26000,-83.0157210807
8.15975,135.226843431592,41.94390405481681,0.548176,1723.0120613016188,13,134.641,-10.3764,0,0.162395,57.06005096435547,66.3047,-82.066858795,-671.832,0.221586,90.26197544299066,5.706005096435547,-72.7192,1.95298,57.2504,133.323,-73.960706294,-0.39713,15.6842,0.500421,3.0209639337845147,34.3145,0.0776149,270000,-652.974,2.67098,-2.1306,-1.91782,-63.87,0.0294249,0.363602,-2.40213,63.7749,0.126757,28000,-77.0255214103
9.19147,209.96636378625408,57.4485057592392,0.692384,1933.6086338981986,14,152.637,-9.93355,0,0.228189,65.60887908935547,169.479,-84.3599342824,-872.107,0.236125,148.64480178896338,6.560887813568115,-178.407,2.33164,42.5918,151.452,-83.3595144175,-0.437461,12.0317,0.931356,3.873056238051504,46.7823,0.0790075,275000,-869.138,2.56139,-2.40797,-1.97124,-169.888,-0.0272787,0.426303,-1.60631,44.5295,0.120062,30000,-72.1531054776
9.40023,223.77159953443334,58.14972919318825,0.685535,2171.871066036634,15,144.02,-10.1037,0,0.664896,61.34496307373047,154.025,-84.2850267017,-657.586,0.244632,162.11512331711128,6.134496212005615,-162.4,2.24321,43.9531,143.303,-71.3793114866,-0.436162,13.1943,0.769286,3.5067470241338015,43.9639,0.0996917,280000,-658.217,2.755,-2.36022,-2.07221,-154.771,-0.0301865,0.489932,-1.66047,48.0871,0.15656,32000,-73.4371018453
14.1816,203.89122348837554,72.606581593398,0.613035,2360.267826432362,16,195.022,-10.6923,0,0.669648,73.0745849609375,121.298,-78.0066065788,-919.285,0.226872,127.27153518935665,7.307458400726318,-128.991,2.22034,65.6711,192.609,-75.1557110231,-0.400034,11.5898,0.773724,4.013106705620885,41.0698,0.161471,285000,-909.595,2.77149,-2.5087,-2.00634,-121.6,0.0205301,0.464538,-2.09863,68.3357,0.128994,34000,-69.27634197
10.5167,156.6049124370329,57.06063457997516,0.690826,2509.65121534653,17,201.496,-8.78942,0,0.159429,70.1807632446289,205.316,-65.7306001767,-908.366,0.242902,95.94802435394377,7.018076419830322,-213.809,2.38324,54.2358,200.659,-64.2512266572,-0.441139,11.5597,0.576689,3.596253503113985,51.8833,0.087536,290000,-902.507,2.66444,-2.40712,-2.03125,-205.422,0.00569817,0.44337,-1.58302,58.9208,0.144424,36000,-58.8895894226
11.7786,173.11870479676872,49.839308146853,0.658012,2673.0484107965603,18,126.241,-9.74527,0,0.0998676,54.24622344970703,104.797,-72.6476112801,-700.335,0.234877,119.69966008607298,5.424622535705566,-111.961,2.26575,56.3895,125.546,-70.5956672464,-0.427956,9.16728,0.655951,3.5797365638427436,37.3826,0.0959456,295000,-696.617,2.83627,-2.6154,-1.97396,-104.549,0.0116172,0.399265,-1.81708,59.6551,0.15032,38000,-53.1968801824
9.4171,151.53532835282385,40.11801182990894,0.661077,2838.934087083675,19,195.776,-8.70016,0,0.512097,62.22563171386719,158.222,-74.4016546464,-998.905,0.245475,108.53922951687127,6.22256326675415,-164.774,2.25787,63.9444,195.036,-71.506099072,-0.423441,14.4351,0.724382,2.8780870060436428,44.6929,0.242705,300000,-996.75,2.75621,-2.51701,-1.95884,-156.664,0.0340237,0.441387,-1.77853,67.7835,0.161957,40000,-61.3220062438
8.41794,151.44703969173133,54.468658627942204,0.592784,2988.9982735244557,20,177.807,-9.83008,0,0.471805,73.42097473144531,84.8481,-63.0864476787,-963.991,0.231765,93.38357508881018,7.342097759246826,-90.9144,2.11975,75.648,177.296,-60.1478974498,-0.381583,8.95871,0.621855,3.5948059749789536,31.7475,0.118395,305000,-962.83,2.82517,-2.72899,-1.99341,-85.0403,0.0302128,0.412971,-2.19938,78.7103,0.136557,42000,-49.5875061983
