Q Predictions Std,Log Pis Min,Log Pis Mean,Z mean eval,Number of rollouts total,AverageReturn_all_test_tasks,Epoch,Policy log std Std,Policy mu Max,V Predictions Std,Log Pis Max,Q Predictions Mean,Q Predictions Min,KL Loss,Sample Time (s),QF Loss,AverageReturn_all_train_tasks,Log Pis Std,Q Predictions Max,Number of env steps total,Policy Loss,Epoch Time (s),Train Time (s),Policy log std Min,Policy mu Min,Policy log std Mean,Z variance eval,V Predictions Mean,Number of train steps total,Z mean train,Total Train Time (s),(Previous) Eval Time (s),Policy mu Mean,Z variance train,V Predictions Max,Policy mu Std,VF Loss,Policy log std Max,AverageTrainReturn_all_train_tasks,KL Divergence,V Predictions Min
0.0751584,-14.6572,-11.3374,0.0230128,0,287.455942422,0,0.0149721,0.144568,0.0237988,-7.92184,0.0559881,-0.0512217,19.65220069885254,210.57652341481298,1167.17,292.666712994,0.907144,0.897254,206318,-11.4753,508.9879967379384,298.4114733231254,-0.188423,-0.338319,-0.000391422,0.29942,-0.0108594,4000,0.0225135,585.3944652741775,0,-0.00769313,0.00271407,0.190335,0.0186934,132.784,0.202023,291.434080111,196.52200317382812,-0.23744
171.158,-17.9177,-4.47692,3.15849,0,308.679852256,1,0.154086,2.46152,160.89,15.0237,461.349,14.5348,0.024797065183520317,6.742206760216504,1061.16,321.756883348,5.362,640.799,211667,-495.866,370.8548756893724,287.7045453200117,-0.7366,-1.50132,-0.244426,0.207858,491.517,8000,0.0247424,949.9770734058693,76.40812360914424,0.353917,0.895374,650.591,0.697474,241.276,-0.0174022,321.458347822,0.24797064065933228,21.4258
333.072,-15.9188,-3.68162,4.17579,0,248.038744136,2,0.159536,3.16034,299.008,30.1522,850.497,5.72241,6.0024518966674805,6.116185447666794,2458.47,257.091232594,8.82987,1122.8,217046,-895.198,359.9105993206613,283.65847565513104,-0.957973,-3.08934,-0.26672,0.150048,898.984,12000,0.0542242,1306.5636027026922,70.13593821786344,0.25638,0.356804,1142.78,0.794325,631.227,0.123972,254.870083046,60.02451705932617,28.9778
453.579,-18.0362,-2.27041,0.368191,0,294.736621912,3,0.169937,3.40241,411.645,36.3799,1085.59,5.24242,7.502183437347412,6.054611436557025,3491.38,287.009735033,8.67361,1491.79,222376,-1135.5,354.8816886502318,282.0150451436639,-1.47544,-3.15463,-0.307321,0.0499982,1119.61,16000,0.126342,1662.040154542774,66.8120320700109,0.341887,0.317601,1480.05,0.83863,1418.96,0.0890333,274.805803831,75.02183532714844,11.399
523.429,-17.7937,-1.46969,1.4164,0,394.163557874,4,0.178492,3.90111,486.451,41.5955,1216.27,-1.46059,15.1933012008667,5.706516105681658,3854.19,421.478663795,8.93639,1718.45,227810,-1282.4,352.505426177755,279.39195220405236,-1.82663,-4.85801,-0.324898,0.0751381,1294.7,20000,0.119918,2022.04836857412,67.40695786802098,0.217921,0.225299,1743.16,0.915958,1538.43,0.0221497,414.151960055,151.93301391601562,-15.2098
581.937,-19.1281,-0.971926,1.88146,0,310.107446638,5,0.182059,4.02915,542.21,40.5694,1313.45,-7.54123,5.310291290283203,6.007263709791005,4077.94,307.91844451,9.01668,1864.52,233202,-1384.74,359.8773924955167,278.960244175978,-1.85066,-4.31308,-0.330743,0.0351126,1368.37,24000,0.0994899,2376.1045751189813,74.90988460974768,0.174953,0.149042,1865.31,0.948068,2258.65,0.057806,331.441684511,53.10291290283203,-1.86633
618.913,-18.3548,-0.558286,3.23757,0,395.570301006,6,0.188899,3.78171,589.955,48.2557,1318.03,-16.6458,13.685040473937988,6.288972984068096,3127.84,412.794267087,9.26712,1976.59,238705,-1380.91,353.4890848957002,278.111189970281,-1.91204,-4.38044,-0.345011,0.0385748,1389.89,28000,0.688378,2731.2925067911856,69.08892194135115,0.233439,0.151188,2002.72,0.951043,1514.38,0.173259,422.482308335,136.85040283203125,-3.5002
655.125,-18.5957,0.359758,1.64186,0,290.541651388,7,0.194619,4.11509,617.902,44.2673,1398.32,1.73761,12.541735649108887,6.271448934450746,3584.71,291.093929954,10.2431,2073.38,244175,-1481.96,360.02180084353313,282.96235995320603,-2.24421,-4.20448,-0.365731,0.0497178,1471.48,32000,0.350924,3085.178815921303,70.78799195587635,0.177866,0.0846584,2087.53,1.01342,1814.32,0.0771103,281.505406537,125.4173583984375,1.80109
688.714,-16.3961,0.762082,1.29224,0,294.4809031,8,0.200318,4.88212,657.078,47.4428,1417.23,-0.633819,19.538835525512695,6.107777810655534,4413.1,290.643170262,10.139,2229.81,249539,-1490.54,348.26712669664994,277.5066905412823,-2.76134,-5.71688,-0.377821,0.114303,1489.19,36000,0.536095,3431.751333294902,64.65265834471211,0.0542325,0.143121,2239.17,1.03769,1742.03,0.0373792,284.161782651,195.3883514404297,1.41691
748.829,-15.4073,2.70367,0.765272,0,309.669376953,9,0.204301,4.90648,718.335,52.2024,1533.64,6.70055,13.144022941589355,5.7521563856862485,3481.85,305.879775443,9.84287,2441.29,254812,-1616.78,345.44119619671255,276.7307948130183,-1.96033,-5.11913,-0.408056,0.0633452,1631.99,40000,0.38368,3780.579504756257,62.95824499800801,0.145979,0.111954,2478.54,1.10611,1904.21,0.0515989,290.694176648,131.4402313232422,-0.42492
776.25,-14.63,3.24626,3.12445,0,431.464919399,10,0.213674,5.1852,745.45,53.0833,1492.93,-12.0283,13.831095695495605,5.903153292834759,4758.98,414.830976722,10.5089,2496.33,260122,-1577.93,349.79759261896834,277.54905235301703,-2.54713,-4.8703,-0.437617,0.0361632,1594.65,44000,0.470735,4133.400342156645,66.34538697311655,0.202871,0.126818,2540.74,1.11907,2474.39,0.141418,413.246944183,138.3109588623047,19.1126
