Q Predictions Max,V Predictions Min,KL Divergence,Policy mu Max,Policy Loss,Policy log std Max,Number of rollouts total,(Previous) Eval Time (s),Policy log std Min,Sample Time (s),Number of train steps total,Policy log std Std,Policy mu Std,Q Predictions Mean,Q Predictions Min,AverageReturn_all_test_tasks,V Predictions Max,Epoch Time (s),Log Pis Std,Z variance eval,AverageReturn_all_train_tasks,Log Pis Max,Total Train Time (s),Log Pis Min,AverageTrainReturn_all_train_tasks,VF Loss,Policy log std Mean,Q Predictions Std,KL Loss,Policy mu Min,QF Loss,V Predictions Mean,Z variance train,Z mean train,Policy mu Mean,Epoch,V Predictions Std,Log Pis Mean,Number of env steps total,Train Time (s),Z mean eval
0.0110579,0.00256735,99.42570495605469,0.00313732,-4.02983,0.00380841,0,0,-0.00409289,63.309644831000014,4000,0.00125057,0.00119713,0.00392252,-0.00138912,142.837367275,0.0178393,156.516664223,0.53059,0.00689224,101.839307248,-2.26254,176.693796449,-6.09302,88.1043197609,16.4505,-0.000118009,0.00191987,9.942570686340332,-0.0041188,27.8078,0.00878259,0.00694235,0.00310638,-0.000184028,0,0.00212588,-4.02055,85235,93.20701939199998,0.351344
235.958,-3.67249,45.74445343017578,3.28242,-185.233,0.43138,0,20.178935878999994,-1.35026,3.2684009759998958,8000,0.214294,0.741116,151.236,-28.5487,141.190926267,251.885,116.68947252299989,4.11085,0.00200678,134.79372045,21.6318,291.57364395399986,-8.06045,147.504603112,48.5706,-0.500916,65.3745,4.5744452476501465,-3.36129,849.488,186.478,0.134016,0.220892,0.978046,1,38.5267,2.25443,90608,93.242135668,0.661497
410.405,-7.49261,105.4255599975586,3.75794,-293.245,0.35273,0,18.36915254200005,-1.57903,3.1498235669999985,12000,0.260651,0.866638,252.937,-35.5736,59.097610829,411.913,115.247090991,5.13916,0.000895342,70.9351534401,26.9216,405.90046977999987,-8.32649,25.0153186898,108.396,-0.411631,101.544,10.542555809020996,-3.41008,1208.2,293.503,0.0349412,0.627556,0.577596,2,55.0879,0.476457,96276,93.72811488199994,0.937157
471.968,-18.0888,148.4674072265625,4.61458,-353.831,0.18133,0,17.44919035299995,-1.98815,2.9870673010000246,16000,0.300364,0.915043,312.837,-44.8119,144.982876378,495.73,114.09173095799997,4.87125,0.000899007,92.8874393385,27.9367,519.9958610809998,-9.78248,92.8693474723,267.372,-0.469711,126.639,14.84674072265625,-7.61693,1098.73,360.973,0.00530868,0.996736,0.421258,3,72.6706,0.301554,101670,93.655473304,0.676165
571.528,-26.4873,189.88601684570312,4.83428,-407.446,0.199253,0,17.452934734999985,-2.04263,3.0129265350001333,20000,0.342721,0.901888,352.338,-60.7942,152.134698632,600.262,113.93450535300008,4.47062,0.000167299,142.436918315,34.454,634.2328876149998,-9.22903,100.140427316,244.905,-0.502962,155.169,18.988601684570312,-5.88008,1482.43,409.392,0.00550817,0.62231,0.406398,4,100.677,0.412675,107239,93.46864408299996,1.35884
654.595,-33.5575,212.39321899414062,5.67349,-444.19,0.230439,0,17.755820756999924,-2.60382,3.0217719989998386,24000,0.335423,0.993396,398.589,-60.1099,91.6001263554,680.855,118.18723384199984,4.87117,0.000248019,108.899876206,34.76,754.2608926959994,-9.67101,79.2188474833,588.761,-0.53677,163.902,21.239322662353516,-4.4413,2187.71,452.956,0.0014451,0.64552,0.542131,5,104.925,1.62295,112722,97.40964108600008,0.843758
679.647,-17.8661,192.24362182617188,4.84804,-496.377,0.320454,0,19.59661397600007,-2.88802,3.2586517320000894,28000,0.36647,1.0286,435.378,-66.2449,83.836773348,727.009,124.36665499700018,4.95088,0.000190868,86.4189317884,39.3229,876.9542053339994,-9.2688,78.3941082909,757.192,-0.600245,198.269,19.224363327026367,-4.82935,1494.63,504.443,0.00308115,0.619741,0.497397,6,134.201,1.88177,118042,101.51138928900002,0.620317
776.06,-73.3576,183.52005004882812,6.87964,-568.53,0.642497,0,17.923653519000027,-2.50251,3.1311647959998936,32000,0.349096,1.03287,496.27,-96.2764,121.695676035,778.521,116.19041537299995,5.19799,0.000250993,126.354982978,38.5447,993.3762929259995,-9.16333,94.2762458732,467.716,-0.622095,224.158,18.352005004882812,-5.60194,1392.45,566.155,0.00315233,1.80707,0.519276,7,159.429,2.0143,123599,95.13559705800003,0.881966
877.576,-55.2576,201.46295166015625,6.29465,-551.07,0.771327,0,18.155450600999984,-2.79942,3.1835175840001284,36000,0.391319,0.991416,508.361,-83.4111,79.4011394209,886.265,118.20289417200001,4.78317,0.000195914,99.1528830821,34.3359,1111.6492726129993,-9.43294,96.1705383705,672.016,-0.646522,219.325,20.14629554748535,-4.98502,2395.19,562.147,0.00120085,0.613283,0.308401,8,177.01,1.26371,129221,96.8639259869999,1.04112
931.362,-50.2879,189.532470703125,5.20617,-608.641,1.14214,0,18.225858804999916,-2.84512,3.260467412000253,40000,0.37572,1.01825,546.214,-58.1112,124.08014038,968.435,115.90231878300028,5.10576,0.000275271,155.158733729,36.2883,1228.7912828409994,-8.02065,137.090995179,398.384,-0.653687,238.022,18.9532470703125,-6.67201,1433.82,613.492,0.000485985,0.883579,0.335582,9,175.244,1.40459,134770,94.41599256600011,0.833286
