Total Train Time (s),Q Predictions Max,Log Pis Min,Policy log std Mean,VF Loss,Policy log std Max,Number of train steps total,Q Predictions Std,Number of env steps total,R Predictions Mean,Log Pis Mean,Policy Loss,Sample Time (s),Z variance eval,(Previous) Eval Time (s),Q Predictions Min,Log Pis Std,Epoch Time (s),R Predictions Min,R Predictions Std,RF Loss,Number of rollouts total,V Predictions Max,R Predictions Max,KL Loss,Epoch,Policy mu Min,AverageReturn_all_train_tasks,Policy mu Std,Log Pis Max,Policy log std Std,Z mean train,Z mean eval,Policy mu Mean,Policy log std Min,V Predictions Min,KL Divergence,Q Predictions Mean,Policy mu Max,Train Time (s),V Predictions Std,AverageReturn_all_test_tasks,V Predictions Mean,Z variance train,QF Loss
168.81400489999942,0.0148198,-7.11087,0.000475247,29.0506,0.00391386,4000,0.00229638,8000,-0.0026539,-5.36541,-5.35193,20.30758448599977,0.458403,0,-0.000222154,0.624613,164.5306249619996,-0.00674162,0.0013028,26.6025,115,0.00354757,0.00209431,4.913415908813477,0,-0.00214435,84.0480617837,0.000910587,-3.1739,0.00107115,0.00339171,0.0623382,0.000516302,-0.0034772,-0.00698656,49.134159088134766,0.00736701,0.00410208,144.22304047599982,0.00192201,79.4080361491,-0.00161421,0.00271037,60.6
323.38147640500074,93.6659,-11.3163,-0.650367,20.7156,-0.16296,8000,14.2683,12000,-0.00254543,-2.7277,-62.6444,6.217228936000538,0.336681,4.285337281000011,-22.4123,1.91974,154.6658540150006,-0.00721231,0.00125478,12.3916,149,92.505,0.00105428,0.2272930145263672,1,-2.237,50.8986933027,0.480224,5.40281,0.126561,0.0651799,0.0227723,-0.0243269,-1.1018,-11.9725,2.272930145263672,57.5077,1.79815,144.16328779800006,10.6664,68.6553857437,63.8256,0.480071,44.5865
479.09632367700124,133.12,-10.9518,-0.617393,33.1787,-0.153867,12000,15.6997,16000,-0.00274064,-2.49929,-104.672,6.029263574000652,0.326479,4.187153246999969,-14.4389,2.20805,155.65513416300064,-0.00762465,0.00131437,20.7818,192,136.68,0.00133198,0.42318329215049744,2,-2.30064,115.348103126,0.549417,7.54566,0.132314,0.023089,0.0138327,-0.0621645,-1.16537,26.286,4.231832981109619,99.1831,2.45754,145.43871734200002,9.87088,122.543507394,107.483,0.34381,97.4456
636.2575811970014,156.036,-10.8014,-0.663717,22.1685,-0.222792,16000,18.7984,20000,-0.00272166,-2.6492,-128.075,5.947203475000151,0.19661,4.24731366099968,-8.74271,2.02245,156.93610315600017,-0.00711864,0.00131225,17.0726,229,149.405,0.00126503,0.45858269929885864,3,-2.00852,125.54354313,0.471458,7.97293,0.156428,0.0132594,0.122887,-0.000764887,-1.50274,42.6942,4.585826873779297,123.583,1.85908,146.74158602000034,11.7341,129.301402895,128.958,0.316008,41.0978
793.1060143480013,178.533,-9.20785,-0.673111,21.8254,-0.0857994,20000,15.5581,24000,-0.00281741,-2.71381,-146.133,6.201002550999874,0.1331,4.47282007900003,-8.92039,1.92034,157.11764269200012,-0.00625843,0.00115444,12.7394,260,175.757,0.00183269,0.9383170008659363,4,-1.83763,152.174814616,0.443209,7.0626,0.161126,0.387161,0.077726,-0.0588798,-1.79271,30.5785,9.383170127868652,142.792,1.65227,146.4438200620002,11.4267,158.393207382,146.595,0.213482,66.1202
950.0488003679998,195.887,-10.5252,-0.727927,30.9612,-0.160435,24000,16.7545,28000,-0.00287832,-2.69664,-160.456,6.174782305998633,0.11893,4.203963829999793,-3.47225,2.03855,156.89762700099845,-0.00801874,0.00129977,13.301,292,196.832,0.00104934,1.2816838026046753,5,-2.28361,124.805550186,0.416494,8.05086,0.170891,0.286237,0.0172058,-0.0212001,-1.99417,36.8331,12.816837310791016,157.923,2.03168,146.51888086500003,12.2509,132.952038611,161.017,0.141381,206.938
1106.8658083139994,231.029,-9.22394,-0.765635,39.7288,-0.257539,28000,23.5969,32000,-0.00294568,-2.21875,-179.291,6.1276168179992965,0.108502,4.249815498999851,-14.5532,2.11534,156.72381562399914,-0.00753292,0.00121133,9.7129,326,233.023,0.00113425,2.005164384841919,6,-1.8718,109.353524482,0.459143,12.8497,0.161794,0.799291,0.43282,0.0192242,-1.89503,34.3654,20.05164337158203,175.766,1.75947,146.346383307,18.3457,140.852442393,179.265,0.123095,97.2349
1264.967491993998,262.07,-9.55362,-0.779787,67.4061,-0.252795,32000,18.854,36000,-0.00280113,-2.03101,-187.878,6.170452754999587,0.124367,4.3430806859996665,49.173,2.12448,158.12450394099915,-0.00742551,0.00126322,18.419,357,255.417,0.000894055,1.427270531654358,7,-2.54858,112.298489854,0.488598,9.12586,0.161958,0.0755104,1.31507,-0.0780098,-1.85865,103.114,14.272705078125,187.661,2.09473,147.6109704999999,15.5562,110.015530415,191.514,0.112892,187.724
1422.2700066709967,285.941,-9.27892,-0.805393,42.2515,-0.29374,36000,23.2354,40000,-0.00298876,-1.74664,-208.474,6.056311993998861,0.110113,4.320538408000175,-4.18793,2.22475,157.29251416999932,-0.00737868,0.00128394,14.05,386,271.851,0.000642093,1.7919374704360962,8,-1.94377,140.05720935,0.502069,10.9089,0.154029,0.208311,0.0935763,0.0332427,-1.70756,96.5859,17.919374465942383,205.504,2.43106,146.9156637680003,18.6144,138.120547456,210.779,0.109826,125.408
1580.2480981849967,301.487,-12.8031,-0.807495,43.3068,-0.315526,40000,27.444,44000,-0.0028469,-1.75928,-220.392,6.121873445999881,0.127777,4.331343360000119,-19.7126,2.20998,158.02825170999995,-0.00770605,0.00127293,14.7352,417,304.517,0.00111558,1.549326777458191,9,-3.38461,139.589009833,0.498987,16.9245,0.154119,0.370668,0.540299,-0.00930176,-1.74017,9.87028,15.493268013000488,214.327,2.17791,147.57503490399995,22.9617,89.0031774874,219.571,0.101422,121.003
1737.5204114469975,288.443,-9.04616,-0.79231,46.2182,-0.307114,44000,20.486,48000,-0.00268989,-1.99599,-219.949,6.088332644000275,0.118873,4.281358934000309,48.9249,2.06965,157.3178076420004,-0.0072449,0.00121668,12.7226,448,288.91,0.00144638,1.760733962059021,10,-1.91994,138.326738974,0.487712,5.74197,0.150625,0.678138,0.447306,-0.0294229,-1.60616,109.45,17.60733985900879,218.15,2.13998,146.9481160639998,17.3111,129.463393472,220.157,0.127475,290.037
1896.070392869999,383.381,-9.52172,-0.809536,68.9498,-0.289123,48000,40.2921,52000,-0.00267976,-1.81268,-256.592,6.104274573002385,0.109236,4.236686247999842,1.74505,2.30047,158.36093243600226,-0.00701937,0.00131619,14.491,480,384.698,0.000982739,2.802293539047241,11,-2.15647,121.290217433,0.502033,11.7069,0.154937,1.27011,1.17902,0.0345673,-1.84703,155.368,28.02293586730957,254.936,2.15358,148.01997161500003,36.8298,118.854614431,260.382,0.115343,178.329
2054.6665844009995,312.113,-11.1175,-0.830066,46.4329,-0.344918,52000,27.3912,56000,-0.0026605,-1.95855,-237.35,6.109866336999858,0.0915025,4.425789729999906,-45.1499,2.19642,158.72023593999984,-0.00604781,0.00107189,14.8718,510,305.444,0.000779707,1.9275267124176025,12,-2.1764,102.407373914,0.461899,14.6006,0.151656,0.683199,0.25743,-0.0220941,-1.89509,124.609,19.275266647338867,236.091,2.31722,148.18457987300008,21.5838,123.652234062,235.425,0.111399,192.504
2212.5538999069986,349.541,-9.86571,-0.834459,47.8302,-0.293275,56000,35.5709,60000,-0.00277608,-1.93214,-242.827,6.0039177650000966,0.0873648,4.302212831999896,-3.14452,2.23997,157.99168605499972,-0.00615744,0.00112039,14.1746,537,356.31,0.002167,1.8637603521347046,13,-2.56808,142.626578545,0.443938,14.5983,0.157435,0.791375,0.31066,-0.0203132,-1.96737,69.8819,18.637603759765625,240.221,2.01451,147.68555545799973,30.5379,160.84716219,244.902,0.0919159,180.326
2370.2976372739986,350.246,-9.354,-0.83577,43.0485,-0.352213,60000,34.1588,64000,-0.00276146,-1.92668,-262.656,6.133170301000973,0.0824184,4.198356289999538,-29.3697,2.19948,157.7865803170007,-0.00645933,0.00116799,13.2374,564,348.454,0.000840753,2.4142446517944336,14,-2.58457,112.583756308,0.452486,19.7536,0.147816,0.525024,0.721404,0.0170607,-2.11907,33.55,24.142446517944336,258.22,2.3294,147.4550537260002,28.5126,126.239322076,263.687,0.0885733,109.575
2528.960294878998,333.765,-9.90719,-0.845795,39.9434,-0.374536,64000,34.6991,68000,-0.00255018,-2.03949,-253.544,6.150042966000001,0.0755805,4.155854913999974,-38.2903,2.20403,158.52284212099948,-0.00569296,0.00110974,14.831,593,336.036,0.000911779,2.393803119659424,15,-2.57838,126.983293131,0.436449,13.1978,0.149313,0.670095,0.568087,-0.000873599,-1.88263,64.867,23.938030242919922,249.938,2.08392,148.2169442409995,27.3241,145.782274068,255.305,0.0905404,156.619
2687.485955787999,374.879,-9.31032,-0.82789,43.9523,-0.336688,68000,31.7055,72000,-0.00282614,-2.15359,-266.32,6.250109041000542,0.0738094,4.296023472000343,-3.17931,2.01035,158.58160547300122,-0.00710119,0.00125395,13.3442,620,359.748,0.00204773,2.623713493347168,16,-2.4195,129.439367499,0.421884,11.0501,0.138417,0.514378,0.730724,-0.0150753,-1.9575,12.0726,26.23713493347168,262.647,2.33841,148.03547296000033,29.5408,138.759502496,264.602,0.0736618,119.096
2845.9568753890017,360.87,-9.59073,-0.850761,42.2987,-0.386827,72000,34.1054,76000,-0.00281581,-1.95168,-274.221,6.141486942002302,0.0759043,4.240927639999427,-23.8698,2.13735,158.31209148400194,-0.00641834,0.00124962,12.2842,647,359.173,0.00114005,2.863103151321411,17,-2.06207,139.768489258,0.428779,14.5596,0.152556,0.937355,0.515055,0.00084106,-2.00344,122.048,28.631031036376953,269.523,2.72077,147.9296769020002,27.9154,150.156965776,272.763,0.0797362,104.097
