Number of env steps total,AverageReturn_all_train_tasks,Number of train steps total,Z variance train,Epoch,AverageReturn_all_test_tasks,Train Time (s),Z variance eval,Log Pis Min,AverageTrainReturn_all_train_tasks,Q Predictions Mean,Policy log std Min,Q Predictions Max,Sample Time (s),Q Predictions Min,Policy log std Mean,Z mean eval,KL Loss,Policy Loss,V Predictions Max,Policy mu Max,Policy log std Max,Policy mu Min,Q Predictions Std,Log Pis Max,Z mean train,(Previous) Eval Time (s),Log Pis Std,Policy log std Std,Policy mu Std,Log Pis Mean,Epoch Time (s),V Predictions Mean,Number of rollouts total,KL Divergence,VF Loss,Policy mu Mean,QF Loss,Total Train Time (s),V Predictions Min,V Predictions Std
305000,-510.499406082,4000,0.00269834,0,-485.092732949,183.7517304746434,0.039955,-7.19354,-497.179191646,-0.00419655,-0.00172999,0.00220851,330.055526625365,-0.0112181,0.00111414,0.195013,122.94570922851562,-5.34211,0.000276904,0.00526866,0.00421489,-0.00247526,0.00202629,-3.08157,0.00571608,0,0.623932,0.00102969,0.00137184,-5.36534,513.8072571000084,-0.00493715,0,122.94570922851562,28.9802,0.000943859,1127.78,591.5569574683905,-0.00964599,0.00151442
310000,-548.055494741,8000,0.207804,1,-512.34049293,201.49134807707742,0.07275,-9.60968,-529.975807793,-226.804,-0.581744,-76.3789,5.652533069252968,-602.195,-0.296396,0.675996,44.01957321166992,221.902,-71.3032,0.734907,-0.115433,-0.676982,91.2115,-1.95588,1.11932,77.78826965717599,0.822146,0.0888805,0.196869,-5.06603,284.9321508035064,-225.736,0,44.01957321166992,32.4501,-0.0224559,134.03,888.5636151051149,-606.103,92.1609
315000,-672.140532345,12000,0.177637,2,-566.23156037,157.69394295988604,0.0666186,-10.7817,-653.278887119,-494.127,-0.845204,-108.102,5.613902059849352,-2285.61,-0.333665,1.5546,78.61445617675781,489.092,-103.038,1.65623,-0.0620057,-1.58625,255.556,2.39794,0.639226,89.87961985729635,1.60036,0.113277,0.454411,-4.0462,253.18746487703174,-486.008,0,78.61445617675781,51.138,-0.0189613,485.276,1125.8478541485965,-2286.45,255.304
320000,-528.989321736,16000,0.184953,3,-529.815484941,158.69449114007875,0.0646984,-11.7993,-516.960690703,-641.447,-1.1506,-70.3152,4.343446831218898,-2557.99,-0.465267,1.03029,103.38692474365234,633.73,-70.2054,2.09437,-0.0660606,-2.15055,385.826,6.65836,1.10585,73.92259079776704,2.31185,0.164534,0.664092,-2.28375,236.9605287690647,-631.984,0,103.38692474365234,96.7229,-0.0387133,1218.0,1356.7482786872424,-2529.67,385.647
325000,-533.607203204,20000,0.147904,4,-528.293203838,157.29554844321683,0.0613519,-11.5645,-533.485734654,-648.164,-1.19113,-9.02677,5.202126687858254,-3055.01,-0.600632,1.41254,95.08265686035156,636.489,-5.08948,2.42182,-0.186108,-2.36818,460.09,13.2172,0.886455,67.8628571596928,2.68029,0.16808,0.7922,-0.687793,230.36053229076788,-636.262,0,95.08265686035156,209.251,0.0132362,1855.52,1595.6881905342452,-3061.91,459.345
330000,-529.896501406,24000,0.122533,5,-535.029429715,159.73108662012964,0.0550581,-11.9862,-547.998001666,-622.266,-1.20844,-17.3001,4.520401041023433,-2741.36,-0.619051,0.897895,111.63052368164062,608.618,-13.3549,2.34045,-0.228636,-2.63114,498.9,10.9753,0.770351,76.44225331628695,2.93272,0.144722,0.769517,-0.929843,240.69374097744003,-606.3,0,111.63052368164062,220.957,-0.0459089,2200.52,1827.0544601175934,-2735.74,497.258
335000,-526.456136829,28000,0.108329,6,-510.822477915,153.31131075089797,0.0421407,-10.5474,-524.081377095,-841.254,-1.18272,-93.6181,5.158385457936674,-3149.87,-0.645706,0.322938,110.36719512939453,834.586,-81.4487,2.71165,-0.220432,-2.7609,546.014,9.76748,0.568392,67.11490301694721,2.64723,0.150309,0.738149,-1.0805,225.58459922578186,-834.366,0,110.36719512939453,256.851,0.0218883,2772.52,2065.3353453772143,-3209.03,543.262
340000,-571.207008795,32000,0.125503,7,-523.995276294,156.64897714369,0.0615365,-10.9791,-510.187873871,-836.489,-1.12349,-59.848,4.971852810587734,-3301.22,-0.626364,0.476126,116.82432556152344,828.234,-58.9829,3.00629,-0.152016,-2.95952,610.523,10.9342,0.768168,79.81132134329528,2.58779,0.139303,0.75041,-1.07338,241.432151297573,-819.311,0,116.82432556152344,414.898,0.0363778,3695.79,2290.970733877737,-3258.38,604.216
345000,-601.424011369,36000,0.119145,8,-505.41250962,157.46853835089132,0.0459003,-9.74963,-548.443226505,-963.476,-1.18594,-84.3707,5.130650754086673,-3281.55,-0.653023,0.6521,115.9385986328125,950.897,-80.9451,2.60022,-0.198204,-2.74154,636.386,15.1765,0.655098,64.01484320499003,2.75478,0.141827,0.741428,-1.05836,226.61403230996802,-958.665,0,115.9385986328125,391.046,-0.0327671,3687.43,2532.314065401908,-3273.19,636.896
350000,-523.458425263,40000,0.146923,9,-539.258115488,155.45158738875762,0.0552916,-9.97835,-436.990157713,-1031.67,-1.0889,-90.4512,5.1668392131105065,-8444.89,-0.644183,0.550067,120.0423355102539,1023.67,-94.9338,2.81916,-0.234621,-2.9715,869.493,15.3017,0.701569,78.74420608999208,2.74583,0.130598,0.740743,-1.06497,239.3626326918602,-1022.73,0,120.0423355102539,305.296,-0.0114428,3824.56,2757.929163018707,-8453.28,867.479
