Policy mu Max,Policy mu Mean,Number of env steps total,QF Loss,KL Loss,VF Loss,Epoch,Policy log std Std,KL Divergence,Z variance eval,Sample Time (s),Policy mu Min,Epoch Time (s),Policy mu Std,V Predictions Max,Policy log std Mean,R Predictions Mean,AverageReturn_all_test_tasks,RF Loss,Policy Loss,Log Pis Std,R Predictions Max,(Previous) Eval Time (s),R Predictions Std,V Predictions Min,Policy log std Max,Z mean train,V Predictions Std,Policy log std Min,Q Predictions Std,Q Predictions Mean,V Predictions Mean,Z variance train,Log Pis Max,R Predictions Min,Log Pis Min,Log Pis Mean,Z mean eval,Total Train Time (s),Train Time (s),AverageReturn_all_train_tasks,Q Predictions Max,Number of rollouts total,Q Predictions Min,Number of train steps total
0.00166146,-0.0014238,14000,27.442,4.913573265075684,16.4135,0,0.00135252,49.1357307434082,0.461682,14.924527073000206,-0.00569726,88.5677308500002,0.00119516,0.00109906,0.000315689,0.0007526,-0.658329756812,13.6862,-4.01352,0.521944,0.00928013,0,0.00274989,-0.00999389,0.00495966,0.0052467,0.00175991,-0.00341832,0.00231126,0.00394819,-0.00405271,0.00271005,-2.48671,-0.00719951,-6.89594,-4.02419,0.120942,92.64240407300028,73.643203777,-2.97071450885,0.0126359,80,-0.00112422,2000
0.947899,0.0252916,24000,28.7791,0.8837414979934692,3.66989,1,0.03281,8.837414741516113,0.173293,10.611128307999877,-0.777801,88.7082324559999,0.224019,42.917,-0.119437,0.000804979,3.3795331841,12.8663,-29.4151,0.743552,0.0108116,4.076494043000025,0.00289857,25.9092,-0.0562433,0.651871,2.28252,-0.331695,2.55469,25.2034,30.8193,0.307543,-1.7714,-0.00532771,-7.4956,-3.90122,0.479692,181.382074098,74.020610105,-4.17177614901,38.648,140,16.2111,4000
1.19741,0.00408269,34000,26.2497,0.9507377743721008,8.11036,2,0.0544168,9.507377624511719,0.0775816,10.596096173000149,-1.22892,89.49333950700014,0.357995,88.1263,-0.175137,0.000781473,42.6447381773,10.6411,-58.6782,1.07146,0.0107262,4.108704510999985,0.00279313,37.7696,-0.0268386,0.473259,7.69979,-0.450837,8.61848,55.8576,59.974,0.313475,0.376822,-0.00604247,-10.6195,-3.58725,0.881962,270.9742981920001,74.78853882300001,53.8056614036,89.2446,200,30.5739,6000
2.03032,0.0233672,44000,57.9924,2.730194568634033,14.0494,3,0.107398,27.301944732666016,0.0455817,10.645202474999905,-1.85958,90.06526703699996,0.634483,201.457,-0.259691,0.000708137,227.090517133,15.3093,-103.13,1.80239,0.00945983,4.20754986899999,0.00274285,32.6655,0.0714774,1.02117,27.5413,-0.778695,28.3365,98.0084,104.821,0.32896,4.2474,-0.00546728,-8.45208,-2.34847,1.24991,360.92426031900004,75.21251469300006,233.309855735,196.947,260,26.6443,8000
3.86724,0.0196713,54000,92.4535,3.098299503326416,41.9368,4,0.129565,30.982994079589844,0.0642743,10.605331054000203,-2.88346,90.00277699400033,0.720138,290.464,-0.292218,0.000857552,265.073786873,25.6373,-140.235,2.26349,0.00775108,4.092478339000081,0.00270081,29.8002,0.00338831,1.12358,40.5771,-0.983756,41.1156,135.04,140.78,0.0563064,11.3874,-0.00543697,-9.22194,-1.84708,1.03747,450.99614807200044,75.30496760100004,251.155354383,296.196,320,15.327,10000
2.27686,-0.0336575,64000,79.9389,2.892899990081787,19.5615,5,0.155102,28.928998947143555,0.0863598,10.621247528000254,-2.32047,90.61513314100023,0.861769,417.634,-0.345121,0.000819546,400.933128871,25.899,-213.509,2.6089,0.00801974,4.162130441000045,0.00267686,45.8843,0.00709743,1.04728,69.0306,-0.841492,70.6022,207.086,213.461,0.199525,7.78592,-0.00669452,-9.85808,-0.91082,0.863012,541.5846871040006,75.83175517199993,364.404961937,423.716,380,17.9826,12000
2.12031,-0.0641912,74000,110.325,3.6637637615203857,30.1502,6,0.165646,36.637638092041016,0.0681436,10.549063037999645,-2.59927,89.82207180399962,0.918257,524.497,-0.354038,0.000245331,434.131583868,48.6042,-284.231,2.89679,0.00854736,4.135671851999973,0.00298095,-4.20889,0.0593393,1.32472,97.3801,-1.02525,99.5664,277.788,286.184,0.0501427,8.95595,-0.00796838,-8.64553,-0.434143,1.0283,631.3685691520002,75.137336914,377.994759341,536.265,440,0.0359727,14000
2.28369,0.00864014,84000,151.299,4.319814205169678,34.2598,7,0.175515,43.19813919067383,0.051586,10.74725155100009,-2.43441,89.70972793200008,1.08251,691.535,-0.435165,0.000846987,445.731868642,29.6561,-437.284,2.67833,0.00920309,4.097684184999935,0.00265641,-19.958,0.039966,1.45695,103.677,-1.14684,105.665,430.097,439.419,0.209791,10.8001,-0.00665546,-7.47229,0.940589,1.14376,721.0615032010004,74.86479219600005,442.079461816,696.659,500,-11.0017,16000
2.87847,-0.0385825,94000,116.107,3.773430585861206,51.392,8,0.175028,37.73430633544922,0.0600354,10.506598018999739,-3.436,89.1043148589996,0.963067,713.169,-0.401222,0.000607979,551.589149225,60.7232,-404.324,2.97562,0.00872303,4.081183949999968,0.00274203,-2.49102,0.081657,1.19806,144.562,-1.11944,146.154,395.658,400.255,0.164937,17.4636,-0.00972866,-8.8081,-0.0175428,1.15333,810.1965335589999,74.5165328899999,518.28491775,721.009,560,2.3948,18000
2.24929,-0.0510714,104000,126.838,4.984811305999756,39.4421,9,0.202047,49.84811019897461,0.0630889,10.536168514000337,-2.44327,90.0287961490003,0.946239,878.997,-0.367689,0.000208339,584.402951009,87.8554,-412.363,3.19105,0.00872224,4.112677585000029,0.00291814,7.16858,0.110163,1.52905,206.206,-1.23256,203.685,404.541,410.661,0.181683,8.57534,-0.00872346,-9.63295,-0.268578,1.26513,900.1865367220001,75.37995004999993,609.160383897,873.951,620,-11.8331,20000
