RF Loss,Z mean train,V Predictions Max,R Predictions Min,Z variance eval,KL Divergence,QF Loss,Policy mu Min,KL Loss,R Predictions Std,Q Predictions Max,Policy log std Std,V Predictions Mean,AverageReturn_all_train_tasks,Policy log std Max,Number of env steps total,V Predictions Min,Log Pis Max,R Predictions Mean,Sample Time (s),Z variance train,Number of rollouts total,Z mean eval,Policy mu Max,(Previous) Eval Time (s),R Predictions Max,Log Pis Mean,Policy log std Mean,Epoch,Epoch Time (s),Policy mu Std,Number of train steps total,Policy Loss,Log Pis Std,VF Loss,Q Predictions Min,Policy log std Min,Total Train Time (s),Log Pis Min,Train Time (s),AverageReturn_all_test_tasks,Policy mu Mean,Q Predictions Std,Q Predictions Mean,V Predictions Std
14.7771,0.00208315,0.0095143,-0.002075,0.776778,49.1304817199707,27.8225,-0.0035392,4.913048267364502,0.00190395,0.00431865,0.00115935,0.00481113,-1.09072784855,0.00296311,14000,0.000461543,-2.25004,0.00254237,14.68715286900013,0.00271112,80,0.0773705,0.00351815,0,0.00905371,-4.01274,-0.000649718,0,88.4689821660001,0.00121265,2000,-3.99071,0.539306,16.1784,-0.00718649,-0.00461287,92.63924469500009,-7.07431,73.78182929699997,0.246830625193,-0.00013969,0.00150927,-0.0021688,0.0014414
12.7065,0.0811777,36.0605,-0.00229318,0.196225,0.2487129271030426,24.6937,-0.869302,0.02487129345536232,0.0019871,36.4749,0.0240457,29.254,1.37857726262,-0.0539465,24000,26.0931,-0.0767506,0.0025636,10.5556421739999,0.807548,140,0.161862,1.08305,4.1718920439999465,0.00880563,-3.8521,-0.124741,1,88.32003503299984,0.246815,4000,-29.4975,0.775749,2.1671,19.8238,-0.24442,180.86997551499994,-6.14688,73.592500815,-2.06021344847,-0.04482,2.27695,25.7377,1.59376
10.7743,0.411604,79.2158,-0.00270756,0.106409,10.76838207244873,26.8177,-1.36494,1.0768382549285889,0.00184314,75.6483,0.0489652,58.5996,63.3386180939,-0.0115554,34000,37.8506,0.349066,0.00223086,10.50289754000022,0.20964,200,0.62138,1.27843,4.082678575999978,0.00803952,-3.57095,-0.191885,2,88.27702270100019,0.343183,6000,-57.1634,1.02979,7.20358,28.8726,-0.461601,269.25808651400007,-7.34396,73.691446585,65.5386734816,-0.0570309,6.87632,55.0032,6.29648
12.771,1.54743,184.554,-0.0025502,0.148793,33.410343170166016,64.1806,-1.83288,3.341034412384033,0.00195446,172.964,0.114194,102.275,130.884117198,-0.0221651,44000,35.9,4.22492,0.00267996,10.593571102000396,0.383313,260,1.24504,2.38677,4.194261831999995,0.00862758,-2.26796,-0.295698,3,89.01402239400039,0.616807,8000,-101.258,1.89749,13.043,27.7627,-0.76195,358.1713780230002,-8.20173,74.22618946,76.4931744803,0.0423167,23.5648,97.9391,23.0154
15.0714,0.413297,192.111,-0.00199767,0.0931832,18.620248794555664,54.156,-1.79654,1.8620249032974243,0.00176795,197.946,0.126644,120.733,218.143454407,0.0329478,54000,59.1443,3.44617,0.00249816,10.438572497999871,0.192792,320,0.615852,2.2273,4.094148048999955,0.00733449,-2.76401,-0.287342,4,89.4546063859998,0.539762,10000,-120.808,1.71518,17.0713,55.1194,-0.765436,447.6248376410001,-8.15081,74.92188583899997,193.947290024,-0.0124297,21.5176,116.391,20.781
21.8266,0.797014,286.212,-0.00232708,0.105588,22.19727325439453,65.0149,-1.99771,2.2197272777557373,0.00199126,293.32,0.165683,175.912,356.231077267,0.0345059,64000,82.9238,5.71693,0.00283128,10.685328392000315,0.100246,380,0.687588,2.33366,4.093172879999997,0.0100024,-1.78428,-0.342883,5,88.8973209640003,0.701267,12000,-176.507,2.22419,18.4082,71.6364,-0.839037,536.4941006010004,-10.555,74.11881969199999,339.782494948,-0.110737,44.6838,172.636,43.0262
34.6503,0.815181,410.997,-0.00229046,0.114155,34.48752212524414,87.4253,-2.35468,3.4487521648406982,0.00194814,417.765,0.178916,202.386,381.675092309,0.145544,74000,107.457,8.89784,0.00286671,10.690859350999858,0.0831728,440,0.701798,3.07052,4.0655579979999175,0.00917862,-1.26623,-0.317924,6,89.52036667999971,0.796586,14000,-202.316,2.65046,25.8672,27.1248,-1.14198,626.0434309059998,-10.2354,74.76394933099994,373.863682163,-0.0466291,60.0821,196.409,59.3822
46.9994,1.46357,502.285,-0.00263218,0.0829316,34.34712600708008,91.7984,-2.62922,3.4347126483917236,0.0022202,511.167,0.192931,261.123,486.142516925,0.0150117,84000,76.4944,8.40805,0.00314753,10.537366378999877,0.257417,500,0.979602,2.22221,4.094764955999949,0.0100965,-1.06489,-0.37291,7,88.43514242799984,0.818262,16000,-261.537,2.73777,55.2181,76.7728,-1.04194,714.4206437739996,-11.9071,73.80301109300001,440.423152365,-0.0675182,94.5019,256.505,91.2439
60.0737,0.980643,544.426,-0.00271769,0.0889068,34.97294235229492,70.0979,-2.02931,3.4972941875457764,0.00210532,548.048,0.211027,277.504,528.448848984,0.0453362,94000,64.166,7.49785,0.00300968,10.445664076000526,0.0836209,560,0.949761,2.34885,4.036830469000051,0.0112308,-1.18041,-0.367614,8,87.64242746900072,0.787405,18000,-276.546,2.60866,41.289,63.6329,-1.14625,802.0974681760007,-7.47571,73.15993292400015,504.262860687,-0.0434765,93.8361,270.947,92.8023
57.012,1.37997,663.886,-0.00261366,0.0511032,39.13458251953125,114.652,-2.59595,3.9134583473205566,0.00226921,668.134,0.202499,415.195,559.912881632,0.0758142,104000,65.8096,9.4124,0.0031514,10.453239182999596,0.185831,620,1.13706,2.84356,4.071690862999958,0.00937571,-0.185146,-0.461124,9,89.35991954599945,0.903842,20000,-415.946,2.80119,30.5235,63.2207,-1.3107,891.5469338789995,-9.4591,74.83498949999989,576.127196371,-0.113578,128.317,410.277,127.521
69.7371,1.55973,755.103,-0.00193459,0.0563555,40.89650344848633,101.185,-2.38816,4.089650630950928,0.00224713,749.858,0.229045,417.721,630.780612471,0.146478,114000,88.8437,11.4491,0.00330597,10.30617618400106,0.213817,680,1.32519,2.23352,4.161564478000173,0.0104126,-0.258637,-0.442195,10,87.93387169500124,0.877101,22000,-418.378,3.14372,31.1655,83.1314,-1.50604,979.2979024140005,-7.53276,73.46613103300001,639.244506412,-0.0710062,165.178,409.725,166.282
65.5209,1.79683,936.809,-0.00305952,0.0712909,44.24128341674805,115.978,-2.28934,4.424128532409668,0.00212838,934.655,0.222348,485.083,680.152448648,0.0850261,124000,95.0723,10.6524,0.00275373,10.415360438999869,0.298841,740,1.43011,2.50406,3.979174463999925,0.00938502,-0.193088,-0.440025,11,89.8994611029998,0.916017,24000,-486.085,3.1742,41.3609,95.2931,-1.48642,1069.3757719260004,-8.4388,75.5049262,675.370159866,-0.0964031,202.135,477.814,201.517
79.4724,1.52537,861.184,-0.00336971,0.0685033,47.73379135131836,151.917,-2.44885,4.773379325866699,0.00231969,860.409,0.241185,499.984,692.930716916,0.089815,134000,91.3858,9.23035,0.0031238,10.478400916999362,0.0458498,800,0.985674,2.43622,4.1579381770000055,0.0101598,-0.312025,-0.452107,12,89.7785381539993,0.892783,26000,-497.906,2.7517,58.5274,85.9361,-1.83745,1159.0866253799998,-8.24236,75.14219905999994,664.03544767,-0.0130065,163.678,491.505,161.806
45.8624,1.0026,962.383,-0.00295249,0.0709115,38.14609909057617,159.565,-2.29047,3.814610004425049,0.00198624,989.175,0.220336,528.252,717.246011811,0.0701274,144000,96.8145,9.00218,0.0026148,10.42363026299995,0.087818,860,1.47748,2.32072,4.090560712999832,0.008919,-0.449419,-0.444652,13,89.26963510399992,0.870284,28000,-535.205,2.76003,128.494,103.966,-1.54741,1248.3395538389996,-6.76995,74.75544412800014,649.868906528,-0.0451145,218.526,526.314,213.212
80.7361,1.26163,1306.26,-0.0022224,0.0473964,63.79875183105469,187.176,-2.59189,6.379875183105469,0.00231987,1301.87,0.242305,672.478,771.278927072,0.0743482,154000,113.321,11.3214,0.00337708,10.346494508999967,0.0514527,920,1.22597,2.76163,4.074275377000049,0.0123826,0.684725,-0.470827,14,89.6483200040002,1.01748,30000,-674.057,3.4822,63.5074,113.347,-1.73237,1337.962060084,-12.0059,75.22755011800018,778.785136754,-0.0271079,285.89,664.193,287.436
115.697,2.10265,1401.41,-0.00223681,0.0473615,68.87067413330078,233.388,-2.61674,6.8870673179626465,0.00251954,1393.97,0.216682,881.861,727.561917891,0.0778514,164000,110.119,12.532,0.00365565,10.497577559000547,0.196657,980,1.5131,2.66128,4.04943882900011,0.0125599,1.57271,-0.508661,15,89.85107162900067,1.11731,32000,-878.983,3.67617,79.4557,108.171,-1.80239,1427.7619921720009,-8.97005,75.30405524100001,710.725583739,-0.109967,314.306,869.184,315.276
112.372,2.09145,1412.73,-0.00260496,0.0857757,74.654541015625,208.977,-2.71634,7.4654541015625,0.00229536,1415.76,0.213238,903.596,773.967714157,0.065614,174000,118.423,13.0854,0.00297271,10.50921679299995,0.221071,1040,0.886837,2.61269,3.998224786999799,0.0107394,1.20482,-0.516034,16,89.72327729799986,1.06539,34000,-899.911,3.31241,84.1027,107.339,-1.71813,1517.4391038490014,-10.0391,75.21583571800011,738.001855921,-0.121122,313.886,892.24,313.045
