Policy mu Max,V Predictions Mean,Q Predictions Max,Policy mu Min,Number of rollouts total,Z mean eval,KL Divergence,Log Pis Mean,Z variance eval,Log Pis Std,Z mean train,V Predictions Std,KL Loss,Total Train Time (s),Number of train steps total,Policy Loss,Policy log std Min,Q Predictions Mean,Epoch,VF Loss,V Predictions Min,(Previous) Eval Time (s),Log Pis Max,Policy log std Max,Policy log std Mean,RF Loss,Q Predictions Std,Epoch Time (s),Sample Time (s),QF Loss,R Predictions Std,R Predictions Mean,Policy mu Std,Number of env steps total,Policy log std Std,Q Predictions Min,AverageReturn_all_test_tasks,R Predictions Min,AverageReturn_all_train_tasks,Policy mu Mean,R Predictions Max,Train Time (s),Z variance train,Log Pis Min,V Predictions Max
0.00535024,0.00279794,-0.000920898,-0.00491891,1080,1.25551,99.52442932128906,-4.02379,0.521166,0.531895,0.00544405,0.00216471,9.95244312286377,354.7562695789995,2000,-3.99831,-0.00500275,-0.00612783,0,16.247,-0.00347792,0,-2.32437,0.00641873,0.00023734,132.194,0.00204249,315.84665713799944,196.83947412599946,265.38,0.00290897,0.000420877,0.00176184,204000,0.00212782,-0.0137806,-327.67572312,-0.00574171,-296.273076824,3.34328e-05,0.010126,119.00718301199998,0.00691492,-5.68149,0.0104833
1.52375,-35.1505,-0.683641,-1.35375,1160,1.00571,56.39699935913086,-3.35863,0.494055,1.16435,1.15622,27.8076,5.639699935913086,512.2204284599993,4000,35.968,-0.654351,-40.5071,1,3.80108,-108.13,38.911257700999954,0.877036,-0.0759399,-0.256894,102.725,28.0371,158.53126590499983,3.993702335999842,26.9269,0.00285031,0.000226892,0.379504,208000,0.0908178,-112.553,-323.199045202,-0.00506,-295.543345241,0.112862,0.00956416,115.62630586800003,0.500877,-9.75029,2.36221
2.01382,-41.4703,6.22793,-1.71302,1240,0.930637,55.43511962890625,-2.91582,0.52222,1.6799,0.368955,53.8552,5.543511867523193,670.7689649949994,6000,40.3717,-0.782664,-46.1267,2,6.24671,-202.987,37.843563654000036,5.07181,0.0531772,-0.27539,72.1143,54.4679,157.73662823099994,3.7385153829999354,37.3331,0.00286979,0.000291619,0.500486,212000,0.131678,-212.944,-292.721832264,-0.00543501,-262.927079121,0.0808567,0.00986233,116.15454919399997,0.358393,-10.5917,10.7497
2.19547,-68.2063,16.7674,-2.30271,1320,1.13864,60.500431060791016,-2.40727,0.479163,2.04369,0.627083,80.8623,6.050043106079102,829.5536566139992,8000,69.7466,-1.01639,-76.2498,3,12.3805,-254.367,38.65553131399997,6.17159,0.131367,-0.328059,93.7749,84.7267,160.0302281469999,3.871525649999967,48.2695,0.00276295,0.000297128,0.600778,216000,0.17182,-270.876,-254.195145174,-0.00541963,-235.671074149,0.0762115,0.00976266,117.50317118299995,0.248925,-7.89503,19.0367
2.2667,-57.7913,25.1892,-2.71432,1400,0.795733,60.20139694213867,-2.41026,0.395568,2.05964,0.149033,94.2057,6.020139694213867,987.7529063949987,10000,57.5538,-1.54519,-63.6142,4,7.23534,-325.051,37.410455516999946,6.8798,0.256951,-0.354884,70.8783,95.4057,157.8976074159998,3.837709684999936,45.493,0.00283617,0.000289262,0.563227,220000,0.212276,-335.999,-197.314796707,-0.00545029,-130.964590454,0.0208918,0.011076,116.64944221399992,0.312159,-9.05733,28.2047
2.4574,-92.3905,25.1783,-2.62019,1480,1.28202,58.14667892456055,-1.85391,0.521494,2.34662,0.277494,102.958,5.81466817855835,1147.005274267999,12000,94.3398,-1.81057,-99.7725,5,15.1918,-420.973,37.71264681599996,9.20469,0.315103,-0.404017,92.0961,103.625,159.39846882000006,3.9286476580000453,71.0828,0.00286593,0.000226604,0.653489,224000,0.233243,-429.136,-154.151346023,-0.00565586,-128.665381352,-0.0526581,0.0100834,117.75717434600006,0.293539,-10.6766,28.7246
2.52313,-101.636,33.0869,-2.62183,1560,1.55527,61.03602600097656,-1.79496,0.550086,2.35743,0.363358,106.781,6.103602886199951,1306.4675742749987,14000,102.343,-1.92972,-108.827,6,11.4736,-507.852,37.56672593799999,6.94827,0.276932,-0.401142,82.6194,108.013,159.64781826000012,3.9431989350002823,47.6191,0.00272706,0.000280108,0.679097,228000,0.241618,-507.978,-130.412554095,-0.00710027,-108.760287548,-0.00758641,0.0100081,118.13789338699985,0.367066,-9.44559,36.9356
2.25901,-33.7494,40.8782,-2.26934,1640,1.14898,61.854454040527344,-2.59607,0.467599,1.89835,0.321467,87.0217,6.185445308685303,1465.032936472999,16000,32.0263,-1.78088,-39.4382,7,19.3039,-425.22,37.38149794999981,6.47509,0.112109,-0.338402,51.6941,87.9242,158.66993348499977,3.853311336999923,35.1461,0.00283329,0.000432351,0.52687,232000,0.207246,-421.788,-130.950595837,-0.00650787,-101.043807669,0.0587195,0.00976859,117.43512419800004,0.291493,-9.16965,45.981
2.51593,-120.75,44.8256,-2.29492,1720,1.25783,58.05296325683594,-1.80657,0.643148,2.3061,0.415991,117.786,5.805296421051025,1623.4990356779988,18000,120.27,-1.9607,-128.976,8,9.04347,-513.623,37.277141232000076,7.9187,0.173411,-0.407526,103.242,118.715,158.43865426599973,3.9094962829997257,45.8544,0.00296666,0.000392443,0.67222,236000,0.241157,-518.212,-106.811626885,-0.00558031,-92.7872058471,-0.0150316,0.0112024,117.25201675099993,0.337745,-9.38783,47.6543
2.46945,-127.312,46.5988,-2.39329,1800,1.13419,67.23953247070312,-1.77596,0.457426,2.32653,0.654573,151.824,6.7239532470703125,1783.2070768779995,20000,128.247,-1.89713,-135.592,9,10.6888,-724.04,37.304914887999985,9.522,0.063275,-0.405443,99.6842,153.615,158.64736867800048,3.985525730000518,47.8454,0.00285032,0.000306728,0.675989,240000,0.234439,-723.765,-101.522504523,-0.00623859,-88.1848585097,0.0147378,0.0107441,117.35692805999997,0.355199,-9.72358,48.8787
