Epoch,VF Loss,Sample Time (s),Q Predictions Std,R Predictions Min,V Predictions Max,Z variance train,Policy mu Mean,Log Pis Max,Policy log std Min,V Predictions Mean,Log Pis Mean,AverageReturn_all_test_tasks,Total Train Time (s),Policy log std Max,Number of rollouts total,R Predictions Mean,Log Pis Std,Number of env steps total,Policy mu Max,Q Predictions Mean,R Predictions Max,Z mean eval,Policy log std Mean,KL Divergence,Z mean train,Policy log std Std,Z variance eval,Policy mu Min,R Predictions Std,Log Pis Min,Q Predictions Max,Q Predictions Min,V Predictions Std,KL Loss,(Previous) Eval Time (s),V Predictions Min,QF Loss,Number of train steps total,AverageReturn_all_train_tasks,Policy mu Std,Epoch Time (s),RF Loss,Policy Loss,Train Time (s)
0,16.293,204.95091679299617,0.00207867,0.00548307,0.00106147,0.0069339,0.000481305,-2.10511,-0.00583862,-0.00311692,-4.02208,-308.150114646,372.73142095999583,0.00310576,1080,0.00993062,0.521994,204000,0.00620413,9.47074e-05,0.014627,0.116511,-0.000883505,99.4560775756836,0.0032248,0.00129175,0.605807,-0.0038216,0.00159925,-5.48135,0.00758382,-0.00615195,0.00138581,9.945608139038086,0,-0.00754605,145.876,2000,-275.998965053,0.00186028,332.2274762399961,69.64,-3.99945,127.27655944699995
1,3.41839,4.3642410000004475,21.2239,0.00538259,1.65383,0.428665,0.12303,1.8895,-0.635373,-30.0608,-3.26829,-309.68610821,541.8322312499968,-0.0728134,1160,0.0100201,1.21228,208000,1.45249,-33.985,0.0152739,0.0345181,-0.263038,29.349401473999023,0.0865392,0.103117,0.51312,-1.37981,0.00166448,-7.91725,-1.24401,-99.8143,21.1928,2.9349400997161865,40.505954202999874,-95.4016,26.6082,4000,-275.562291895,0.401469,168.74915420200045,90.6454,29.3744,123.87895899900013
2,4.78776,4.206009108999751,46.208,0.00466372,6.78932,0.599152,0.0265059,3.54915,-0.870597,-38.7884,-2.77498,-271.316706471,709.8188475879967,0.038614,1240,0.00983353,1.75612,212000,2.00646,-44.883,0.0159441,0.0268897,-0.292894,34.386043548583984,0.481164,0.142056,0.529856,-1.93557,0.00165756,-9.15062,2.99732,-183.146,45.1314,3.4386043548583984,40.858112048000066,-173.308,37.0399,6000,-241.228480858,0.536116,168.37791920999985,71.6194,38.8432,123.31379805300003
3,7.39989,3.9914901839997583,71.8644,0.00521437,12.1857,0.492812,0.079381,5.53992,-1.07071,-43.2812,-2.51256,-273.427467548,878.2457477779969,0.241327,1320,0.0100012,1.97542,216000,2.30187,-49.6862,0.0152296,0.138338,-0.326545,37.067420959472656,0.122772,0.176182,0.534056,-1.97074,0.00165152,-9.00444,9.23891,-314.6,69.7899,3.70674204826355,40.46712886799992,-294.881,45.5729,8000,-244.063154963,0.565626,168.0229344559998,73.2728,43.1037,123.56431540400013
4,9.92086,4.188562364000518,88.2064,0.00521961,20.0249,0.548418,0.00906197,7.77364,-1.5156,-110.383,-1.86938,-153.060134665,1047.2054013899976,0.363616,1400,0.010025,2.22461,220000,2.38288,-117.67,0.0154998,0.0426931,-0.348773,43.98262405395508,0.514445,0.228271,0.441489,-2.27371,0.00162566,-7.69047,16.9129,-381.842,87.3551,4.3982625007629395,40.87105477100022,-378.675,65.3134,10000,-139.78839352,0.680353,169.66480988500098,119.31,110.213,124.60519275000024
5,11.1016,4.228283918000216,128.509,0.00487361,21.8257,0.553349,4.304e-05,8.69599,-1.74606,-92.8415,-2.20971,-130.346063898,1216.7537252109976,0.330413,1480,0.00997304,2.17834,224000,2.08874,-99.9135,0.0152881,0.176739,-0.358786,45.84331512451172,0.92246,0.224125,0.751101,-2.72832,0.00174472,-10.6723,21.8244,-467.376,126.394,4.584331512451172,40.16607190900004,-458.356,52.8316,12000,-119.772373183,0.612194,169.1492022270004,88.0222,92.534,124.75484640000013
6,11.8925,4.14506919599944,150.816,0.00567101,34.8717,0.647696,-0.019822,7.56751,-1.89796,-120.74,-1.69049,-109.165139872,1391.9696827479972,0.189696,1560,0.00982349,2.43033,228000,2.34833,-126.832,0.0144865,0.184174,-0.394912,56.3310661315918,0.94067,0.243719,0.86524,-2.37123,0.00166897,-10.8097,31.0145,-574.048,150.018,5.633106708526611,40.565635377000035,-574.212,54.187,14000,-105.171584202,0.697705,175.42156371099964,94.6718,119.354,130.71085913800016
7,11.3537,4.050581050999426,142.481,0.00557958,35.9474,0.533328,-0.073057,8.02057,-1.92595,-154.011,-1.28865,-108.704996889,1559.2650650239968,0.077212,1640,0.0100801,2.61483,232000,2.56353,-160.847,0.0151986,0.10167,-0.391741,53.83687973022461,0.313382,0.242115,0.734039,-2.56798,0.00164143,-10.5641,33.1781,-676.827,141.3,5.383687973022461,40.36027612299995,-671.905,62.3103,16000,-96.2864502423,0.764952,167.19375984799944,107.113,153.757,122.78290267400007
8,10.9836,4.27030168400006,103.237,0.00499658,50.7887,0.685235,0.0117822,7.0462,-1.95536,-55.6227,-2.21384,-101.068674182,1727.9225350689974,0.088467,1720,0.009693,2.1421,236000,2.29675,-63.0995,0.0155207,0.0396747,-0.39391,44.30689239501953,0.420277,0.225317,0.525025,-2.41206,0.00171004,-10.1175,45.4961,-432.786,100.149,4.430689334869385,40.46219441099993,-417.369,41.5675,18000,-92.1243986628,0.589992,168.71341094499985,73.4154,56.2713,123.98091484999986
9,7.51058,4.180626471999858,128.469,0.00472395,48.3132,0.776406,-0.00739549,9.97051,-1.79218,-75.947,-2.16989,-112.011136144,1896.2413882449966,0.142445,1800,0.00980593,2.2357,240000,2.329,-82.003,0.0156815,0.174484,-0.355305,49.48511505126953,0.545724,0.224966,0.696169,-2.18576,0.00171241,-8.1912,44.7896,-698.113,127.7,4.948511600494385,40.40657411300026,-697.461,44.4953,20000,-98.2978226584,0.611336,168.21168119499998,67.687,75.4743,123.62448060999986
10,6.10585,4.156031709997478,149.618,0.00481524,61.3147,0.787735,0.0626518,7.682,-1.95891,-44.6782,-2.72078,-94.9732843737,2064.915423147995,0.166579,1880,0.00959561,1.91406,244000,2.33195,-49.6726,0.0153615,0.0593259,-0.310319,64.31552124023438,0.771262,0.191903,0.5971,-2.05572,0.00166524,-7.39125,56.8312,-726.059,148.543,6.431552410125732,40.51382198900001,-726.407,27.5165,22000,-85.6046342784,0.520113,168.84524754099766,62.7524,43.9757,124.17539384200018
11,11.1853,3.9510412279987577,160.64,0.00492218,45.773,0.441642,-0.0313694,8.57166,-1.93345,-139.78,-1.92393,-74.271101268,2233.7519810749936,0.16131,1960,0.00999538,2.16388,248000,2.39829,-146.235,0.0147399,0.0929795,-0.390619,49.84396743774414,0.342047,0.223368,0.60704,-2.41935,0.00174051,-8.15775,43.1567,-801.235,159.85,4.984396934509277,40.34264571099993,-791.028,70.7931,24000,-76.2051362177,0.649384,169.06253598099875,75.9197,138.902,124.76884904200006
12,9.47354,4.041234561000692,103.321,0.00526243,54.0069,0.946062,-0.00480678,7.8025,-1.85373,-49.7126,-2.51814,-77.0276659439,2401.5567375609935,0.0939151,2040,0.00958448,1.96596,252000,2.29138,-56.7766,0.0149403,0.0828119,-0.353193,41.67469024658203,0.568233,0.20421,0.82686,-2.31583,0.00171041,-10.0079,49.4338,-506.875,101.413,4.167469024658203,40.116908172999956,-503.617,31.6701,26000,-71.2862368059,0.554843,167.91873094000084,69.1361,51.0251,123.7605882060002
13,10.3969,4.162703219999912,107.725,0.00513135,43.2895,0.608812,-0.0137299,6.44053,-1.89849,-77.2383,-2.24503,-75.8876576861,2571.059434078994,0.10223,2120,0.00989409,1.94211,256000,2.28276,-83.2251,0.0164479,0.0782039,-0.404094,39.79354476928711,0.379198,0.205581,0.727405,-2.27227,0.00175206,-9.20128,41.1255,-655.968,106.156,3.9793546199798584,40.00347033800017,-640.643,41.9514,28000,-67.30089061,0.598844,168.72763108200024,70.0092,76.7933,124.56145752400016
14,8.62798,4.127188528999795,120.481,0.00537485,59.1037,0.508943,0.0092785,8.32355,-1.8256,-91.6926,-2.15112,-65.9145111326,2740.7015949819943,0.181425,2200,0.00995803,2.09157,260000,2.36803,-99.2822,0.0154764,0.10587,-0.394163,36.551544189453125,0.438403,0.218314,0.503128,-2.24742,0.00169687,-8.52451,55.1921,-621.588,119.616,3.6551544666290283,40.77933087500014,-611.406,36.7089,30000,-63.2318952621,0.613379,169.90097358599996,74.5216,92.0254,124.99445418200003
15,9.53684,3.946132206999664,160.902,0.00565216,60.985,0.914858,-0.0283272,7.64739,-1.85053,-128.943,-1.98713,-59.0661873624,2909.231893401993,0.16645,2280,0.00993286,2.19519,264000,2.16441,-135.692,0.015198,0.102656,-0.396831,50.01618957519531,0.577148,0.217511,0.562899,-2.12138,0.00165552,-9.93988,59.3084,-850.01,159.594,5.0016188621521,40.52023292600006,-847.49,44.0565,32000,-55.9897498812,0.637283,168.5470493439998,77.5262,128.782,124.08068421100006
16,11.4935,4.211162092003178,146.731,0.00513628,56.543,0.518594,-0.00912487,9.09956,-1.90232,-112.538,-1.98462,-62.6859252872,3078.765207896995,0.133514,2360,0.00976085,2.12822,268000,2.44405,-120.639,0.0146949,0.0856124,-0.402467,44.46483612060547,0.0518626,0.215311,0.558011,-2.22455,0.00158298,-8.76847,52.1744,-783.103,144.872,4.446483612060547,40.50440327599972,-773.084,44.0472,34000,-57.0658703301,0.638831,169.3583205820023,74.9156,113.834,124.64275521399941
17,10.9415,4.130619624001156,183.537,0.00496709,72.0983,0.490803,-0.0287722,8.29232,-1.95917,-166.149,-1.56807,-65.1732103291,3246.8779790719955,0.128249,2440,0.0100492,2.31366,272000,2.44644,-174.424,0.0166097,0.0962451,-0.404637,58.4705924987793,0.333331,0.235733,0.690753,-2.52781,0.0016735,-8.15516,68.3016,-902.694,182.111,5.84705924987793,40.679248708999694,-898.409,46.0004,36000,-55.7564295637,0.703862,168.99143207500128,119.407,166.312,124.18156374200044
18,9.90669,4.07603232099973,150.174,0.00545492,48.5085,0.553722,-0.0254085,8.30375,-1.89609,-116.631,-1.99367,-59.3891811281,3414.3931365559947,0.0840909,2520,0.0098696,2.15384,276000,2.52861,-123.351,0.0148227,0.099305,-0.405756,41.11697769165039,0.137724,0.210579,0.491488,-2.26342,0.00168401,-9.62262,45.0879,-949.242,148.996,4.111697673797607,39.80073162700046,-944.752,44.0597,38000,-57.1548824419,0.633799,167.9543407400006,49.9359,116.635,124.0775767920004
19,12.0771,4.161120441000094,216.516,0.00513039,75.2337,0.483053,0.000482756,11.4996,-1.97452,-161.874,-1.84915,-58.1661834014,3584.685784657994,0.208781,2600,0.00986068,2.38771,280000,2.55285,-169.539,0.0146821,0.10484,-0.388278,66.57942962646484,0.475499,0.237991,0.589574,-2.3225,0.00171594,-8.66418,72.6053,-1077.99,216.177,6.657943248748779,39.36245543899986,-1080.76,54.1746,40000,-54.7407298465,0.670891,169.89725954999994,88.7048,162.767,126.37368366999999
20,6.70081,4.161007820001032,121.386,0.00421286,68.2032,0.455433,0.0178034,8.49127,-1.86237,-52.0246,-2.4138,-65.3019468539,3752.552858148996,0.0909442,2680,0.0097477,2.07281,284000,2.27725,-58.6395,0.0150432,0.100898,-0.371126,44.686668395996094,0.129331,0.211973,0.743536,-2.31626,0.00171435,-10.1936,64.3014,-720.322,120.013,4.468667030334473,39.75794940800006,-713.268,30.2181,42000,-53.6046050803,0.5702,167.46850027000164,51.4918,51.7206,123.54954304200055
21,12.0289,4.098933602000216,114.581,0.00551608,76.7751,0.682552,0.00313352,6.57688,-1.97018,-76.5422,-2.04408,-57.9687570239,3920.3506939929957,0.0830806,2760,0.00989186,2.11406,288000,2.32756,-83.9821,0.0161618,0.0940432,-0.397404,47.010128021240234,0.216132,0.229247,0.434624,-2.27504,0.00168877,-10.6807,71.5932,-750.381,112.752,4.701013088226318,40.15752500899998,-747.568,36.7486,44000,-54.8462077225,0.616087,167.84455932700075,61.7338,75.0933,123.58810071600055
22,9.64244,4.200363811999523,179.544,0.00530687,74.5373,0.440119,-0.0145755,18.477,-1.91396,-111.746,-2.14148,-58.9431941415,4088.028701202995,0.0890166,2840,0.00967095,2.23236,292000,2.45079,-118.023,0.0149524,0.0621807,-0.392323,49.17561340332031,0.294556,0.226297,0.566427,-6.19309,0.00150555,-8.35863,71.3185,-984.078,178.592,4.9175615310668945,40.11065504099952,-982.044,32.9912,46000,-56.0060849798,0.621198,168.06835099199907,56.0243,111.513,123.75733213900003
