V Predictions Mean,Epoch,Q Predictions Mean,KL Divergence,R Predictions Max,Policy mu Std,AverageReturn_all_test_tasks,KL Loss,Policy log std Min,V Predictions Min,R Predictions Std,QF Loss,VF Loss,Policy Loss,R Predictions Min,V Predictions Max,Epoch Time (s),Policy mu Min,Z variance train,Log Pis Std,Z variance eval,Z mean train,Q Predictions Max,Z mean eval,Policy mu Max,Q Predictions Std,Policy log std Max,Log Pis Min,Q Predictions Min,Number of env steps total,(Previous) Eval Time (s),RF Loss,Total Train Time (s),Log Pis Mean,Policy log std Mean,Policy log std Std,Log Pis Max,Number of rollouts total,R Predictions Mean,Train Time (s),Policy mu Mean,V Predictions Std,AverageReturn_all_train_tasks,Number of train steps total,Sample Time (s)
0.000294707,0,-5.11051e-05,99.46700286865234,0.00469703,0.00193145,108.312706086,9.946700096130371,-0.00236781,-0.00398229,0.0027202,47.6769,16.2825,-3.99922,-0.00694051,0.00516345,222.41730607399904,-0.00524468,0.00693117,0.539359,0.208464,0.00473286,0.00748337,0.0976661,0.00648344,0.00188117,0.00432243,-6.86329,-0.00676769,84000,0,22.9027,246.73873649699863,-4.0149,0.000833733,0.00105912,-1.85867,9117,-0.000213173,120.86024296899996,-0.000648265,0.0013796,74.4947014374,2000,101.55706310499909
70.8775,1,52.9975,36.30084991455078,0.00481921,0.42901,119.5801352,3.630084991455078,-0.776021,-11.9877,0.00252736,153.324,19.3927,-73.7961,-0.00736918,121.21,150.69505343899937,-0.276976,0.366069,2.89277,0.0947092,0.077168,109.831,0.332873,2.52195,27.3901,0.133015,-10.8811,-37.6739,88000,24.323492407999765,34.6931,393.88291782599845,2.06105,-0.423459,0.170912,10.3668,9184,-0.000120792,120.973948586,1.12462,21.0547,140.632077087,4000,5.397612444999595
166.841,2,137.545,67.73643493652344,0.00494286,0.792111,132.491043453,6.773643493652344,-1.38124,-20.7413,0.00267526,391.112,45.2333,-167.586,-0.00693757,245.804,146.99015998799996,-2.5846,0.0514982,3.76342,0.0439681,0.966047,235.835,0.275167,3.09121,62.1027,0.124174,-7.96427,-50.0784,92000,20.77212104499995,25.5782,540.9006273709979,1.00169,-0.482954,0.285319,18.674,9261,-7.2575e-05,121.52258326299989,0.707524,41.8556,151.965832559,6000,4.695455680000123
210.085,3,180.919,133.73219299316406,0.00483696,0.775633,106.870722396,13.37321949005127,-1.45448,-29.2446,0.00256318,680.266,83.1735,-211.64,-0.00670622,350.447,147.45725018800022,-3.70761,0.0606738,4.41746,0.0429055,0.606725,331.326,0.87171,3.61331,78.3807,0.105595,-9.55333,-60.3071,96000,20.80011305700009,40.3152,687.2660512939979,0.522796,-0.436652,0.265525,28.2036,9341,-0.000238749,121.88718977899998,0.684152,56.5831,118.357438777,8000,4.769947352000145
259.447,4,230.474,105.39390563964844,0.00440189,0.772647,129.123823434,10.539390563964844,-1.84714,-23.435,0.00241391,1102.99,226.098,-258.13,-0.00675957,391.933,146.73625329299875,-3.15594,0.0409669,4.4223,0.0266528,0.548979,384.046,1.14906,3.45842,81.8987,0.13144,-9.84555,-105.28,100000,19.708534429999872,38.8196,835.2671031009972,-0.640715,-0.367125,0.227532,23.6116,9435,-0.00016192,122.24567994299969,0.448625,50.822,125.592772226,10000,4.782038919999195
308.865,5,272.105,108.25225830078125,0.00430983,0.809485,101.183901594,10.825225830078125,-2.18171,-42.8849,0.00245384,1962.89,281.872,-301.93,-0.00678461,411.6,146.59204395299912,-3.6089,0.0199689,4.97913,0.0135895,0.595258,397.443,0.848777,4.17017,104.016,0.0614247,-9.85229,-89.1089,104000,20.97385598799974,52.1313,981.1210118539962,-0.268539,-0.460027,0.274158,31.6488,9525,1.89721e-05,120.83921255999985,0.445713,64.0326,120.152228078,12000,4.778975404999528
354.713,6,318.141,135.01416015625,0.0048153,0.805522,83.5254458695,13.501416206359863,-2.1105,-28.2957,0.00263523,1111.65,191.291,-356.629,-0.00649183,492.593,146.22761709899942,-3.79842,0.0392843,4.76897,0.00943409,0.869147,500.081,0.938147,3.68887,116.265,0.114638,-8.09097,-104.578,108000,20.236451577000025,27.6628,1127.8070564049958,-0.068822,-0.507433,0.333143,26.7621,9621,-0.000275716,121.28610558299988,0.440944,64.2866,95.1917524804,14000,4.705059938999511
358.032,7,318.188,147.7834014892578,0.00465383,0.868856,91.8529165247,14.778340339660645,-2.30239,-14.3541,0.0025535,1163.91,136.763,-361.907,-0.00627555,459.166,146.67323139699965,-3.57924,0.0108766,4.61423,0.00827267,0.964,444.273,0.986874,4.62066,121.572,0.0842569,-9.71274,-68.7868,112000,20.694481104999795,44.6966,1274.919245014994,-0.112894,-0.501185,0.367007,28.2066,9716,-0.000120357,121.25032283499968,0.281529,62.261,105.58215858,16000,4.72842745700018
381.268,8,348.072,129.1172637939453,0.00455061,0.849841,103.349073285,12.911726951599121,-2.14569,-20.5924,0.00250643,1534.38,251.021,-384.784,-0.00672281,506.76,147.2042273129955,-3.92361,0.0109978,4.55741,0.00651199,0.719372,499.689,0.960203,4.12707,123.445,0.0842557,-10.452,-104.564,116000,21.13375576099952,39.961,1422.6688698289909,0.126357,-0.505925,0.309276,29.6093,9817,6.67445e-05,121.27062652699988,0.441482,80.4848,91.1936594155,18000,4.799845024996102
401.63,9,360.443,156.17320251464844,0.00484691,0.888731,135.53498517,15.61732006072998,-2.64133,-48.8131,0.0026968,1363.43,346.202,-398.966,-0.00713421,565.32,147.6273450560011,-5.67187,0.00489993,4.68674,0.00527477,1.79037,550.979,1.12202,6.4648,147.719,0.470187,-10.416,-79.3842,120000,21.67950290800036,35.5371,1569.799108775991,0.928015,-0.572695,0.364302,31.5788,9907,-0.000387928,121.29762834400026,0.527061,104.254,127.019901088,20000,4.650213804000487
405.477,10,370.555,149.89088439941406,0.00457661,0.900823,129.142865625,14.989089012145996,-2.26824,-98.8595,0.00256173,1314.78,298.419,-404.935,-0.00665109,639.889,148.5257825610015,-3.25878,0.0100205,4.519,0.0061711,1.17532,632.339,1.06997,4.52557,150.735,0.119178,-8.65092,-133.57,124000,21.18288960999962,36.846,1718.096434284992,1.15547,-0.531583,0.302073,26.789,9994,-0.000393929,122.33906062599999,0.602616,119.105,118.697118801,22000,5.003832325001895
455.24,11,413.557,146.40504455566406,0.00462928,0.894412,150.231172951,14.640504837036133,-2.3011,-18.71,0.00225882,1239.24,353.266,-455.056,-0.00656155,637.15,147.25259701499908,-4.99593,0.00441193,4.6949,0.00519732,0.837334,610.48,1.15638,4.28374,159.495,0.278457,-8.90238,-93.8215,128000,20.954515313999764,52.7298,1865.4589187669908,0.698519,-0.514563,0.300825,32.2211,10081,0.000189073,121.49948551000034,0.530093,107.779,151.648569814,24000,4.798596190998978
456.525,12,404.077,139.81378173828125,0.00452695,0.89177,156.199514979,13.981378555297852,-2.46159,-32.045,0.00256339,1130.53,239.551,-457.663,-0.00693789,617.894,146.97131225499925,-4.26993,0.00413445,4.47199,0.00445121,1.28895,609.592,0.948643,3.75664,174.275,0.227436,-8.59352,-61.1116,132000,21.064906785999483,36.1747,2012.1813946759912,1.18733,-0.569716,0.32917,28.0985,10161,-0.000310992,121.20369700099945,0.573228,121.018,152.711517473,26000,4.70270846800031
516.164,13,459.068,166.8829803466797,0.00441489,0.980463,150.579494974,16.68829917907715,-2.38438,-14.2961,0.00243935,1064.97,297.154,-517.415,-0.00680609,702.162,147.1012210980025,-4.69824,0.0048262,4.86021,0.00449246,1.37974,683.436,0.638273,6.02308,193.395,0.165981,-10.7857,-87.5435,136000,20.816303369000707,28.5096,2159.027863802995,1.33192,-0.550446,0.341214,30.7365,10247,0.000247364,121.45726376700077,0.509001,141.011,173.522709629,28000,4.827653962001023
463.826,14,430.262,152.06085205078125,0.00455234,0.946224,150.716774611,15.206085205078125,-2.4925,-27.7312,0.00248631,1445.58,561.394,-464.329,-0.00667514,636.013,146.80132410799797,-5.54225,0.00182007,4.729,0.00425627,1.15818,632.49,0.976518,4.83476,177.468,0.250826,-8.83687,-47.3382,140000,20.561865196000326,48.2961,2305.9424485219934,0.920336,-0.515752,0.312478,34.5028,10325,-0.000240833,121.55151747899981,0.492309,143.075,117.493868548,30000,4.687941432997832
498.741,15,457.987,185.35842895507812,0.00443496,0.935993,126.981830081,18.535842895507812,-2.98481,-42.6267,0.00251403,1343.52,332.697,-500.534,-0.00649701,730.003,146.4568653289989,-5.67723,0.00369062,4.7698,0.00316408,0.593823,701.171,0.964522,7.51058,185.334,0.381352,-10.6564,-77.5562,144000,20.675602741999683,50.5155,2452.645565354992,1.21122,-0.574267,0.361666,41.2507,10410,-0.000368149,121.08366436100005,0.545447,145.5,117.587733308,32000,4.697598225999172
