AverageTrainReturn_all_train_tasks,Policy mu Std,V Predictions Mean,Log Pis Std,(Previous) Eval Time (s),V Predictions Max,Policy log std Mean,Policy log std Max,Epoch,Policy mu Min,Number of train steps total,Sample Time (s),QF Loss,VF Loss,Log Pis Min,Number of rollouts total,KL Loss,KL Divergence,Number of env steps total,AverageReturn_all_train_tasks,Epoch Time (s),Policy log std Min,Z variance train,Z variance eval,Q Predictions Min,Z mean train,Total Train Time (s),Train Time (s),AverageReturn_all_test_tasks,Policy mu Max,Policy mu Mean,V Predictions Min,Q Predictions Mean,Log Pis Mean,Q Predictions Max,Policy log std Std,Log Pis Max,Z mean eval,Policy Loss,V Predictions Std,Q Predictions Std
167.75218021249822,0.0014533777,-0.009974946,0.6279529,0,-0.0060816174,-0.00019366923,0.005181878,0,-0.00535852,4000,12.63490935601294,58.453373,29.421444,-7.396302,0,4.915319,49.15319,9826,169.95950453866521,133.38558367732912,-0.005449307,0.0027052213,0.1569477,-0.0053424644,0.0018146619,150.72616565227509,120.75067432131618,167.97108604631606,0.0032067485,-0.0008362789,-0.016270146,-0.0006700744,-5.3973017,0.0065236217,0.0016998585,-3.508279,0.05007406,-5.3776913,0.0018456143,0.0019118267
131.39230929005055,0.30686185,66.84141,1.459029,17.34298423025757,89.27511,-0.66171277,-0.07599066,1,-1.3575141,8000,7.373026190325618,41.4925,10.947239,-9.478612,0,0.13852921,1.385292,15417,120.12954202486728,150.7720743007958,-1.1492771,0.62366885,0.09788314,14.455931,0.08545786,302.1592866573483,126.0560638802126,127.82199074999802,1.221064,-0.008389153,34.009995,61.758533,-3.4981585,88.98664,0.14105965,1.0792776,0.02284832,-65.98668,5.638426,7.9759817
156.82254930732634,0.46293443,127.42707,1.7730535,18.00416979752481,179.04002,-0.6427554,0.03421108,2,-1.7307794,12000,7.553764791227877,81.776886,20.406725,-10.094555,0,0.39545843,3.9545841,21229,163.194077125494,157.2004237184301,-1.1183878,0.34404036,0.09458683,66.1957,0.031254657,459.2277601705864,131.64248912967741,170.66635368133944,1.7496377,-0.0043156478,75.2676,124.840256,-2.9079719,184.51065,0.14753944,4.616891,0.010380181,-125.87626,10.874633,12.275723
146.93759273011284,0.40209565,163.09589,1.6676036,17.872659823857248,202.06209,-0.65050507,-0.056928754,3,-1.6629734,16000,7.651080388575792,62.118645,16.74643,-10.028282,0,0.4231951,4.2319508,26807,171.40448970547268,159.14851982612163,-1.1185461,0.3573257,0.04215608,97.128975,0.014308838,619.9172037988901,133.6247796136886,183.1868099507978,1.590248,0.0022173491,121.335464,160.57774,-3.1842182,209.14598,0.12755482,2.1641643,0.29396132,-163.49101,10.5637455,12.156513
136.25901877753182,0.3567047,191.68259,1.5809762,19.413734478875995,240.2918,-0.6828408,0.038910583,4,-1.3671211,20000,7.629411151632667,60.15074,19.964336,-10.949698,0,1.5564712,15.564713,32497,137.22937942640976,187.85805887449533,-1.1532176,0.12760787,0.036994748,139.29077,0.5931842,820.6281029470265,160.81491324398667,150.7770008304518,1.7897561,0.0146877505,142.41777,189.88892,-3.1461473,242.92914,0.14282732,2.7287488,0.7683489,-193.6293,11.923706,12.940542
111.0693755329313,0.37721902,216.42729,1.6189331,32.267055484466255,257.58078,-0.78427756,-0.046492793,5,-1.492,24000,11.628933851607144,91.93693,33.026463,-9.814766,0,1.6249522,16.249521,38236,118.31979620076791,201.66159303113818,-1.1988902,0.09490299,0.032964375,163.06111,0.19282027,1011.0965256914496,157.76560369506478,126.53656560491717,1.7220197,-0.024243414,177.23718,211.60107,-2.5633807,262.01178,0.13944559,3.9714355,0.57576287,-215.00618,11.0061455,13.369452
107.20074264513184,0.44111228,240.23988,1.8545357,21.074325525201857,308.22638,-0.77001405,-0.14690024,6,-2.0819435,28000,8.205633607693017,93.606155,52.059418,-10.496685,0,2.052637,20.526371,43769,117.36437507750486,170.7248928770423,-1.1973332,0.07440941,0.03357432,187.21887,0.2637059,1180.0073594395071,141.44493374414742,146.68984561271043,2.0202093,0.002828279,192.95717,236.9377,-2.400954,298.12384,0.13186266,5.837143,0.12043147,-236.71458,14.712565,16.932693
143.9959366192657,0.49574992,270.44455,1.985979,19.260154402814806,378.0139,-0.7708671,-0.18205297,7,-1.9700485,32000,7.948342042975128,159.74738,50.4412,-11.252443,0,3.3003087,33.003086,49699,121.90137516829236,155.0348021807149,-1.3349363,0.071942925,0.03033704,192.41876,0.11019564,1332.8060966255143,127.82630573492497,151.14314688789923,2.0367103,-0.0024461031,196.40512,270.88272,-2.0494292,371.24454,0.14109017,5.362608,0.2683157,-272.7555,26.874224,27.651419
111.04153231180604,0.46405798,294.6984,1.9572521,17.024397938512266,391.02695,-0.8649806,-0.30961925,8,-2.1606083,36000,7.376303281635046,104.667816,38.95981,-9.656864,0,2.9126484,29.126484,55364,165.24392026783065,158.04858501721174,-1.3420557,0.05985068,0.02665262,193.29248,0.6989673,1494.6188947074115,133.64788379706442,144.61747738853862,1.8750405,-0.022640778,208.40733,290.3071,-1.6727462,389.6472,0.13704696,6.4801326,0.019516047,-293.20416,28.914822,30.332764
89.06151644554008,0.4526754,307.36554,1.9096153,20.788768293336034,391.2969,-0.8764796,-0.31744176,9,-1.683942,40000,8.57874317560345,105.511345,47.222603,-8.844109,0,2.4040267,24.040266,61170,151.18588567976803,164.1338237412274,-1.2995367,0.06659404,0.021152154,210.47124,0.43174648,1654.5467764865607,134.7663122722879,80.82068835345301,1.8612471,0.041862834,220.39305,302.3969,-1.719387,390.4354,0.12383041,4.3299828,1.1116679,-305.48596,25.192005,26.997957
102.16594084430167,0.45153633,310.57892,1.8566537,16.582923061214387,427.4669,-0.86278784,-0.20593387,10,-1.7759051,44000,7.227150019258261,181.1584,62.260765,-9.3334055,0,2.4449284,24.449284,66963,69.40768904471412,149.86542437784374,-1.4524972,0.07514264,0.022918327,225.97556,0.24064088,1806.3221134738997,126.05535129737109,122.72869004615157,1.9769284,-0.027768897,229.20018,308.11023,-1.766283,423.08954,0.13415268,4.652499,0.9168646,-308.47128,25.322203,27.448708
71.53812756704217,0.47521967,328.58734,1.8672597,18.493170771747828,457.76813,-0.86281776,-0.13477027,11,-2.847368,48000,6.97119471244514,114.31862,50.384697,-8.287373,0,2.8666863,28.666862,72224,129.387999115548,155.26967530604452,-1.3131908,0.06179732,0.021155728,247.1559,0.7157935,1962.297920556739,129.80530982185155,142.17357205407734,2.0945837,0.00488378,247.61867,327.92743,-1.6216528,456.68784,0.13541734,5.6685853,1.4548639,-330.4278,29.769806,30.951818
120.20449399123859,0.45319763,335.48914,1.9330631,19.198923598974943,462.80377,-0.88059765,-0.3238998,12,-1.983972,52000,7.448002899065614,126.17914,47.89381,-10.558795,0,2.780044,27.80044,77846,106.80786514215063,147.01542566902936,-1.3875957,0.08090955,0.021317651,219.70099,0.5573684,2109.8357841065153,120.3684991709888,153.45702384271604,2.4457304,-0.00330971,235.01945,331.505,-1.6277487,456.9405,0.13487352,6.5564303,1.0017965,-335.95435,31.428911,32.921806
91.6563879404121,0.48493433,371.38287,1.9830304,19.72147972136736,501.95245,-0.8849366,-0.2715303,13,-2.1877816,56000,7.110476070083678,176.61534,50.086517,-8.547031,0,3.8011055,38.011055,83322,174.5804328134514,155.78991938754916,-1.4459617,0.091847435,0.019526504,214.66515,0.84687024,2264.802717687562,128.95796359609812,186.9831944519965,2.1668386,0.00039395038,223.12134,366.8438,-1.4955182,484.4708,0.14109887,4.6840234,0.25338256,-370.87848,41.01942,41.574722
