Z mean eval,Q1 Predictions Mean,Q1 Predictions Std,Q2 Predictions Min,AverageReturn_all_test_tasks,Policy mu Mean,Train Time (s),Number of rollouts total,Q2 Predictions Mean,Epoch,Q1 Predictions Min,Q1 Predictions Max,AverageTrainReturn_all_train_tasks,Number of train steps total,(Previous) Eval Time (s),Policy mu Min,Q1 Loss,Alpha Loss,Alpha,Q2 Predictions Max,Q2 Loss,Policy mu Std,Log Pis Min,Policy Loss,Policy log std Min,Log Pis Mean,Policy log std Max,Log Pis Std,Total Train Time (s),Policy log std Std,Log Pis Max,Epoch Time (s),Number of env steps total,Z variance eval,Sample Time (s),Q2 Predictions Std,Policy log std Mean,Policy mu Max,AverageReturn_all_train_tasks
3.4315834,0.07729397,0.49168292,-1.2550864,70.60723410502163,-0.059751123,279.0285821156576,0,0.08285746,0,-1.7905177,1.7440083,67.83837732843533,4000,0,-4.178098,60.70186,0.0,0.99970007,2.0513082,60.815254,0.8200865,-10.025822,0.7441775,-2.5378823,1.708075,2.0,6.526633,326.7718895981088,0.723792,33.31256,295.8806833848357,9902,0.0,16.852101269178092,0.46030682,0.15755035,3.6005726,79.17633113826588
4.276024,-10.800674,12.439981,-64.07866,94.82585231917592,-0.027554903,286.46921626478434,0,-11.023936,1,-60.976967,34.695793,104.68754657391783,8000,30.896473268046975,-2.0336773,31.335094,-8.976862,0.32789594,27.282522,31.396982,0.4984853,-9.151767,5.680539,-1.7055182,-0.052420113,-0.33304495,2.1084135,653.3630237597972,0.24280164,5.738285,327.56230524461716,15528,0.0,10.196615711785853,12.395244,-1.1007724,2.0522509,99.37659576210164
4.469738,-0.80541867,26.500547,-100.18137,124.4853878679241,-0.068797044,373.3762566950172,0,-1.2056155,2,-99.301605,90.38884,122.82035918648629,12000,29.923184098675847,-2.3212876,129.5748,-4.4638867,0.13938372,84.30709,123.6992,0.44114515,-3.9795928,-6.6542277,-2.5765352,5.7345,-0.56067735,2.3386521,1070.3808653894812,0.27657756,11.493074,413.37218495458364,20865,0.0,10.07274416089058,26.11508,-1.9479549,1.9693873,122.59063285209169
3.1541703,42.18788,26.412432,-91.97435,129.37391532754685,-0.062470146,334.2511656852439,0,42.460087,3,-93.27069,108.808624,139.99971129242613,16000,33.5714105842635,-2.2707553,82.31891,-1.1878846,0.09807765,113.700424,84.80001,0.40157455,-1.2073398,-49.570065,-2.6653566,7.488428,-1.0460114,2.1219862,1444.2345765978098,0.21892478,12.824762,377.00027026608586,25905,0.0,9.177693996578455,26.624771,-2.179765,1.644039,147.71706794818826
3.5137646,90.518394,23.38109,-21.780827,148.54819360342862,-0.040830262,353.214819827117,0,90.43384,4,-30.176836,170.82501,165.82082924264057,20000,30.42523263953626,-1.8697798,78.035995,0.43981165,0.08810618,173.22148,92.354294,0.3528002,-1.4019244,-98.019104,-2.8359392,8.181044,-1.5328019,2.0880525,1836.7981866719201,0.16818807,14.1563635,393.1423923317343,31105,0.0,9.502339865081012,23.427572,-2.3105805,2.3959906,151.26785656406503
3.4110026,117.42418,24.398336,-1.5186939,160.15900805178435,-0.012823305,366.00829290319234,0,118.13275,5,-4.193895,199.97658,171.18318934783855,24000,29.847344420850277,-1.7090617,73.49776,-1.2223027,0.09372785,194.22363,71.410934,0.34157324,-1.2473862,-124.72542,-2.8159928,7.483645,-1.4239433,2.2055504,2247.8203621366993,0.16120581,14.915611,405.470714061521,36422,0.0,9.615076737478375,24.18208,-2.2438035,2.259154,138.29703360793593
3.3370132,144.27649,27.165092,22.273624,152.30258637118249,-0.03655117,331.2418041303754,0,144.38422,6,-2.231772,234.94746,148.19181876502554,28000,35.39725561719388,-2.3168812,173.84235,0.75164795,0.10815871,232.41739,159.21971,0.36671177,0.96039987,-150.01826,-3.109217,8.337944,-1.525237,2.3393188,2620.2147381538525,0.1784508,18.42811,377.08637099713087,41547,0.0,10.447311249561608,27.104975,-2.321345,2.2732437,152.0980705451439
3.4349263,167.13498,27.915226,-9.155659,152.9345051530485,-0.062029153,344.62658171821386,0,166.70203,7,-5.1547446,236.13835,118.4306852228201,32000,30.707910975441337,-4.182666,93.4706,1.1445184,0.11003961,249.04677,119.35734,0.39112765,-3.047245,-172.97882,-3.099377,8.518591,-1.2541761,2.468065,3001.696027075872,0.17204802,20.708857,384.4883745023981,46547,0.0,9.15388180874288,28.125206,-2.3423333,2.4030538,141.69801789371638
4.880047,189.75536,27.619516,-16.067982,150.07837692208284,-0.014649823,367.7843521637842,0,189.39024,8,-11.381428,252.54544,138.7498269257507,36000,27.703986380249262,-2.4526694,76.50769,0.50483346,0.11554878,254.21434,79.36914,0.37185144,-1.8259615,-195.55304,-3.4210916,8.233927,-1.2736714,2.4630234,3410.0035883933306,0.1793338,17.847647,404.2856934564188,51547,0.0,8.797354912385345,28.029257,-2.319534,2.4240758,138.9389332011472
4.8120065,217.00833,30.043438,-44.611534,147.0496751507847,0.02822515,313.0799606302753,0,217.8533,9,-56.592323,290.32996,151.27864573336726,40000,31.723369255661964,-1.8426048,124.68551,-0.853786,0.118084155,293.45062,130.64926,0.36857104,-0.7883884,-224.85652,-2.9658325,7.600359,-1.2631649,2.25257,3765.3891441402957,0.1676913,18.461618,355.35653017647564,56547,0.0,10.55320029053837,29.233103,-2.224784,2.330219,152.12147393629385
