Policy log std Mean,KL Divergence,Policy mu Mean,Log Pis Max,Number of rollouts total,AverageReturn_all_train_tasks,Q Predictions Min,KL Loss,Z mean eval,Log Pis Min,Z variance eval,Policy log std Std,Sample Time (s),Policy mu Min,Policy Loss,Epoch Time (s),V Predictions Mean,V Predictions Std,QF Loss,Total Train Time (s),V Predictions Min,Policy log std Min,Policy mu Max,V Predictions Max,Number of train steps total,AverageTrainReturn_all_train_tasks,Policy mu Std,Number of env steps total,Log Pis Std,Train Time (s),Epoch,Log Pis Mean,VF Loss,Q Predictions Std,Q Predictions Max,(Previous) Eval Time (s),AverageReturn_all_test_tasks,Z variance train,Policy log std Max,Q Predictions Mean,Z mean train
-0.00050258887,122.86578,0.00015941942,-3.164186,0,-532.9392711672878,-0.0033573085,122.86578,0.81364805,-7.7881484,0.044177063,0.0018773373,428.03737216908485,-0.0044224826,-5.322582,732.5173578616232,-0.0036324314,0.0016620661,939.01355,870.7603289773688,-0.011752119,-0.006227502,0.003497186,0.002453967,4000,-488.54101967020114,0.0013273276,305000,0.61394,304.4799856925383,0,-5.3406973,28.745605,0.0016503684,0.008494366,0,-513.2263562195053,0.0027068774,0.0043857107,0.0015523551,0.004389341
-0.282688,50.629227,-0.0046835244,-1.2942846,0,-596.3149595002985,-782.27216,50.629227,0.3381289,-9.489905,0.010685371,0.0980281,7.468536427244544,-0.7307667,250.49046,435.67423537932336,-251.01445,124.152336,164.02356,1254.1431999215856,-770.065,-0.6476625,0.5966725,-65.77768,8000,-585.1660189883479,0.18829234,310000,0.8117098,289.9596313610673,1,-5.0714216,11.438918,125.054886,-71.56812,138.24606759101152,-559.2076035637325,0.31246385,-0.078071624,-257.01834,0.5046395
-0.35906148,100.79046,-0.008714678,4.386081,0,-590.4859120621537,-1857.4424,100.79046,0.28830415,-10.755182,0.008032018,0.1329733,6.497128522023559,-1.5456027,389.4609,379.25979613605887,-392.46677,225.30403,581.038,1630.0170677825809,-1848.281,-0.89508474,1.7274969,-56.631836,12000,-576.2147331176119,0.46851647,315000,1.6188095,286.80744463112205,2,-3.838686,44.964363,224.1117,-63.355064,85.95522298291326,-567.081190691323,0.04057005,-0.022927418,-397.05096,0.81379306
-0.48777,124.08607,0.019289847,8.692085,0,-572.7552871287021,-2205.197,124.08607,0.5487839,-11.313997,0.0039827814,0.17367914,6.6999465730041265,-2.3245885,562.4419,379.8854912221432,-564.77997,356.4868,1310.9681,2015.3868883103132,-2216.7266,-1.2985706,2.2369802,-36.939117,16000,-577.9487548373504,0.65157694,320000,2.2624793,290.6183137046173,3,-2.3358047,106.75744,354.92722,-47.739235,82.56723094452173,-561.5181549060061,0.033226345,-0.040460333,-571.8986,1.0188154
-0.6036296,119.17172,0.016065795,9.864819,0,-596.1633886526494,-2459.4695,119.17172,1.1576273,-12.56785,0.0036101632,0.16446742,6.903704808093607,-2.2890832,655.2167,371.84490164369345,-659.6586,424.4449,2178.9966,2384.5858122082427,-2501.15,-1.2858131,2.316414,-17.328014,20000,-580.6793703051172,0.74252623,325000,2.601468,276.8867893628776,4,-1.1784534,221.20988,422.79617,-31.821346,88.05440747272223,-577.602048604176,0.0718808,-0.17999196,-668.11597,1.2245438
-0.628763,127.17565,-0.023709845,12.240826,0,-537.9791546314441,-2876.2698,127.17565,1.2561064,-14.229208,0.0064496985,0.15333453,7.245964672416449,-2.8823318,727.66895,416.635300305672,-721.0211,499.59802,2465.585,2802.4533948544413,-2842.2532,-1.2069918,2.61426,-6.3352323,24000,-500.3254859532015,0.77330977,330000,2.7596314,323.98399685975164,5,-0.80122024,286.14087,505.11295,-7.7393346,85.4053387735039,-561.7757282216976,0.010644166,-0.17094897,-736.39453,0.63813275
-0.64560425,128.00488,-0.09037931,13.917371,0,-543.2918520377495,-4709.2715,128.00488,1.0338609,-11.797304,0.0025640868,0.14280176,7.000780580565333,-2.9204178,763.0317,378.9037377079949,-768.4049,575.62933,2642.4658,3187.2964726882055,-4735.1787,-1.2609352,2.5702708,-18.055502,28000,-512.686012206604,0.74140567,335000,2.5966275,285.26518161129206,6,-1.01316,319.76187,577.4591,-22.453098,86.63777551613748,-545.3697923488223,0.009215993,-0.20648575,-776.9198,0.8799655
-0.63951665,143.64685,-0.0023227818,15.027018,0,-546.3342038816741,-3630.8816,143.64685,1.0412617,-9.47035,0.004916909,0.13719274,7.366510684601963,-3.2479653,851.7576,388.04525423888117,-853.8431,629.3285,3377.728,3572.39798417408,-3617.5745,-1.1798387,3.1468756,-42.96907,32000,-509.88368878035743,0.75430834,340000,2.732035,288.10131289903075,7,-0.9135224,365.93893,627.01794,-33.986965,92.57743065524846,-514.7603220931874,0.034581326,-0.069928914,-858.0924,1.7086096
-0.6401545,135.99385,0.039483096,12.086727,0,-590.6285720418941,-5873.759,135.99385,0.68475497,-10.297269,0.0033494823,0.13251229,6.851169412955642,-2.7537305,891.18695,373.0446401294321,-885.25134,645.26337,4248.439,3941.861915195361,-5886.119,-1.1547761,2.466894,-87.33466,36000,-558.08096888863,0.7280856,345000,2.6099188,276.56036727596074,8,-1.1865975,306.65063,647.37103,-99.43582,89.6331034405157,-531.6731090508299,0.02892146,-0.17063528,-896.2406,1.6613071
-0.6652137,121.36396,-0.04300783,11.716674,0,-543.8632508845374,-4124.4683,121.36396,0.67281866,-12.399428,0.0054682354,0.1384386,7.216795987449586,-3.1005318,937.33295,359.1273009479046,-932.6891,625.26184,4221.0405,4304.123583587818,-4132.932,-1.2683918,2.7066069,-44.89527,40000,-516.1243250191252,0.72427064,350000,2.6503625,265.85804519895464,9,-1.0610663,354.87003,628.37115,-55.68176,86.05245976150036,-558.9763616743869,0.028956156,-0.17568904,-944.10535,1.4073693
