Policy Loss,Q Predictions Mean,Number of env steps total,AverageReturn_all_train_tasks,Epoch Time (s),Policy log std Max,Number of train steps total,Log Pis Min,Policy mu Mean,Number of rollouts total,Z variance eval,Policy log std Min,V Predictions Std,Q Predictions Max,V Predictions Max,V Predictions Mean,Total Train Time (s),Sample Time (s),Policy log std Mean,Train Time (s),Epoch,QF Loss,VF Loss,Z mean train,KL Loss,Log Pis Std,Q Predictions Min,AverageReturn_all_test_tasks,Policy mu Min,AverageTrainReturn_all_train_tasks,Z variance train,V Predictions Min,KL Divergence,Z mean eval,Q Predictions Std,Log Pis Mean,Policy mu Std,(Previous) Eval Time (s),Log Pis Max,Policy log std Std,Policy mu Max
-4.0240355,0.005744557,205000,-296.2510103189473,1705.1832732553594,0.0043858737,2000,-5.6980543,-2.2217862e-05,0,0.048057992,-0.0051674093,0.0022873688,0.012718832,0.010598813,2.339842e-05,2199.6266692932695,828.3864208590239,-0.0011359806,876.7968523963355,0,128.4654,16.477386,0.0017423347,15.913846,0.5335314,-0.00043851836,-279.6194161110797,-0.0053778943,-296.7246928559335,0.0069324016,-0.005659409,159.13846,0.13489369,0.0019871495,-4.045967,0.0018456127,0,-1.9498339,0.0015918592,0.0050778184
34.852505,-39.567425,210000,-233.80863636776724,1419.9604023150168,-0.0702426,4000,-9.032016,0.11581736,0,0.105738446,-0.6976027,26.167606,-1.3375058,0.4109179,-34.996826,3637.8992355610244,20.304488871712238,-0.2801545,905.2071427111514,1,24.948727,2.4448195,0.2899107,5.046735,1.2507439,-109.69161,-233.76236366702238,-1.4978435,-230.29312890022413,0.4767155,-106.63129,50.467346,0.18203714,26.210508,-3.2422762,0.39820287,494.4487707321532,1.8143868,0.107888356,1.7189914
67.49178,-75.51174,215000,-211.19439085252387,1437.0629435642622,0.15253788,6000,-10.947638,0.15390868,0,0.11789725,-0.8903775,62.014168,2.6366065,6.355979,-69.4491,5079.818248221185,19.881625682581216,-0.31028116,904.4225795688108,2,47.66423,11.22279,0.10510093,5.773268,2.0954475,-230.75136,-243.64490531005995,-2.0431197,-215.6636162922043,0.76111114,-223.50902,57.73268,0.1887329,62.64567,-2.3376505,0.60316825,512.7587383128703,7.8227024,0.15328234,2.379801
82.04883,-89.97551,220000,-178.80344599402463,1446.0120975668542,0.24905553,8000,-9.936375,0.03506422,0,0.09858664,-1.1233771,79.44747,5.269609,8.624535,-82.74896,6529.670532512944,19.71073806891218,-0.35376823,908.6873595090583,3,51.41806,8.475753,0.332761,5.7224326,2.100735,-297.83228,-163.75107846078436,-2.0812697,-228.14384556756946,0.5912262,-293.07806,57.224327,0.15060179,80.70899,-2.1280136,0.6368541,517.6139999888837,7.0826716,0.19132674,2.418746
96.20252,-103.187325,225000,-126.86844995683028,1440.8567080544308,0.38953257,10000,-9.993721,0.044481527,0,0.11222987,-1.6785209,89.73381,10.973125,13.706275,-94.4299,7961.630762366112,20.342122887726873,-0.36791947,899.0584256667644,4,54.986103,16.40643,0.047499467,5.7559347,2.279872,-340.89175,-123.14682579844585,-2.535992,-137.91622366479226,0.6120717,-329.83862,57.559345,0.15769306,92.36626,-2.028436,0.6484255,521.4561594999395,8.404409,0.21994765,2.5834928
132.56097,-139.36438,230000,-154.18157234822152,1438.4577941917814,0.32140446,12000,-8.999494,-0.035109106,0,0.101995565,-1.7908095,125.90659,12.69806,16.403786,-131.80347,9400.336732585449,19.675797825679183,-0.3917372,906.223850755021,5,47.825745,12.282262,0.3639292,6.4878325,2.3494403,-431.14096,-148.53168770893026,-2.3169448,-94.79424138819245,0.82878387,-430.24594,64.87833,0.19808395,126.842186,-1.7944198,0.6778446,512.5581456110813,9.235124,0.23507887,2.32802
146.89793,-154.62329,235000,-139.5376098838839,1471.1020666677505,0.16494757,14000,-10.518624,-0.044446677,0,0.10424055,-1.7678877,137.07295,18.558302,21.474577,-146.93384,11168.476772767492,19.653798535466194,-0.39852896,938.6405602381565,6,53.03056,11.651094,0.11179906,6.857315,2.44179,-552.5243,-154.55294875886628,-2.5517235,-80.25927982918091,0.5985045,-550.3092,68.57315,0.11046618,137.65157,-1.5780603,0.71836144,512.8077078941278,9.203228,0.23229615,2.5304034
52.731495,-59.127823,240000,-139.1275236427578,2326.009296590928,0.10439152,16000,-9.366266,0.013153563,0,0.115312435,-1.7869087,76.154625,24.479399,25.90737,-52.85614,13533.410549156368,29.126624026801437,-0.40070543,1487.0382133629173,7,36.68569,6.568807,0.043964155,4.9035544,1.977421,-419.37115,-130.6106142769332,-2.236132,-97.88086049255767,0.6056048,-414.7659,49.035545,0.31297117,77.07269,-2.360328,0.5710731,809.8444592012092,6.2526336,0.21246172,2.2803776
67.87116,-74.98145,245000,-140.10640468310436,2391.335616068449,0.045909688,18000,-10.081205,-0.0071460605,0,0.124587975,-1.9221126,88.77735,34.23939,36.263332,-67.92085,15931.019609323237,29.5787765532732,-0.3982524,1512.9867697912268,8,39.38297,6.898165,0.26395255,5.34278,2.1330762,-442.9118,-113.60223803427502,-2.4932036,-98.34412901339464,0.5583001,-443.31638,53.4278,0.321637,89.84403,-2.1286612,0.61349314,848.7700697239488,8.009416,0.23276846,2.699799
118.05485,-126.4557,250000,-88.38348139751139,2407.1562289102003,0.040241204,20000,-9.371373,-0.008372101,0,0.10107992,-1.9323782,111.4803,35.841267,38.921375,-117.269104,18336.645745603833,30.800616905093193,-0.40713117,1521.3110909219831,9,48.08976,10.384466,0.080768816,5.7970834,2.3274283,-479.14038,-112.23934560521974,-2.3389955,-79.80033548486303,0.5413679,-463.57004,57.970833,0.04701386,112.13846,-1.7462807,0.6801803,855.044521083124,7.3606725,0.24824305,2.555656
99.34678,-107.68184,255000,-80.70309186060994,2404.73205222236,0.064759925,22000,-9.828442,-0.014268637,0,0.12453771,-1.7901973,116.42911,33.107574,36.71659,-99.56762,20745.217934507877,30.45535537553951,-0.40838373,1520.7635195688345,10,49.464157,9.224201,0.3055041,5.6145625,2.2603838,-733.4628,-107.88060899899182,-2.367762,-77.45552412269221,0.5672768,-724.8559,56.145622,0.13678464,117.78308,-1.848021,0.6606014,853.513177277986,8.324506,0.2307248,2.3082728
147.3578,-153.40697,260000,-80.43054510314114,2398.747564662248,0.11214894,24000,-9.071368,0.010696364,0,0.10338376,-1.8853395,155.13806,41.47452,44.39085,-146.81555,23129.77059102943,30.53038824768737,-0.41211095,1510.8639716506004,11,42.07505,9.544658,0.026159609,6.386943,2.3389354,-803.5948,-85.50392644127932,-2.3546786,-73.21435428785016,0.78840697,-802.1218,63.869427,0.19598825,155.61012,-1.7500513,0.67369384,857.3532047639601,9.545936,0.24239808,2.9134839
124.55918,-131.57896,265000,-75.8234569440552,2389.049413113855,0.080890745,26000,-10.704767,0.0017746811,0,0.13337538,-1.9396704,161.18126,47.559357,49.702423,-124.401245,25527.9127899562,30.75598949752748,-0.39725828,1515.133426098153,12,40.21228,9.0980625,0.31192243,7.1250873,2.4188895,-842.98706,-74.8381964846723,-2.3148892,-75.8553612383221,0.57097524,-847.9747,71.25087,0.2863986,162.44331,-1.8578202,0.66178256,843.1599975181744,9.363725,0.24415798,2.6948655
57.345627,-64.338104,270000,-82.15539608888011,2382.9712643576786,0.36057433,28000,-9.370743,0.027557537,0,0.13074772,-1.828916,105.822174,51.140648,54.889687,-57.566505,27915.67718507396,30.50229474110529,-0.40263796,1500.2174431127496,13,29.752592,9.6474905,0.17969073,5.902515,2.067735,-646.68134,-76.4012744843085,-2.905425,-70.48477514182085,0.5771822,-642.5562,59.02515,0.44267392,107.265686,-2.3244267,0.5697697,852.2515265038237,8.347285,0.2221117,2.8329318
187.75711,-196.3041,275000,-76.63164999233132,2391.2367758080363,0.25012708,30000,-9.35847,-0.010473336,0,0.12906556,-1.9289219,179.70323,39.783,41.180195,-187.43938,30296.243364533875,30.46871554804966,-0.42418626,1503.723241174128,14,54.66526,11.353891,0.22808273,6.620743,2.3249636,-933.67694,-77.09116780447253,-2.6982355,-70.24099925857662,0.8306502,-925.6985,66.20743,0.32367975,180.64604,-1.5159404,0.70156443,857.0448190858588,10.963044,0.24625267,2.394228
158.17667,-165.30188,280000,-76.65265307021413,2378.564647422638,0.12876004,32000,-8.695988,-0.005964738,0,0.121634915,-2.0721097,150.86879,41.251976,45.212997,-157.59598,32690.284395483788,30.00931118056178,-0.42910138,1502.1811510450207,15,46.06529,11.551029,0.6385193,6.4220796,2.3564682,-916.03766,-68.59223026406448,-2.3969572,-74.7832811820304,0.70192426,-911.4238,64.220795,0.40715805,150.9367,-1.5707842,0.7021314,846.3741851970553,11.045197,0.24206576,2.7181072
134.99886,-142.46538,285000,-91.2202579501072,2397.441487051081,0.16989073,34000,-10.018227,0.018215492,0,0.14021604,-1.9256432,205.07147,59.156586,62.53366,-134.66533,35079.51711498806,31.21549424994737,-0.39140928,1504.374877475202,16,41.1771,10.368662,0.69698316,7.5400224,2.2734988,-988.6565,-79.4197332488806,-2.7508295,-83.50478204072213,0.84840965,-981.99316,75.40022,0.26967037,206.4285,-2.060947,0.62569374,861.8511153259315,17.963926,0.22348514,3.7411485
205.17352,-212.93643,290000,-76.46841129673867,2395.148563319817,0.16086465,36000,-9.297281,0.010573373,0,0.12229438,-1.9543419,213.73573,53.50815,56.389206,-205.60187,37466.41606880911,31.168981845956296,-0.41371337,1510.3368161688559,17,49.28196,11.684519,0.16980694,7.4921966,2.4305158,-992.7533,-73.5945942971552,-2.3374364,-65.07234716081176,0.61565703,-982.2453,74.92197,0.40123662,214.28964,-1.565628,0.7029443,853.642765305005,12.0080185,0.23802179,2.624032
110.41221,-118.365486,295000,-76.96872012480138,2351.052091764752,0.09648937,38000,-10.737287,-0.014444576,0,0.15372825,-1.9311225,144.8368,44.985355,48.241985,-110.22417,39785.75872611068,31.222048286814243,-0.43008527,1474.4355493313633,18,38.50537,10.12265,0.10434691,5.608518,2.2758782,-818.20746,-72.73318520149242,-2.762165,-67.39108196456851,0.5636703,-812.6288,56.085182,0.4235948,145.94417,-1.7785165,0.6591615,845.3944941465743,13.404443,0.2367851,3.042924
155.21364,-162.9995,300000,-65.15005410477374,2266.981754899025,0.14484581,40000,-9.909588,-0.020551218,0,0.1356526,-1.8858389,205.6588,65.49262,67.70968,-155.74727,42044.21332817711,28.663171731401235,-0.41217116,1424.6353500727564,19,41.647408,12.613695,0.5170368,6.476494,2.469058,-985.6392,-67.16915455456002,-2.9827335,-61.76535998734607,0.6852477,-986.1043,64.76494,0.40188113,205.96432,-1.7610787,0.6756946,813.6832330948673,11.486927,0.23902959,2.7584155
87.19857,-94.27463,305000,-60.13971183800534,2296.5300028598867,0.20501196,42000,-9.884868,0.011712186,0,0.13510832,-2.0299997,177.90106,76.292564,78.69007,-87.83293,44385.82279067673,28.463656763080508,-0.38658926,1462.9095947537571,20,32.021606,10.19437,0.5698312,7.79209,2.2184029,-958.72235,-61.70996331618315,-3.0216553,-58.5524975975537,0.81606543,-960.3533,77.9209,0.45347276,179.285,-2.1474948,0.60621136,805.1567513430491,12.639854,0.22978406,2.6573126
71.9413,-77.163506,310000,-68.9479366326671,2388.961244237609,0.17524877,44000,-8.80106,-0.0003058001,0,0.13391271,-1.9523795,178.62234,68.63693,72.16645,-72.8423,46777.1970134913,29.948921263217926,-0.36280623,1508.7745989556424,21,39.79882,10.969647,0.3608055,6.8605347,2.0105724,-1019.92084,-64.27601875040206,-2.7652547,-55.062978431865936,0.71258587,-1017.6074,68.60535,0.35606,179.19373,-2.4655702,0.5580147,850.2377240187488,13.327751,0.20563324,2.6419866
104.83597,-114.18805,315000,-61.47865964237492,2395.270632099826,0.22344232,46000,-9.458495,-0.006017377,0,0.12491679,-1.9693692,164.54938,60.515293,65.81044,-107.230255,49165.90344574163,30.271840278059244,-0.4211339,1512.3472404070199,22,34.42466,15.661092,0.15960748,6.180491,2.278272,-1033.1917,-53.70628553750297,-2.8999002,-51.675197075823576,0.7037279,-1024.3615,61.80491,0.3177545,165.90019,-1.9072646,0.6516416,852.6515514147468,16.391047,0.23133038,2.9074337
122.330284,-129.98872,320000,-59.12926057925064,2384.6820158725604,0.13286051,48000,-12.173473,-0.044288293,0,0.109206215,-2.0059142,179.63892,72.2067,75.127945,-122.256134,51561.030298975296,31.13439016463235,-0.41046974,1507.4596867207438,23,36.324696,10.245937,0.37583902,6.852324,2.4385715,-929.5708,-61.87524159949153,-2.949387,-54.36892697846722,1.0147537,-930.0021,68.52324,0.27716297,180.97263,-1.7931261,0.6617866,846.0879389871843,16.023914,0.23868477,2.919708
104.1914,-110.378784,325000,-63.56999167212071,2394.60470150318,0.21210054,50000,-11.204674,0.005755717,0,0.1180058,-1.9575591,157.96312,82.37728,86.03419,-100.59044,53945.24277606467,31.093839422333986,-0.41521505,1506.9802530300803,24,34.142406,28.123606,0.1332037,6.1263556,2.3166764,-935.53436,-67.44700570752107,-2.5323877,-53.78491312134595,0.7087315,-927.7604,61.263557,0.39607295,159.90709,-1.8190176,0.6496892,856.5306090507656,10.254224,0.23620644,2.6634605
182.79596,-191.16216,330000,-57.400236466669654,2391.3486230592243,0.26628584,52000,-11.024247,-0.035638377,0,0.11797686,-2.0246253,219.89394,65.67934,68.65944,-183.25035,56346.78377789585,31.252760245464742,-0.42635646,1513.957578017842,25,40.046844,11.5599,0.60670644,6.86042,2.4467893,-1114.5203,-56.894922709179966,-3.3227715,-48.37541463167938,0.6911814,-1108.7969,68.6042,0.35383767,220.90118,-1.4944329,0.7079054,846.1382847959176,15.849274,0.24267437,3.0841947
98.74228,-104.80655,335000,-54.79325655743042,2393.492975168396,0.18032598,54000,-8.727809,-0.035683814,0,0.13772759,-2.0049136,159.97319,85.0664,88.0071,-98.80847,58744.64780497458,31.49687988590449,-0.41683266,1505.6646215864457,26,25.743656,8.088013,0.5513147,6.8537993,2.2062044,-1045.8916,-57.17302234670549,-2.5025764,-47.65793801791923,0.87238294,-1040.0784,68.537994,0.331006,161.0308,-1.9860868,0.6209536,856.3314736960456,16.119862,0.24008416,2.6751258
121.27144,-129.59033,340000,-70.14924344013805,2405.4418532745913,0.10927701,56000,-9.813829,-0.024863245,0,0.12882034,-2.022034,168.4797,55.88075,60.670303,-120.55047,61148.770307020284,31.311853922903538,-0.4420141,1513.4279232523404,27,31.816956,8.979679,0.15751033,6.011298,2.2849913,-1053.9117,-56.1742123890294,-2.5240755,-58.318928499906775,0.68707556,-1047.0282,60.11298,0.25666207,169.6785,-1.6803806,0.66759145,860.7020760993473,13.945084,0.2455789,2.8326764
32.40192,-37.923813,345000,-48.65107176495878,2395.948560048826,0.33391383,58000,-9.366753,0.0051586675,0,0.15174061,-2.0270698,137.92317,81.592514,83.743835,-32.12964,63545.94536478259,31.29307832568884,-0.407038,1505.2696341490373,28,21.53978,6.3693967,0.10924059,5.8489876,1.9841751,-974.9529,-52.381467050443476,-3.072366,-45.59930909522624,0.6986805,-966.3098,58.489876,0.3592969,138.70312,-2.3846374,0.5469417,859.3858475740999,12.644577,0.22144988,2.8245556
51.877644,-58.89913,350000,-57.32548175794015,2398.1286743031815,0.13364035,60000,-9.1258745,-0.009394785,0,0.12195899,-2.138949,134.34479,91.23057,95.01345,-52.221863,65945.14761621738,31.43733251746744,-0.40859857,1506.076965927612,29,24.30629,6.1231446,0.03272987,6.4556346,2.1705012,-848.9469,-58.99358536390678,-2.8371136,-51.07636760538953,0.6827761,-850.5286,64.55634,0.3295253,135.4747,-2.1415448,0.6014396,860.614375858102,18.224314,0.2369137,2.9831514
68.08556,-75.145004,355000,-53.45077570460275,2408.0682913972996,0.2244004,62000,-10.857799,0.005016575,0,0.13754772,-2.085853,204.35512,92.662476,96.210304,-69.01209,68348.02627340565,31.18897547200322,-0.39926577,1515.1965768481605,30,24.686926,8.285285,0.040561207,6.322324,2.0788925,-1091.395,-54.918531945120336,-2.9547312,-53.23932028721812,0.63298726,-1066.6881,63.223236,0.33576015,204.91296,-2.2731943,0.5878147,861.6827390771359,10.343075,0.22275354,2.9757004
20.548061,-26.961454,360000,-54.12716771880669,2387.8342084921896,0.24208349,64000,-10.393582,0.03573449,0,0.117665075,-1.9656472,134.59958,93.20832,95.35888,-21.307796,70691.1503955475,30.919141517486423,-0.37019697,1500.4213245348074,31,18.057255,6.766809,0.3402545,7.247388,2.0352037,-992.16675,-57.64348009494094,-2.6910777,-50.872402276183145,0.7559389,-981.74097,72.47388,0.32909083,136.43852,-2.5545945,0.5391973,856.4937424398959,15.04524,0.21652848,3.2324138
105.39882,-111.818756,365000,-44.72588236927434,2267.237540263217,0.15923396,66000,-9.135007,-0.014193018,0,0.113333866,-1.951388,192.85826,88.38055,90.90026,-104.81527,72992.12588982983,29.987665057647973,-0.40937698,1425.4647683966905,32,26.978508,9.801426,0.13470495,6.6864533,2.3232358,-1028.2075,-49.488129203945554,-3.3037946,-40.812721418502626,0.5794799,-1020.19006,66.86453,0.3026946,195.21529,-1.930466,0.64184517,811.7851068088785,13.761599,0.23559435,2.9878144
