Total Train Time (s),Q2 Predictions Std,Z mean eval,Sample Time (s),Policy log std Std,Q1 Predictions Max,AverageTrainReturn_all_train_tasks,Q1 Predictions Std,Z variance eval,Policy mu Max,Policy log std Min,Train Time (s),Q1 Predictions Min,Log Pis Max,Log Pis Min,Epoch Time (s),AverageReturn_all_train_tasks,Q1 Predictions Mean,Log Pis Mean,Number of train steps total,Number of env steps total,Alpha Loss,Alpha,Policy Loss,Policy mu Std,Policy mu Min,Q2 Predictions Min,(Previous) Eval Time (s),Q2 Predictions Max,Q2 Predictions Mean,Policy mu Mean,Epoch,AverageReturn_all_test_tasks,Log Pis Std,Q1 Loss,Number of rollouts total,Policy log std Mean,Policy log std Max,Q2 Loss
1186.1360340723768,23.386368,22.973785,419.79608261492103,7.774854,131.50262,252.13115172793613,13.926189,0.0,197.42136,-20.0,643.1887631369755,-37.369385,400.81854,-13.203738,1062.9848457518965,285.1341821925724,12.022579,220.18002,4000,207393,0.0,1.0003,18.48109,21.624691,-299.33447,-252.4984,0,35.441437,-16.194204,-1.4285057,0,282.36649779244755,78.94088,1354.3169,0,-4.304649,2.0,905.43695
1876.2483935896307,109.88267,23.174992,12.300758712925017,0.11679393,491.14795,363.0348819321535,109.638275,0.0,2.942069,-1.6740041,554.3715016115457,-67.04833,9.59643,-18.388046,689.8282848093659,374.34907520627456,372.24402,-7.2554216,8000,212691,-24.305214,0.36702168,-372.5904,0.5942168,-1.733993,-66.599236,123.15602448489517,498.0935,372.25537,0.12355337,1,366.7966407979719,3.6717985,347.097,0,-0.21817836,0.7254079,355.28082
2568.903949538246,212.16003,18.976868,11.075888238847256,0.12959626,779.68353,332.4024782502882,211.91806,0.0,5.073462,-0.7687994,566.546260359697,-28.30903,31.503046,-12.203909,701.0620578732342,329.66404590920394,478.7145,8.156687,12000,218009,-17.489388,0.13836119,-482.08667,1.3189422,-3.705174,-30.040966,123.43990927468985,780.332,477.6053,0.15213469,2,333.6774296751961,5.7834787,281.79572,0,-0.43195724,0.048511684,296.17944
3281.0408842433244,286.7163,18.370003,11.832104773260653,0.10651407,1041.8644,276.54394088371686,286.53687,0.0,6.3892674,-1.0474017,567.7094074599445,-80.93717,58.37529,-2.774911,694.5750267710537,267.7975268132036,599.27185,18.009483,16000,223419,2.3078363,0.10166514,-613.8786,1.6288705,-5.011544,-133.0568,115.03351453784853,1039.9592,599.0836,0.36574757,3,258.81984132646636,7.005292,455.54755,0,-0.5287097,0.09282722,428.72852
3978.115677215159,347.90045,16.918585,13.504960629157722,0.115743086,1328.3116,226.08931673685143,348.40524,0.0,6.84809,-1.2310188,558.5491649908945,-34.2526,50.818314,-10.709883,704.650061593391,252.22908309647931,710.80115,17.209854,20000,228763,0.44555607,0.11965956,-719.63416,1.5886216,-4.7354903,-33.38354,132.59593597333878,1330.8643,707.1516,0.4785497,4,242.97045431789044,7.621559,963.2221,0,-0.53036475,0.024021775,953.9363
4663.513634405099,384.36584,15.323006,12.265206131152809,0.14144802,1317.9973,226.8186039311418,385.6022,0.0,6.0454755,-1.2595289,553.4394079735503,-115.774345,62.187954,-4.5308633,690.7252675630152,239.60736310326303,700.3583,16.677496,24000,234138,-0.64644957,0.13475278,-717.97504,1.6009984,-7.648684,-51.265106,125.02065345831215,1319.9974,702.6997,0.36741284,5,230.07329679787097,7.6261425,744.60034,0,-0.5443227,-0.089333236,702.5915
5447.092333080247,411.21606,14.773214,11.789352224208415,0.14314018,1437.8347,395.80800417672805,411.60507,0.0,6.2076283,-1.2248559,588.710599607788,-142.4673,55.020714,-9.308239,720.1931928908452,432.25037713561227,781.70294,16.963215,28000,239590,-0.069768496,0.15006118,-795.6906,1.648858,-8.290346,-90.26684,119.6932410588488,1484.2375,783.88086,0.17029713,6,412.7326216882315,7.457235,1148.7657,0,-0.55937046,-0.034295827,1172.5276
6208.222978118807,392.28506,16.703749,12.1684585288167,0.15367366,1480.5878,344.27062827751496,391.32593,0.0,5.6289225,-1.4091048,614.1318153282627,-21.357933,49.696022,-6.612172,809.3791829710826,345.08479018013844,719.1985,16.759275,32000,245042,-0.42860588,0.16856034,-727.55273,1.63291,-9.277574,-37.17262,183.07890911400318,1477.2931,719.5385,0.08229238,7,369.7685155353572,6.746087,869.1443,0,-0.5719269,-0.13934237,856.4227
6978.2505083801225,394.73322,13.304825,11.97452349588275,0.15325212,1449.4478,279.22942236559436,394.45874,0.0,5.1571455,-1.5026764,625.9685316197574,-45.895134,53.185226,-7.9108977,772.7734451862052,304.5129882311117,718.9064,17.240078,36000,250518,0.44320485,0.15788904,-739.90173,1.6423159,-7.5527735,-83.827644,134.83039007056504,1451.0283,716.83234,0.048969414,8,292.5502502044228,6.7689,705.5579,0,-0.5740915,-0.07012007,715.1492
7763.984191570431,380.6138,14.351504,14.04455333109945,0.17659998,1449.2561,342.296814820036,378.97012,0.0,5.8834443,-1.5333512,631.0279494291171,-163.86105,85.52397,-8.341445,777.1577679170296,362.256306440461,660.12445,17.102531,40000,255799,0.1971412,0.14621532,-676.8497,1.631106,-7.688772,-171.78319,132.08526515681297,1454.7334,659.6039,0.03650203,9,336.0846429918102,7.433426,716.15704,0,-0.58900976,-0.089704365,704.06775
8569.012377977371,364.38947,14.733566,14.63834367878735,0.18086876,1394.6124,317.6957134481843,365.08932,0.0,6.592273,-1.6750972,623.3140519019216,-62.17823,54.891144,-5.050495,778.6132171116769,322.3350529575575,651.7117,16.865406,44000,261455,-0.27619278,0.12847167,-671.19293,1.6296805,-10.307066,-49.81082,140.66082153096795,1388.4539,649.50903,0.07530627,10,312.26026186252085,7.343711,568.64435,0,-0.5939429,0.008772492,586.71515
