Alpha,Epoch Time (s),Log Pis Max,Policy mu Std,Number of train steps total,Q1 Predictions Mean,Q1 Predictions Min,AverageReturn_all_train_tasks,Q2 Predictions Min,Log Pis Std,Log Pis Mean,Alpha Loss,Z variance eval,Q2 Loss,AverageReturn_all_test_tasks,Q1 Predictions Std,Policy log std Mean,Policy log std Max,Policy log std Min,Policy mu Min,Train Time (s),Q1 Predictions Max,Epoch,Q1 Loss,Number of env steps total,Number of rollouts total,Policy Loss,AverageTrainReturn_all_train_tasks,Policy mu Mean,Sample Time (s),Total Train Time (s),Q2 Predictions Mean,Z mean eval,Log Pis Min,Q2 Predictions Std,Policy mu Max,Q2 Predictions Max,(Previous) Eval Time (s),Policy log std Std
0.99970007,573.8856814904138,32.376446,0.8573094,4000,0.5464576,-2.3075848,90.06019901776943,-2.7598317,5.198226,1.913406,0.0,0.0,20.463963,82.96546672510138,0.85917664,-0.2901364,2.0,-4.8642535,-3.1231074,351.5137729430571,3.0126967,0,29.734858,85133,0,1.4443623,97.79083392248869,0.12618122,222.37190854735672,669.3182092998177,-0.6922714,5.218344,-6.725046,0.8097108,3.2093406,1.8186957,0,1.0270967
0.5408603,558.0453041587025,16.259418,0.8702135,8000,130.34595,-66.51075,-20.097131653416334,-58.86339,3.2979536,7.520625,0.93472856,0.0,468.8796,11.154111637574186,99.807915,-0.5475648,0.2061565,-0.98706347,-2.3209484,448.6826695976779,355.74725,1,463.78995,90569,0,-186.91315,-10.11914928810374,1.5138265,13.925252450630069,1205.6036510318518,129.91045,6.059096,-5.3183475,99.56978,3.4418643,353.28488,95.43738211039454,0.18060562
0.46225768,470.8836630573496,18.405922,1.1507001,12000,176.81339,-40.665234,107.94269586685064,-40.85022,4.0426583,5.742505,-0.19867034,0.0,473.6294,129.3631683159751,123.97743,-0.6495745,0.07533029,-2.195553,-3.0994852,388.3158923732117,399.48575,2,477.18732,95909,0,-227.88376,95.44219717376211,1.0467567,8.890562114305794,1728.7262133266777,176.77304,5.880146,-6.8815193,123.746025,3.568305,394.81284,73.67720856983215,0.27944046
0.597152,494.79439628124237,18.908014,0.9088282,16000,157.35983,-91.38926,107.5666966338595,-97.15102,4.100372,5.909988,-0.046411198,0.0,584.06415,130.62886595878814,121.670135,-0.6908141,0.13007414,-1.9770142,-2.6168668,353.91529692616314,379.3849,3,564.5634,101437,0,-211.24011,94.64119782425388,1.2256172,14.962254226207733,2220.5459178788587,157.4783,5.4770803,-7.4817953,121.09063,3.385558,375.70898,125.9168451288715,0.23537953
0.5187659,545.447514411062,19.075237,0.9990978,20000,187.88086,-55.619396,141.75529266207207,-65.8833,3.8944643,6.4150877,0.2724835,0.0,513.896,159.1773800346279,141.50832,-0.7734487,0.099501,-2.2378905,-3.1915555,407.61912527680397,474.5406,4,500.5847,106803,0,-247.43953,143.33000292604729,1.1830913,14.886041871272027,2721.1937479302287,187.69316,4.8244796,-7.125819,141.19106,3.5003047,475.91785,122.942347262986,0.31910983
0.44742206,477.57929442450404,18.4789,1.0445299,24000,136.01657,-79.46152,193.73379962506905,-66.56034,3.677717,6.2609687,0.2098887,0.0,504.79025,187.20504787192914,125.87933,-0.9041217,0.05971005,-3.1986558,-4.754224,389.4177563097328,471.9309,5,471.82623,112313,0,-180.5366,187.64257700907302,1.0205435,10.017966888844967,3246.045244502835,136.29427,3.787981,-7.052759,125.696396,3.2289906,515.77454,78.14357122592628,0.4834911
0.5206595,457.4885808127001,16.73233,1.0253636,28000,143.50832,-42.73645,105.60979526655376,-44.117035,3.8712914,5.585762,-0.2703312,0.0,392.15805,102.49457642337605,130.42647,-0.9494025,0.30290616,-3.0356395,-4.3645716,319.42194315139204,458.79187,6,376.8674,117759,0,-190.87054,171.36162453846535,0.9464807,12.65031080134213,3672.637347800657,143.73642,3.563746,-8.517169,130.34557,3.3834949,460.08505,125.41632685996592,0.50302297
0.5443267,494.34241005871445,20.328272,1.0595106,32000,154.70749,-61.601837,29.895163773126605,-51.992195,4.0058274,6.671435,0.40840545,0.0,923.0092,32.499135320602996,141.57193,-0.9642057,0.25225186,-3.3113232,-4.234848,384.97028388641775,473.14294,7,914.8276,123406,0,-219.90346,7.752434196133033,1.0542123,14.854083998128772,4164.057336094789,155.47173,4.664343,-6.822529,141.69542,3.470349,479.62576,94.51804217416793,0.5140983
0.68546516,460.9314766023308,19.69058,1.4834943,36000,213.95805,-46.17624,41.522022310303,-53.98727,4.2212515,7.7317643,0.65548843,0.0,1034.4359,71.02606055076741,164.87021,-0.86937004,0.33651072,-2.8652952,-4.2624764,353.9907984100282,609.33057,8,1062.6826,129123,0,-283.94162,27.167999047145152,0.6896525,15.342236916534603,4651.760604749434,213.23804,4.257325,-10.862561,164.40234,3.5940318,574.09845,91.59844127576798,0.44765463
0.63363916,492.29362632427365,18.996992,1.1103944,40000,240.35645,-56.750626,212.90126530336994,-47.819992,3.998388,6.2958937,0.13504767,0.0,720.8149,154.09545257060856,189.13525,-0.9702384,0.18661466,-3.0340667,-3.6760895,359.6170781245455,605.9253,9,674.88245,134693,0,-323.7264,170.21344820992698,0.9539142,14.306068724021316,5113.795941769145,239.31445,3.9145057,-8.777563,189.01692,3.778491,627.5874,118.37047947570682,0.5152484
