V Predictions Std,R Predictions Std,Policy mu Std,R Predictions Mean,Policy Loss,VF Loss,V Predictions Mean,Q Predictions Std,Number of train steps total,Policy log std Mean,AverageReturn_all_test_tasks,Policy log std Min,AverageReturn_all_train_tasks,Z variance train,Epoch,Epoch Time (s),Policy log std Max,Q Predictions Mean,Q Predictions Min,Q Predictions Max,Policy log std Std,Log Pis Std,Z mean train,Log Pis Mean,Train Time (s),Log Pis Max,Total Train Time (s),KL Divergence,Z mean eval,RF Loss,Policy mu Max,V Predictions Max,Log Pis Min,V Predictions Min,Number of env steps total,Number of rollouts total,Policy mu Min,R Predictions Max,Z variance eval,Sample Time (s),KL Loss,R Predictions Min,QF Loss,(Previous) Eval Time (s),Policy mu Mean
0.00211439,0.00192455,0.00179846,-0.00475187,-5.35119,29.0143,0.00116373,0.0016036,4000,-0.000992291,125.150418427,-0.00607789,122.602802177,0.00270406,0,163.07729512499964,0.00255423,0.00177579,-0.00304592,0.00693391,0.00153776,0.625567,0.00222047,-5.37113,151.2468443780001,-3.30851,167.40660098999933,49.15707778930664,0.0561645,27.7762,0.00581995,0.00717611,-9.41334,-0.00593962,8000,117,-0.00438849,0.00140402,0.508322,11.830450746999531,4.915708065032959,-0.0105187,54.399,0,3.59248e-05
6.82707,0.00153179,0.457893,-0.00483297,-68.9399,26.6686,72.2029,10.4898,8000,-0.680572,52.0618569859,-1.17307,66.5864949587,0.572214,1,158.23527636799963,-0.170146,65.6891,-11.728,95.8804,0.136618,1.71199,0.0633687,-2.73015,147.79565958800004,2.82612,326.03141176299823,1.4727137088775635,0.0588834,14.8789,1.69558,94.2484,-9.98657,32.3985,12000,157,-1.73222,0.000120709,0.535421,6.108390414999576,0.14727137982845306,-0.00965371,80.4134,4.3312263650000205,-0.0120252
10.4269,0.00154202,0.527216,-0.00464745,-114.041,31.3081,116.063,16.3769,12000,-0.674214,78.2329548827,-1.36292,49.4780979724,0.517056,2,160.17061665399842,-0.19657,109.429,-9.46471,145.926,0.150005,2.07123,0.0568829,-2.35983,149.2711983180002,5.25635,485.7755986199968,1.7661341428756714,0.0337878,15.7902,1.91874,137.55,-8.50741,43.8099,16000,203,-2.00993,-0.000314977,0.344914,6.1782486459983375,0.17661342024803162,-0.00928141,113.491,4.721169689999897,0.0141779
10.6977,0.00158115,0.496272,-0.00476909,-142.623,39.108,145.339,17.0163,16000,-0.682307,151.606656471,-1.38552,144.074528409,0.335126,3,160.75001818700048,-0.182798,138.797,-10.587,178.487,0.159854,2.16008,0.0328833,-2.46637,150.21891444699986,4.10738,646.6191479019981,4.414221286773682,0.118912,17.6996,2.05189,170.684,-12.0015,92.4118,20000,242,-1.83139,9.66559e-05,0.183786,6.236103366000407,0.44142213463783264,-0.0090434,77.7224,4.29500037400021,0.0209075
13.0723,0.00150014,0.448704,-0.00467463,-161.211,26.5917,162.657,17.6652,20000,-0.713377,146.389018948,-1.89877,139.730265818,0.19905,4,161.4036556359997,-0.170845,154.718,-31.3611,183.252,0.179157,2.10822,0.199931,-2.50724,150.79038011800003,7.62472,807.946649747998,9.119199752807617,0.799033,15.3262,1.90715,190.942,-10.5349,44.069,24000,275,-1.89787,-0.000360811,0.148408,6.224225973999637,0.9119200110435486,-0.00876191,86.9837,4.389049544000045,-0.0635518
16.3754,0.00140462,0.427228,-0.00465377,-175.114,36.8584,174.079,22.2888,24000,-0.770875,143.323973985,-1.65261,123.887950323,0.143075,5,162.25244676200055,-0.176824,170.141,-53.8704,218.096,0.175112,2.07257,0.144571,-2.42961,151.65976712200018,6.78429,970.1813199049989,13.576122283935547,0.260721,14.3585,1.72597,216.126,-11.5215,35.4176,28000,304,-2.01558,-0.000915896,0.135375,6.2794573830001355,1.3576122522354126,-0.00873856,141.684,4.313222257000234,0.0039256
23.1281,0.00150709,0.472222,-0.00474496,-203.17,46.6177,199.445,30.6707,28000,-0.783106,103.974031584,-1.9131,94.4294021082,0.125937,6,161.10928252699978,-0.148169,197.678,-17.6883,277.713,0.185202,2.26076,0.577458,-2.09703,150.60487118399988,11.1259,1131.6410285989978,18.352054595947266,0.246399,16.5852,2.39779,267.414,-9.66502,29.5847,32000,332,-2.52028,-0.000161497,0.13069,6.208616668000104,1.8352054357528687,-0.00889744,154.562,4.295794674999797,0.0452391
17.9011,0.00146115,0.486442,-0.00482914,-214.526,57.6116,211.222,21.9027,32000,-0.784705,86.8397145385,-1.60197,116.271045773,0.115889,7,161.86769647800065,-0.241447,209.647,-47.9926,295.894,0.155045,2.04759,0.0406287,-1.95398,150.96941884700027,9.66202,1293.1440605539988,16.078332901000977,1.02448,12.3408,2.04433,291.579,-8.07215,146.648,36000,364,-2.06973,-0.000173158,0.141304,6.251799321000362,1.6078332662582397,-0.00909855,174.233,4.64647831000002,-0.0677886
28.5701,0.00151295,0.532751,-0.00479513,-242.867,65.3756,244.791,33.483,36000,-0.839995,101.284996436,-2.04041,82.6325111904,0.138246,8,162.00965016200098,-0.219719,240.745,-13.8946,332.556,0.17223,2.40667,1.02158,-1.43948,151.6452863960003,14.0637,1455.0496279000004,29.59726905822754,0.180038,16.2211,3.06043,336.461,-9.89208,22.7009,40000,402,-2.116,-0.000177155,0.101762,6.081967067000733,2.9597270488739014,-0.00889828,242.094,4.282396698999946,0.00293185
25.8431,0.00147178,0.5081,-0.00471119,-245.539,54.3127,247.983,29.4976,40000,-0.83904,104.17529104,-1.98891,90.7375059528,0.101424,9,161.1355339459992,-0.175698,244.6,-48.8071,351.863,0.159891,2.31415,0.430763,-1.68123,150.7548206790002,12.0962,1616.1521531899998,21.242408752441406,0.478415,16.8011,1.87271,347.868,-12.1664,62.8962,44000,436,-2.79566,-0.000820602,0.103964,6.202144127999418,2.1242408752441406,-0.0089814,122.504,4.178569138999592,-0.0231127
