Epoch Time (s),Policy mu Max,Policy log std Min,Total Train Time (s),Log Pis Std,V Predictions Std,(Previous) Eval Time (s),Train Time (s),Z variance train,V Predictions Mean,QF Loss,R Predictions Mean,Log Pis Max,Number of train steps total,R Predictions Min,RF Loss,Policy Loss,VF Loss,Z mean eval,V Predictions Max,Policy log std Max,Z mean train,Log Pis Min,Number of env steps total,Q Predictions Max,Policy log std Std,Policy mu Mean,AverageReturn_all_train_tasks,Z variance eval,R Predictions Std,Q Predictions Mean,Q Predictions Min,R Predictions Max,Q Predictions Std,Sample Time (s),V Predictions Min,Policy mu Min,KL Divergence,KL Loss,Epoch,Log Pis Mean,AverageReturn_all_test_tasks,Number of rollouts total,Policy mu Std,Policy log std Mean
162.7772299970004,0.00615636,-0.00357248,167.01338628299982,0.625947,0.00136241,0,146.09901328800015,0.00270949,-0.00530461,52.9627,0.00327609,-3.43093,4000,-0.00325047,26.8221,-5.35019,29.0731,0.0249455,0.000168746,0.00388298,0.00459731,-7.75587,8000,0.00244853,0.00105174,0.000382546,108.61823975,0.171814,0.00227528,-0.00252329,-0.00880097,0.0112903,0.00180983,16.678216709000253,-0.0103063,-0.00546901,49.13733673095703,4.913733959197998,0,-5.37159,93.8273606309,120,0.00214648,0.00080923
159.2692302169994,1.60301,-1.19305,326.54121912399887,1.86043,9.00449,4.237831848000042,148.9141795569999,0.18033,67.6971,109.47,0.00314098,3.1437,8000,-0.00144706,20.9105,-69.386,23.1597,0.0599972,109.844,-0.161929,0.0259415,-11.1643,12000,111.769,0.142557,-0.026154,87.385792426,0.399767,0.0020578,65.7428,-3.89122,0.0121173,11.2507,6.117218811999464,26.4157,-1.62306,9.345518112182617,0.9345518350601196,1,-2.59669,97.1078603561,152,0.473597,-0.69514
160.00614211900074,2.3006,-1.31638,486.342710893,2.09405,11.7662,4.496786710999913,149.40389253600006,0.397645,115.773,129.374,0.00330466,7.11519,12000,-0.00270374,12.8916,-113.739,33.5365,0.0581375,152.349,-0.0838276,0.0593966,-10.7178,16000,151.317,0.142858,-0.0305077,128.467144419,0.27648,0.00219309,110.194,-12.1615,0.00986586,16.7743,6.105462872000771,41.3452,-2.36556,3.207228183746338,0.3207228183746338,2,-2.16976,131.950163539,192,0.543972,-0.68136
161.30184294700075,1.82034,-1.52333,647.8012683260004,2.07756,12.1166,4.29280073100017,150.7728695779997,0.253132,145.088,81.1564,0.00314497,6.14957,16000,-0.00221253,13.8624,-143.965,28.3949,0.0440263,177.637,-0.177949,0.0536537,-9.57649,20000,170.299,0.157817,-0.0290733,140.650082837,0.218435,0.00209932,140.242,-13.2617,0.0104032,17.0976,6.23617263800088,39.7216,-2.08208,6.086645126342773,0.6086645126342773,3,-2.2887,165.065552787,226,0.510271,-0.71454
160.97063462500046,2.00189,-2.12054,808.6541480520013,2.06926,14.669,4.449588893000055,150.31158063300018,0.211211,160.627,114.72,0.00336849,9.27825,20000,-0.00267182,11.2211,-160.822,42.3187,0.354599,193.136,-0.12497,0.475672,-8.78446,24000,194.095,0.176388,-0.0234255,148.930742116,0.0894511,0.00212659,156.461,-21.5692,0.0124887,22.7792,6.2094650990002265,61.1995,-2.01566,9.487184524536133,0.9487184882164001,4,-2.50032,156.869398098,258,0.445459,-0.71841
161.56951035999919,1.99704,-1.79808,970.4692264670011,2.05101,13.3363,4.332091186000071,151.0952369239999,0.108663,175.2,68.9386,0.00340273,8.21105,24000,-0.0022012,12.3563,-174.052,27.4368,0.362314,219.051,-0.275755,0.0777703,-12.3628,28000,216.604,0.175813,-0.0339484,153.485967881,0.121968,0.00210589,171.222,-14.6397,0.00947426,20.3389,6.142182249999223,79.4489,-1.91029,16.012922286987305,1.6012922525405884,5,-2.47376,143.088701759,288,0.423942,-0.75928
160.76895203499998,2.15006,-1.94834,1130.9927014010004,2.1153,20.565,4.578149513999961,150.01545947799968,0.0602737,194.061,170.556,0.00360191,11.1451,28000,-0.00165763,12.1994,-191.565,47.8649,0.731009,250.319,-0.294757,0.838072,-10.0654,32000,249.176,0.160519,0.0285945,156.429846732,0.144857,0.00203895,189.464,-10.7023,0.00891165,24.6398,6.175343043000339,23.9935,-2.14624,33.1826286315918,3.318262815475464,6,-2.18557,121.557986836,320,0.438391,-0.814219
161.12809931799893,2.06568,-1.74606,1292.027600737999,1.92492,20.9328,4.333017856999959,150.57442097400008,0.0737846,212.805,156.122,0.00340376,8.91021,32000,-0.00168301,16.9075,-203.615,176.651,0.375321,275.749,-0.238609,0.603801,-9.5033,36000,282.024,0.150754,-0.00623204,145.854576405,0.114159,0.00215796,214.081,2.37858,0.0142363,26.3864,6.220660486998895,38.9624,-1.96924,27.933433532714844,2.7933433055877686,7,-2.42715,133.070262611,355,0.477908,-0.724088
160.89018758000066,2.61223,-1.8769,1453.014112941,2.15134,16.6476,4.24002803500025,150.39687595899977,0.0770283,221.561,122.28,0.00336271,13.74,36000,-0.00199687,9.86628,-220.625,51.9862,0.718386,275.264,-0.239727,0.411175,-10.4724,40000,280.844,0.152953,-0.00359931,118.856644031,0.137525,0.00189005,218.188,0.81762,0.00947562,23.7365,6.253283586000634,101.512,-2.24024,20.425506591796875,2.042550802230835,8,-1.82587,99.2605101326,385,0.483027,-0.825694
161.78109101699965,2.55392,-1.97708,1615.0444305810006,2.27575,22.2848,4.336669709000034,151.21546679699986,0.132665,242.016,150.839,0.00315415,14.6931,40000,-0.00275223,12.8737,-243.532,48.6554,0.67093,319.233,-0.279829,0.72636,-9.61643,44000,311.27,0.157559,-0.0217354,114.113703808,0.144721,0.00199747,240.214,-26.1336,0.00978902,28.0266,6.228954510999756,108.727,-2.34058,23.067550659179688,2.3067550659179688,9,-1.80289,143.595637618,416,0.495221,-0.824793
