Log Pis Mean,Policy log std Min,VF Loss,Z variance eval,KL Loss,RF Loss,Q Predictions Mean,R Predictions Mean,Number of train steps total,Policy mu Min,Z mean eval,V Predictions Min,AverageReturn_all_train_tasks,Policy mu Std,Number of rollouts total,Train Time (s),Q Predictions Max,Total Train Time (s),Policy log std Std,Q Predictions Std,R Predictions Std,V Predictions Max,Sample Time (s),Q Predictions Min,Z variance train,Policy log std Mean,Policy mu Max,Policy Loss,Log Pis Std,R Predictions Min,Epoch,Z mean train,Log Pis Max,Log Pis Min,Policy log std Max,V Predictions Std,Number of env steps total,AverageReturn_all_test_tasks,KL Divergence,Policy mu Mean,QF Loss,(Previous) Eval Time (s),Epoch Time (s),R Predictions Max,V Predictions Mean
-5.38696,-0.00507769,29.1184,0.467042,4.914124011993408,25.8518,-0.00490583,0.00129595,4000,-0.00533713,0.0115442,-0.000650854,63.9471397647,0.00175297,104,143.01967485399996,0.0014169,163.65255637399946,0.00172231,0.00200375,0.0021035,0.0110076,16.364301581000063,-0.011497,0.00270838,0.000308494,0.00421049,-5.36231,0.64022,-0.0050374,0,0.0041734,-3.0897,-7.95597,0.00612453,0.00182064,8000,68.3518869693,49.141239166259766,-0.000346659,58.0298,0,159.38397643500002,0.00696513,0.00428231
-2.99378,-1.11432,21.4567,0.483847,0.2387702912092209,13.7136,61.524,0.00138196,8000,-1.76274,0.0515993,13.0344,90.852104201,0.43491,135,145.0541238589999,93.41,319.1709065279995,0.134141,11.2918,0.00190788,87.4277,6.1399866950000614,-7.0707,0.465605,-0.653129,1.52989,-63.7549,1.74156,-0.00480256,1,0.0139521,1.8035,-9.83005,-0.0846116,8.42634,12000,89.0145285738,2.3877029418945312,0.0236804,62.1953,4.2706415319999,155.46475208599986,0.00747803,66.1488
-2.72509,-1.30116,28.1437,0.208481,0.22036002576351166,18.9805,106.14,0.00127303,12000,-2.24769,0.411668,49.468,158.566330242,0.517966,175,145.3623667480001,144.923,474.969007643999,0.138277,12.1461,0.00203361,136.598,6.050357786999939,0.759216,0.481766,-0.62409,1.98869,-106.751,1.9813,-0.00454993,2,0.0613655,3.73845,-11.6321,-0.114359,7.96715,16000,143.583048929,2.2036001682281494,0.0155213,99.9394,4.32458770500034,155.7373122400004,0.00711891,109.074
-2.77512,-1.43534,34.5391,0.0662324,0.819136917591095,13.2906,128.528,0.001332,16000,-1.84734,0.0306204,45.2833,117.916072915,0.443912,207,146.65819542300005,163.078,632.2533955749989,0.149096,13.3081,0.00179129,162.933,6.278460190999795,-8.39878,0.213165,-0.674528,1.78714,-131.142,1.90088,-0.00423156,3,0.278995,5.66173,-10.7036,-0.0173494,7.77237,20000,110.177693849,8.19136905670166,-0.0246017,44.595,4.38559856799975,157.3222541819996,0.0076034,134.82
-2.5327,-1.65062,27.6154,0.0691029,1.967356562614441,11.8148,148.573,0.00168789,20000,-1.85566,0.512105,19.7166,97.3725420912,0.453252,238,145.96547509200036,195.987,788.9677458110002,0.15562,17.0701,0.00185524,194.583,6.242947394000566,-12.1679,0.0706408,-0.718102,1.97066,-151.747,1.97336,-0.00366063,4,0.133082,7.48292,-9.86293,-0.240382,12.082,24000,111.46784411,19.673564910888672,0.0295981,78.7574,4.348214076000204,156.55663656200113,0.00696795,152.846
-2.18319,-1.79593,30.36,0.0544431,2.3681282997131348,14.8828,170.817,0.00123358,24000,-1.93972,0.354336,100.802,140.472140522,0.489148,269,147.59217346800006,230.004,947.073517512001,0.164018,16.0546,0.00169222,232.2,6.199876967999899,-16.0692,0.0652129,-0.748417,2.09729,-174.108,2.14218,-0.0038527,5,0.479985,7.80819,-12.1527,-0.245963,13.1969,28000,110.075260868,23.68128204345703,-0.03603,87.0461,4.506471699000031,158.29852213499998,0.00628048,173.854
-1.83552,-1.8551,57.3815,0.0556303,2.192382335662842,17.1977,185.717,0.0011938,28000,-2.04341,0.569345,67.8567,138.674938589,0.49643,304,146.85028818299998,233.648,1104.4025480519983,0.160217,13.5383,0.00182925,227.731,6.1854115589990215,85.5731,0.0652681,-0.787233,2.39983,-185.216,2.04439,-0.00385644,6,0.112115,11.5004,-9.66868,-0.150441,10.938,32000,119.538998819,21.9238224029541,-0.0265821,136.337,4.314099965999958,157.34979970799895,0.00620552,189.384
-1.64761,-1.74469,44.2859,0.0595521,2.1014926433563232,12.728,200.706,0.00119769,32000,-2.15706,0.829963,73.5578,121.46950659,0.513192,337,147.88127718299984,273.445,1262.5848494999993,0.172852,20.0612,0.00187109,264.562,6.0238427350000165,-30.714,0.0706244,-0.808286,2.25845,-203.483,2.24884,-0.00435721,7,0.138696,9.83825,-11.5384,-0.234105,14.707,36000,112.53178772,21.01492691040039,-0.00643311,209.709,4.29364712000006,158.19876703799991,0.00684439,203.907
-1.6926,-1.77896,66.7228,0.0634846,2.2093381881713867,10.0476,215.732,0.00162742,36000,-2.52689,1.03068,122.625,130.989315649,0.519075,370,146.54215536899983,292.873,1419.7296894480007,0.176541,28.5417,0.00179805,292.741,6.154160288001094,-28.2208,0.0640053,-0.814418,2.5212,-217.979,2.38945,-0.00406389,8,0.356437,11.3437,-9.27393,-0.181253,21.5204,40000,98.566981059,22.093381881713867,-0.0352935,262.435,4.277434808999715,156.97375046600064,0.00636552,221.789
-1.68558,-1.82384,40.2426,0.0647255,2.7970752716064453,14.7455,239.978,0.00152162,40000,-2.30608,0.741673,-15.0396,130.202632023,0.496922,402,148.0492753210001,320.565,1578.2938815399996,0.177654,28.8825,0.00199759,323.958,6.1836192559990195,-7.18512,0.095778,-0.843526,2.58665,-243.575,2.19404,-0.00435616,9,0.710912,13.1911,-9.44691,-0.158834,27.0559,44000,138.217648012,27.970752716064453,0.0217061,153.382,4.4498052809999535,158.68269985799907,0.00719249,245.639
