Policy Loss,Epoch,KL Loss,(Previous) Eval Time (s),Policy mu Max,Log Pis Mean,V Predictions Std,Q Predictions Std,Policy log std Mean,Train Time (s),VF Loss,Q Predictions Mean,Policy mu Mean,V Predictions Max,QF Loss,Q Predictions Max,AverageReturn_all_train_tasks,Z variance eval,R Predictions Min,Policy log std Std,V Predictions Min,Number of rollouts total,KL Divergence,Policy log std Min,Policy mu Min,Epoch Time (s),Number of env steps total,Z variance train,Log Pis Max,RF Loss,Policy mu Std,R Predictions Max,Number of train steps total,R Predictions Mean,Sample Time (s),R Predictions Std,Z mean train,Log Pis Std,V Predictions Mean,Policy log std Max,Log Pis Min,AverageReturn_all_test_tasks,Total Train Time (s),Q Predictions Min,Z mean eval
-5.33587,0,4.915961742401123,0,0.00425292,-5.35927,0.00203207,0.00226993,0.000257556,145.98521913799982,28.787,-0.00432263,0.000567333,0.012441,54.8994,0.00113008,134.107603293,0.367393,-0.0101452,0.00205526,-0.000277256,108,49.15961837768555,-0.00388783,-0.00372176,158.19378597499963,8000,0.0027035,-3.15122,22.4353,0.00140723,-0.000450335,4000,-0.00456327,12.208566836999807,0.00144346,0.00252421,0.613917,0.00574576,0.00581537,-7.14118,120.983161885,162.5483042749995,-0.0121001,0.0270413
-65.0402,1,0.3538293242454529,4.3563528179997775,1.73939,-2.6991,9.0197,11.9893,-0.719518,148.28845841099974,30.6217,64.0433,0.0135638,97.0037,89.021,96.314,92.1094127376,0.170144,-0.00962965,0.139647,19.4199,142,3.5382931232452393,-1.23023,-1.45472,158.78313653699843,12000,0.366071,2.76402,20.402,0.429957,-0.00121928,8000,-0.00449892,6.138325307998912,0.00140592,0.0265854,1.71758,68.0731,-0.1649,-8.59633,73.4507080128,321.3024975399974,-3.45052,0.212355
-112.025,2,1.0022568702697754,4.3277264329999525,2.19549,-2.07544,14.2849,17.9002,-0.681181,148.11340769400022,59.7897,110.953,-0.032628,161.246,191.353,163.591,112.681397635,0.154363,-0.00882948,0.140165,44.4661,176,10.022568702697754,-1.20891,-2.59992,158.72396087300012,16000,0.1606,6.16047,16.255,0.567908,-0.000442286,12000,-0.00442744,6.282826745999955,0.00138952,0.022399,2.13825,116.729,-0.125671,-8.8915,138.747275353,479.93204236999804,-10.3813,0.595109
-139.717,3,1.3447078466415405,4.233577031000095,2.0563,-2.41487,13.1878,19.2561,-0.715976,151.35340390599958,28.2889,136.277,0.00128121,168.135,73.4931,176.728,114.541458918,0.0714355,-0.00860916,0.155379,39.3441,209,13.447078704833984,-1.43686,-1.97982,161.83373142600067,20000,0.136828,12.274,14.03,0.5071,-0.000751665,16000,-0.00422767,6.246750489000988,0.00132074,0.417145,2.18498,139.381,-0.184123,-10.5084,101.606749984,641.9772323759987,-18.3568,0.190365
-159.601,4,2.5149104595184326,4.44581553199987,2.31896,-1.99566,14.022,20.7908,-0.736584,148.9773604740003,45.2722,156.155,-0.00777749,200.212,332.036,199.821,100.678663578,0.033214,-0.00848866,0.165075,37.6188,243,25.149105072021484,-1.51402,-2.15035,159.67997386199931,24000,0.073683,10.5377,17.7919,0.513436,-0.00103768,20000,-0.00438067,6.256797855999139,0.00131607,0.116398,2.15525,161.147,-0.131952,-10.3081,139.516411464,801.615535030998,-56.6323,0.341718
-175.446,5,2.5274863243103027,4.404153067000152,1.99331,-1.97338,12.839,19.8065,-0.783887,149.49348478900038,50.2802,174.397,-0.0134806,213.866,109.927,219.603,92.6944492844,0.050233,-0.00937941,0.151892,42.7548,273,25.27486228942871,-1.92996,-2.0118,160.0500431620012,28000,0.0337256,11.0481,12.9694,0.487274,-0.00091738,24000,-0.00430938,6.152405306000674,0.00132284,0.173678,2.23747,178.732,-0.296195,-11.9959,109.663058408,961.7735777209994,-10.8171,0.268602
-196.929,6,2.790785312652588,4.512637873000131,2.38637,-1.70175,15.0706,20.8428,-0.83204,149.04248154000015,82.3185,197.024,-0.00336892,269.376,289.075,261.611,99.3829165324,0.0648974,-0.0105922,0.151067,61.041,311,27.907852172851562,-1.81562,-1.95965,159.71755020899946,32000,0.0340095,8.65801,13.4476,0.489945,-0.000644359,28000,-0.00420893,6.162430795999171,0.00123601,0.320476,2.14691,202.165,-0.33875,-9.99799,127.829701275,1121.3346783739987,-123.882,0.544241
-217.172,7,2.605454206466675,4.356336451000061,2.13277,-1.49534,20.0414,28.9544,-0.833647,150.33608635499968,40.2589,209.784,-0.0211139,291.038,150.399,289.229,135.756827195,0.0738664,-0.00915455,0.156624,-15.1734,340,26.054542541503906,-1.97097,-2.10935,160.84853150199888,36000,0.0393548,12.1325,9.57847,0.524237,-0.000639999,32000,-0.0043212,6.156108695999137,0.00124883,0.493336,2.31548,217.361,-0.279261,-8.51834,140.637968546,1282.1957870259973,-43.1895,0.570333
-230.671,8,2.367145299911499,4.369403685000179,2.66366,-1.6265,15.3975,24.8535,-0.845726,149.94476068799986,55.8074,228.088,-0.00761349,284.077,258.387,291.854,113.814325681,0.0889818,-0.00876143,0.165858,81.199,371,23.671451568603516,-1.94772,-2.25558,160.48189176400047,40000,0.0597155,14.9305,10.7693,0.496664,-0.000804217,36000,-0.00432687,6.167727391000426,0.00129382,0.0385929,2.34559,229.775,-0.258477,-12.4701,128.320796066,1442.897848389998,-43.0325,0.788037
-238.479,9,2.6602158546447754,4.589881471999888,1.93654,-1.63084,23.4854,27.0894,-0.841227,149.3610830130001,49.12,238.66,-0.0383867,323.251,137.997,330.164,149.541579083,0.0697731,-0.00949551,0.152172,120.056,406,26.602157592773438,-1.77567,-2.59688,160.2751125750001,44000,0.061157,9.58541,12.3173,0.49811,-0.000825455,40000,-0.00435713,6.324148090000108,0.00133112,0.327727,2.19716,240.17,-0.318087,-9.92145,146.465847847,1602.9569848229983,-16.0115,0.507796
