Total Train Time (s),Q Predictions Min,Q Predictions Mean,Number of rollouts total,VF Loss,Z mean eval,KL Divergence,R Predictions Std,QF Loss,V Predictions Max,Policy mu Max,Policy mu Mean,Train Time (s),Log Pis Mean,Number of env steps total,KL Loss,Epoch Time (s),Policy log std Mean,Log Pis Min,Policy Loss,Z mean train,V Predictions Std,Policy log std Std,V Predictions Min,RF Loss,Sample Time (s),Z variance train,Policy mu Min,Q Predictions Std,Log Pis Std,R Predictions Min,R Predictions Mean,(Previous) Eval Time (s),R Predictions Max,V Predictions Mean,Z variance eval,Epoch,Policy log std Min,Policy log std Max,Policy mu Std,Q Predictions Max,Number of train steps total,AverageReturn_all_test_tasks,AverageReturn_all_train_tasks,Log Pis Max
214.53981804195791,-0.0126291,-0.00552042,1200,28.7109,0.067402,142.62693786621094,0.00166503,885.551,0.000292784,0.00549521,-0.000163228,24.15205243881792,-5.34294,210000,713.1347045898438,179.8345673251897,-0.000226084,-7.49649,-5.31741,0.00250156,0.00176995,0.00142304,-0.0118059,438.413,155.6825148863718,0.021691,-0.00464229,0.00212181,0.612733,-0.0083285,-0.00381592,0,0.000403031,-0.00568544,0.217448,0,-0.00454611,0.00430264,0.00159956,0.000172175,1000,-459.133012767,-516.247077751,-3.17649
279.71605582069606,-148.282,-61.5885,1400,14.8223,0.0848821,0.6012004613876343,0.0017513,146.993,-27.3613,0.514902,-0.0117004,23.82559574302286,-5.25364,220000,3.006002426147461,65.8568513263017,-0.254768,-10.0092,56.574,0.0744243,17.9868,0.0506073,-135.648,442.309,7.324743811041117,0.956851,-0.502499,18.4086,0.674092,-0.00904975,-0.00386151,34.70651177223772,0.00154819,-53.2185,0.202836,1,-0.386391,-0.115397,0.150933,-40.7095,2000,-460.438987825,-536.504731454,-2.83401
344.9836765732616,-391.254,-118.349,1600,14.5309,0.156726,1.1484829187393188,0.00168679,112.721,-65.2551,0.478276,0.0105331,23.717991983518004,-5.09595,230000,5.742414474487305,64.98465896677226,-0.339979,-10.2736,112.758,0.089059,38.3922,0.0899912,-379.534,394.321,7.240877502597868,0.847704,-0.44861,37.9667,0.76063,-0.00793913,-0.00363108,34.025789480656385,0.000996559,-112.147,0.207609,2,-0.58158,-0.119326,0.132264,-71.6499,3000,-464.204630421,-528.393497419,-3.01134
410.35580210387707,-543.704,-172.259,1800,25.0269,0.235992,6.834539890289307,0.00164243,98.647,-96.1773,0.492436,-0.0194683,23.847324202768505,-5.11468,240000,34.172698974609375,65.43081278260797,-0.33259,-8.64725,166.265,0.127032,56.0502,0.0886255,-545.057,465.876,7.274596290662885,1.29534,-0.612545,55.0717,0.765005,-0.009207,-0.0036924,34.30889228917658,0.00174846,-169.533,0.133634,3,-0.550375,-0.0998813,0.147101,-97.2926,4000,-441.426751317,-521.490363839,-3.14015
474.1871432866901,-838.897,-244.546,2000,16.9826,0.214552,18.826353073120117,0.00168848,142.603,-113.406,0.945049,0.00112277,23.022673519328237,-4.97688,250000,94.13176727294922,64.37813835311681,-0.311788,-9.75853,238.167,0.204564,115.293,0.0829214,-841.927,478.049,7.105367073789239,0.782712,-1.16978,114.618,0.887229,-0.00799578,-0.00360662,34.250097759999335,0.00170635,-240.853,0.164311,4,-0.558096,-0.0524465,0.221641,-113.363,5000,-433.717708067,-508.657760087,-0.741328
537.8613831568509,-1078.66,-297.488,2200,23.7987,0.246375,21.18568229675293,0.00162781,186.888,-128.705,1.16613,-0.0258714,23.042896091006696,-4.88287,260000,105.92841339111328,63.94820426218212,-0.307065,-10.8716,292.036,0.319698,137.159,0.0895005,-1053.37,391.933,7.202050424180925,0.608065,-1.29773,138.132,1.01904,-0.00796067,-0.00342569,33.703257746994495,0.000862552,-290.196,0.130344,5,-0.563008,-0.0551913,0.267657,-139.927,6000,-426.542669353,-512.810348194,-0.0800858
601.8107802104205,-1112.69,-367.623,2400,47.0766,0.191401,26.857423782348633,0.00173277,295.367,-127.877,1.04752,-0.028516,23.025364293716848,-4.84024,270000,134.28712463378906,63.59029043465853,-0.30381,-9.39522,360.938,0.323239,163.961,0.101676,-1096.68,418.041,7.1356897465884686,0.770492,-1.24513,166.133,1.04836,-0.00970372,-0.00352575,33.42923639435321,0.000131458,-356.358,0.128287,6,-0.631442,-0.00340056,0.285627,-138.706,7000,-452.873898782,-522.671751858,0.128282
665.4392564771697,-1542.61,-427.91,2600,53.5099,0.117536,31.864704132080078,0.00173358,314.973,-173.931,1.43641,0.0202587,23.083829334005713,-4.59992,280000,159.32351684570312,63.95707924570888,-0.314673,-12.2967,423.691,0.333238,180.31,0.105324,-1523.58,495.817,7.084797327406704,0.754931,-1.14746,182.386,1.28081,-0.00913102,-0.00369444,33.788452584296465,0.00193914,-419.29,0.114401,7,-0.672663,0.0424531,0.338605,-175.237,8000,-452.939021221,-535.823766798,4.08989
728.837687141262,-1314.06,-455.454,2800,41.602,0.267755,34.96876907348633,0.00167887,470.984,-142.815,1.5731,-0.0214302,22.996284317225218,-4.31516,290000,174.84384155273438,63.618125717155635,-0.334744,-9.92375,447.589,0.267846,196.103,0.1135,-1313.38,437.71,7.16180947329849,0.584629,-1.33584,195.41,1.39494,-0.00977488,-0.00354043,33.46003192663193,0.00160005,-451.24,0.113708,8,-0.726107,0.000765577,0.383602,-144.292,9000,-454.199842995,-542.791035103,1.98264
792.717466541566,-2033.11,-501.525,3000,38.0422,0.362251,50.44221878051758,0.00173463,642.603,-127.15,1.84669,-0.0345502,23.124011570587754,-3.83483,300000,252.21109008789062,63.467242426238954,-0.34778,-10.0191,497.191,0.950596,245.304,0.138307,-2015.2,488.119,7.103074089623988,0.744891,-2.29598,245.341,1.83985,-0.0091087,-0.0035681,33.24015676602721,0.00151474,-497.623,0.115446,9,-0.871956,0.140469,0.479635,-125.514,10000,-465.423781423,-551.194949034,4.94233
