Q Predictions Min,V Predictions Max,Log Pis Max,Policy log std Std,Log Pis Mean,Log Pis Min,V Predictions Min,Z mean train,V Predictions Std,Q Predictions Max,Log Pis Std,Number of rollouts total,R Predictions Std,VF Loss,KL Divergence,Q Predictions Std,QF Loss,Number of train steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),Z variance eval,Sample Time (s),Total Train Time (s),Train Time (s),R Predictions Max,Epoch,R Predictions Mean,R Predictions Min,Policy mu Std,Q Predictions Mean,Z variance train,AverageReturn_all_test_tasks,RF Loss,V Predictions Mean,Policy mu Min,Policy log std Mean,Policy mu Max,Policy log std Max,KL Loss,AverageReturn_all_train_tasks,Epoch Time (s),Policy log std Min,Z mean eval,Number of env steps total
-0.0135668,0.00981507,-3.38315,0.00153961,-5.35504,-8.21332,-0.00590045,0.00299887,0.00243553,0.00135524,0.622661,1200,0.00190092,28.7904,142.61761474609375,0.00167791,893.595,1000,-5.33159,-0.000912997,0,0.214786,149.70805286243558,206.102239058353,23.152768021449447,0.00493202,0,-0.00148344,-0.00585071,0.000963882,-0.00468585,0.0216975,-568.036635211,465.011,0.00216726,-0.00509291,-0.000362685,0.00270927,0.00451818,713.0880737304688,-529.559762317,172.86082088388503,-0.00494902,0.0737626,210000
-140.794,-23.2346,-3.72621,0.0490692,-5.28994,-8.80756,-131.477,0.082145,17.3815,-35.7108,0.600851,1400,0.00194263,13.7208,0.5058814883232117,17.9446,119.464,2000,54.5384,-0.025561,33.2426596833393,0.292954,7.062352393753827,270.238854191266,23.106216431595385,0.00377221,1,-0.00187093,-0.00962514,0.128611,-59.6047,0.953763,-565.123538985,414.751,-51.7116,-0.449341,-0.246363,0.420296,-0.117886,2.529407501220703,-517.299549899,63.41122850868851,-0.387308,0.147935,220000
-286.778,-53.7056,-3.10768,0.081589,-5.12825,-9.84469,-270.877,0.0687784,39.925,-66.2334,0.768477,1600,0.0019591,12.4878,0.951384961605072,39.7285,119.187,3000,112.203,-0.0161775,33.96783623192459,0.222188,7.262064980342984,334.51040878985077,23.030107479542494,0.00382874,2,-0.00142719,-0.00814439,0.146796,-117.719,0.860732,-566.458181818,397.236,-111.275,-0.51173,-0.325328,0.433138,-0.133528,4.756924629211426,-524.689846942,64.26000869181007,-0.630519,0.421472,230000
-614.095,-83.2656,-3.1777,0.0789376,-5.17064,-9.06026,-605.282,0.173841,73.8747,-91.3445,0.692585,1800,0.00188122,13.6138,5.466158390045166,73.3638,115.278,4000,182.659,-0.00850451,33.979387333616614,0.204119,7.273763259872794,398.3893642844632,23.160404621623456,0.0048825,3,-0.00154523,-0.00805866,0.143758,-189.138,0.974442,-557.308064905,478.351,-184.607,-0.643937,-0.300549,0.597016,-0.131807,27.330791473388672,-504.814662953,64.41355521511286,-0.539304,0.328576,240000
-639.189,-82.58,-2.32117,0.0804626,-5.11645,-11.3517,-655.895,0.377326,92.3557,-88.0874,0.811381,2000,0.0018756,41.1865,17.666215896606445,90.0128,138.961,5000,220.749,-0.0253841,33.44474098645151,0.204241,7.109277302399278,462.13755953032523,23.030140868388116,0.00388314,4,-0.00147027,-0.00626409,0.17836,-226.568,0.680967,-544.670061994,414.768,-225.416,-0.715385,-0.30164,0.791763,-0.124739,88.3310775756836,-523.125416843,63.5841591572389,-0.567863,0.407161,250000
-1033.45,-109.034,-2.63926,0.0795658,-5.04487,-11.8081,-1022.35,0.244702,118.878,-111.621,0.820569,2200,0.00180428,25.4153,22.7171630859375,117.675,167.468,6000,293.381,0.013728,33.60880176816136,0.201082,7.202309657819569,525.4644028218463,22.957340897992253,0.00380456,5,-0.00144542,-0.00701087,0.203966,-298.424,0.652903,-544.736038141,460.419,-295.772,-0.856514,-0.303049,0.682814,-0.0977882,113.5858154296875,-499.634284459,63.76845232397318,-0.574309,0.360325,260000
-1070.15,-99.1962,0.53919,0.0932159,-4.93551,-10.1845,-1076.27,0.335202,155.74,-102.944,0.960004,2400,0.00196174,33.0424,34.95376968383789,154.664,252.402,7000,344.593,-0.0111815,33.167123350314796,0.177414,7.045507845468819,589.1327803898603,23.177575062029064,0.00452418,6,-0.00170713,-0.00719973,0.252362,-350.525,0.616977,-563.071133114,465.014,-348.083,-0.951067,-0.282178,0.976274,-0.0687549,174.7688446044922,-532.267590588,63.39020625781268,-0.610776,0.684188,270000
-1272.9,-139.456,0.314948,0.0940987,-4.67347,-9.68275,-1276.21,0.270742,197.167,-147.046,1.17868,2600,0.00168088,21.4011,44.24417495727539,196.61,324.146,8000,449.356,-0.0316767,33.445313123986125,0.189181,7.154791940934956,652.6060166154057,23.07663501612842,0.00541077,7,-0.00149806,-0.00606988,0.333932,-453.817,0.51378,-565.32794389,536.752,-449.44,-1.3148,-0.281746,1.10486,0.00144832,221.2208709716797,-529.00592018,63.6767400810495,-0.618732,0.683865,280000
-1429.66,-140.907,3.03602,0.0973949,-4.2777,-10.96,-1431.43,0.546643,196.795,-140.457,1.48667,2800,0.001625,51.7434,49.96490478515625,196.309,462.466,9000,463.786,-0.0180749,33.241789693012834,0.175307,7.12749757617712,716.4003718579188,23.147222423925996,0.00373921,8,-0.00146169,-0.0059551,0.41315,-471.431,0.704767,-585.999509962,476.447,-467.402,-1.61171,-0.303724,1.57021,-0.0430769,249.82452392578125,-551.993972125,63.51650969311595,-0.679109,0.551385,290000
-1486.95,-111.277,5.00039,0.117689,-3.85415,-9.80868,-1488.73,0.471698,238.365,-123.014,1.69002,3000,0.00181678,80.4951,50.967716217041016,236.218,658.545,10000,502.708,-0.00967344,33.519742507487535,0.150592,7.149299990385771,781.0585787007585,23.057029837742448,0.00300057,9,-0.00171243,-0.00652121,0.468909,-510.09,0.675864,-605.066784837,458.229,-507.954,-1.6525,-0.352096,1.78478,-0.0655136,254.8385772705078,-558.200342126,63.726072335615754,-0.823259,0.354699,300000
