R Predictions Max,Epoch,VF Loss,Policy mu Max,Total Train Time (s),Sample Time (s),Policy mu Min,Log Pis Min,Log Pis Max,Policy Loss,Policy log std Max,Number of env steps total,Policy mu Std,Policy log std Min,QF Loss,V Predictions Min,Log Pis Std,KL Loss,(Previous) Eval Time (s),Policy log std Mean,V Predictions Max,KL Divergence,Number of train steps total,AverageReturn_all_train_tasks,Train Time (s),Number of rollouts total,R Predictions Min,R Predictions Std,R Predictions Mean,Q Predictions Std,Q Predictions Max,Z variance eval,RF Loss,AverageReturn_all_test_tasks,Z mean eval,Z mean train,Z variance train,Q Predictions Mean,Q Predictions Min,Policy mu Mean,Epoch Time (s),Policy log std Std,V Predictions Mean,Log Pis Mean,V Predictions Std
0.00637262,0,29.0604,0.0051219,209.38033275399357,152.72757236473262,-0.00497155,-7.16097,-2.92699,-5.3592,0.00472162,210000,0.00169817,-0.00620196,753.468,-0.00478578,0.6088,713.5755615234375,0,-4.50628e-05,0.0096043,142.71511840820312,1000,-483.73422269,23.121643006801605,1200,-0.00459529,0.00200614,0.000665393,0.00174352,0.0130003,0.21515,384.835,-448.892328257,0.0599688,0.00296868,0.0216512,0.00542759,0.000769595,-9.49581e-05,175.84921537153423,0.0017328,0.00292018,-5.37495,0.00225593
0.00678855,1,31.7486,0.434412,272.88842131756246,7.190912660211325,-0.485095,-9.09741,-3.45465,54.9868,-0.118015,220000,0.130534,-0.40643,162.199,-156.349,0.609922,2.7072432041168213,33.532356265001,-0.250864,-29.1568,0.5414486527442932,2000,-468.184891934,22.773666286841035,1400,-0.00474964,0.00201502,0.000822358,20.5118,-36.0088,0.211358,513.45,-439.313792216,0.0487094,0.0727074,1.03706,-60.815,-153.002,-0.0174065,63.49693521205336,0.0560628,-59.8448,-5.28775,21.7084
0.00533179,2,12.0522,0.429974,335.75227865669876,7.191934038884938,-0.400364,-9.56701,-3.45123,117.336,-0.106626,230000,0.124246,-0.570501,120.843,-399.187,0.690887,1.943882942199707,33.54335506726056,-0.306735,-61.7148,0.38877660036087036,3000,-463.404983005,22.60328049212694,1600,-0.00515383,0.00201612,0.000571181,48.5683,-67.6441,0.171459,458.661,-424.758164488,0.145195,0.0570888,1.00162,-122.551,-398.314,0.00904621,63.33856959827244,0.0886925,-119.761,-5.19276,49.5304
0.00661142,3,20.5244,0.491097,398.48232092522085,7.107354851439595,-0.597928,-9.27853,-2.80504,176.393,-0.121247,240000,0.141903,-0.581573,165.544,-698.298,0.748131,24.542577743530273,33.06856367364526,-0.323486,-86.1558,4.908515453338623,4000,-458.64887947,22.431790048256516,1800,-0.00555486,0.00200681,0.00090373,78.818,-91.9531,0.194242,493.099,-418.88083589,0.0652288,0.14124,1.15538,-181.295,-687.908,0.000890723,62.60770857334137,0.0881221,-179.101,-5.11921,80.797
0.00569646,4,13.3887,0.588143,461.2504328461364,7.094866772182286,-0.669391,-9.42034,-2.85547,226.645,-0.116127,250000,0.169753,-0.535477,140.555,-646.051,0.755412,77.84209442138672,33.19113169424236,-0.294328,-116.834,15.568419456481934,5000,-463.156595541,22.421442695893347,2000,-0.00590241,0.0020216,0.000583033,85.4204,-119.244,0.128404,348.305,-419.667206975,0.285083,0.465915,0.615045,-232.495,-652.791,0.000280586,62.70744116231799,0.077863,-225.631,-5.1283,85.3529
0.00598451,5,28.0598,0.847123,524.2516016522422,7.079398485831916,-0.748281,-10.0516,-1.14551,297.012,-0.10342,260000,0.238183,-0.572424,239.155,-1041.44,0.905003,116.93046569824219,33.25161491334438,-0.29584,-138.971,23.386093139648438,6000,-480.649450626,22.639375823549926,2200,-0.00739683,0.00205401,0.000899241,127.571,-143.233,0.147972,468.408,-441.6741071,0.153653,0.383855,0.914983,-303.156,-1037.57,0.0156231,62.970389222726226,0.0826616,-300.975,-4.98262,128.495
0.00600628,6,24.4276,1.03733,587.5944242589176,7.093482841737568,-1.03861,-8.90178,-1.54755,341.182,-0.0628639,270000,0.261306,-0.622978,264.009,-1210.97,0.999142,148.59478759765625,33.282289986498654,-0.30766,-139.271,29.718957901000977,7000,-477.545791117,22.67690354026854,2400,-0.00608907,0.0019858,0.00078638,151.895,-143.046,0.1272,456.201,-447.039026115,0.224637,0.383245,0.838748,-345.29,-1196.54,0.000399426,63.05267636850476,0.104058,-342.416,-4.89768,152.371
0.00573607,7,32.1976,1.242,651.7033535754308,7.165889881551266,-1.13847,-10.3977,-0.0428199,392.798,-0.0380442,280000,0.334252,-0.65283,358.865,-1153.21,1.15087,174.577392578125,33.572561671957374,-0.309137,-148.167,34.91547775268555,8000,-492.160788231,22.828302434645593,2600,-0.0048752,0.00193449,0.00080313,180.927,-152.07,0.124574,434.866,-457.264635929,0.210838,0.429439,0.570362,-397.107,-1151.25,0.00913351,63.56675398815423,0.105791,-396.664,-4.62393,181.669
0.00599585,8,26.4247,1.68261,715.2066066311672,7.302531361579895,-1.59856,-11.8581,2.67163,438.857,-0.036706,290000,0.454702,-0.684867,479.124,-1428.02,1.60054,214.73989868164062,34.11454572249204,-0.327884,-151.726,42.94797897338867,9000,-500.416514143,22.73477768804878,2800,-0.00531967,0.00196377,0.000821021,206.485,-153.655,0.112822,434.592,-448.482025575,0.103198,0.423353,0.623769,-445.233,-1448.45,0.0193197,64.15185477212071,0.103043,-438.396,-4.05672,206.361
0.0057598,9,42.7638,1.71349,779.2662187842652,7.163581743836403,-1.63339,-11.2957,4.26942,564.053,-0.013937,300000,0.524078,-0.822739,638.092,-1919.69,1.78736,201.39930725097656,33.465919832699,-0.339155,-156.435,40.27986145019531,10000,-512.358651163,22.85690400376916,3000,-0.00615146,0.00196608,0.000891718,287.033,-161.2,0.121199,506.755,-460.568833365,0.310563,0.751635,0.801498,-569.65,-1919.89,0.0218075,63.48640558030456,0.117202,-565.773,-3.6449,287.336
