Train Time (s),VF Loss,Policy log std Max,Z mean train,R Predictions Std,AverageReturn_all_test_tasks,Number of train steps total,Q Predictions Mean,Log Pis Mean,Q Predictions Std,Z variance train,Policy mu Std,(Previous) Eval Time (s),Sample Time (s),Number of env steps total,Q Predictions Max,Epoch,Total Train Time (s),Policy mu Min,AverageReturn_all_train_tasks,Policy log std Std,QF Loss,Number of rollouts total,Z mean eval,Policy log std Min,RF Loss,Epoch Time (s),Log Pis Max,V Predictions Min,Policy mu Mean,V Predictions Std,Q Predictions Min,KL Loss,R Predictions Min,Policy Loss,Log Pis Std,KL Divergence,V Predictions Max,Z variance eval,R Predictions Mean,V Predictions Mean,Log Pis Min,Policy mu Max,R Predictions Max,Policy log std Mean
25.112848550081253,28.814,0.00449864,0.00159411,0.00197637,-541.565999943,1000,-0.000972647,-5.35201,0.00172117,0.021636,0.00110659,0,161.42017114534974,210000,0.00473737,0,221.41482763830572,-0.00281368,-507.270457313,0.00146131,752.526,1200,0.115856,-0.00483097,343.53,186.533019695431,-3.17711,-0.00758867,0.000766898,0.00243731,-0.00716756,713.771484375,-0.0109073,-5.33274,0.61208,142.75430297851562,0.00715352,0.214188,-0.00498002,-0.000124216,-7.67245,0.00401268,-0.000287696,-0.000185334
24.018506541848183,7.02287,-0.131091,0.132619,0.00202429,-519.609464487,2000,-56.0082,-5.27697,17.6828,0.979166,0.1214,34.87390073854476,7.806359609588981,220000,-32.647,1,287.45589177310467,-0.461532,-479.896110192,0.0518349,129.236,1400,0.0810349,-0.384509,491.054,66.69876688998193,-3.71125,-154.655,0.00216139,17.5261,-170.208,6.5463547706604,-0.0115587,51.6468,0.555011,1.309270977973938,-22.7938,0.230997,-0.00507912,-50.9258,-8.3986,0.414854,-0.000356426,-0.248403
23.442841643467546,28.1621,-0.12646,0.0907972,0.00197222,-542.104508255,3000,-120.346,-5.12191,46.4423,1.03577,0.115414,34.216187896206975,7.289030701853335,230000,-66.7166,2,353.28667186386883,-0.390957,-506.871665376,0.0966386,117.145,1600,0.061336,-0.695419,499.804,64.94806024152786,-2.64781,-385.287,0.0156844,45.724,-407.701,3.459249496459961,-0.0102318,115.626,0.710678,0.6918498873710632,-57.5508,0.193897,-0.00461914,-111.423,-9.94426,0.445546,0.000423693,-0.333808
23.76530971005559,20.6616,-0.13629,0.112802,0.0021979,-515.319884222,4000,-173.743,-5.09286,66.719,0.845915,0.14,35.09902794472873,7.340724875219166,240000,-87.4898,3,419.7480933042243,-0.530637,-469.442981607,0.0911272,115.744,1800,0.299101,-0.651812,438.349,66.20506253000349,-3.0241,-411.332,0.0181811,66.2556,-434.051,34.59233856201172,-0.0103014,169.308,0.735094,6.918467998504639,-80.5101,0.163569,-0.0049836,-166.753,-11.1811,0.607077,0.000772388,-0.330555
24.34649425279349,21.7055,-0.101701,0.198522,0.00212658,-529.835837551,5000,-247.935,-5.11274,102.419,1.03589,0.178298,35.35481037758291,7.639130396768451,250000,-100.543,4,487.0668426314369,-0.641455,-493.239512797,0.0903877,148.459,2000,0.141446,-0.636982,537.131,67.34043502714485,-2.72041,-913.946,0.00616519,102.254,-920.531,101.43630981445312,-0.0110125,242.7,0.78942,20.287261962890625,-98.4555,0.170694,-0.00480268,-241.062,-9.20747,0.656022,0.000166758,-0.301617
24.44272066745907,30.0782,-0.0838887,0.25045,0.00223803,-525.247617907,6000,-291.235,-5.03466,114.933,0.851165,0.193085,35.33312987070531,7.603037393651903,260000,-121.741,5,553.8468176899478,-0.791747,-481.234246471,0.09241,178.503,2200,0.478575,-0.666735,451.034,67.37888793181628,-2.09614,-1074.79,-0.00954148,114.598,-1100.5,106.49385070800781,-0.0111198,286.485,0.827949,21.298770904541016,-112.692,0.155484,-0.00494245,-284.645,-9.31446,0.767044,0.000801228,-0.311241
23.24522016942501,20.6534,-0.0674681,0.236503,0.00220123,-525.95075242,7000,-353.513,-4.96621,173.039,0.839754,0.238765,34.73422378860414,7.256631855852902,270000,-103.957,6,619.0665691196918,-1.02462,-494.240490911,0.105946,268.699,2400,0.305213,-0.696407,455.365,65.23607581388205,-1.72948,-1386.72,-0.0184361,172.752,-1399.38,169.42991638183594,-0.0126239,348.393,0.935922,33.885982513427734,-101.888,0.119123,-0.00505536,-347.479,-11.6357,0.721317,0.000465334,-0.300337
23.71526088193059,22.8381,0.00698178,0.492966,0.00205406,-535.577912414,8000,-424.173,-4.80295,193.489,0.829654,0.307116,34.71782865934074,7.427383023314178,280000,-117.778,7,684.9075477654114,-1.26806,-499.850688142,0.10148,331.865,2600,0.536228,-0.722429,487.654,65.8604725645855,-0.336386,-1844.53,-0.00463392,194.424,-1838.45,198.3702850341797,-0.0117385,420.709,1.13846,39.67405700683594,-114.121,0.145548,-0.00521629,-420.865,-10.0264,1.25913,-0.000603599,-0.291928
24.07691858895123,34.7956,-0.0454163,0.474968,0.00200899,-539.719318471,9000,-439.434,-4.30459,208.572,0.566501,0.411439,34.698327934369445,7.714523698203266,290000,-131.016,8,751.1548485038802,-1.37732,-513.177593642,0.117319,422.036,2800,0.219343,-0.765043,406.714,66.48977022152394,2.89737,-1686.48,0.0187829,207.292,-1704.69,235.6123504638672,-0.0112059,434.142,1.5308,47.12247085571289,-125.12,0.116591,-0.00511603,-432.618,-9.74248,1.39071,0.00065868,-0.326403
24.27613444812596,50.0906,0.0217846,0.263221,0.00195094,-558.065317234,10000,-478.715,-4.00801,221.52,0.514762,0.452248,34.45578366704285,7.358913608826697,300000,-139.107,9,817.6053419187665,-1.76658,-525.234333061,0.133872,607.556,3000,0.533834,-0.857541,432.042,66.0908317239955,4.53828,-1750.4,0.0380971,221.534,-1769.68,272.2469482421875,-0.0104797,473.6,1.63149,54.44938659667969,-135.88,0.144815,-0.00483361,-477.376,-11.1141,1.82894,0.000695382,-0.337781
23.904441175051033,65.9207,-0.0341624,0.303675,0.00210192,-562.633736071,11000,-477.392,-3.50381,247.139,0.591548,0.502047,34.81558048631996,7.416086073033512,310000,-125.847,10,884.1689045764506,-2.12303,-537.688334935,0.151968,671.18,3200,0.358998,-0.95285,349.696,66.1361077344045,4.74528,-1560.94,0.00563651,247.935,-1562.01,238.71981811523438,-0.0125178,469.678,1.71244,47.74396514892578,-108.946,0.120894,-0.00527246,-472.661,-10.4806,1.97422,0.000643984,-0.412784
23.69110202882439,55.2031,-0.033209,0.208047,0.0020912,-556.95703296,12000,-581.946,-3.17309,290.979,0.582248,0.571148,35.243016293272376,7.630522295832634,320000,-161.016,11,950.8162206355482,-2.11187,-525.681853211,0.152178,832.288,3400,0.216824,-1.03543,429.923,66.5646406179294,5.42541,-2478.58,-0.00925701,291.76,-2479.02,225.8651123046875,-0.0111356,576.472,2.0258,45.17302322387695,-148.49,0.125073,-0.00513606,-575.776,-10.006,2.4444,-0.000281736,-0.400715
22.78302200138569,67.1244,0.00348872,0.372034,0.00194613,-542.59703207,13000,-585.454,-2.9003,317.801,0.821433,0.609652,35.325586998835206,7.284910386428237,330000,-151.984,12,1014.5894124042243,-2.04465,-525.804556791,0.156761,859.723,3600,0.241411,-1.00569,401.245,65.39351938664913,6.51081,-2957.43,-0.0058344,316.677,-2954.41,246.11070251464844,-0.0104223,579.674,2.10156,49.22214126586914,-143.779,0.120512,-0.00491638,-577.283,-10.9548,1.98729,-0.000841228,-0.428771
22.750719705596566,104.5,0.0271676,0.356874,0.00193413,-545.599312922,14000,-582.231,-2.42502,351.038,0.660823,0.646742,33.705238594673574,7.282206295058131,340000,-141.296,13,1078.6126494547352,-2.21985,-518.236212041,0.160714,1055.87,3800,0.188118,-1.03866,368.848,63.73816459532827,7.65639,-3419.54,0.00379296,351.332,-3399.79,283.511474609375,-0.0109743,574.475,2.22212,56.70229721069336,-132.293,0.120822,-0.00495255,-577.785,-9.48348,2.38381,-0.000193309,-0.47116
22.743464566767216,166.77,0.00308052,0.238998,0.00190569,-529.221192282,15000,-654.136,-2.39874,305.624,0.605196,0.664844,33.99027319345623,7.2566541424021125,350000,-153.658,14,1142.9172140676528,-2.66458,-505.148454952,0.157449,1210.53,4000,0.339506,-1.02248,389.677,63.99039190262556,6.59043,-2433.6,-0.00808903,308.305,-2408.45,260.2408447265625,-0.011028,645.016,2.26429,52.04817199707031,-140.102,0.129455,-0.00528233,-652.361,-12.462,2.49469,-0.000508907,-0.454238
22.850613597780466,123.875,-0.0959478,0.64155,0.00194125,-560.999800303,16000,-689.738,-2.02373,369.921,0.671818,0.680244,34.30441389698535,7.341942124068737,360000,-155.214,15,1206.882663929835,-2.13778,-524.480479834,0.168388,1141.32,4200,0.215941,-1.12896,472.539,64.49696961883456,8.94944,-2838.91,-0.0234448,368.972,-2843.39,314.74969482421875,-0.0131154,678.352,2.41172,62.94993591308594,-145.218,0.122764,-0.00517477,-683.29,-10.3484,2.22896,0.00128697,-0.506534
22.773240416310728,115.233,-0.0847029,0.300498,0.00196801,-552.690295766,17000,-717.719,-1.95883,373.712,0.712311,0.696619,33.77298607490957,7.218339005485177,370000,-139.727,16,1270.9499534536153,-2.26121,-500.058993895,0.17126,1385.91,4400,0.243379,-1.15692,462.721,63.76456549670547,7.4908,-2766.45,0.00782978,372.811,-2755.59,271.3055725097656,-0.0120541,711.695,2.39346,54.26111602783203,-134.106,0.1231,-0.005041,-710.113,-11.1286,2.43222,-0.000376195,-0.501967
22.82488653343171,152.441,-0.124305,0.24629,0.00196865,-515.041648477,18000,-623.424,-1.71821,321.609,0.587062,0.686043,34.075708952732384,7.307690117508173,380000,-159.561,17,1335.5067314710468,-2.39479,-485.952625932,0.16899,1428.19,4600,0.204155,-1.13167,331.569,64.20828560367227,10.0422,-2430.82,0.0728165,320.146,-2460.14,256.4645690917969,-0.0117371,615.287,2.41446,51.29291534423828,-158.796,0.130774,-0.0048297,-612.22,-11.1145,2.4158,-0.000719826,-0.558064
22.796776375733316,216.793,-0.133289,0.338092,0.00218073,-530.587647258,19000,-688.887,-1.81889,383.04,0.631399,0.679775,34.42426398675889,7.356222975067794,390000,-102.295,18,1399.3640300268307,-2.33946,-462.198748938,0.1697,1462.19,4800,0.225272,-1.15693,375.068,64.57726333756,8.20677,-3353.41,-0.0100002,382.071,-3329.47,277.02386474609375,-0.0110259,677.712,2.29656,55.40476989746094,-106.252,0.142914,-0.00491361,-681.475,-10.2928,2.74483,0.000587749,-0.554324
