Z mean train,R Predictions Std,V Predictions Mean,V Predictions Std,KL Divergence,Policy Loss,Epoch,Q Predictions Std,Q Predictions Max,KL Loss,AverageReturn_all_train_tasks,Total Train Time (s),R Predictions Max,V Predictions Min,Q Predictions Min,VF Loss,Policy mu Std,Number of train steps total,(Previous) Eval Time (s),V Predictions Max,Policy log std Max,R Predictions Min,Policy mu Max,Number of env steps total,Policy mu Mean,Policy log std Min,Z mean eval,Z variance train,Epoch Time (s),R Predictions Mean,Log Pis Min,AverageReturn_all_test_tasks,Policy log std Std,Z variance eval,Policy log std Mean,Q Predictions Mean,Log Pis Mean,RF Loss,Number of rollouts total,QF Loss,Log Pis Max,Policy mu Min,Train Time (s),Log Pis Std,Sample Time (s)
0.00378315,0.00252768,0.0065742,0.00183536,142.7639923095703,-5.365,0,0.00137952,0.0128603,713.8199462890625,-537.76314262,219.76353589165956,0.00925734,0.00104768,0.00176197,29.0911,0.00182074,1000,0,0.0124003,0.0047336,-0.00700578,0.0051131,210000,-0.000200357,-0.00632071,0.0572426,0.0216311,185.45567479077727,0.00236224,-7.21942,-550.431354799,0.00203602,0.221149,-0.000829645,0.0061063,-5.37828,457.039,1200,873.153,-3.43896,-0.00678198,24.131423788145185,0.615144,161.32425100263208
0.0675169,0.00249811,-47.403,13.5663,0.4004738926887512,51.1372,1,14.3725,-34.6974,2.0023694038391113,-559.136513155,286.779553306289,0.00935958,-124.745,-144.27,17.7499,0.10799,2000,34.30908616632223,-24.9623,-0.125011,-0.00713526,0.40964,220000,0.0307704,-0.367932,0.10151,1.04841,65.92634634394199,0.00243367,-9.82835,-544.999223902,0.0441214,0.249881,-0.246299,-55.8791,-5.29801,455.932,1400,110.248,-3.78341,-0.378657,24.096744385547936,0.534844,7.520515792071819
0.111477,0.00248181,-107.843,43.0656,0.9524737000465393,109.394,2,43.7297,-67.5888,4.762368679046631,-536.090141995,353.388938783668,0.0105716,-336.373,-350.28,11.2358,0.107913,3000,35.398586130701005,-59.1353,-0.13642,-0.00400534,0.29264,230000,-0.0232698,-0.654589,0.0637312,1.10486,67.15830218978226,0.00253962,-10.2222,-529.844416467,0.0768065,0.206557,-0.304947,-114.358,-5.22832,377.162,1600,108.643,-3.40657,-0.463658,24.34008906967938,0.677799,7.419626989401877
0.246363,0.00247081,-165.656,65.1936,6.474027633666992,165.381,3,65.2304,-90.9628,32.370140075683594,-546.582744144,420.38642958551645,0.00828392,-538.849,-544.286,9.89339,0.126301,4000,34.84969335049391,-86.7695,-0.104952,-0.00687701,0.446496,240000,0.0103774,-0.564365,0.194604,1.01747,66.66094789654016,0.00234858,-8.67123,-531.285381739,0.0822627,0.236184,-0.318277,-170.632,-5.17145,385.859,1800,84.1622,-3.372,-0.405206,24.164601982571185,0.685871,7.646652563475072
0.0679347,0.00243444,-219.732,96.2655,9.162237167358398,221.062,4,97.1284,-106.904,45.811187744140625,-534.852083454,483.81087644863874,0.00835905,-737.394,-746.189,21.5402,0.181202,5000,35.186198183335364,-102.868,-0.126847,-0.00373313,0.679783,250000,0.00831775,-0.563473,0.109468,0.877754,65.10513708740473,0.00275226,-11.0858,-543.239564053,0.0838955,0.234055,-0.321406,-226.451,-5.05486,466.773,2000,139.242,-3.13227,-0.747928,22.788173742592335,0.80121,7.130765161477029
0.289105,0.00241429,-284.585,114.458,13.973918914794922,282.063,5,113.947,-132.331,69.86959838867188,-531.185193158,547.2704957909882,0.00839177,-870.963,-879.711,19.9202,0.205452,6000,33.50550381746143,-129.726,-0.109809,-0.00527213,0.744387,260000,0.00762247,-0.578692,0.0913732,0.952105,63.34126141294837,0.0025706,-9.19065,-531.118103876,0.0849368,0.189519,-0.304337,-287.761,-5.02861,393.862,2200,211.596,-1.9447,-0.75122,22.664773855358362,0.853368,7.170983740128577
0.127326,0.00253689,-323.856,147.472,25.568700790405273,324.481,6,148.229,-132.681,127.843505859375,-553.095013138,611.6532082771882,0.00933994,-1118.87,-1136.38,18.5418,0.270119,7000,33.6238576201722,-122.538,-0.0573373,-0.00716236,1.08951,270000,0.0228894,-0.618342,0.285511,0.720237,63.485808341763914,0.00240807,-10.8862,-547.21666508,0.100828,0.206465,-0.324072,-329.792,-4.85902,362.912,2400,260.583,-1.00525,-0.976112,22.702227286063135,1.06674,7.159723435528576
0.561512,0.00228735,-389.168,146.697,25.253189086914062,391.745,7,147.257,-123.712,126.26594543457031,-549.454615465,675.2231104737148,0.0101516,-1138.36,-1152.19,27.8885,0.353886,8000,34.52072007767856,-118.718,-0.0587984,-0.00447607,1.44423,280000,0.0288502,-0.704922,0.246915,1.02501,64.6246377704665,0.00238198,-9.90198,-562.679281916,0.11659,0.158909,-0.335357,-397.448,-4.41759,437.506,2600,346.164,0.267211,-1.37358,22.69695130828768,1.27709,7.406966384500265
0.354798,0.00269535,-427.022,206.596,34.71693420410156,431.006,8,206.922,-169.288,173.5846710205078,-561.211233162,739.2383371368051,0.00780024,-1437.07,-1468.0,63.9393,0.41054,9000,33.46593765262514,-162.608,-0.0249323,-0.00606134,1.81582,290000,0.0365885,-0.761216,0.390696,0.834835,63.37271535396576,0.0023486,-10.5488,-566.844471417,0.121115,0.164657,-0.364992,-435.43,-4.10641,423.679,2800,452.499,4.07035,-1.6854,22.765488320961595,1.48507,7.141289380379021
0.334917,0.00232918,-474.965,201.705,33.620391845703125,474.076,9,201.703,-163.913,168.10195922851562,-554.881030384,804.2487759077922,0.0100884,-1431.05,-1439.99,32.4672,0.497688,10000,34.108434909023345,-155.217,-0.0522655,-0.00354076,1.69906,300000,0.0220212,-0.821734,0.650493,0.750108,64.4692782331258,0.00278146,-11.0351,-560.954589948,0.120218,0.169518,-0.374156,-483.754,-3.71663,430.725,3000,482.924,5.83306,-1.81393,23.020196895115077,1.7912,7.340646428987384
