(Previous) Eval Time (s),Total Train Time (s),Policy log std Std,Log Pis Mean,Number of env steps total,Policy mu Min,Number of rollouts total,Policy log std Mean,Number of train steps total,Policy mu Mean,Q Predictions Std,Epoch Time (s),R Predictions Min,Epoch,Policy log std Min,R Predictions Std,Train Time (s),Log Pis Std,VF Loss,Q Predictions Max,Z mean eval,QF Loss,R Predictions Mean,Policy mu Max,V Predictions Mean,Policy Loss,KL Loss,V Predictions Std,KL Divergence,Q Predictions Mean,Q Predictions Min,AverageReturn_all_train_tasks,Sample Time (s),Policy mu Std,V Predictions Min,V Predictions Max,AverageReturn_all_test_tasks,Policy log std Max,Z variance train,RF Loss,R Predictions Max,Log Pis Min,Z variance eval,Z mean train,Log Pis Max
0,92.93844379600003,0.00184205,-4.00819,14000,-0.00619544,80,-8.96321e-05,2000,-0.000325323,0.00285178,88.73969809600001,-0.00801202,0,-0.0061521,0.0019411,73.930474038,0.544917,16.1757,0.00543584,0.0836987,28.3923,-0.00242432,0.00728738,0.000555546,-3.98536,4.91402006149292,0.00227849,49.140201568603516,-0.00256345,-0.0108619,-8.12694588741,14.809224058000012,0.00232085,-0.00555192,0.00715946,-7.54379657699,0.00514557,0.00270871,12.9863,0.00370109,-6.28678,0.30999,0.00162649,-2.21515
4.200490761000026,181.6580115570001,0.0584073,-3.79742,24000,-0.87613,140,-0.133698,4000,-0.11761,2.34814,88.70425413400005,-0.00803306,1,-0.297934,0.0019716,73.70716043200002,0.832439,1.28879,35.583,1.06166,15.3761,-0.00213435,0.572826,29.4424,-29.3629,0.49903175234794617,2.14721,4.990317344665527,25.533,17.2412,18.7827212767,10.796602941000003,0.233681,24.1226,37.9177,-5.88239084204,-0.0427517,0.397892,8.43516,0.00429717,-7.71291,0.0961641,0.371856,-0.523238
4.21645239999998,272.04612448499995,0.10321,-2.4845,34000,-1.6063,200,-0.244563,6000,0.211231,14.6108,90.44309578299988,-0.00806898,2,-0.717264,0.00200022,75.47085846099998,1.76668,15.7885,93.8314,0.719417,122.326,-0.00227303,1.90138,62.3933,-64.609,4.003438472747803,14.1004,40.03438186645508,57.7102,-2.2801,90.0701905643,10.755784921999918,0.579462,12.5747,102.861,-6.21344573364,-0.0571061,0.0648526,11.4311,0.00660079,-9.21297,0.0740397,1.07879,3.89926
4.161781575000077,362.3368721620001,0.112182,-2.49786,44000,-2.01982,260,-0.226016,8000,-0.0748235,21.4649,90.20531565599993,-0.00754855,3,-0.743345,0.00195104,75.21597794900003,1.90318,10.2784,159.831,0.673247,40.9689,-0.00232631,1.69032,97.4653,-98.0537,2.089904546737671,20.9193,20.899045944213867,93.113,30.8906,65.6151873415,10.827556131999813,0.620584,29.6884,162.851,137.291220442,0.0207529,0.165367,13.6486,0.00532828,-8.32036,0.223384,0.664921,4.37834
4.246748461000038,453.10408650399984,0.114469,-2.8898,54000,-2.03912,320,-0.240981,10000,-0.0738571,19.6029,90.78933969499974,-0.00813849,4,-0.683527,0.00176578,75.71732183899996,1.64289,32.869,183.492,0.727616,96.2417,-0.0026254,1.68659,118.81,-117.205,1.804006814956665,19.2271,18.040067672729492,112.469,36.0001,174.749413069,10.825269394999737,0.510255,43.1973,186.987,-25.6260668976,0.0126544,0.266605,23.0336,0.00442356,-9.38153,0.114809,0.205328,4.06565
4.224915008999915,543.7149921129997,0.132043,-2.14274,64000,-2.14828,380,-0.299894,12000,-0.0930782,26.5881,90.66804440099975,-0.00831211,5,-0.765361,0.00203201,75.85778245699998,1.9457,36.3824,234.802,0.65795,102.097,-0.00239127,1.89574,164.253,-163.082,1.4760332107543945,27.8494,14.760332107543945,156.862,84.4108,192.926296178,10.585346934999848,0.6471,102.826,245.294,143.322790143,0.0063697,0.200286,15.0404,0.00399218,-8.53804,0.107113,0.400331,3.97715
4.168445948999988,635.1304389619999,0.171561,-1.83967,74000,-2.07182,440,-0.299433,14000,0.00913413,49.3976,91.36555399400004,-0.00809516,6,-0.939763,0.00199274,76.37551517899999,2.24031,28.6557,324.173,0.435949,74.2607,-0.00245053,1.88013,183.982,-181.806,2.118964195251465,48.9805,21.18964195251465,177.21,-6.45952,330.377019279,10.82159286600006,0.690712,27.3054,323.136,311.918371204,0.0936413,0.179644,20.0117,0.00453985,-9.20168,0.132498,0.465186,6.48443
4.218834111999968,724.3710530770002,0.169213,-0.912084,84000,-2.35403,500,-0.337726,16000,-0.0506455,91.3333,89.35160300200005,-0.0100186,7,-1.25856,0.00201403,74.26134900599993,2.70986,33.6511,477.814,1.23946,114.649,-0.00299806,2.12953,287.351,-286.125,3.1825759410858154,93.0888,31.82575798034668,280.04,34.2399,465.60715308,10.871419884000147,0.841426,36.2776,484.162,406.985005119,0.0946812,0.187621,33.1759,0.00421395,-7.99192,0.0683612,0.480982,8.26224
4.108120299999996,814.2715911669999,0.148249,-2.58116,94000,-1.84698,560,-0.305988,18000,0.00320507,45.2089,89.86579249399995,-0.00857409,8,-0.945778,0.00200781,75.06485282799986,1.70475,82.8836,291.423,0.861851,318.69,-0.00225321,2.44373,214.161,-214.787,1.7789372205734253,46.7281,17.789371490478516,208.528,-11.6099,529.312545834,10.692819366000094,0.557087,15.4536,301.172,531.30169323,0.0497158,0.118524,32.1507,0.00448418,-9.56265,0.116921,0.104814,3.76448
4.143395048000002,904.491981291001,0.173324,-0.254635,104000,-2.46062,620,-0.382537,20000,-0.0694216,126.349,90.29550258400127,-0.011653,9,-1.06216,0.00210093,75.49964201300008,3.01347,62.881,707.392,1.16533,310.209,-0.00326677,2.42158,387.073,-385.216,3.3462982177734375,126.715,33.462982177734375,380.536,-4.88642,634.621185139,10.652465523001183,0.913343,14.1148,703.94,530.103724596,0.194092,0.359696,58.6271,0.00308955,-7.85361,0.0688951,1.61881,12.231
