Q Predictions Mean,AverageReturn_all_test_tasks,Train Time (s),KL Loss,Epoch,R Predictions Mean,(Previous) Eval Time (s),QF Loss,R Predictions Max,V Predictions Min,Number of env steps total,R Predictions Min,Sample Time (s),Policy Loss,Log Pis Max,Q Predictions Min,Epoch Time (s),Total Train Time (s),Number of rollouts total,Z mean train,Z variance train,VF Loss,Z mean eval,R Predictions Std,Log Pis Std,KL Divergence,Z variance eval,Policy log std Max,Policy mu Std,Log Pis Mean,AverageReturn_all_train_tasks,Policy log std Mean,Policy mu Max,V Predictions Max,Q Predictions Max,Q Predictions Std,V Predictions Mean,Number of train steps total,Policy log std Std,V Predictions Std,Policy log std Min,RF Loss,Policy mu Mean,Log Pis Min,Policy mu Min
0.00991233,-3.58781857226,73.70842268100023,4.914058685302734,0,0.00564653,0,27.9085,0.0125496,0.00799852,14000,-0.00235591,14.199484492997726,-4.01078,-2.32231,0.00573109,87.90790717399796,91.92492874199752,80,0.00389076,0.00270851,16.2603,0.683774,0.00266943,0.533515,49.140586853027344,0.326166,0.00512972,0.00107345,-4.03123,-6.76133874708,0.00104359,0.00432386,0.0230476,0.017169,0.00179579,0.0138066,2000,0.00145649,0.00276722,-0.004092,13.5352,-0.00019465,-5.51843,-0.00516557
23.8927,-0.238325900714,73.5161626869999,1.0599652528762817,1,0.00542654,4.018812742999671,16.529,0.0119903,22.1439,24000,-0.00273259,10.374479361001704,-27.9871,-0.278489,16.2029,87.90945479100128,179.85746215899962,140,0.865967,0.270903,2.15215,0.851088,0.00265649,1.07955,10.599652290344238,0.123878,-0.0418668,0.317391,-3.54703,4.85107499535,-0.141793,1.00857,32.5614,31.3634,2.47095,27.6963,4000,0.0481314,1.67832,-0.321339,10.8352,0.180586,-7.4342,-0.816599
53.8232,59.7297995643,74.44327149599985,1.7671043872833252,2,0.00541534,4.042713358999663,31.6312,0.0129246,27.79,34000,-0.00109766,10.498811135000778,-56.9372,1.23922,23.5503,88.9847959900003,268.8225582239993,200,0.809063,0.12582,6.87702,0.970729,0.00260521,1.23013,17.671043395996094,0.0873197,-0.0602028,0.403268,-3.35991,69.8391062987,-0.212026,1.82849,77.281,74.0748,7.88804,57.3277,6000,0.0705637,7.24434,-0.648915,14.5512,0.02852,-8.63217,-1.45037
88.5824,135.447341059,74.00469153299991,2.359466075897217,3,0.0053812,4.0228211190001275,50.6559,0.0143081,34.1057,44000,-0.00195264,10.492488615999264,-94.417,3.8987,7.04781,88.5200012679993,357.4462791569995,260,0.692955,0.204104,14.9972,0.341856,0.00258717,1.6957,23.59465980529785,0.124204,-0.000836153,0.563126,-2.75706,139.944528217,-0.237087,1.97094,153.47,143.838,20.3901,94.7521,8000,0.109061,20.2447,-0.738436,13.2761,0.0168974,-7.59512,-1.74847
125.769,172.63826843,72.77318697100009,2.3449082374572754,4,0.00541462,4.126944845000253,62.6383,0.0130439,40.9251,54000,-0.00185658,10.46560286299973,-130.401,7.63085,33.9986,87.36573467900007,444.6759157839997,320,0.705184,0.0911528,12.5857,1.1877,0.0025451,2.27348,23.449081420898438,0.104558,0.0257451,0.671319,-2.081,218.347703311,-0.280081,1.9843,225.254,223.447,33.3961,129.836,10000,0.139114,33.5183,-0.778038,13.8911,-0.0689908,-10.7793,-2.07183
186.468,337.246494117,74.62074637000023,3.0145554542541504,5,0.00545333,3.9910635390001516,64.1803,0.0120978,57.5499,64000,-0.00146818,10.359337272000175,-192.255,7.69196,49.263,88.97114718100056,533.701633996,380,1.01647,0.173842,16.4582,1.41802,0.00238006,2.48309,30.145553588867188,0.0861739,0.122051,0.801817,-1.45634,366.158195369,-0.319224,2.1874,316.714,321.123,50.8732,192.59,12000,0.151156,50.1063,-0.817419,27.4526,-0.00394491,-8.41661,-2.13383
221.86,433.78691806,73.52838000899965,3.305929660797119,6,0.00554025,4.046199023000099,80.7726,0.0136998,63.3961,74000,-0.0022244,10.5494345839993,-226.208,7.36506,53.3122,88.12401361599905,621.7913617809991,440,1.24355,0.134471,29.5916,1.69195,0.00247003,2.67298,33.059295654296875,0.0864637,0.0940687,0.824704,-1.07636,480.3576623,-0.334995,2.19214,409.085,414.447,72.0667,228.535,14000,0.166503,72.1336,-0.993571,43.1243,-0.0716592,-11.1157,-2.51026
186.096,615.814315108,73.7627688309999,3.7867772579193115,7,0.00553869,4.012560058999952,59.503,0.0124163,68.4797,84000,-0.00173845,10.194593903999248,-192.085,6.32166,53.8936,87.9699227939991,709.8079718989984,500,0.972717,0.0726273,23.5855,1.26511,0.00252277,2.19426,37.86777114868164,0.10453,0.0298309,0.670421,-2.07808,607.161866681,-0.296654,2.11625,315.487,297.876,42.6756,189.16,16000,0.17228,42.5065,-1.03759,38.7476,-0.0265892,-7.61279,-1.95852
466.868,606.181035069,73.39577865699994,4.385395050048828,8,0.00532111,4.059378338999977,218.509,0.0117133,67.011,94000,-0.00280618,10.426316127998689,-467.087,10.8606,64.9965,87.8814731239986,797.6645088469959,560,1.4993,0.184991,139.988,0.651581,0.00225703,3.11839,43.85395050048828,0.073575,0.00488374,1.14692,1.6385,514.105937474,-0.472711,2.44013,720.651,723.7,109.568,475.298,18000,0.153479,108.535,-1.06827,100.327,-0.0432062,-11.7848,-2.31991
364.59,582.735690016,74.67058159199996,3.34429931640625,9,0.00551564,4.0345004679998056,163.509,0.0134603,53.5072,104000,-0.0017865,10.337718723000762,-370.152,8.08786,50.8354,89.04280078300053,886.7660361169978,620,0.632528,0.0739584,72.1045,1.18269,0.002337,2.89032,33.4429931640625,0.103587,0.0678842,0.856432,-0.801085,582.78988697,-0.391972,2.79827,723.734,738.837,172.402,366.255,20000,0.174183,169.4,-1.04571,45.563,-0.0556611,-7.7385,-2.20305
