Log Pis Std,Q Predictions Std,Policy log std Max,Policy mu Max,Policy mu Min,V Predictions Max,(Previous) Eval Time (s),AverageReturn_all_train_tasks,Z mean eval,Q Predictions Max,Epoch,Policy mu Std,V Predictions Std,Z variance eval,RF Loss,Train Time (s),Policy Loss,Policy log std Std,Number of env steps total,AverageReturn_all_test_tasks,Epoch Time (s),Log Pis Mean,Policy log std Mean,Z variance train,Policy log std Min,Number of rollouts total,R Predictions Min,Z mean train,KL Loss,VF Loss,Log Pis Min,KL Divergence,Number of train steps total,Sample Time (s),Log Pis Max,Policy mu Mean,Q Predictions Mean,R Predictions Mean,V Predictions Mean,R Predictions Max,Total Train Time (s),Q Predictions Min,V Predictions Min,QF Loss,R Predictions Std
0.541309,0.0020058,0.00752037,0.00466024,-0.00394792,0.00579984,0,-307.635998821,0.065234,-0.0003684,0,0.00123728,0.00180681,0.32509,105.292,118.37329318800005,-3.98015,0.00261741,204000,-308.147255554,315.66686266900007,-4.00991,-0.000431836,0.0069254,-0.00472139,1080,-0.00786128,0.00526019,9.948866844177246,16.1381,-6.0617,99.4886703491211,2000,197.29356948100002,-2.24166,0.000810761,-0.00586092,-0.00178647,-0.00042955,0.00399003,353.842702325,-0.0127633,-0.00624317,208.362,0.00190107
1.26291,31.1656,-0.0994732,1.46373,-1.70047,2.17387,38.17663402599999,-301.948882525,0.177371,-0.371318,1,0.41519,31.3856,0.332921,110.134,116.48310894999997,41.4444,0.0937093,208000,-303.706346947,158.46795751700006,-3.26971,-0.277296,0.30012,-0.64006,1160,-0.00758179,0.289762,4.481985092163086,7.70459,-8.66209,44.81985092163086,4000,3.8082145410000976,0.833516,0.0850587,-47.8412,-0.00190466,-43.392,0.00430237,511.44609419100004,-120.939,-115.232,36.3243,0.00199043
1.8529,57.5173,0.0123413,1.95853,-1.89753,9.97957,37.31256752499996,-249.162865448,0.242194,6.10549,2,0.617404,57.2424,0.374976,111.201,117.04463350699996,71.6596,0.12956,212000,-247.20014185,158.30739498599974,-2.32434,-0.310156,0.318467,-0.81572,1240,-0.00688522,0.40855,3.8342857360839844,8.13601,-8.91023,38.342857360839844,6000,3.9501939539998148,5.99864,0.0670647,-78.8093,-0.00188122,-72.7084,0.00437844,669.91592093,-230.72,-226.506,51.8985,0.00197855
2.1231,92.1543,0.262592,2.28259,-2.02185,18.2154,37.47510450699997,-254.718932805,0.172986,14.1848,3,0.60103,90.0156,0.427507,94.7731,115.95946727600005,77.032,0.156932,216000,-249.642069257,157.25766695799996,-2.4359,-0.30637,0.371945,-0.90767,1320,-0.0072312,0.228626,4.302640438079834,6.59627,-9.98621,43.02640151977539,8000,3.823095174999935,8.10607,0.0651386,-83.9775,-0.00195757,-77.6245,0.0048886,826.9153379300001,-302.09,-289.652,43.7499,0.00196832
2.21662,90.1359,0.417954,2.40668,-2.10802,21.129,37.217421299999955,-129.318908462,0.22721,17.8087,4,0.676239,88.7071,0.449768,106.227,116.25241032000008,104.945,0.199886,220000,-154.667827688,157.4271998939995,-1.84639,-0.371093,0.563517,-1.42435,1400,-0.00751539,0.535652,3.770672559738159,8.40204,-8.90816,37.70672607421875,10000,3.957368273999464,6.06432,-0.0154716,-112.027,-0.00190833,-104.46,0.00614101,985.4280869910001,-313.388,-289.132,53.5834,0.00210413
2.24152,74.2399,0.35909,2.18148,-2.12691,31.3659,38.30325934100006,-115.740273394,0.365864,27.6914,5,0.6722,72.4292,0.488147,89.2548,116.93795205200013,79.3611,0.218701,224000,-111.401771033,159.07362302099955,-1.83017,-0.39675,0.474791,-1.67691,1480,-0.00757594,0.375486,3.312333345413208,9.94187,-11.0219,33.12333297729492,12000,3.832411627999363,6.38531,-0.0375313,-86.6911,-0.00202448,-78.9881,0.00507709,1143.6007072099994,-295.392,-292.632,56.4751,0.00212881
2.56678,120.608,0.295655,2.35351,-2.42503,33.2726,37.40236125399997,-104.397376804,0.0793702,31.0689,6,0.772596,119.02,0.602475,110.234,117.7623610359999,165.344,0.231531,228000,-114.183952779,158.96452000600038,-1.29382,-0.381764,0.378404,-1.84866,1560,-0.00805903,0.295095,4.71243953704834,11.5052,-12.9817,47.124393463134766,14000,3.799797716000512,8.93561,-0.0544534,-173.386,-0.002081,-165.223,0.00474506,1302.7168152269994,-469.116,-461.132,61.05,0.00214152
2.19995,141.413,0.107654,2.3638,-2.29358,41.5485,37.55427595800006,-101.527748342,0.393372,38.478,7,0.612141,138.997,0.537088,91.8541,117.58519547700007,85.2993,0.2193,232000,-116.386599384,159.06562187399982,-2.11037,-0.405179,0.466643,-1.94546,1640,-0.00839882,0.376879,4.623175144195557,9.84539,-8.54055,46.23175048828125,16000,3.9261504389996844,8.9512,0.00540322,-92.6282,-0.00167815,-86.0413,0.004209,1461.4396351709993,-588.936,-590.746,46.2692,0.00199759
2.48214,140.424,0.167819,2.30864,-2.35927,44.7522,37.21156308200011,-95.4507442585,0.155333,40.4101,8,0.717449,138.124,0.690326,116.022,117.6118145490002,127.818,0.240383,236000,-117.778652329,158.679024647,-1.61168,-0.397152,0.382639,-1.87772,1720,-0.00736792,0.13284,4.713199138641357,10.1578,-14.0607,47.13199234008789,18000,3.8556470159996934,8.58403,-0.0315666,-135.642,-0.00183139,-127.665,0.00473376,1620.0675564779988,-653.272,-646.963,52.5833,0.00200979
2.41769,147.498,0.0927716,2.45661,-2.29573,45.4234,37.16056520999996,-96.4523955515,0.184768,41.5103,9,0.709726,146.974,0.600886,91.0922,117.52321039599997,132.907,0.232,240000,-123.299648017,158.35182088900024,-1.53045,-0.422417,0.647366,-1.814,1800,-0.00858571,0.415065,4.238775730133057,10.5493,-8.27068,42.38775634765625,20000,3.6680452830003105,7.69221,-0.0303291,-139.514,-0.00229976,-132.595,0.00523909,1779.850542364999,-644.314,-637.766,56.9052,0.00204248
