Epoch,Sample Time (s),R Predictions Max,Policy mu Min,Number of train steps total,Z mean eval,Number of rollouts total,Q Predictions Std,V Predictions Std,VF Loss,Policy mu Std,V Predictions Max,Policy log std Min,Policy Loss,Epoch Time (s),Total Train Time (s),Policy log std Std,Z variance train,Q Predictions Max,Policy log std Max,R Predictions Std,Log Pis Max,AverageReturn_all_test_tasks,Policy log std Mean,QF Loss,Z variance eval,KL Divergence,AverageReturn_all_train_tasks,KL Loss,R Predictions Min,Number of env steps total,Policy mu Max,Policy mu Mean,V Predictions Min,RF Loss,Log Pis Mean,R Predictions Mean,Log Pis Min,Train Time (s),(Previous) Eval Time (s),V Predictions Mean,Z mean train,Q Predictions Mean,Q Predictions Min,Log Pis Std
0,214.11928759199986,0.0130376,-0.0065526,2000,0.157258,1080,0.00169844,0.00271464,16.3475,0.00176357,0.0108874,-0.00450092,-4.01115,344.43149377899977,386.1500018959998,0.00159198,0.00694092,0.00844424,0.00512739,0.00216595,-2.28085,-305.90657323,0.000205499,218.057,0.448667,99.43429565429688,-301.416160244,9.943429946899414,0.000775173,204000,0.00510062,0.000671593,-0.00576166,110.186,-4.03769,0.00583111,-6.42667,130.3122061869999,0,0.0020562,0.00287421,0.000105676,-0.00586481,0.524074
1,4.419506341999522,0.0143105,-1.62241,4000,0.0636865,1160,26.7922,27.4352,7.19299,0.417755,1.80956,-0.69088,49.5113,173.34439017699947,559.181246786999,0.0910045,0.64832,-0.610172,-0.0641477,0.00218011,1.43739,-249.649488264,-0.241361,31.6339,0.390687,37.6607780456543,-238.316021978,3.766077756881714,-3.68175e-06,208000,1.51415,0.12352,-123.395,150.5,-3.26479,0.00611128,-8.75395,127.204195905,41.72068792999994,-51.2613,0.399756,-54.3983,-125.964,1.24009
2,4.307788333000417,0.0123281,-1.81592,6000,0.111558,1240,53.848,51.324,15.3977,0.5858,8.64696,-0.9602,50.8044,173.56455416500057,732.3285565879996,0.157011,0.3509,4.35183,-0.00337898,0.00210647,6.03527,-266.789216247,-0.31847,47.5467,0.406062,35.88702392578125,-263.059270721,3.588702440261841,0.00128995,212000,1.95341,0.101043,-205.44,85.6264,-2.43755,0.00601306,-10.0212,127.84911549000003,41.407650342000125,-48.2056,0.211449,-56.3661,-222.7,1.92449
3,4.382089437999866,0.0126137,-2.19035,8000,0.0724129,1320,80.2025,79.2222,12.0096,0.686506,14.5712,-0.97593,105.356,173.22220780899988,905.3315515479987,0.176875,0.429195,10.3677,0.245805,0.00210186,7.41633,-227.153477509,-0.316174,64.3608,0.332375,41.1677131652832,-236.703327876,4.116771221160889,0.000656354,216000,2.27593,0.0316478,-271.584,118.279,-1.95236,0.00589069,-8.36898,127.84927843200012,40.9908399389999,-103.64,0.0594548,-111.411,-280.707,2.27783
4,4.1436971870007255,0.01424,-2.28222,10000,0.109606,1400,103.55,102.735,11.977,0.598433,19.8768,-1.19146,77.0969,171.50575209700082,1077.262270935,0.185268,0.522857,17.7815,0.173616,0.00210244,6.26913,-139.815624229,-0.317956,46.8675,0.404605,43.93889236450195,-151.771121824,4.393889427185059,0.000192708,220000,2.16896,-0.0397268,-368.778,88.3725,-2.34995,0.00594958,-10.7315,126.59017670999992,40.771878200000174,-78.9513,0.742662,-83.7081,-369.233,2.15676
5,4.134146425999006,0.0142985,-2.22235,12000,0.0661196,1480,71.1066,69.683,7.49266,0.531752,25.3343,-1.57226,40.0358,171.7345158449989,1249.2382101019987,0.194461,0.405376,21.868,0.233622,0.002073,7.15242,-137.732186903,-0.372019,44.6024,0.483882,32.71636199951172,-113.961438957,3.2716362476348877,0.000705661,224000,2.32812,0.0145876,-280.629,54.9078,-2.50408,0.00582232,-8.64637,126.40344922700024,41.19692019199965,-40.2686,0.121129,-46.8405,-285.228,1.95736
6,4.2691183820015794,0.0142358,-2.37787,14000,0.379723,1560,134.62,133.037,10.6342,0.677839,29.3209,-1.70269,124.017,180.0683117020012,1429.0369537800004,0.219395,0.482111,24.6309,0.186748,0.00206629,10.518,-131.099782607,-0.379862,54.2522,0.687765,45.5869140625,-98.5021791078,4.558691501617432,0.00127669,228000,2.22677,-0.00139985,-539.031,115.896,-1.83719,0.00599303,-8.95989,134.36030397099967,41.438889348999965,-123.724,0.161524,-130.943,-541.286,2.41811
7,4.314089863999925,0.014646,-2.4393,16000,0.135252,1640,95.3776,94.5344,6.83994,0.537059,31.4419,-1.68516,38.3754,174.20244668899977,1602.9350677600007,0.203193,0.515706,28.6121,0.115121,0.00214057,7.0318,-117.658003512,-0.388765,32.2553,0.600724,35.763221740722656,-91.3643845733,3.576322317123413,-0.00055328,232000,2.22215,0.0466981,-470.141,59.8069,-2.5032,0.0058317,-9.48341,128.71890447399983,41.16945235100002,-39.031,0.576777,-44.8658,-471.728,1.91944
8,4.174630939999133,0.0134523,-2.32451,18000,0.522168,1720,190.081,188.638,7.39883,0.635864,40.2737,-1.79733,133.434,171.69430621799938,1774.4377093580008,0.225222,0.61656,35.2849,0.170467,0.00213054,7.46793,-113.009310005,-0.364457,46.7021,0.774341,54.525516510009766,-84.9901242105,5.45255184173584,0.0012049,236000,2.46239,0.0365954,-711.582,102.768,-2.06652,0.00596883,-9.28295,126.65425827400031,40.86541700399994,-133.778,0.976396,-140.402,-711.452,2.2928
9,4.155753627000195,0.0129278,-2.39503,20000,0.214014,1800,190.517,189.249,13.7045,0.694896,40.7001,-1.90571,173.747,172.74038467899982,1947.5808915670011,0.227023,0.625549,36.321,0.222466,0.00215773,8.88803,-101.312673963,-0.371769,52.6412,0.758518,61.59464645385742,-93.4430602232,6.1594648361206055,9.31807e-05,240000,2.36073,0.011267,-732.56,112.302,-1.81004,0.00605289,-10.9472,127.91048965499976,40.67414139699986,-172.626,0.934214,-179.607,-735.578,2.4025
