Number of rollouts total,Z mean eval,Policy mu Mean,R Predictions Std,R Predictions Min,V Predictions Max,Policy log std Std,V Predictions Mean,Q Predictions Std,Number of env steps total,Q Predictions Mean,QF Loss,Policy mu Std,(Previous) Eval Time (s),VF Loss,Policy log std Min,Number of train steps total,Policy log std Mean,Z variance train,Total Train Time (s),AverageReturn_all_train_tasks,Epoch,KL Divergence,Train Time (s),RF Loss,Z mean train,V Predictions Min,Log Pis Mean,AverageReturn_all_test_tasks,Q Predictions Min,Q Predictions Max,Policy mu Min,Sample Time (s),Policy log std Max,R Predictions Mean,KL Loss,Policy mu Max,Z variance eval,R Predictions Max,Log Pis Min,Log Pis Std,Policy Loss,V Predictions Std,Epoch Time (s),Log Pis Max
1080,0.106939,0.000503757,0.00172347,-0.00904468,0.0100427,0.00193815,-1.36636e-05,0.0020773,204000,0.000804678,230.599,0.00133846,0,16.3132,-0.00341263,2000,0.000953277,0.00693035,380.80236697000123,-325.023003525,0,99.47021484375,128.315315542,115.166,0.00383281,-0.00629908,-4.0226,-320.940172094,-0.0048235,0.00774932,-0.00353954,210.63442032400098,0.00705637,-0.00321674,9.947021484375,0.00486603,0.276238,0.00175114,-6.01234,0.521822,-4.00508,0.0025441,338.949735866001,-2.39684
1160,0.212182,0.123287,0.00169798,-0.00952624,0.643178,0.0962371,-41.47,28.9447,208000,-46.3229,26.9185,0.367351,41.85462524600007,3.36379,-0.619573,4000,-0.267556,0.503668,549.8161403940016,-263.01008241,1,55.04560852050781,124.35019705900004,148.239,1.04792,-113.757,-3.34513,-267.298787864,-118.988,-1.37018,-1.49106,4.2930770270002085,-0.0769433,-0.00327613,5.504560947418213,1.44835,0.306875,0.00222009,-8.6448,1.13144,42.2221,28.6874,170.49789933200032,0.468016
1240,0.0844305,0.0851287,0.00174214,-0.008715,6.18739,0.135444,-68.5114,52.3197,212000,-73.1048,58.8356,0.602333,40.370879081999874,6.989,-0.82261,6000,-0.300791,0.357548,720.4188593280014,-258.22485265,2,44.426116943359375,125.59610011199993,124.56,0.254949,-227.442,-2.34186,-258.93163402,-234.472,2.6058,-1.95599,4.14946736700017,0.0561676,-0.00325405,4.4426116943359375,1.98941,0.282297,0.00338483,-9.12224,1.89719,67.969,52.4416,170.11644656099998,5.15483
1320,0.22069,0.0769346,0.00185093,-0.0104359,12.9073,0.176618,-58.7197,56.306,216000,-67.1945,61.8481,0.656353,40.857320180000215,8.41559,-1.02581,8000,-0.358937,0.274061,890.1155017120011,-280.932437275,3,42.00102615356445,124.88171942200006,90.4235,0.267141,-212.53,-1.95345,-283.336285051,-237.837,9.95747,-1.97928,4.07142068299936,0.182682,-0.0031873,4.200102806091309,2.15555,0.320438,0.00220968,-8.75049,2.17644,59.4854,53.6953,169.81046028499964,6.35608
1400,0.191841,-0.0107684,0.00179865,-0.00942239,21.988,0.216064,-78.454,78.4035,220000,-86.5329,50.6069,0.632513,40.744182793000164,10.2284,-1.42958,10000,-0.360455,0.372203,1059.8676323670022,-145.31276904,4,48.20389175415039,124.60281028600002,96.0632,0.437114,-256.875,-2.13479,-157.575916093,-263.308,18.2842,-2.09301,4.360501956999997,0.288107,-0.00324787,4.820389270782471,2.34223,0.383702,0.00338939,-7.99401,2.21386,79.0974,76.299,169.70749503600018,6.28724
1480,0.0643775,-0.0431401,0.00172602,-0.00982196,27.3576,0.240407,-148.547,112.606,224000,-157.67,75.8196,0.774756,40.788762657999996,12.0996,-1.67201,12000,-0.381261,0.357815,1228.7369650770022,-109.392541149,5,58.20443344116211,123.9554211919999,139.417,0.359531,-447.461,-1.31687,-147.091636208,-451.793,24.3006,-2.39679,4.0784358309997515,0.322591,-0.00314209,5.820443630218506,2.44836,0.363495,0.00221724,-10.7053,2.63287,149.229,110.821,168.82261968099965,7.98981
1560,0.140948,0.0302572,0.00174976,-0.00809121,32.5544,0.223423,-66.3563,107.553,228000,-73.1551,50.3452,0.592837,40.835740517999966,6.75578,-1.77239,14000,-0.383397,0.395494,1406.6738351630036,-97.5376601931,6,52.490238189697266,132.35376442799998,73.9794,0.744616,-360.156,-2.211,-123.364135062,-369.118,29.5601,-2.62366,4.207836338000561,0.202416,-0.00328514,5.249023914337158,2.5043,0.527287,0.00219652,-8.21552,2.22569,66.2759,105.298,177.3973412840005,8.26298
1640,0.301005,-0.0200696,0.00173046,-0.00917102,28.124,0.246436,-178.678,132.101,232000,-186.986,63.7803,0.735145,41.37563443599993,12.1546,-1.90037,16000,-0.420786,0.537189,1577.5003011930028,-86.9011590775,7,56.343772888183594,125.40900713199972,130.909,0.231497,-569.279,-1.40993,-112.268535395,-571.213,23.0998,-2.30265,4.2003623349996815,0.146652,-0.00342593,5.634377479553223,2.3946,0.442468,0.00237233,-9.19828,2.39531,179.113,131.343,170.98500390299932,7.63469
1720,0.406829,-0.0141654,0.00173308,-0.00895579,38.8226,0.231786,-123.927,121.43,236000,-131.973,56.974,0.691069,41.217584862999956,10.5502,-1.88205,18000,-0.430369,0.316854,1746.8401503400016,-84.3645752532,8,50.63628387451172,124.32825906200014,95.7938,0.257692,-526.419,-1.60719,-94.689073943,-524.541,36.082,-2.20528,4.198080293999283,0.127535,-0.00350018,5.063628673553467,2.51829,0.62552,0.0028758,-10.0543,2.34536,123.785,120.336,169.74392421899938,7.51037
1800,0.232102,0.00386359,0.00168951,-0.00908808,35.2945,0.254723,-227.903,150.282,240000,-237.364,71.3679,0.775162,40.81372791800004,13.3185,-1.88064,20000,-0.402855,0.39434,1917.498328737002,-82.0231915653,9,63.64543914794922,124.88872252500005,148.853,0.466744,-731.169,-1.20502,-90.0690361855,-745.155,31.2956,-2.37093,4.248028197000622,0.275106,-0.00337602,6.364543914794922,2.39789,0.47623,0.00191649,-9.48243,2.434,227.934,149.304,169.9504786400007,7.27605
