Log Pis Std,KL Divergence,Train Time (s),Epoch,Number of train steps total,Policy Loss,Policy mu Std,Policy mu Min,Policy log std Mean,R Predictions Max,VF Loss,Z mean train,Sample Time (s),Total Train Time (s),Z mean eval,R Predictions Mean,Q Predictions Max,Q Predictions Mean,V Predictions Min,Z variance train,Policy log std Std,AverageReturn_all_test_tasks,Number of env steps total,Log Pis Min,V Predictions Mean,R Predictions Min,Policy log std Max,Epoch Time (s),RF Loss,Q Predictions Std,AverageReturn_all_train_tasks,QF Loss,V Predictions Std,Log Pis Mean,Number of rollouts total,Policy log std Min,Z variance eval,Policy mu Max,KL Loss,(Previous) Eval Time (s),Q Predictions Min,Log Pis Max,V Predictions Max,R Predictions Std,Policy mu Mean
0.916855,122.42082977294922,371.27046657200003,0,4000,-11.5081,0.0214535,-0.246326,-2.51691e-05,0.30461,133.583,0.0118061,321.87015906099975,754.7676819519993,0.0653981,0.00991686,0.783541,0.0555607,-0.178762,0.0027603,0.0198324,247.199153039,204000,-14.1651,-0.0131182,-0.0641622,0.272329,693.1406256329998,583.765,0.0748844,249.305741877,1173.58,0.0213626,-11.3983,8811,-0.289692,0.817053,0.329136,12.242083549499512,0,-0.00233394,-7.41056,0.121677,0.0245878,-0.00110987
4.26933,1.4111570119857788,378.145909418,1,8000,-497.27,0.725484,-1.616,-0.239705,0.313043,227.877,0.0629013,7.533729162999634,1203.2142831909996,1.81082,0.00974032,667.279,464.013,28.3411,0.72623,0.153022,348.997678878,208000,-16.8931,498.984,-0.0823126,0.00487572,447.28472450199956,573.757,171.277,365.942301636,999.569,165.857,-4.46866,9060,-0.711931,0.465925,2.36092,0.1411157101392746,61.605085920999954,26.1012,12.8785,678.717,0.0244753,0.314612
8.20597,97.67932891845703,378.1182440010002,2,12000,-902.305,0.737631,-2.53284,-0.26215,0.286043,998.217,0.176843,7.202292228000715,1652.6703192740006,2.11774,0.0111435,1154.38,854.301,27.9128,0.265005,0.155378,270.234324717,212000,-17.6948,917.722,-0.0818944,0.061389,448.087610425001,569.492,359.661,262.464623797,2175.86,326.191,-4.00077,9352,-0.90022,0.4579,3.21913,9.767932891845703,62.76707419600007,15.033,27.2937,1189.79,0.0260119,0.37797
8.33011,76.23452758789062,376.63305814099976,3,16000,-1184.55,0.833849,-3.67284,-0.307068,0.311784,1458.08,0.419363,7.305022620000273,2099.7722926540005,0.403121,0.0113532,1530.39,1125.13,14.3909,0.256604,0.167131,260.987890323,216000,-16.7784,1186.29,-0.0485832,0.0262085,448.07393910300016,569.077,450.756,269.076673278,3207.11,401.396,-1.8025,9627,-1.16724,0.143182,3.38336,7.623452663421631,64.13585834200012,6.81985,34.6647,1540.48,0.0253044,0.404126
9.14215,40.6939811706543,375.660594426,4,20000,-1348.52,0.956593,-4.61144,-0.324453,0.256452,2552.42,0.411577,7.336234550999961,2550.95274938,4.02392,0.0118889,1783.09,1296.23,18.2614,0.103522,0.171238,424.301806956,220000,-15.6177,1369.73,-0.057101,0.0590381,446.16083183599994,540.791,533.031,411.601190098,4368.71,478.783,-0.444232,9861,-1.27231,0.419213,3.69176,4.069398403167725,63.16400285899999,7.79949,35.9908,1791.69,0.0267597,0.240736
9.79289,128.8126220703125,377.4077823050002,5,24000,-1406.62,0.967662,-3.83394,-0.33444,0.239837,1664.8,0.643662,7.493976329999896,3004.854124635,3.77181,0.0117971,1941.44,1351.04,16.4816,0.111531,0.180462,288.84725402,224000,-15.9157,1417.21,-0.0689511,0.0429547,453.0853828899999,570.703,603.542,299.015327346,3891.24,549.769,-0.374587,10104,-1.42184,0.311484,3.67958,12.88126277923584,68.18362425499981,-10.1803,44.2885,1945.34,0.0271349,0.232153
9.19219,145.76963806152344,377.4912510760005,6,28000,-1419.97,0.985349,-3.90971,-0.34212,0.24052,2052.55,0.264766,7.4265027159990495,3458.501445972,2.57003,0.0129178,2035.91,1359.35,-24.938,0.073174,0.173202,304.775984308,228000,-16.0604,1420.82,-0.0522627,0.278705,453.91798157399944,611.317,623.823,295.602953031,5820.33,576.458,0.0200451,10333,-1.67896,0.0927667,3.85174,14.576964378356934,69.00022778199991,-6.48774,45.1839,2039.21,0.0290137,0.230823
9.57846,128.86746215820312,377.61204065899983,7,32000,-1510.06,1.02608,-4.68719,-0.369433,0.243317,1813.1,0.21833,7.37107191600262,3911.241132331002,4.55087,0.011934,2095.1,1433.11,-12.0608,0.0711455,0.187867,314.357862579,232000,-16.4972,1516.58,-0.0573776,0.0290769,453.71281995700247,559.391,614.188,309.53847795,4371.98,562.042,0.996356,10560,-1.90944,0.218386,3.67949,12.886746406555176,68.72970738200002,-9.95484,45.7592,2112.47,0.0266501,0.223318
9.34052,109.13261413574219,376.65199681600006,8,36000,-1498.81,1.04023,-3.44464,-0.368882,0.261927,2560.45,0.104829,7.35287724599857,4362.170711282997,1.20615,0.0109356,2157.45,1421.84,3.78575,0.0563538,0.185865,461.092661578,236000,-15.5553,1516.42,-0.0862512,-0.0239073,451.7620111499982,599.582,662.942,464.683522841,4592.82,615.661,1.17024,10772,-1.8098,0.0566497,4.18515,10.913261413574219,67.75713708799958,13.2297,43.4885,2189.85,0.0265271,0.211417
9.00971,127.15849304199219,377.0216436569999,9,40000,-1482.8,1.00785,-3.52144,-0.364319,0.218478,1915.96,0.0910678,7.263573141000961,4811.3069910839995,1.63232,0.0140186,2201.37,1416.1,-5.01005,0.056181,0.188323,387.093034384,240000,-20.0806,1476.78,-0.0706261,0.0920015,451.2100210720009,587.385,682.728,360.778940254,4743.57,644.258,0.396626,10988,-1.63034,0.0992837,3.70572,12.715849876403809,66.92480427400005,-3.7027,43.3604,2216.56,0.027728,0.172109
