Total Train Time (s),Policy Loss,Epoch,Train Time (s),V Predictions Max,Number of rollouts total,Number of env steps total,Policy mu Min,Policy log std Std,Policy log std Mean,Q Predictions Max,Epoch Time (s),R Predictions Max,AverageReturn_all_test_tasks,Policy mu Std,Policy log std Min,Policy mu Max,RF Loss,VF Loss,Number of train steps total,R Predictions Std,R Predictions Mean,Log Pis Min,Log Pis Mean,Policy log std Max,V Predictions Min,Z variance eval,KL Divergence,Sample Time (s),Z variance train,Q Predictions Std,QF Loss,Q Predictions Mean,Z mean eval,Log Pis Max,Policy mu Mean,Z mean train,V Predictions Mean,KL Loss,R Predictions Min,(Previous) Eval Time (s),V Predictions Std,Log Pis Std,Q Predictions Min,AverageReturn_all_train_tasks
757.8395308659949,-11.4498,0,371.09747127000014,0.503359,8812,204000,-0.161862,0.0190235,-0.00087346,0.20844,694.6206757579951,0.317541,246.071515291,0.0156353,-0.264154,0.223655,571.114,131.068,4000,0.0314327,0.00802517,-14.3037,-11.352,0.330928,-0.0187576,0.850212,123.06485748291016,323.5232044879949,0.00268992,0.0399854,1147.14,-0.0135265,0.0688822,-8.13914,-0.000746549,0.0233757,0.0369604,12.306486129760742,-0.140575,0,0.0500092,0.902758,-0.377746,247.096951833
1212.7413883589948,-496.352,1,381.88441947699994,671.608,9056,208000,-1.65461,0.162221,-0.243607,648.194,452.8332592270003,0.220359,381.743494345,0.734363,-0.772481,2.44152,562.245,218.739,8000,0.0270685,0.00719109,-16.253,-3.89475,0.126342,4.02598,0.398724,1.0769736766815186,7.747643294000454,0.75431,171.357,1079.53,461.188,2.28935,11.5143,0.361452,0.0599825,501.772,0.10769736766815186,-0.0769527,63.201196455999934,159.826,4.42251,15.4212,379.208598496
1662.1552779059948,-927.332,2,379.70539575700013,1170.8,9344,212000,-2.47103,0.155686,-0.259925,1169.71,452.2083348389999,0.294249,266.272509213,0.793792,-0.92121,3.01231,587.644,700.966,12000,0.0303897,0.00804399,-16.7353,-3.7258,0.212961,-13.0378,0.0908258,74.9462661743164,7.233875180999803,0.268087,343.436,2715.8,878.262,1.07598,27.8413,0.250195,0.056588,925.714,7.494626522064209,-0.17744,65.26906390099998,309.716,8.29941,0.0502706,258.021019999
2120.1113164039944,-1215.18,3,379.7124902229998,1539.66,9618,216000,-3.21707,0.168488,-0.294011,1538.84,449.423791369999,0.333551,306.098443952,0.87483,-0.963938,3.25433,590.951,1716.06,16000,0.0315007,0.00714203,-15.9623,-1.83004,0.0318851,26.3169,0.104779,49.47494125366211,7.236167148999357,0.103315,440.732,3182.27,1159.93,1.127,35.6038,0.296915,0.0911039,1223.7,4.947494029998779,-0.131292,62.47513399799982,393.064,8.48369,14.5326,294.917567226
2577.655715381993,-1399.78,4,380.8580573909999,1811.24,9833,220000,-3.6736,0.172062,-0.325375,1784.41,459.5519700429986,0.2415,406.82380455,0.976513,-1.11773,3.76137,569.858,2539.15,20000,0.0316235,0.00729035,-17.5129,-0.335104,0.0446552,16.2639,0.242673,51.120113372802734,7.686563933998514,0.0716426,516.531,6664.16,1342.03,4.35684,45.3744,0.194887,0.633225,1417.11,5.112011432647705,-0.105814,71.00734871800023,454.77,10.2765,15.5115,378.111028289
3032.180790554992,-1406.28,5,378.92124493799975,2179.62,10053,224000,-3.64794,0.166946,-0.319621,2151.24,455.27999315199895,0.225495,438.508459939,0.946759,-1.22718,3.60573,574.443,6213.15,24000,0.0300308,0.00913207,-16.7877,-0.740419,0.0440646,12.9728,0.0731096,165.17916870117188,7.358542976999615,0.0923493,594.877,8321.87,1323.29,3.58875,44.3547,0.263869,2.51037,1353.94,16.51791763305664,-0.118445,69.00020523699959,539.43,9.90401,5.37229,346.329946827
3485.523865093993,-1480.16,6,378.1785237470003,2091.07,10264,228000,-3.62724,0.18167,-0.339021,2061.45,453.81365130200084,0.338067,408.818711907,1.00424,-1.5461,4.73042,579.412,2764.06,28000,0.0301366,0.0072731,-18.3841,0.50414,0.08858,13.0434,0.11262,70.78356170654297,7.389488855000764,0.113939,640.02,3933.84,1411.67,2.45148,50.1207,0.263796,0.669633,1505.16,7.0783562660217285,-0.103499,68.24563869999974,586.755,10.5802,21.0023,434.525164644
3940.4542500569946,-1524.38,7,379.78204603799986,2195.0,10464,232000,-4.09882,0.180099,-0.359685,2189.8,455.0503799859998,0.247315,419.372470025,1.04663,-1.64229,3.99051,556.699,1825.71,32000,0.032398,0.00622345,-16.833,1.27116,0.0685438,16.9347,0.0948134,96.51776123046875,7.493051992000801,0.128749,662.204,3466.45,1449.65,2.8416,50.6969,0.19412,3.35426,1516.9,9.651776313781738,-0.153588,67.77528195599916,617.321,9.60401,10.7953,409.073327931
4394.790090064993,-1575.69,8,379.0105142070006,2317.09,10658,236000,-3.32557,0.188506,-0.369523,2302.38,453.8915694059997,0.235136,435.178194871,1.05473,-1.51515,4.41203,566.771,2142.75,36000,0.0292198,0.0065408,-15.2637,1.62257,0.170685,12.3004,0.182999,62.92717742919922,7.225707323998904,0.0881437,730.027,3968.93,1498.04,0.707927,48.2072,0.215163,0.180622,1579.84,6.292717933654785,-0.170669,67.65534787500019,688.5,9.70237,7.11232,411.75995836
4842.446739593995,-1626.39,9,378.1683708370001,2478.49,10895,240000,-3.46398,0.19025,-0.381206,2469.27,453.55670196699975,0.255626,240.690910818,1.0695,-1.47137,4.35582,574.548,1749.21,40000,0.0297317,0.00585821,-14.6785,1.85573,0.131339,22.9822,0.156781,61.664466857910156,7.288208398000279,0.0828974,761.227,4559.79,1545.37,2.15404,45.7519,0.188683,0.427597,1623.39,6.166446685791016,-0.21606,68.10012273199936,719.808,8.84798,13.0127,222.662849957
