Policy Loss,Sample Time (s),Policy log std Mean,(Previous) Eval Time (s),Z mean eval,Policy mu Std,Log Pis Std,R Predictions Mean,Log Pis Mean,AverageReturn_all_test_tasks,Policy mu Mean,Q Predictions Std,Train Time (s),Number of env steps total,Log Pis Min,V Predictions Min,Policy log std Min,KL Divergence,Z variance eval,Q Predictions Min,KL Loss,RF Loss,V Predictions Std,Log Pis Max,AverageReturn_all_train_tasks,Epoch Time (s),R Predictions Min,V Predictions Max,Q Predictions Mean,Z mean train,Z variance train,Number of rollouts total,Policy mu Min,Epoch,Q Predictions Max,Policy log std Max,Policy mu Max,R Predictions Max,R Predictions Std,Number of train steps total,VF Loss,Policy log std Std,QF Loss,Total Train Time (s),V Predictions Mean
-11.4807,325.26118080500123,0.000239853,0,0.0802288,0.0247768,0.929339,-0.00797544,-11.383,215.616439742,0.00385813,0.085935,373.40761208799995,204000,-16.3332,-0.361219,-0.256606,122.59822845458984,1.04098,-0.655818,12.259822845458984,575.258,0.0407046,-7.44326,216.954179644,698.6687928930012,-0.341475,0.15299,-0.05018,0.0190141,0.00273933,8638,-0.357991,0,0.0317674,0.288241,0.410384,0.173212,0.0344631,4000,133.037,0.0197483,1146.95,764.9157336570014,-0.0155571
-497.995,7.9687668869999015,-0.252777,66.24167137899985,2.08513,0.767318,4.69366,-0.00906766,-3.45391,327.546594908,0.368481,175.823,379.810702946,208000,-16.8005,33.7012,-0.782142,0.5638962984085083,0.485345,14.5064,0.05638962984085083,567.326,165.601,12.8397,321.642524566,454.02114121199975,-0.375036,691.922,466.021,0.0637105,0.828224,8897,-1.65619,1,663.058,0.0395808,2.52038,0.0972183,0.0366495,8000,333.474,0.161097,1144.37,1218.038727264001,503.09
-939.232,7.632045784000184,-0.262426,65.34380839499977,1.91652,0.766498,7.86081,-0.00720916,-3.75774,239.144399935,0.346372,357.763,379.780802922,212000,-17.9576,30.357,-0.832508,14.953474044799805,0.275583,6.69852,1.4953473806381226,580.956,325.027,25.0499,236.850528156,452.756657101,-0.398618,1200.4,891.425,0.137981,0.291207,9200,-2.6798,2,1186.2,-0.0103503,3.0799,0.294811,0.0333181,12000,599.942,0.155298,2242.57,1669.7937049620004,948.726
-1204.92,7.3706488090001585,-0.300087,64.34227964799993,3.62707,0.874192,9.0144,-0.0124792,-1.37712,250.947384223,0.374045,463.451,377.86441681299993,216000,-16.5626,37.5676,-1.0316,71.93126678466797,0.296636,-6.61372,7.193126678466797,556.059,415.745,36.0746,434.606572745,449.57734527,-0.347978,1577.05,1142.53,0.238332,0.278665,9489,-3.30857,3,1543.18,0.0730375,3.34712,0.157104,0.0367907,16000,1298.11,0.16553,3993.86,2124.357414788001,1211.72
-1372.01,7.55707026699929,-0.32815,69.32854137499999,3.86623,0.915901,9.01214,-0.0140207,-0.32784,273.369700999,0.385326,524.337,379.90371383,220000,-15.8038,19.3191,-1.13081,175.7740478515625,0.231154,3.96817,17.57740592956543,540.01,477.427,39.8733,259.289502421,456.7893254719993,-0.332916,1836.17,1307.14,2.96139,0.110121,9758,-4.50043,4,1830.99,0.0432859,3.45553,0.103528,0.0363466,20000,2037.65,0.161917,4555.98,2575.477542024,1363.56
-1481.38,7.392914201000167,-0.337433,63.65985148000027,2.28899,0.951496,9.33024,-0.013169,-0.16708,362.223120079,0.318005,591.824,380.2053854390001,224000,-15.9426,26.3165,-1.2317,104.91883850097656,0.146342,-2.89784,10.491884231567383,569.312,541.107,42.1632,362.155827037,451.25815112000055,-0.375551,2018.67,1406.9,0.688318,0.11186,9998,-3.65437,5,2018.12,0.188131,3.62704,0.119779,0.0375491,24000,2478.5,0.174133,4183.06,3030.338835267,1454.38
-1490.11,7.34189341299907,-0.359003,67.26315920500019,1.50193,1.01365,10.3303,-0.0104026,1.1805,236.322494788,0.321593,646.65,379.56933992499944,228000,-16.2897,-58.5389,-1.36392,133.00428771972656,0.147901,-4.61994,13.300429344177246,563.026,595.737,51.7813,259.831520391,454.1743925429987,-0.319222,2124.41,1416.25,4.58292,0.246261,10247,-4.45236,6,2105.39,0.185446,4.16814,0.15715,0.0342853,28000,1659.32,0.176255,4252.46,3479.021447039998,1489.58
-1431.83,7.175936341001943,-0.351342,61.771774458000436,1.44296,0.982488,9.27264,-0.0172553,0.366034,266.281255441,0.295943,669.001,377.78108734499983,232000,-15.232,5.79084,-1.40624,162.14517211914062,0.202374,-7.01175,16.21451759338379,580.185,628.47,53.947,284.930533633,446.7287981440022,-0.28956,2174.47,1350.29,1.80913,0.0715799,10490,-3.47598,7,2165.9,0.0740647,3.80263,0.196199,0.0414025,32000,1675.0,0.174797,4039.0,3925.928868965001,1423.9
-1463.24,7.192161623996981,-0.352395,61.95073485300054,1.82872,0.980632,8.71791,-0.0166969,0.277308,276.446798544,0.277858,667.307,378.4955428480007,236000,-16.2623,-18.4579,-1.44639,133.84222412109375,0.122462,-0.290073,13.384222984313965,558.822,633.579,45.2861,280.706750614,447.6384393249982,-0.284621,2249.49,1395.66,0.320752,0.0651072,10749,-5.06409,8,2240.38,0.320477,3.52399,0.15569,0.0373348,36000,2424.99,0.177701,4646.57,4376.51147274,1467.86
-1563.9,7.561818649999623,-0.382181,64.89510773799975,2.35618,1.04124,9.58056,-0.0119534,1.62755,282.965319219,0.268388,723.361,379.0877222570007,240000,-17.196,2.60356,-1.56732,145.56893920898438,0.218707,-9.34319,14.556894302368164,541.532,682.072,50.3603,334.769646153,451.54464864500005,-0.285453,2340.87,1473.46,0.604468,0.0681826,10995,-3.43783,9,2325.05,0.24224,3.6835,0.333656,0.0337579,40000,1595.06,0.177703,4270.2,4827.376748419,1566.66
-1646.87,7.601277034000304,-0.409941,64.21590737000042,3.05831,1.06019,9.64162,-0.0105783,2.43072,367.190927759,0.324506,779.339,378.4347341950006,244000,-16.4135,21.3068,-1.70861,117.3375244140625,0.224597,-7.699,11.733752250671387,583.444,730.353,48.6951,362.619882106,450.2519185990013,-0.385172,2552.21,1559.13,1.5386,0.045143,11223,-3.56091,10,2536.09,0.0413628,3.75557,0.252136,0.0402014,44000,1868.53,0.193232,4055.95,5279.475737221001,1640.59
-1753.29,7.387277448000532,-0.416608,66.06330297800014,2.30668,1.05281,9.43673,-0.0128443,2.6642,416.593117114,0.347687,833.029,378.83272374100034,248000,-15.3317,23.6581,-1.66856,213.3412628173828,0.194823,7.80119,21.33412742614746,569.457,799.395,58.4097,420.250910488,452.283304167001,-0.455498,2838.59,1662.36,4.61335,0.348473,11426,-4.15734,11,2799.84,0.104647,3.74676,0.211567,0.0380115,48000,1822.16,0.192497,3940.31,5732.9363308010015,1766.88
-1508.53,7.425627833998988,-0.426069,67.24121352800012,1.8648,1.02654,9.48973,-0.0172382,1.86063,478.661670478,0.307886,822.477,377.939527171,252000,-18.6699,-6.00725,-1.80605,370.00634765625,0.126234,-7.19111,37.00063705444336,547.141,804.003,51.1707,434.655085544,452.6063685329991,-0.347679,2808.84,1428.49,4.37894,0.172984,11615,-4.84425,12,2779.33,0.172133,3.96846,0.136227,0.0401865,52000,2623.35,0.213133,4793.09,6185.538771074002,1522.24
-1742.18,7.109711610000886,-0.436856,67.2370272850003,2.45983,1.10993,10.706,-0.01145,3.51434,516.461764864,0.271185,857.435,378.15879225499975,256000,-17.4967,9.67595,-1.86319,256.49853515625,0.132598,-0.171929,25.64985466003418,560.812,817.102,51.6742,488.242900752,452.50553115000093,-0.383952,2805.95,1653.45,3.97382,0.0835681,11793,-4.46567,13,2803.9,0.226353,4.27156,0.139875,0.0360186,56000,2896.01,0.211609,4706.97,6640.415890367004,1740.42
-1628.13,7.441796300999158,-0.427809,69.60960083400005,2.41021,1.08794,10.1077,-0.0129653,2.84004,509.661360785,0.24796,870.318,377.5371148490003,260000,-15.8571,9.69526,-1.83246,201.54359436035156,0.138807,12.2295,20.154359817504883,577.191,834.416,56.7532,475.327574583,454.5885119839995,-0.292802,2814.75,1540.1,1.59339,0.0662224,11975,-4.1295,14,2828.81,0.0513797,4.50205,0.229219,0.038294,60000,2129.71,0.204552,4163.8,7095.227858016005,1610.53
-1608.9,7.440203643999666,-0.437922,69.83330770599969,0.671333,1.06422,10.0376,-0.0125341,2.62129,375.17485996,0.264506,805.354,378.5166819349997,264000,-18.667,12.9432,-1.69887,160.5228729248047,0.110987,-13.1865,16.052288055419922,552.88,778.019,55.6437,381.801669393,455.7901932849991,-0.265544,2832.63,1535.79,1.28909,0.0742501,12178,-4.19821,15,2804.5,0.133754,4.19793,0.152772,0.0334746,64000,1463.62,0.209538,4368.34,7547.713575430004,1609.67
