Policy log std Std,Z mean eval,Policy mu Max,QF Loss,AverageReturn_all_train_tasks,Policy mu Std,R Predictions Min,Policy mu Min,AverageReturn_all_test_tasks,RF Loss,Q Predictions Min,Train Time (s),Log Pis Max,V Predictions Max,Log Pis Mean,V Predictions Mean,Policy log std Min,V Predictions Min,Policy log std Mean,Number of env steps total,Policy Loss,Policy mu Mean,(Previous) Eval Time (s),KL Loss,Total Train Time (s),Number of rollouts total,Epoch Time (s),Epoch,Log Pis Std,Q Predictions Std,Q Predictions Max,Sample Time (s),Policy log std Max,Z variance train,Z mean train,Log Pis Min,Z variance eval,R Predictions Std,R Predictions Max,Q Predictions Mean,R Predictions Mean,V Predictions Std,KL Divergence,Number of train steps total,VF Loss
0.0211722,0.0461214,0.267445,1147.92,211.353863318,0.018369,-0.241503,-0.226168,212.236890579,574.207,-0.335183,367.14765763800006,-8.01317,0.187997,-11.3914,0.0108068,-0.295399,-0.10334,-0.00207163,204000,-11.5033,0.00338268,0,12.294821739196777,755.082776511998,8805,691.0680135909981,0,0.894698,0.0394296,0.0601034,323.9203559529981,0.210258,0.00270502,0.0558496,-14.634,1.06194,0.0504937,0.517101,-0.0126888,0.0244889,0.0248335,122.94821166992188,4000,132.886
0.155857,3.75087,2.34907,1235.97,293.28412982,0.724191,-0.241685,-1.50296,274.209382288,598.47,16.6172,373.33768112300004,12.2525,673.72,-4.02912,500.631,-0.703452,26.1845,-0.243012,208000,-500.448,0.36196,64.0153019500001,0.08307044208049774,1205.644782073998,9093,444.74291690899986,1,4.08306,170.507,656.783,7.389933835999727,0.0232683,0.779659,0.0342523,-16.9342,0.506335,0.044013,0.400076,463.27,0.0218467,163.555,0.830704391002655,8000,240.672
0.164659,2.68176,3.01681,2940.34,328.673403753,0.82089,-0.121444,-3.55236,299.661946346,569.829,11.3032,375.28640780700016,33.0281,1230.89,-2.80975,960.067,-0.76266,24.5666,-0.267658,212000,-945.515,0.351775,69.83472098799984,2.116614818572998,1654.4188052909992,9360,452.425977280001,2,8.53441,370.849,1200.7,7.304848485001003,0.00610677,0.181871,0.0678009,-18.0457,0.269687,0.0440539,0.503422,897.841,0.0203148,335.144,21.166147232055664,12000,1171.87
0.170325,3.62893,3.46535,3530.39,301.122721404,0.890737,-0.253769,-4.38522,273.142586623,571.443,16.8958,373.2296539099998,41.494,1575.42,-1.25037,1227.41,-1.04208,30.0525,-0.309134,216000,-1229.9,0.350872,66.18256574199995,4.383912086486816,2101.1148121339993,9636,446.64334408800005,3,9.04855,481.494,1561.22,7.2311244360003,0.0167161,0.060215,0.093201,-17.1805,0.304446,0.0489816,0.471679,1161.25,0.0221371,425.946,43.83911895751953,16000,1266.86
0.176486,1.73103,3.5609,3987.91,316.678546465,0.936931,-0.175728,-3.34128,289.437188158,582.5,8.54974,373.86022485800004,43.7705,1827.08,-0.974231,1376.61,-1.2691,19.7251,-0.32908,220000,-1380.65,0.21014,66.23535236299995,20.51358985900879,2549.154544176,9859,447.3099368580001,4,9.45775,551.298,1816.03,7.214359637000143,0.0978208,0.102218,0.336017,-14.4552,0.0935701,0.0435875,0.434949,1314.5,0.0223386,503.591,205.13589477539062,20000,1809.1
0.172264,3.85483,3.63704,4019.96,363.03125992,0.982657,-0.100251,-4.45678,451.136226791,579.687,17.948,371.941513534,43.1838,1992.21,-0.181942,1485.56,-1.40779,15.6207,-0.331815,224000,-1491.64,0.222762,66.96565047099966,5.263643741607666,2997.7240462809987,10063,446.43103934699957,5,9.45526,614.299,1987.34,7.523875341999883,0.595407,0.109625,0.208507,-15.4468,0.225199,0.0462477,0.424346,1406.48,0.0215703,562.568,52.636436462402344,24000,2680.21
0.17781,6.19636,3.83095,4340.46,400.586292392,1.00997,-0.139392,-3.53199,437.925095794,588.171,10.713,373.61383082900056,49.9793,2146.03,0.785979,1477.85,-1.46545,17.8107,-0.355076,228000,-1477.96,0.271149,69.10445036300007,12.858469009399414,3450.610773808,10259,449.9054981490003,6,9.66513,660.953,2112.2,7.187216956999691,0.135441,0.110626,0.425593,-15.9944,0.232528,0.0433817,0.416114,1395.99,0.0237811,620.359,128.58468627929688,28000,1723.51
0.173533,5.31967,3.67794,4571.72,398.793381054,1.03689,-0.131231,-3.91805,376.386037247,591.233,6.76057,371.75368174900086,45.2289,2214.4,1.18796,1471.0,-1.3465,12.787,-0.362778,232000,-1482.5,0.190951,72.08591705100025,10.831125259399414,3898.1371476520026,10458,451.36696889700215,7,8.93911,676.217,2213.0,7.5273700970010395,0.167996,0.0752641,0.464106,-17.2673,0.344559,0.0444816,0.400394,1407.84,0.0233784,638.248,108.31124877929688,32000,1979.21
0.175369,3.36413,4.07962,5093.31,415.032779554,1.03527,-0.14917,-3.59684,446.190270947,571.883,15.1043,373.362031095,52.4326,2300.99,1.05222,1482.88,-1.40704,27.1173,-0.367684,236000,-1469.17,0.167795,68.24575536900011,20.66421127319336,4347.198087173002,10657,449.0695237310001,8,9.03955,697.748,2258.8,7.4617372669999895,0.148023,0.0561681,0.357765,-14.6045,0.335249,0.0465693,0.364209,1386.11,0.0255315,665.239,206.64210510253906,36000,2133.62
0.201876,2.69293,3.8351,3966.78,475.53741047,1.08438,-0.252856,-3.47313,483.115537042,581.156,11.2793,372.71682704700015,47.666,2394.56,2.07825,1641.81,-1.62568,15.1458,-0.390052,240000,-1626.93,0.12027,68.23741826999958,6.299095153808594,4797.87931104,10841,447.7095202909977,9,9.54512,736.535,2371.9,6.7552749739979845,0.113986,0.0444036,0.407354,-15.0119,0.283379,0.0472022,0.375256,1545.33,0.0244153,698.231,62.99095153808594,40000,1949.71
0.197823,3.71816,3.56082,4458.01,431.172213553,1.07533,-0.175964,-3.87046,425.33663503,564.109,10.5526,372.52198212499934,51.2249,2471.42,1.90407,1627.01,-1.65151,12.8691,-0.397789,244000,-1632.6,0.0935471,71.2091224629994,8.543292999267578,5246.261845604999,11038,450.8194888459984,10,8.94083,746.996,2451.32,7.088384257999678,0.137852,0.0512086,0.516717,-16.7488,0.287623,0.0482202,0.460351,1544.21,0.025903,712.893,85.43292999267578,44000,1851.42
0.209347,3.75066,3.97818,4902.8,362.510700705,1.04966,-0.0505408,-4.32718,367.695521784,583.961,-2.02925,372.7445972709993,43.7853,2549.2,1.63275,1391.83,-1.75386,-16.6024,-0.411003,248000,-1411.98,0.110105,68.77262090899967,45.00535583496094,5691.718775512997,11257,448.6427690289984,11,8.33004,751.216,2532.96,7.12555084899941,0.0137476,0.0645585,0.895118,-15.3891,0.244941,0.0431801,0.373055,1326.37,0.0297726,737.594,450.0535583496094,48000,2215.26
0.203452,4.1492,4.31452,3774.56,367.033988804,1.10249,-0.140266,-5.90682,379.771938354,584.54,3.47258,374.8733893489998,57.7295,2613.54,2.95624,1678.81,-1.82945,21.1577,-0.423502,252000,-1669.2,0.187593,65.58719446800023,14.335223197937012,6139.805729607995,11466,447.5767512689981,12,9.45846,812.241,2605.93,7.116167451998081,0.106783,0.0556202,0.993026,-15.6494,0.247403,0.045683,0.445415,1587.02,0.0247287,777.147,143.35223388671875,52000,2160.79
