V Predictions Max,Log Pis Max,Log Pis Min,R Predictions Min,Number of rollouts total,Policy log std Mean,V Predictions Mean,Sample Time (s),Number of train steps total,KL Loss,Policy mu Min,Policy log std Min,Policy log std Max,AverageReturn_all_train_tasks,V Predictions Min,Z variance train,Q Predictions Mean,Total Train Time (s),Log Pis Mean,(Previous) Eval Time (s),Q Predictions Std,QF Loss,Train Time (s),KL Divergence,AverageReturn_all_test_tasks,R Predictions Mean,Number of env steps total,Policy Loss,Epoch,Log Pis Std,R Predictions Max,V Predictions Std,Q Predictions Max,Q Predictions Min,R Predictions Std,VF Loss,Z mean eval,Epoch Time (s),Policy log std Std,Z mean train,Policy mu Std,RF Loss,Policy mu Max,Policy mu Mean,Z variance eval
0.00531133,-2.0016,-6.09372,-0.0128282,9057,0.000385765,0.00093827,101.27330330099358,2000,9.944488525390625,-0.00354864,-0.00483952,0.00526502,90.5119088283,-0.00314364,0.00693656,0.000881871,245.06500121799309,-4.00734,0,0.00154095,44.2714,118.78910068799996,99.44488525390625,101.472179802,-0.00506015,84000,-3.98837,0,0.542115,0.00155922,0.00164237,0.00625116,-0.00307995,0.00300855,16.1935,0.126366,220.06240398899354,0.00240519,0.00294614,0.0014154,22.6637,0.00463864,0.00030494,0.490585
155.833,12.2805,-7.88291,-0.0130828,9139,-0.421178,73.8594,5.907793021999623,4000,3.648732900619507,-1.43954,-0.814891,0.131716,130.113406679,-11.737,0.285505,52.4228,392.4376752489916,2.07939,25.003033245000097,28.2453,107.45,119.11265699199976,36.487327575683594,142.586899687,-0.00529816,88000,-72.0507,1,3.08028,0.00189871,22.8935,125.375,-40.5802,0.00305345,13.9432,0.538317,150.02348325899948,0.159432,0.0690781,0.471992,26.9029,2.62787,1.11655,0.0836318
223.285,16.8192,-10.2547,-0.0121791,9219,-0.460318,141.404,5.054050846999871,6000,5.5059099197387695,-2.65648,-1.65042,0.474894,120.207085858,-21.1176,0.123374,122.248,540.4063696939916,0.620531,22.352314394999667,56.3896,300.856,121.57470398899977,55.05909729003906,126.430642964,-0.00523272,92000,-147.851,2,4.18747,0.00234215,38.9521,215.106,-53.7045,0.00287818,87.4306,1.2716,148.9810692309993,0.310978,0.300901,0.787985,21.948,3.43111,0.644356,0.0959345
306.723,19.7197,-10.4276,-0.0121833,9303,-0.411272,204.386,4.998842234999302,8000,8.412537574768066,-3.73335,-1.60254,0.327436,154.985116893,-16.9246,0.0694802,173.853,689.4380925059909,-0.30374,21.34032390199991,69.7742,511.002,123.11563202599973,84.12537384033203,120.859017382,-0.00527285,96000,-202.047,3,3.95768,0.00177478,39.4227,279.433,-59.8527,0.00285565,71.0419,0.885404,149.45479816299894,0.254343,1.33238,0.756025,22.1228,3.15515,0.525469,0.057788
404.078,23.7227,-12.5436,-0.0122664,9403,-0.48309,268.173,5.016689239000243,10000,10.669219017028809,-4.49102,-1.89518,0.103965,117.691708267,-23.4914,0.0340252,233.986,837.2513295949911,0.175694,20.917593815000146,93.3949,1206.48,122.30993911099995,106.69219207763672,105.214824729,-0.00554045,100000,-266.928,4,4.33453,0.00184623,52.1946,385.882,-60.366,0.00274078,233.402,1.29632,148.24422216500034,0.303755,0.475045,0.854042,40.2303,3.44875,0.441573,0.0311322
407.974,22.3635,-8.98041,-0.01301,9498,-0.508168,306.187,4.799997334996988,12000,12.419815063476562,-3.96828,-1.97774,0.225202,137.163911953,-32.2331,0.0322827,270.998,986.312284227989,0.596472,20.48676834700018,113.233,1357.14,122.32551569800034,124.19815063476562,121.868607716,-0.00536249,104000,-312.587,5,4.55444,0.00151015,72.8075,405.059,-87.5339,0.00282303,304.756,1.66265,147.6122813799975,0.32778,1.38443,0.912114,40.3493,5.09617,0.44292,0.0318419
460.548,27.0115,-10.0287,-0.0119839,9583,-0.470806,354.096,4.715515771002174,14000,13.930136680603027,-4.23304,-1.96236,0.11942,114.042477257,-22.3255,0.0293371,311.527,1134.9097655919932,0.133979,21.935716212999978,116.906,1084.98,122.50078427800054,139.30136108398438,132.951929731,-0.00513471,108000,-346.15,6,4.87804,0.00218243,69.6072,441.246,-55.8173,0.00290156,285.932,1.40168,149.1520162620027,0.312316,0.704418,0.899178,26.3761,5.00906,0.373009,0.0127891
468.06,29.1484,-10.7692,-0.0124948,9676,-0.483424,358.287,4.912012638001215,16000,12.669129371643066,-5.21472,-2.30192,0.269546,102.760812449,-40.0942,0.0111385,322.04,1283.178226274992,0.504209,21.381516170000396,121.552,1401.64,122.31161697099924,126.69129180908203,93.732193518,-0.00540852,112000,-354.82,7,4.73946,0.00129295,81.0604,457.963,-63.9192,0.00275719,346.044,1.89878,148.60514577900085,0.293923,0.347485,0.905074,47.8355,3.94489,0.462601,0.0157769
531.466,30.5299,-8.87679,-0.0119135,9776,-0.501893,387.299,4.794786986000872,18000,11.956609725952148,-5.10553,-2.36071,0.127268,99.9671183847,-75.1723,0.0098657,353.963,1432.1853268609939,0.230296,21.045035608000035,122.34,1484.91,122.78959248699994,119.56609344482422,85.9153327468,-0.00527134,116000,-380.616,8,4.3156,0.00173832,86.9981,515.582,-51.7942,0.00267882,195.043,1.47231,148.62941508100084,0.299202,0.662844,0.885823,53.5557,3.6216,0.376433,0.0123192
595.313,30.9303,-7.94335,-0.012384,9877,-0.578999,435.174,4.852636317999895,20000,14.510981559753418,-4.47854,-2.76635,0.205853,92.1229602717,-25.7933,0.00580035,389.344,1579.6342715629935,1.25522,21.423847817999558,152.631,995.254,121.77133003399922,145.1098175048828,109.076845711,-0.00535034,120000,-433.155,9,4.79668,0.00181763,106.543,589.957,-67.2324,0.00288604,249.367,1.56945,148.04781416999867,0.343096,0.583908,0.974608,40.0636,4.45723,0.424371,0.00397498
