V Predictions Mean,QF Loss,R Predictions Max,Number of train steps total,KL Loss,Policy Loss,V Predictions Max,RF Loss,Q Predictions Std,Policy mu Mean,Z mean eval,Z mean train,Log Pis Max,Q Predictions Max,Policy mu Std,Sample Time (s),Total Train Time (s),Q Predictions Mean,Epoch,KL Divergence,Q Predictions Min,Policy log std Max,Log Pis Mean,Policy mu Min,Train Time (s),Epoch Time (s),Policy log std Min,Policy log std Mean,AverageReturn_all_test_tasks,R Predictions Min,Number of env steps total,Policy mu Max,Z variance eval,Policy log std Std,V Predictions Min,VF Loss,Log Pis Std,AverageReturn_all_train_tasks,V Predictions Std,Log Pis Min,R Predictions Std,(Previous) Eval Time (s),R Predictions Mean,Z variance train,Number of rollouts total
-0.0042873,44.4371,-4.10487e-05,2000,9.943385124206543,-4.00907,0.00238846,21.4816,0.00132309,-0.00119642,0.0490319,0.00398946,-2.21161,0.00714598,0.00168632,103.03386471699787,248.84497800499776,0.00337574,0,99.43385314941406,-0.00124895,0.00444592,-4.022,-0.00526431,121.185860563,224.21972527999787,-0.00293046,0.000363674,111.728730238,-0.013415,84000,0.00400013,0.196246,0.00127869,-0.0121739,16.3875,0.529616,98.8690113049,0.00247596,-5.79094,0.00263124,0,-0.00682991,0.00694121,9199
84.9006,187.722,-0.000230843,4000,2.735079526901245,-84.5194,162.674,17.3048,29.2492,1.2805,0.221866,0.6287,12.6714,142.319,0.394076,5.677851779999401,396.9608552079967,61.1925,1,27.350793838500977,-23.5224,0.0568593,3.32676,-0.142395,121.35283114699996,151.65757736999967,-0.753891,-0.461265,148.318291371,-0.0132381,88000,2.4831,0.0754895,0.129675,-9.41204,13.4438,3.16429,123.271054426,24.0941,-7.46895,0.00249592,24.62689444300031,-0.00706999,0.53306,9272
199.468,638.354,-0.000119083,6000,5.304973125457764,-205.327,266.984,16.7087,65.3623,0.798633,0.458989,0.638279,22.4621,253.696,0.801693,5.070755285001269,544.3335697759962,171.253,2,53.04973220825195,-24.8489,0.0360198,1.49854,-2.84189,122.09158113099966,148.247664506001,-1.26491,-0.515535,85.7186669612,-0.0130588,92000,3.11863,0.06806,0.208211,-6.70012,77.9126,4.65922,88.8033706992,36.7909,-8.00372,0.00253634,21.085328090000075,-0.00665372,0.0646153,9355
259.291,984.327,-0.000152428,8000,9.365548133850098,-269.141,360.646,29.5155,88.1379,0.429079,0.453271,1.90329,26.9261,369.333,0.909789,4.83346185200071,692.2839772529978,233.493,3,93.65547943115234,-45.2625,0.359441,0.110117,-3.74089,122.23863925700016,147.2827893840008,-1.37702,-0.397637,98.7044864936,-0.0125317,96000,3.51083,0.0230314,0.262555,-15.613,201.589,4.9322,131.240375992,49.378,-9.2377,0.00246461,20.21068827499994,-0.00696617,0.0275232,9455
294.416,1274.62,-0.000404846,10000,10.157678604125977,-292.209,407.999,34.3712,100.096,0.45682,0.677384,0.638081,24.8137,402.954,0.883618,4.8258896869992896,840.8229660109964,258.07,4,101.5767822265625,-53.4586,0.196032,0.207202,-3.10435,122.35752002400022,148.06217472899925,-1.93101,-0.449328,80.6644127783,-0.0140276,100000,3.65713,0.0156498,0.287344,-32.9118,97.7931,5.01482,125.601430662,61.8346,-9.66421,0.00251858,20.87876501799974,-0.00728344,0.0151699,9538
313.384,1321.4,0.000336336,12000,14.981656074523926,-318.115,438.804,49.3875,105.1,0.569723,0.83595,1.78822,26.6958,426.257,0.874233,4.770649211000091,989.8635400139965,284.522,5,149.81655883789062,-44.5015,0.112012,0.640766,-3.2239,122.6584208459999,148.78491452599974,-1.74422,-0.473683,100.700700429,-0.0132409,104000,3.93935,0.0133347,0.261529,-3.74481,199.786,5.15057,112.441595421,63.3953,-10.6106,0.00243566,21.35584446899975,-0.00728089,0.0108077,9627
372.343,924.625,-0.000429875,14000,12.909850120544434,-358.646,464.036,40.634,118.916,0.444033,0.903551,0.478041,33.8684,444.604,0.886761,4.8950421349986755,1137.7402967029966,328.445,6,129.09849548339844,-83.9158,0.0902662,0.187797,-3.5367,121.56235513999991,148.06895175099817,-2.09053,-0.457415,142.660275234,-0.0139707,108000,4.43414,0.00824377,0.271473,-19.029,508.456,5.01459,118.398650291,75.1132,-10.5082,0.00229014,21.611554475999583,-0.00759625,0.00996576,9708
365.119,1020.14,-0.000558109,16000,15.829020500183105,-367.979,514.484,30.9112,128.967,0.418389,0.579638,1.01856,27.7254,511.723,0.920406,4.764598368999941,1287.031036851995,330.954,7,158.2902069091797,-76.3054,0.128936,0.399344,-3.93244,122.153395413,148.33809516699966,-1.93107,-0.469407,127.483600147,-0.014508,112000,3.98793,0.00503,0.303057,-27.4059,246.692,4.92879,107.088546698,81.7557,-9.63702,0.0023079,21.420101384999725,-0.00783557,0.00719619,9790
409.069,1630.76,-0.000813039,18000,15.794333457946777,-399.278,551.238,49.3144,143.688,0.560865,1.06974,1.3264,27.2306,564.394,0.944958,4.857537666997814,1435.7504829209956,358.352,8,157.94332885742188,-105.526,0.25733,1.07938,-4.09696,121.63545867300036,148.8657957009982,-2.11445,-0.501784,110.532147485,-0.0133042,116000,4.39916,0.00309632,0.311029,-21.1394,377.432,5.06723,92.6179511837,90.7199,-8.33614,0.00250472,22.372799361000034,-0.00739015,0.00463879,9881
432.293,956.855,8.87597e-06,20000,16.06507682800293,-448.38,613.081,29.2525,155.044,0.48108,0.835583,1.01833,34.9435,633.145,0.982461,4.986831090002852,1585.0207092839983,401.358,9,160.65077209472656,-122.049,0.10009,1.25049,-4.08082,122.51130010999987,149.724891003003,-2.26036,-0.558557,111.41560314,-0.0130814,120000,5.32505,0.00324445,0.323706,-16.0238,925.346,5.3571,90.4747354896,109.954,-12.2141,0.0024992,22.226759803000277,-0.00722017,0.00627037,9966
