Itr,Step_0-MaxReturn,Step_1-MaxReturn,Step_0-AvgFinalForwardVel,Step_1-MinReturn,Time-OuterStep,Time,Step_0-NumTrajs,Step_0-EnvExecTime,Step_1-NumTrajs,Step_0-AvgForwardVel,LossAfter,Step_0-PolicyExecTime,Step_1-EnvExecTime,Time-InnerStep,n_timesteps,Step_0-AverageReturn,Time-SampleProc,Step_0-AvgCtrlCost,Step_1-StdReturn,Step_0-AverageDiscountedReturn,Step_1-AvgFinalForwardVel,LossBefore,Step_0-AveragePolicyStd,Step_0-StdReturn,Time-Sampling,Step_1-AveragePolicyStd,Step_0-MinReturn,Time-MAMLSteps,Step_1-AvgForwardVel,Step_1-AverageReturn,Time-TotalInner,KLCoeffInner,Step_1-AverageDiscountedReturn,Step_1-AvgCtrlCost,ItrTime,KLInner,Step_1-PolicyExecTime
0,144.8419565126195,113.92026532214317,0.03599933216799596,-212.41583691941509,12.065310716629028,38.04472637176514,800,7.741985321044922,800,0.010270682792943537,-0.0043941145,1.4277386665344238,7.945568799972534,1.3655531406402588,320000,-34.87661492042884,0.7738728523254395,0.0494903489013888,50.56482977837308,-14.941249725467596,-0.0055915077504755835,-7.1376554e-09,1.0,50.322702278293285,23.308788299560547,1.0002185,-205.1239954903966,12.065531253814697,-0.00904215235724032,-38.72955664108491,25.49135994911194,0.0005,-16.58636155543802,0.049508073215827356,38.044718980789185,0.005976516,3.4774227142333984
1,141.66831756331695,134.2042488796795,0.025148614088758046,-212.26078181740627,3.2785751819610596,64.71079730987549,800,7.937660455703735,800,-0.00838016365840112,-0.0032553466,0.9024429321289062,7.9344823360443115,0.16825342178344727,640000,-38.63619227385617,0.7516839504241943,0.0495076880669966,49.365839706246426,-16.05082620026331,-0.008049718279796246,-2.0876518e-09,0.99820757,50.10883892841287,22.393800497055054,0.99814457,-204.40694634745472,3.2787227630615234,0.00430267135009163,-36.111338908148944,23.36264681816101,0.0005,-15.859017055563115,0.04938198442220507,26.661906003952026,0.008012094,2.8702409267425537
2,172.85805225148943,114.7037508381834,0.001255880777056113,-222.40914419421077,3.230297565460205,91.347891330719,800,7.914334535598755,800,0.008717235707456921,-0.0029082259,0.89467453956604,7.964180946350098,0.16717743873596191,960000,-35.111264377360655,0.7605950832366943,0.04957365641697924,49.09217902272885,-15.301998815471139,-0.02561012586861156,1.8775541e-10,0.9955901,49.09379326235502,22.40234136581421,0.9956991,-180.33139353388327,3.230437755584717,-0.01702885596381218,-40.366326478184334,23.379105806350708,0.0005,-17.089322080584765,0.04960673648267573,26.636502027511597,0.0075367987,2.8843564987182617
3,189.199440241319,148.52362188784653,0.00032123639408345285,-287.6225214335961,3.2476489543914795,117.9675407409668,800,7.91111421585083,800,-0.005320149588170085,-0.0030345558,0.8943672180175781,7.98605489730835,0.16747236251831055,1280000,-37.94511414811287,0.73219895362854,0.04957315541606308,48.63284940108882,-16.279035141936564,-0.03110190009445189,-3.0435625e-09,0.9927846,50.96606059364431,22.40062141418457,0.9926137,-212.31587432156653,3.247793674468994,-0.0026961607351439374,-37.45721329100163,23.349215269088745,0.0005,-15.828478776458217,0.04943243245078631,26.619059085845947,0.0077537983,2.876455545425415
4,154.30065243490844,161.8413965955652,-0.0007025649666505273,-245.3862372735279,3.2398877143859863,144.4747655391693,800,7.846429347991943,800,-0.0037251899900739077,-0.0022825648,0.8951270580291748,7.951178073883057,0.1686110496520996,1600000,-37.652487197359285,0.7562792301177979,0.04976841835938639,49.64434576171257,-15.883677268852084,-0.00398113729257708,5.1647424e-09,0.99004537,48.76701327925887,22.270912885665894,0.9900228,-207.58904374023965,3.2400338649749756,0.003794669406376778,-36.1775988281928,23.24486756324768,0.0005,-15.634340880538712,0.049601099656744786,26.506633281707764,0.005675193,2.860673427581787
5,127.59479567404688,122.26923141557197,-0.006070852639748776,-167.2121743035983,3.2562479972839355,171.03736639022827,800,7.948430061340332,800,0.0011132227028293976,-0.002496113,0.8934268951416016,7.928638458251953,0.1662149429321289,1920000,-36.52762362034074,0.7481567859649658,0.04963342555315978,46.408730097100744,-16.142110182382,-0.0019928356617184883,4.2822212e-09,0.98780906,48.21831517112126,22.320655822753906,0.9875919,-261.97025058062746,3.2563858032226562,0.028223824133019246,-31.17765616424367,23.283811330795288,0.0005,-13.1426810601607,0.04958973023665952,26.56202268600464,0.0060676043,2.8725697994232178
6,157.7701145233749,137.35066748807424,0.0070625557476615315,-188.85398414288014,3.302412986755371,197.67238306999207,800,7.902846097946167,800,0.0013987245378254253,-0.0020821355,0.8890283107757568,7.9377195835113525,0.1636028289794922,2240000,-36.417152189539145,0.7943172454833984,0.0496120121812028,47.97548230751464,-16.541941566443683,-0.02582590334173569,-2.0690263e-09,0.985527,49.24488868372779,22.30335521697998,0.98570913,-217.79124520289838,3.3025593757629395,0.01324787007899888,-34.063977260120346,23.310077667236328,0.0005,-14.783892371655975,0.04983611399081276,26.63441562652588,0.007219569,2.8699612617492676
7,98.82210999470557,127.09485232616275,-0.03195252829514205,-206.28054582368338,3.257333278656006,224.18973970413208,800,7.88235330581665,800,-0.005816324878177556,-0.0027164742,0.8889412879943848,7.948472738265991,0.16617560386657715,2560000,-37.82993647685245,0.7467739582061768,0.049776209712024316,48.24878990270937,-16.227294234976227,-0.01750199333933892,2.025813e-09,0.98331493,51.350382772938666,22.275104522705078,0.9833468,-253.14839066525104,3.2574729919433594,-0.0010323210991115624,-36.83348990807193,23.2374587059021,0.0005,-15.33634744948809,0.04965956858656275,26.516751289367676,0.008630799,2.8701891899108887
8,142.78958823131308,133.03868922948925,0.07029596773917957,-233.74431199329365,3.2393743991851807,250.71400499343872,800,7.93265962600708,800,-0.0021501729675380095,-0.0020818186,0.8944213390350342,7.944321393966675,0.16640472412109375,2880000,-36.955931461677835,0.7500877380371094,0.04966325559768079,48.638083129706374,-16.005240150932885,0.039346477502252106,2.04891e-09,0.98022634,46.50820054423162,22.296934843063354,0.98012304,-172.01129676077716,3.239644765853882,0.009795531944816624,-34.61584069671758,23.262229681015015,0.0005,-15.33553618137178,0.04976096962164158,26.523706912994385,0.0060036806,2.8566734790802
9,99.3528788034922,132.64364599030733,0.0030104078898188858,-192.08079845459355,3.2455854415893555,277.1717064380646,800,7.89030385017395,800,0.008410543135693239,-0.0024238278,0.889610767364502,7.945569276809692,0.16791391372680664,3200000,-34.934431978903724,0.7462685108184814,0.049825349967143474,45.56882514660924,-15.645425719072728,-0.012083885343813829,2.8815124e-09,0.97669953,46.02259951075272,22.22689962387085,0.9764918,-190.83653574635923,3.2457263469696045,0.009150072474564485,-34.74922609283382,23.1894748210907,0.0005,-14.500952909037828,0.04990749465836661,26.45708203315735,0.008007253,2.8679606914520264
10,134.96377532759425,152.9709603006645,-0.00961335807012701,-205.62247251128244,3.2259631156921387,303.687961101532,800,7.970086097717285,800,-0.007199336631396389,-0.0020153972,0.889324426651001,7.95521354675293,0.16662311553955078,3520000,-38.08338497090443,0.7413952350616455,0.04962200468540845,43.6851838060669,-16.599036781475125,-0.0049269171918138975,-8.0037815e-10,0.9734113,46.292325203170606,22.31192660331726,0.9733687,-186.2302824763382,3.226104497909546,0.006900008136636421,-35.230875711180396,23.268345832824707,0.0005,-15.132035248243815,0.04959761643783667,26.515677452087402,0.0076936022,2.8626251220703125
11,137.00784842200528,115.19734733387268,0.036331049741544774,-203.06386911013257,3.277008056640625,330.5288519859314,800,7.903853178024292,800,0.0028887027938941157,-0.0023978513,0.8874485492706299,7.908077716827393,0.1666266918182373,3840000,-36.096797309931645,0.7435295581817627,0.04967795824777304,48.05003375058512,-15.38108842426429,-0.0207347920599073,7.364526e-09,0.9706599,46.29158852683657,22.580460786819458,0.97047585,-216.68328207586922,3.2771477699279785,-0.011627700181382579,-39.02822713061382,23.539207696914673,0.0005,-16.263392498698924,0.04960627757656729,26.840275764465332,0.008809755,3.2264490127563477
12,106.25447887443181,176.8322293598512,0.0005992595147745838,-273.0794370019922,3.223118543624878,356.94987654685974,800,7.858738899230957,800,-0.003525174119238479,-0.0024581945,0.8892123699188232,7.939973831176758,0.1673750877380371,4160000,-37.27327366264001,0.7513301372528076,0.04963330325986176,46.40625030653145,-15.395242132396689,0.04183693281008937,6.267429e-09,0.96816295,45.087930843162944,22.207904815673828,0.96811277,-250.76716750737182,3.2232608795166016,0.01061553203696358,-34.430245455625524,23.17501926422119,0.0005,-14.708054979154735,0.04969300463518267,26.42042875289917,0.008883102,2.8624608516693115
13,160.80345745816115,121.78074618866552,0.004027694217168287,-259.8265465278005,3.2409584522247314,383.5095636844635,800,7.947143077850342,800,0.015852759049868614,-0.002471346,0.8920125961303711,7.96892786026001,0.16970014572143555,4480000,-33.4893496167346,0.7477774620056152,0.04957262278474608,46.969173551721795,-14.159192464292598,0.013319598023767627,3.8489696e-09,0.965533,44.83437891789551,22.327692985534668,0.9653834,-199.43807722166633,3.241101026535034,0.007976316621837926,-35.04393197192554,23.29391050338745,0.0005,-15.45597134201463,0.049474040516268865,26.55908727645874,0.00787676,2.8638241291046143
14,157.48282212624537,164.0533364623907,0.0013794726079836605,-209.70927424312595,3.2437729835510254,409.9506027698517,800,7.877850294113159,800,-0.00223095722787533,-0.002403147,0.8867270946502686,7.983363389968872,0.16683650016784668,4800000,-37.08853619492516,0.7600154876708984,0.04963336117480502,47.709501298754006,-15.86358780351498,-0.01725300294252841,-3.7502494e-09,0.96299785,48.19749306709008,22.199373960494995,0.9628937,-215.8112740494733,3.2439212799072266,0.007090195926209226,-35.220400202671016,23.174490213394165,0.0005,-15.05260889597487,0.04949277115891126,26.4404559135437,0.0065284697,2.8622214794158936
15,91.74216609769786,131.25771974927383,0.05042670281717827,-228.0521030823623,3.2379767894744873,436.3194987773895,800,7.917603015899658,800,0.005198797710293175,-0.0025279135,0.8875336647033691,7.888142824172974,0.16682982444763184,5120000,-35.63457343376387,0.7481980323791504,0.04986289941287858,46.36983794150563,-16.1552560334222,0.028176179091760966,3.1211418e-09,0.96100515,43.35374751451866,22.143837451934814,0.9608648,-192.49966991243096,3.238119125366211,-0.00888759449321961,-38.555558683287494,23.107009887695312,0.0005,-16.865983401324335,0.0496853689302456,26.368309020996094,0.008880136,2.861192464828491
16,131.7637161291862,136.01090106027567,0.002693412795483199,-251.36708340856438,3.2941269874572754,462.7880926132202,800,7.942455053329468,800,-0.0036722070161972027,-0.002812587,0.8819761276245117,7.973256826400757,0.16766667366027832,5440000,-37.46680648316344,0.7382974624633789,0.04962069026503764,46.58667548121353,-16.40746234145752,-0.029786179776128626,-7.167459e-10,0.9586429,46.644986705200004,22.1959285736084,0.9586518,-244.4530876350018,3.2942698001861572,-0.009650908403206494,-38.67024178988596,23.14967656135559,0.0005,-16.609439557287534,0.049755662765875605,26.468040704727173,0.0073061064,2.86590838432312
17,189.70251717763804,120.36493453286337,0.025793389053448017,-228.77641054222022,3.233771800994873,489.13172340393066,800,7.861802816390991,800,-0.008941974924995846,-0.002284449,0.8854436874389648,7.971620082855225,0.16753363609313965,5760000,-38.4428340588682,0.7396140098571777,0.0498589393731364,48.218450774169455,-17.039794824359312,0.002127641474969397,1.0578335e-08,0.955042,47.022609196744284,22.133230924606323,0.9549775,-227.59000884279473,3.2339181900024414,-0.005993592139957855,-37.86775576730453,23.088103532791138,0.0005,-16.852799185382136,0.04982416449592852,26.343066453933716,0.008997957,2.868173599243164
18,170.52382189436,164.6767777004161,0.027055302757600506,-192.68435631046972,3.2360289096832275,515.5008749961853,800,7.934412479400635,800,0.0006016525540704148,-0.002449208,0.8831210136413574,7.956333637237549,0.16769909858703613,6080000,-36.456277007157574,0.7431902885437012,0.049761009424987755,46.26448040604034,-15.63977496207777,-0.009441914845737592,7.800759e-09,0.95197463,46.62757781517335,22.152692794799805,0.95198816,-228.00947882628876,3.236173391342163,0.002016814605733827,-36.16349163118043,23.111339569091797,0.0005,-14.95473268301621,0.04965624626669391,26.368529319763184,0.008757034,2.8608078956604004
19,147.99443859120618,137.88077649675168,0.0678972530082705,-230.82884286889617,3.231090545654297,541.7146348953247,800,7.803856372833252,800,-0.005955899934652952,-0.0027337223,0.8827369213104248,7.951439380645752,0.16695547103881836,6400000,-37.7522298970629,0.7336084842681885,0.04976194187815401,46.9996896983498,-16.214477910989736,0.04053405939463161,-6.8537895e-09,0.9492754,47.68295910559684,22.012892961502075,0.9493413,-190.26147298141044,3.231231212615967,-0.0028220880316943927,-37.18363099108638,22.96095895767212,0.0005,-16.655670822363895,0.04958352766607595,26.21312379837036,0.007372409,2.84171462059021
20,157.80704888091506,135.58290590950904,-0.026192045175371447,-183.18453796060325,3.234992265701294,568.0822696685791,800,7.873955488204956,800,-0.0009052032164993612,-0.0026300915,0.8844401836395264,8.026360511779785,0.16769671440124512,6720000,-36.48893285101507,0.7215061187744141,0.049837637448760276,45.78574355324988,-15.520302069910322,0.01136126591087009,-1.2896954e-09,0.946909,44.26478989346432,22.172399282455444,0.9468441,-187.0784229207109,3.2351341247558594,0.00795216960363372,-34.75186862679235,23.109179496765137,0.0005,-15.277805703451474,0.04970724863784948,26.366994380950928,0.0061793714,2.857935905456543
21,97.43077584248385,140.66473576202296,-0.004067142439867128,-198.50488047212477,3.2591617107391357,594.4857473373413,800,7.930868625640869,800,0.007503930779662855,-0.0028659296,0.8815417289733887,7.979099273681641,0.1658782958984375,7040000,-34.72472500131933,0.7415640354156494,0.04981339876813412,44.764154350310335,-14.735705669130098,-0.052115253072833406,5.992503e-09,0.9443963,42.63268161361516,22.167236804962158,0.9444704,-172.84769142412094,3.259312152862549,0.000783879403268315,-36.08247536109363,23.12267303466797,0.0005,-15.452743234397126,0.049852107711798856,26.402905225753784,0.0063636303,2.836519718170166
22,113.43676888868805,237.25711131368425,0.0030052193924104387,-232.5178857525959,3.2129452228546143,620.7450265884399,800,7.837202310562134,800,-0.0017812458184413376,-0.0022896505,0.8841485977172852,7.975773096084595,0.16699457168579102,7360000,-36.48981799044471,0.733691930770874,0.04986068376437534,47.204587330829895,-15.84515353034073,-0.011224259214719708,-4.9252065e-09,0.9407903,43.92674848382384,22.074108123779297,0.940673,-176.82944409598565,3.2130889892578125,-0.0005371014432827723,-36.20755881190854,23.022300481796265,0.0005,-15.852425332226048,0.049779021565177384,26.258684635162354,0.008359018,2.8556442260742188
23,120.12083700053724,110.43980438151793,0.018181255854623195,-202.4042438493479,3.2339861392974854,647.0381309986115,800,7.897383689880371,800,0.00885905515138915,-0.0026496549,0.8874645233154297,7.912851810455322,0.1674950122833252,7680000,-34.28199214200528,0.7518775463104248,0.0498337747168371,46.40795622126876,-14.629975489604785,0.005406765707312858,3.16964e-09,0.9376673,45.35140759029345,22.06854796409607,0.93754673,-196.5197032602466,3.2341196537017822,0.004149201741782073,-35.255531590698276,23.03721046447754,0.0005,-14.156971274465864,0.04971531453670607,26.29252600669861,0.0074333474,2.8385751247406006
