Itr,LossBefore,LossAfter,train-NumTrajs,train-EnvExecTime,Time,train-PolicyExecTime,train-MaxReturn,Time-Sampling,train-StdReturn,Time-Optimization,ItrTime,train-AverageReturn,Time-SampleProc,train-AverageDiscountedReturn,train-MinReturn,n_timesteps,train-AveragePolicyStd
0,0.0028670593,-0.02855086,4992,9.482882738113403,13.933717489242554,0.7384545803070068,27.089368041965567,10.677448034286499,4.153373352485001,2.002709150314331,13.908724308013916,-2.0024044570138595,1.205538034439087,-1.864867986099441,-17.154180775683418,40000,1.0
1,0.013123304,-0.02582181,4556,9.697868824005127,27.898808002471924,0.7222914695739746,33.78455896039132,10.883264541625977,4.42373791207552,1.9585165977478027,13.934067487716675,-0.2579698044958825,1.0688087940216064,-0.20361221408912192,-16.062017585977657,80000,0.99742305
2,0.0100127105,-0.015143191,3712,9.700431108474731,41.656867265701294,0.7293376922607422,39.42540325780091,10.882405757904053,5.342593960245365,1.9187700748443604,13.737180948257446,1.0973353113439936,0.9174954891204834,1.092102018661543,-21.369441102807148,120000,0.99358046
3,0.019355873,-0.010985206,2906,9.395692586898804,54.9830527305603,0.7330317497253418,63.555334913496004,10.573427677154541,7.519602609870199,1.9520087242126465,13.305526494979858,3.2972417787794575,0.7638669013977051,3.104680364165961,-25.75972612143063,160000,0.98916656
4,0.018357735,-0.008812343,2089,9.285219430923462,68.07432579994202,0.7441494464874268,134.4091273926367,10.45485520362854,11.627841034989629,1.9816315174102783,13.070710182189941,7.708340081394075,0.6213529109954834,6.978535038228398,-22.000908180844608,200000,0.9845609
5,0.010813412,-0.0059721484,1576,9.358563899993896,81.150226354599,0.7598562240600586,157.13611803034595,10.543198108673096,19.15837466630163,1.9672589302062988,13.055267333984375,12.365589689150898,0.5337769985198975,10.612023616742519,-26.275068050725558,240000,0.97994804
6,0.022302661,-0.005306915,1154,9.201494932174683,94.04567241668701,0.7664389610290527,194.3949063546423,10.381617307662964,28.343931650584068,2.024384021759033,12.874518871307373,20.988593793677687,0.4591996669769287,16.923303965766372,-23.607361275874556,280000,0.9754002
7,0.0141028585,-0.0038713068,910,9.438557147979736,107.1316409111023,0.7849376201629639,218.14487999399975,10.630074501037598,35.36572369140116,2.0371811389923096,13.065914154052734,27.852604267032714,0.39050912857055664,21.55892400610429,-21.90169411262172,320000,0.9711004
8,0.012121688,-0.0042910646,772,9.564027070999146,120.37476253509521,0.7923691272735596,251.77066866352968,10.76732325553894,46.54803904641175,2.0688061714172363,13.222188711166382,40.14771002266928,0.3780972957611084,28.889989154277146,-28.242097759880885,360000,0.96743655
9,0.010981684,-0.003358051,658,9.46148133277893,133.47102308273315,0.8010842800140381,280.2919550075603,10.667146921157837,49.498099703438946,2.056997776031494,13.076080083847046,49.090564368375276,0.3446335792541504,35.004065804537376,-31.53164025122745,400000,0.9641837
10,0.008689148,-0.0031934304,586,9.492269515991211,146.66130423545837,0.8005800247192383,251.23898583914945,10.70452356338501,56.3844284829233,2.0722692012786865,13.170424699783325,60.37050671391479,0.3864462375640869,40.374088419408245,-22.84877768757018,440000,0.96087724
11,0.008105067,-0.0031185006,528,9.917129039764404,160.33539986610413,0.827117919921875,269.3796965198952,11.16164231300354,60.88534724737097,2.1569201946258545,13.653326272964478,72.86976541597237,0.32778429985046387,46.880282676920366,-24.444917021985315,480000,0.9578372
12,0.0057304613,-0.0028099646,527,9.664986610412598,173.6485357284546,0.8058211803436279,260.55440818908227,10.880800247192383,56.12598874720959,2.083280086517334,13.293087005615234,76.87735427379346,0.3223106861114502,50.58468202892994,-34.39374831080124,520000,0.9552092
13,0.0010933401,-0.0035612034,488,9.870433807373047,187.1966962814331,0.8176138401031494,242.26344564207062,11.097572326660156,60.4292528550183,2.112833261489868,13.527482271194458,84.76899983275244,0.31036949157714844,54.32107097536995,-31.86218229047555,560000,0.95291376
